Fixed,,,,,,,,,,,,
,,,,,,,,,,,,
Table 1: Summary of network access & call revenues (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
2017 Q2,482,284,32,166,,58.90%,,,,,,
2017 Q3,473,279,34,161,,59.00%,,,,,,
2017 Q4,455,275,32,149,,60.30%,,,,,,
2018 Q1,450,279,30,142,,61.90%,,,,,,
,,,,,,,,,,,,
Excludes VAT; 1 Revenue figures are not intended to include subscription revenues for internet access,,,,,,,,,,,,
although some element may remain; 2 Includes EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 2: Summary of exchange line numbers at end of quarter (000's),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other,,BT share2,,,,,,
,,,,,,,,,,,,
2007,"34,469","22,948","4,796","6,726",,66.60%,,,,,,
2008,"34,192","21,251","4,859","8,082",,62.20%,,,,,,
2009,"33,502","18,843","4,920","9,738",,56.20%,,,,,,
2010,"33,407","17,023","4,940","11,444",,51.00%,,,,,,
2011,"33,252","15,750","4,893","12,609",,47.40%,,,,,,
2012,"33,325","14,611","4,838","13,876",,43.80%,,,,,,
2013,"33,412","13,834","4,751","14,826",,41.40%,,,,,,
2014,"33,513","13,243","4,737","15,534",,39.50%,,,,,,
2015,"33,688","12,818","4,744","16,125",,38.10%,,,,,,
2016,"33,592","12,387","4,891","16,314",,36.90%,,,,,,
2017,"33,133","12,888","4,825","15,421",,38.90%,,,,,,
,,,,,,,,,,,,
2007 Q1,"34,542","23,901","4,680","5,961",,69.20%,,,,,,
2007 Q2,"34,470","23,647","4,639","6,183",,68.60%,,,,,,
2007 Q3,"34,402","23,259","4,738","6,406",,67.60%,,,,,,
2007 Q4,"34,469","22,948","4,796","6,726",,66.60%,,,,,,
2008 Q1,"34,410","22,543","4,798","7,070",,65.50%,,,,,,
2008 Q2,"34,299","22,115","4,804","7,380",,64.50%,,,,,,
2008 Q3,"34,243","21,740","4,811","7,692",,63.50%,,,,,,
2008 Q4,"34,192","21,251","4,859","8,082",,62.20%,,,,,,
2009 Q1,"34,057","20,667","4,856","8,534",,60.70%,,,,,,
2009 Q2,"33,718","19,924","4,844","8,951",,59.10%,,,,,,
2009 Q3,"33,593","19,374","4,852","9,367",,57.70%,,,,,,
2009 Q4,"33,502","18,843","4,920","9,738",,56.20%,,,,,,
2010 Q1,"33,434","18,414","4,942","10,078",,55.10%,,,,,,
2010 Q2,"33,399","17,953","4,944","10,501",,53.80%,,,,,,
2010 Q3,"33,389","17,456","4,925","11,008",,52.30%,,,,,,
2010 Q4,"33,407","17,023","4,940","11,444",,51.00%,,,,,,
2011 Q1,"33,303","16,683","4,955","11,665",,50.10%,,,,,,
2011 Q2,"33,275","16,403","4,921","11,951",,49.30%,,,,,,
2011 Q3,"33,207","16,022","4,880","12,305",,48.20%,,,,,,
2011 Q4,"33,252","15,750","4,893","12,609",,47.40%,,,,,,
2012 Q1,"33,297","15,443","4,703","13,151",,46.40%,,,,,,
2012 Q2,"33,191","15,105","4,824","13,262",,45.50%,,,,,,
2012 Q3,"33,095","14,777","4,824","13,494",,44.60%,,,,,,
2012 Q4,"33,325","14,611","4,838","13,876",,43.80%,,,,,,
2013 Q1,"33,324","14,367","4,828","14,129",,43.10%,,,,,,
2013 Q2,"33,414","14,114","4,800","14,500",,42.20%,,,,,,
2013 Q3,"33,347","14,006","4,761","14,580",,42.00%,,,,,,
2013 Q4,"33,412","13,834","4,751","14,826",,41.40%,,,,,,
2014 Q1,"33,345","13,691","4,742","14,912",,41.10%,,,,,,
2014 Q2,"33,352","13,535","4,732","15,085",,40.60%,,,,,,
2014 Q3,"33,334","13,373","4,723","15,238",,40.10%,,,,,,
2014 Q4,"33,513","13,243","4,737","15,534",,39.50%,,,,,,
2015 Q1,"33,532","13,115","4,725","15,691",,39.10%,,,,,,
2015 Q2,"33,580","12,990","4,709","15,882",,38.70%,,,,,,
2015 Q3,"33,575","12,894","4,707","15,973",,38.40%,,,,,,
2015 Q4,"33,688","12,818","4,744","16,125",,38.10%,,,,,,
2016 Q1,"33,668","12,713","4,776","16,180",,37.80%,,,,,,
2016 Q2,"33,609","12,595","4,819","16,195",,37.50%,,,,,,
2016 Q3,"33,578","12,477","4,873","16,229",,37.20%,,,,,,
2016 Q4,"33,592","12,387","4,891","16,314",,36.90%,,,,,,
2017 Q1,"33,333","12,238","4,811","16,284",,36.70%,,,,,,
2017 Q2,"33,191","12,102","4,824","16,265",,36.50%,,,,,,
2017 Q3,"33,222","11,976","4,829","16,416",,36.00%,,,,,,
2017 Q4,"33,133","12,888","4,825","15,421",,38.90%,,,,,,
2018 Q1,"33,015","12,754","4,813","15,448",,38.60%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 3: Summary of call volumes (millions of minutes),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT 2,Virgin Media,Other Direct Access,Other Indirect Access,BT share2,,,,,,
,,,,,,,,,,,,
2007,"164,664","82,218","22,869","15,237","44,340",49.90%,,,,,,
2008,"145,654","67,152","19,272","17,250","41,980",46.10%,,,,,,
2009,"130,432","56,640","17,408","18,578","37,806",43.40%,,,,,,
2010,"124,623","49,834","15,833","23,137","35,819",40.00%,,,,,,
2011,"112,192","43,364","13,867","25,071","29,890",38.70%,,,,,,
2012,"103,068","39,728","12,712","26,238","24,390",38.50%,,,,,,
2013,"93,173","35,646","11,199","26,114","20,214",38.30%,,,,,,
2014,"82,229","31,259","10,155","25,075","15,739",38.00%,,,,,,
2015,"73,884","28,389","8,737","23,355","13,403",38.40%,,,,,,
2016,"64,844","25,194","7,222","20,151","12,277",38.90%,,,,,,
2017,"53,597","21,949","4,483","16,913","10,252",41.00%,,,,,,
,,,,,,,,,,,,
2007 Q1,"45,180","22,971","6,291","3,833","12,085",50.80%,,,,,,
2007 Q2,"41,273","20,765","5,651","4,015","10,842",50.30%,,,,,,
2007 Q3,"40,130","19,868","5,857","3,720","10,685",49.50%,,,,,,
2007 Q4,"38,081","18,614","5,070","3,670","10,727",48.90%,,,,,,
2008 Q1,"38,148","18,400","5,040","3,675","11,033",48.20%,,,,,,
2008 Q2,"36,499","16,865","4,815","4,559","10,259",46.20%,,,,,,
2008 Q3,"36,223","16,196","4,690","4,543","10,794",44.70%,,,,,,
2008 Q4,"34,784","15,691","4,727","4,472","9,894",45.10%,,,,,,
2009 Q1,"34,516","15,407","4,661","4,597","9,852",44.60%,,,,,,
2009 Q2,"31,946","13,942","4,238","4,452","9,314",43.60%,,,,,,
2009 Q3,"31,413","13,684","4,238","4,407","9,084",43.60%,,,,,,
2009 Q4,"32,557","13,607","4,271","5,122","9,556",41.80%,,,,,,
2010 Q1,"32,886","13,566","4,286","5,550","9,484",41.30%,,,,,,
2010 Q2,"30,645","12,102","3,851","5,712","8,981",39.50%,,,,,,
2010 Q3,"30,521","11,983","3,792","5,954","8,793",39.30%,,,,,,
2010 Q4,"30,570","12,183","3,904","5,921","8,562",39.90%,,,,,,
2011 Q1,"29,746","11,619","3,711","6,431","7,985",39.10%,,,,,,
2011 Q2,"28,005","10,693","3,407","6,385","7,520",38.20%,,,,,,
2011 Q3,"27,465","10,666","3,372","6,043","7,384",38.80%,,,,,,
2011 Q4,"26,977","10,386","3,377","6,213","7,001",38.50%,,,,,,
2012 Q1,"27,098","10,502","3,383","6,597","6,616",38.80%,,,,,,
2012 Q2,"25,802","9,923","3,159","6,470","6,250",38.50%,,,,,,
2012 Q3,"25,158","9,678","3,089","6,446","5,945",38.50%,,,,,,
2012 Q4,"25,009","9,625","3,081","6,725","5,578",38.50%,,,,,,
2013 Q1,"25,151","9,753","3,059","6,714","5,625",38.80%,,,,,,
2013 Q2,"23,446","9,078","2,698","6,432","5,239",38.70%,,,,,,
2013 Q3,"22,397","8,537","2,663","6,419","4,778",38.10%,,,,,,
2013 Q4,"22,180","8,278","2,779","6,549","4,574",37.30%,,,,,,
2014 Q1,"21,349","7,914","2,674","6,427","4,333",37.10%,,,,,,
2014 Q2,"20,631","7,880","2,541","6,246","3,964",38.20%,,,,,,
2014 Q3,"20,290","7,787","2,507","6,202","3,793",38.40%,,,,,,
2014 Q4,"19,959","7,678","2,433","6,200","3,648",38.50%,,,,,,
2015 Q1,"19,866","7,605","2,368","6,288","3,605",38.30%,,,,,,
2015 Q2,"18,292","7,026","2,155","5,881","3,230",38.40%,,,,,,
2015 Q3,"18,030","6,961","2,115","5,648","3,306",38.60%,,,,,,
2015 Q4,"17,696","6,797","2,099","5,538","3,263",38.40%,,,,,,
2016 Q1,"17,396","6,705","2,066","5,376","3,249",38.50%,,,,,,
2016 Q2,"16,377","6,327","1,910","5,077","3,063",38.60%,,,,,,
2016 Q3,"15,737","6,119","1,742","4,873","3,003",38.90%,,,,,,
2016 Q4,"15,334","6,043","1,504","4,825","2,962",39.40%,,,,,,
2017 Q1,"14,853","5,954","1,310","4,592","2,997",40.10%,,,,,,
2017 Q2,"13,269","5,306","1,070","4,297","2,595",40.00%,,,,,,
2017 Q3,"12,843","5,193","1,091","4,040","2,519",40.40%,,,,,,
2017 Q4,"12,633","5,496","1,012","3,985","2,140",43.50%,,,,,,
2018 Q1,"12,309","5,446",944,"3,841","2,078",44.20%,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 4: Summary of call revenues by call type (£millions),,,,,,,,,,,,
,,,,,,,,,,,,
,All calls,UK geographic calls,International calls,Calls to mobiles,Other calls1,,,,,,,
,,,,,,,,,,,,
2007,"5,260","1,433",637,"1,748","1,442",,,,,,,
2008,"4,921","1,357",603,"1,685","1,277",,,,,,,
2009,"4,562","1,283",489,"1,592","1,198",,,,,,,
2010,"4,287","1,246",446,"1,460","1,134",,,,,,,
2011,"3,676","1,092",380,"1,230",974,,,,,,,
2012,"3,238",998,330,"1,032",878,,,,,,,
2013,"2,955",910,272,897,876,,,,,,,
2014,"2,637",779,235,763,859,,,,,,,
2015,"2,372",685,215,662,810,,,,,,,
2016,"2,163",625,187,529,821,,,,,,,
2017,"1,914",551,157,441,766,,,,,,,
,,,,,,,,,,,,
2007 Q1,"1,368",376,161,437,395,,,,,,,
2007 Q2,"1,301",350,158,429,364,,,,,,,
2007 Q3,"1,295",352,160,439,344,,,,,,,
2007 Q4,"1,296",355,158,443,340,,,,,,,
2008 Q1,"1,254",339,156,429,329,,,,,,,
2008 Q2,"1,257",349,157,430,322,,,,,,,
2008 Q3,"1,214",339,148,420,308,,,,,,,
2008 Q4,"1,196",331,142,405,317,,,,,,,
2009 Q1,"1,137",324,132,397,284,,,,,,,
2009 Q2,"1,146",315,124,400,308,,,,,,,
2009 Q3,"1,117",310,117,395,295,,,,,,,
2009 Q4,"1,162",335,116,401,311,,,,,,,
2010 Q1,"1,107",323,116,381,286,,,,,,,
2010 Q2,"1,076",304,112,368,293,,,,,,,
2010 Q3,"1,055",300,110,360,286,,,,,,,
2010 Q4,"1,049",319,108,352,270,,,,,,,
2011 Q1,986,291,102,331,261,,,,,,,
2011 Q2,922,271,96,312,243,,,,,,,
2011 Q3,903,269,92,301,240,,,,,,,
2011 Q4,865,261,90,285,230,,,,,,,
2012 Q1,837,255,87,273,223,,,,,,,
2012 Q2,814,247,83,261,222,,,,,,,
2012 Q3,806,250,82,255,219,,,,,,,
2012 Q4,782,246,78,243,214,,,,,,,
2013 Q1,769,247,71,230,221,,,,,,,
2013 Q2,743,226,69,227,221,,,,,,,
2013 Q3,730,221,67,225,217,,,,,,,
2013 Q4,713,216,65,215,218,,,,,,,
2014 Q1,686,207,61,203,215,,,,,,,
2014 Q2,659,193,59,189,218,,,,,,,
2014 Q3,655,190,59,191,216,,,,,,,
2014 Q4,637,189,57,181,210,,,,,,,
2015 Q1,613,182,55,173,202,,,,,,,
2015 Q2,583,167,53,165,198,,,,,,,
2015 Q3,595,166,53,167,209,,,,,,,
2015 Q4,581,171,53,157,200,,,,,,,
2016 Q1,557,165,51,140,201,,,,,,,
2016 Q2,539,154,47,134,203,,,,,,,
2016 Q3,541,154,45,131,210,,,,,,,
2016 Q4,526,153,44,123,206,,,,,,,
2017 Q1,504,151,44,118,191,,,,,,,
2017 Q2,482,137,39,112,194,,,,,,,
2017 Q3,473,134,37,107,196,,,,,,,
2017 Q4,455,129,36,104,185,,,,,,,
2018 Q1,450,129,34,101,186,,,,,,,
,,,,,,,,,,,,
"Excludes VAT; 1 Includes freephone, special services, premium rate, directory enquiries and all other call",,,,,,,,,,,,
types; Figures are not intended to include subscription revenues for internet access although some,,,,,,,,,,,,
element may remain;  2Includes EE from 2017 Q4.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 5: Summary of call volumes by call type (millions of minutes),,,,,,,,,,,,
,,,,,,,,,,,,
,All Operators,BT2,Virgin Media,Other Direct Access,Other Indirect Access,BT share2,,,,,,
,,,,,,,,,,,,
UK geographic calls,,,,,,,,,,,,
2007,"97,013","46,133","14,434","8,805","27,641",47.60%,,,,,,
2008,"91,892","41,345","13,732","10,901","25,914",45.00%,,,,,,
2009,"85,178","36,503","12,646","12,040","23,989",42.90%,,,,,,
2010,"82,846","33,102","11,648","15,376","22,720",40.00%,,,,,,
2011,"74,964","29,302","10,208","16,856","18,598",39.10%,,,,,,
2012,"69,093","27,162","9,387","16,871","15,672",39.30%,,,,,,
2013,"61,519","23,711","8,145","16,196","13,467",38.50%,,,,,,
2014,"54,590","21,165","7,539","15,318","10,568",38.80%,,,,,,
2015,"48,405","19,131","6,651","13,696","8,927",39.50%,,,,,,
2016,"41,927","16,978","5,574","11,637","7,738",40.50%,,,,,,
2017,"34,692","14,914","3,338","10,144","6,296",43.00%,,,,,,
,,,,,,,,,,,,
2007 Q1,"25,927","12,521","3,847","1,953","7,606",48.30%,,,,,,
2007 Q2,"24,159","11,559","3,550","2,292","6,758",47.80%,,,,,,
2007 Q3,"23,421","11,170","3,413","2,287","6,550",47.70%,,,,,,
2007 Q4,"23,506","10,883","3,624","2,272","6,727",46.30%,,,,,,
2008 Q1,"23,927","11,009","3,644","2,286","6,988",46.00%,,,,,,
2008 Q2,"22,844","10,324","3,400","2,928","6,192",45.20%,,,,,,
2008 Q3,"22,589","10,014","3,288","2,852","6,435",44.30%,,,,,,
2008 Q4,"22,532","9,998","3,400","2,835","6,299",44.40%,,,,,,
2009 Q1,"22,504","9,903","3,390","2,939","6,273",44.00%,,,,,,
2009 Q2,"20,652","8,885","3,059","2,849","5,859",43.00%,,,,,,
2009 Q3,"20,343","8,738","3,049","2,830","5,725",43.00%,,,,,,
2009 Q4,"21,679","8,977","3,148","3,423","6,132",41.40%,,,,,,
2010 Q1,"22,033","9,018","3,183","3,736","6,095",40.90%,,,,,,
2010 Q2,"20,017","7,925","2,808","3,578","5,706",39.60%,,,,,,
2010 Q3,"20,161","7,828","2,747","4,002","5,584",38.80%,,,,,,
2010 Q4,"20,636","8,331","2,910","4,060","5,335",40.40%,,,,,,
2011 Q1,"19,878","7,864","2,748","4,291","4,975",39.60%,,,,,,
2011 Q2,"18,555","7,185","2,494","4,175","4,701",38.70%,,,,,,
2011 Q3,"18,383","7,155","2,461","4,205","4,563",38.90%,,,,,,
2011 Q4,"18,147","7,098","2,505","4,185","4,359",39.10%,,,,,,
2012 Q1,"18,226","7,245","2,505","4,276","4,200",39.80%,,,,,,
2012 Q2,"17,282","6,746","2,321","4,232","3,983",39.00%,,,,,,
2012 Q3,"16,852","6,564","2,268","4,186","3,834",38.90%,,,,,,
2012 Q4,"16,732","6,607","2,293","4,176","3,655",39.50%,,,,,,
2013 Q1,"16,722","6,519","2,289","4,181","3,734",39.00%,,,,,,
2013 Q2,"15,398","6,013","1,943","3,976","3,466",39.10%,,,,,,
2013 Q3,"14,635","5,580","1,862","4,007","3,186",38.10%,,,,,,
2013 Q4,"14,764","5,599","2,051","4,032","3,081",37.90%,,,,,,
2014 Q1,"14,199","5,346","1,975","3,962","2,916",37.70%,,,,,,
2014 Q2,"13,733","5,340","1,875","3,842","2,676",38.90%,,,,,,
2014 Q3,"13,405","5,242","1,857","3,772","2,534",39.10%,,,,,,
2014 Q4,"13,253","5,237","1,832","3,743","2,442",39.50%,,,,,,
2015 Q1,"12,980","5,155","1,788","3,645","2,392",39.70%,,,,,,
2015 Q2,"12,017","4,708","1,632","3,459","2,217",39.20%,,,,,,
2015 Q3,"11,735","4,631","1,607","3,328","2,169",39.50%,,,,,,
2015 Q4,"11,674","4,637","1,624","3,264","2,149",39.70%,,,,,,
2016 Q1,"11,373","4,562","1,599","3,115","2,098",40.10%,,,,,,
2016 Q2,"10,575","4,259","1,479","2,899","1,937",40.30%,,,,,,
2016 Q3,"10,033","4,082","1,341","2,786","1,824",40.70%,,,,,,
2016 Q4,"9,946","4,075","1,155","2,837","1,879",41.00%,,,,,,
2017 Q1,"9,576","4,017",994,"2,770","1,795",41.90%,,,,,,
2017 Q2,"8,591","3,630",801,"2,533","1,627",42.30%,,,,,,
2017 Q3,"8,267","3,513",800,"2,427","1,527",42.50%,,,,,,
2017 Q4,"8,258","3,754",743,"2,414","1,347",45.50%,,,,,,
2018 Q1,"8,054","3,714",686,"2,351","1,303",46.10%,,,,,,
,,,,,,,,,,,,
International calls,,,,,,,,,,,,
2007,"6,884","1,832",363,"1,752","2,937",26.60%,,,,,,
2008,"7,084","1,852",366,"2,061","2,804",26.10%,,,,,,
