LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC003718,Std,20/10/2012 12:30:00,0.278,ACORN-A,Affluent
MAC003718,Std,20/10/2012 13:00:00,0.206,ACORN-A,Affluent
MAC003718,Std,20/10/2012 13:30:00,0.209,ACORN-A,Affluent
MAC003718,Std,20/10/2012 14:00:00,0.226,ACORN-A,Affluent
MAC003718,Std,20/10/2012 14:30:00,0.236,ACORN-A,Affluent
MAC003718,Std,20/10/2012 15:00:00,0.191,ACORN-A,Affluent
MAC003718,Std,20/10/2012 15:30:00,0.136,ACORN-A,Affluent
MAC003718,Std,20/10/2012 16:00:00,0.177,ACORN-A,Affluent
MAC003718,Std,20/10/2012 16:30:00,0.174,ACORN-A,Affluent
MAC003718,Std,20/10/2012 17:00:00,0.203,ACORN-A,Affluent
MAC003718,Std,20/10/2012 17:30:00,0.168,ACORN-A,Affluent
MAC003718,Std,20/10/2012 18:00:00,0.418,ACORN-A,Affluent
MAC003718,Std,20/10/2012 18:30:00,0.518,ACORN-A,Affluent
MAC003718,Std,20/10/2012 19:00:00,0.399,ACORN-A,Affluent
MAC003718,Std,20/10/2012 19:30:00,0.451,ACORN-A,Affluent
MAC003718,Std,20/10/2012 20:00:00,0.378,ACORN-A,Affluent
MAC003718,Std,20/10/2012 20:30:00,0.368,ACORN-A,Affluent
MAC003718,Std,20/10/2012 21:00:00,0.466,ACORN-A,Affluent
MAC003718,Std,20/10/2012 21:30:00,0.435,ACORN-A,Affluent
MAC003718,Std,20/10/2012 22:00:00,0.586,ACORN-A,Affluent
MAC003718,Std,20/10/2012 22:30:00,0.636,ACORN-A,Affluent
MAC003718,Std,20/10/2012 23:00:00,0.716,ACORN-A,Affluent
MAC003718,Std,20/10/2012 23:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,21/10/2012 00:00:00,0.104,ACORN-A,Affluent
MAC003718,Std,21/10/2012 00:30:00,0.13,ACORN-A,Affluent
MAC003718,Std,21/10/2012 01:00:00,0.131,ACORN-A,Affluent
MAC003718,Std,21/10/2012 01:30:00,0.129,ACORN-A,Affluent
MAC003718,Std,21/10/2012 02:00:00,0.143,ACORN-A,Affluent
MAC003718,Std,21/10/2012 02:30:00,0.136,ACORN-A,Affluent
MAC003718,Std,21/10/2012 03:00:00,0.078,ACORN-A,Affluent
MAC003718,Std,21/10/2012 03:30:00,0.096,ACORN-A,Affluent
MAC003718,Std,21/10/2012 04:00:00,0.098,ACORN-A,Affluent
MAC003718,Std,21/10/2012 04:30:00,0.075,ACORN-A,Affluent
MAC003718,Std,21/10/2012 05:00:00,0.092,ACORN-A,Affluent
MAC003718,Std,21/10/2012 05:30:00,0.1,ACORN-A,Affluent
MAC003718,Std,21/10/2012 06:00:00,0.122,ACORN-A,Affluent
MAC003718,Std,21/10/2012 06:30:00,0.166,ACORN-A,Affluent
MAC003718,Std,21/10/2012 07:00:00,0.191,ACORN-A,Affluent
MAC003718,Std,21/10/2012 07:30:00,0.436,ACORN-A,Affluent
MAC003718,Std,21/10/2012 08:00:00,0.347,ACORN-A,Affluent
MAC003718,Std,21/10/2012 08:30:00,0.443,ACORN-A,Affluent
MAC003718,Std,21/10/2012 09:00:00,0.47,ACORN-A,Affluent
MAC003718,Std,21/10/2012 09:30:00,0.169,ACORN-A,Affluent
MAC003718,Std,21/10/2012 10:00:00,0.138,ACORN-A,Affluent
MAC003718,Std,21/10/2012 10:30:00,0.13,ACORN-A,Affluent
MAC003718,Std,21/10/2012 11:00:00,0.134,ACORN-A,Affluent
MAC003718,Std,21/10/2012 11:30:00,0.134,ACORN-A,Affluent
MAC003718,Std,21/10/2012 12:00:00,0.126,ACORN-A,Affluent
MAC003718,Std,21/10/2012 12:30:00,0.139,ACORN-A,Affluent
MAC003718,Std,21/10/2012 13:00:00,0.124,ACORN-A,Affluent
MAC003718,Std,21/10/2012 13:30:00,0.193,ACORN-A,Affluent
MAC003718,Std,21/10/2012 14:00:00,0.22,ACORN-A,Affluent
MAC003718,Std,21/10/2012 14:30:00,0.438,ACORN-A,Affluent
MAC003718,Std,21/10/2012 15:00:00,0.272,ACORN-A,Affluent
MAC003718,Std,21/10/2012 15:30:00,0.183,ACORN-A,Affluent
MAC003718,Std,21/10/2012 16:00:00,0.389,ACORN-A,Affluent
MAC003718,Std,21/10/2012 16:30:00,0.254,ACORN-A,Affluent
MAC003718,Std,21/10/2012 17:00:00,0.394,ACORN-A,Affluent
MAC003718,Std,21/10/2012 17:30:00,0.481,ACORN-A,Affluent
MAC003718,Std,21/10/2012 18:00:00,0.62,ACORN-A,Affluent
MAC003718,Std,21/10/2012 18:30:00,0.736,ACORN-A,Affluent
MAC003718,Std,21/10/2012 19:00:00,0.591,ACORN-A,Affluent
MAC003718,Std,21/10/2012 19:30:00,0.596,ACORN-A,Affluent
MAC003718,Std,21/10/2012 20:00:00,0.449,ACORN-A,Affluent
MAC003718,Std,21/10/2012 20:30:00,0.236,ACORN-A,Affluent
MAC003718,Std,21/10/2012 21:00:00,0.25,ACORN-A,Affluent
MAC003718,Std,21/10/2012 21:30:00,0.536,ACORN-A,Affluent
MAC003718,Std,21/10/2012 22:00:00,0.494,ACORN-A,Affluent
MAC003718,Std,21/10/2012 22:30:00,0.816,ACORN-A,Affluent
MAC003718,Std,21/10/2012 23:00:00,0.139,ACORN-A,Affluent
MAC003718,Std,21/10/2012 23:30:00,0.358,ACORN-A,Affluent
MAC003718,Std,22/10/2012 00:00:00,0.358,ACORN-A,Affluent
MAC003718,Std,22/10/2012 00:30:00,0.073,ACORN-A,Affluent
MAC003718,Std,22/10/2012 01:00:00,0.109,ACORN-A,Affluent
MAC003718,Std,22/10/2012 01:30:00,0.127,ACORN-A,Affluent
MAC003718,Std,22/10/2012 02:00:00,0.122,ACORN-A,Affluent
MAC003718,Std,22/10/2012 02:30:00,0.132,ACORN-A,Affluent
MAC003718,Std,22/10/2012 03:00:00,0.09,ACORN-A,Affluent
MAC003718,Std,22/10/2012 03:30:00,0.1,ACORN-A,Affluent
MAC003718,Std,22/10/2012 04:00:00,0.071,ACORN-A,Affluent
MAC003718,Std,22/10/2012 04:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,22/10/2012 05:00:00,0.096,ACORN-A,Affluent
MAC003718,Std,22/10/2012 05:30:00,0.359,ACORN-A,Affluent
MAC003718,Std,22/10/2012 06:00:00,0.147,ACORN-A,Affluent
MAC003718,Std,22/10/2012 06:30:00,0.265,ACORN-A,Affluent
MAC003718,Std,22/10/2012 07:00:00,0.254,ACORN-A,Affluent
MAC003718,Std,22/10/2012 07:30:00,0.185,ACORN-A,Affluent
MAC003718,Std,22/10/2012 08:00:00,0.179,ACORN-A,Affluent
MAC003718,Std,22/10/2012 08:30:00,0.176,ACORN-A,Affluent
MAC003718,Std,22/10/2012 09:00:00,0.153,ACORN-A,Affluent
MAC003718,Std,22/10/2012 09:30:00,0.175,ACORN-A,Affluent
MAC003718,Std,22/10/2012 10:00:00,0.193,ACORN-A,Affluent
MAC003718,Std,22/10/2012 10:30:00,0.598,ACORN-A,Affluent
MAC003718,Std,22/10/2012 11:00:00,0.191,ACORN-A,Affluent
MAC003718,Std,22/10/2012 11:30:00,0.243,ACORN-A,Affluent
MAC003718,Std,22/10/2012 12:00:00,0.148,ACORN-A,Affluent
MAC003718,Std,22/10/2012 12:30:00,0.198,ACORN-A,Affluent
MAC003718,Std,22/10/2012 13:00:00,0.293,ACORN-A,Affluent
MAC003718,Std,22/10/2012 13:30:00,0.214,ACORN-A,Affluent
MAC003718,Std,22/10/2012 14:00:00,0.409,ACORN-A,Affluent
MAC003718,Std,22/10/2012 14:30:00,0.615,ACORN-A,Affluent
MAC003718,Std,22/10/2012 15:00:00,0.575,ACORN-A,Affluent
MAC003718,Std,22/10/2012 15:30:00,0.362,ACORN-A,Affluent
MAC003718,Std,22/10/2012 16:00:00,0.149,ACORN-A,Affluent
MAC003718,Std,22/10/2012 16:30:00,0.185,ACORN-A,Affluent
MAC003718,Std,22/10/2012 17:00:00,0.185,ACORN-A,Affluent
MAC003718,Std,22/10/2012 17:30:00,0.209,ACORN-A,Affluent
MAC003718,Std,22/10/2012 18:00:00,0.346,ACORN-A,Affluent
MAC003718,Std,22/10/2012 18:30:00,0.482,ACORN-A,Affluent
MAC003718,Std,22/10/2012 19:00:00,0.718,ACORN-A,Affluent
MAC003718,Std,22/10/2012 19:30:00,0.313,ACORN-A,Affluent
MAC003718,Std,22/10/2012 20:00:00,0.476,ACORN-A,Affluent
MAC003718,Std,22/10/2012 20:30:00,0.557,ACORN-A,Affluent
MAC003718,Std,22/10/2012 21:00:00,0.321,ACORN-A,Affluent
MAC003718,Std,22/10/2012 21:30:00,0.388,ACORN-A,Affluent
MAC003718,Std,22/10/2012 22:00:00,0.976,ACORN-A,Affluent
MAC003718,Std,22/10/2012 22:30:00,0.412,ACORN-A,Affluent
MAC003718,Std,22/10/2012 23:00:00,0.587,ACORN-A,Affluent
MAC003718,Std,22/10/2012 23:30:00,0.076,ACORN-A,Affluent
MAC003718,Std,23/10/2012 00:00:00,0.102,ACORN-A,Affluent
MAC003718,Std,23/10/2012 00:30:00,0.077,ACORN-A,Affluent
MAC003718,Std,23/10/2012 01:00:00,0.138,ACORN-A,Affluent
MAC003718,Std,23/10/2012 01:30:00,0.123,ACORN-A,Affluent
MAC003718,Std,23/10/2012 02:00:00,0.121,ACORN-A,Affluent
MAC003718,Std,23/10/2012 02:30:00,0.122,ACORN-A,Affluent
MAC003718,Std,23/10/2012 03:00:00,0.071,ACORN-A,Affluent
MAC003718,Std,23/10/2012 03:30:00,0.103,ACORN-A,Affluent
MAC003718,Std,23/10/2012 04:00:00,0.071,ACORN-A,Affluent
MAC003718,Std,23/10/2012 04:30:00,0.101,ACORN-A,Affluent
MAC003718,Std,23/10/2012 05:00:00,0.07,ACORN-A,Affluent
MAC003718,Std,23/10/2012 05:30:00,0.105,ACORN-A,Affluent
MAC003718,Std,23/10/2012 06:00:00,0.284,ACORN-A,Affluent
MAC003718,Std,23/10/2012 06:30:00,0.376,ACORN-A,Affluent
MAC003718,Std,23/10/2012 07:00:00,0.22,ACORN-A,Affluent
MAC003718,Std,23/10/2012 07:30:00,0.17,ACORN-A,Affluent
MAC003718,Std,23/10/2012 08:00:00,0.191,ACORN-A,Affluent
MAC003718,Std,23/10/2012 08:30:00,0.149,ACORN-A,Affluent
MAC003718,Std,23/10/2012 09:00:00,0.169,ACORN-A,Affluent
MAC003718,Std,23/10/2012 09:30:00,0.164,ACORN-A,Affluent
MAC003718,Std,23/10/2012 10:00:00,0.17,ACORN-A,Affluent
MAC003718,Std,23/10/2012 10:30:00,0.15,ACORN-A,Affluent
MAC003718,Std,23/10/2012 11:00:00,0.176,ACORN-A,Affluent
MAC003718,Std,23/10/2012 11:30:00,0.144,ACORN-A,Affluent
MAC003718,Std,23/10/2012 12:00:00,0.163,ACORN-A,Affluent
MAC003718,Std,23/10/2012 12:30:00,0.158,ACORN-A,Affluent
MAC003718,Std,23/10/2012 13:00:00,0.259,ACORN-A,Affluent
MAC003718,Std,23/10/2012 13:30:00,0.249,ACORN-A,Affluent
MAC003718,Std,23/10/2012 14:00:00,0.661,ACORN-A,Affluent
MAC003718,Std,23/10/2012 14:30:00,0.302,ACORN-A,Affluent
MAC003718,Std,23/10/2012 15:00:00,0.163,ACORN-A,Affluent
MAC003718,Std,23/10/2012 15:30:00,0.177,ACORN-A,Affluent
MAC003718,Std,23/10/2012 16:00:00,0.145,ACORN-A,Affluent
MAC003718,Std,23/10/2012 16:30:00,0.152,ACORN-A,Affluent
MAC003718,Std,23/10/2012 17:00:00,0.294,ACORN-A,Affluent
MAC003718,Std,23/10/2012 17:30:00,0.619,ACORN-A,Affluent
MAC003718,Std,23/10/2012 18:00:00,0.205,ACORN-A,Affluent
MAC003718,Std,23/10/2012 18:30:00,0.443,ACORN-A,Affluent
MAC003718,Std,23/10/2012 19:00:00,0.707,ACORN-A,Affluent
MAC003718,Std,23/10/2012 19:30:00,0.54,ACORN-A,Affluent
MAC003718,Std,23/10/2012 20:00:00,0.484,ACORN-A,Affluent
MAC003718,Std,23/10/2012 20:30:00,0.655,ACORN-A,Affluent
MAC003718,Std,23/10/2012 21:00:00,0.389,ACORN-A,Affluent
MAC003718,Std,23/10/2012 21:30:00,0.295,ACORN-A,Affluent
MAC003718,Std,23/10/2012 22:00:00,0.235,ACORN-A,Affluent
MAC003718,Std,23/10/2012 22:30:00,0.795,ACORN-A,Affluent
MAC003718,Std,23/10/2012 23:00:00,0.163,ACORN-A,Affluent
MAC003718,Std,23/10/2012 23:30:00,0.753,ACORN-A,Affluent
MAC003718,Std,24/10/2012 00:00:00,0.159,ACORN-A,Affluent
MAC003718,Std,24/10/2012 00:30:00,0.181,ACORN-A,Affluent
MAC003718,Std,24/10/2012 01:00:00,0.138,ACORN-A,Affluent
MAC003718,Std,24/10/2012 01:30:00,0.134,ACORN-A,Affluent
MAC003718,Std,24/10/2012 02:00:00,0.136,ACORN-A,Affluent
MAC003718,Std,24/10/2012 02:30:00,0.126,ACORN-A,Affluent
MAC003718,Std,24/10/2012 03:00:00,0.11,ACORN-A,Affluent
MAC003718,Std,24/10/2012 03:30:00,0.069,ACORN-A,Affluent
MAC003718,Std,24/10/2012 04:00:00,0.101,ACORN-A,Affluent
MAC003718,Std,24/10/2012 04:30:00,0.068,ACORN-A,Affluent
MAC003718,Std,24/10/2012 05:00:00,0.12,ACORN-A,Affluent
MAC003718,Std,24/10/2012 05:30:00,0.124,ACORN-A,Affluent
MAC003718,Std,24/10/2012 06:00:00,0.423,ACORN-A,Affluent
MAC003718,Std,24/10/2012 06:30:00,0.376,ACORN-A,Affluent
MAC003718,Std,24/10/2012 07:00:00,0.361,ACORN-A,Affluent
MAC003718,Std,24/10/2012 07:30:00,0.14,ACORN-A,Affluent
MAC003718,Std,24/10/2012 08:00:00,0.164,ACORN-A,Affluent
MAC003718,Std,24/10/2012 08:30:00,0.148,ACORN-A,Affluent
MAC003718,Std,24/10/2012 09:00:00,0.155,ACORN-A,Affluent
MAC003718,Std,24/10/2012 09:30:00,0.257,ACORN-A,Affluent
MAC003718,Std,24/10/2012 10:00:00,0.133,ACORN-A,Affluent
MAC003718,Std,24/10/2012 10:30:00,0.623,ACORN-A,Affluent
MAC003718,Std,24/10/2012 11:00:00,0.189,ACORN-A,Affluent
MAC003718,Std,24/10/2012 11:30:00,0.241,ACORN-A,Affluent
MAC003718,Std,24/10/2012 12:00:00,0.16,ACORN-A,Affluent
MAC003718,Std,24/10/2012 12:30:00,0.2,ACORN-A,Affluent
MAC003718,Std,24/10/2012 13:00:00,0.148,ACORN-A,Affluent
MAC003718,Std,24/10/2012 13:30:00,0.16,ACORN-A,Affluent
MAC003718,Std,24/10/2012 14:00:00,0.13,ACORN-A,Affluent
MAC003718,Std,24/10/2012 14:30:00,0.16,ACORN-A,Affluent
MAC003718,Std,24/10/2012 15:00:00,0.117,ACORN-A,Affluent
MAC003718,Std,24/10/2012 15:30:00,0.139,ACORN-A,Affluent
MAC003718,Std,24/10/2012 16:00:00,0.146,ACORN-A,Affluent
MAC003718,Std,24/10/2012 16:30:00,0.146,ACORN-A,Affluent
MAC003718,Std,24/10/2012 17:00:00,0.243,ACORN-A,Affluent
MAC003718,Std,24/10/2012 17:30:00,0.289,ACORN-A,Affluent
MAC003718,Std,24/10/2012 18:00:00,0.477,ACORN-A,Affluent
MAC003718,Std,24/10/2012 18:30:00,0.435,ACORN-A,Affluent
MAC003718,Std,24/10/2012 19:00:00,0.462,ACORN-A,Affluent
MAC003718,Std,24/10/2012 19:30:00,0.272,ACORN-A,Affluent
MAC003718,Std,24/10/2012 20:00:00,0.228,ACORN-A,Affluent
MAC003718,Std,24/10/2012 20:30:00,0.445,ACORN-A,Affluent
MAC003718,Std,24/10/2012 21:00:00,0.372,ACORN-A,Affluent
MAC003718,Std,24/10/2012 21:30:00,0.362,ACORN-A,Affluent
MAC003718,Std,24/10/2012 22:00:00,0.68,ACORN-A,Affluent
MAC003718,Std,24/10/2012 22:30:00,0.739,ACORN-A,Affluent
MAC003718,Std,24/10/2012 23:00:00,0.158,ACORN-A,Affluent
MAC003718,Std,24/10/2012 23:30:00,0.133,ACORN-A,Affluent
MAC003718,Std,25/10/2012 00:00:00,0.129,ACORN-A,Affluent
MAC003718,Std,25/10/2012 00:30:00,0.142,ACORN-A,Affluent
MAC003718,Std,25/10/2012 01:00:00,0.119,ACORN-A,Affluent
MAC003718,Std,25/10/2012 01:30:00,0.151,ACORN-A,Affluent
MAC003718,Std,25/10/2012 02:00:00,0.12,ACORN-A,Affluent
MAC003718,Std,25/10/2012 02:30:00,0.182,ACORN-A,Affluent
MAC003718,Std,25/10/2012 03:00:00,0.163,ACORN-A,Affluent
