Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Location
Bistrian Gravel Corp,225 Spring Fireplace Rd.,,East Hampton,NY,11937,Suffolk,1,6313241123,Fireplace Development Corp,Private,C&D processing - permit,[52W18],Yes,737802,4540854,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Concrete;Soil (Clean);Rock,Permit,?1-4724-00001/00006,2016-12-22T00:00:00,2021-12-21T00:00:00,"{'human_address': '{""address"":""225 Spring Fireplace Rd."",""city"":""East Hampton"",""state"":""NY"",""zip"":""11937""}', 'latitude': '40.987238', 'longitude': '-72.172587', 'needs_recoding': False}"
Brookhaven Waste Management Facility,350 Horseblock Road,,Yaphank,NY,11719,Suffolk,1,6312868551,Town of Brookhaven,Municipal,C&D processing - permit,[52W145],Yes,674600,4518600,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,Permit,?1-4722-05666/00001,2014-10-22T00:00:00,2019-10-15T00:00:00,
Crown Recycling Facility,865 Youngs Ave.,,Riverhead,NY,11901,Suffolk,1,6317273939,Crown Sanitation,Private,C&D processing - permit,[52W01],Yes,691762,4535050,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Wood (Unadulterated);Paper / Cardboard,Permit,?1-4730-00371/00001,2012-09-07T00:00:00,2017-09-06T00:00:00,"{'human_address': '{""address"":""865 Youngs Ave."",""city"":""Riverhead"",""state"":""NY"",""zip"":""11901""}', 'latitude': '41.065117', 'longitude': '-72.426469', 'needs_recoding': False}"
Emil Norsic & Son Inc,42 Sandy Hollow Road,,Southampton,NY,11968,Suffolk,1,6312830604,Emil J. Norsic Jr.,Private,C&D processing - permit,[52W113],Yes,718132,4530918,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Metals (Ferrous);Metals (Non-Ferrous),Permit,?1-4736-05994/00001,2017-08-28T00:00:00,2022-08-27T00:00:00,"{'human_address': '{""address"":""42 Sandy Hollow Road"",""city"":""Southampton"",""state"":""NY"",""zip"":""11968""}', 'latitude': '40.901399', 'longitude': '-72.409261', 'needs_recoding': False}"
Great Northern Fibers Inc,77 Field Street,,West Babylon,NY,11704,Suffolk,1,6316437940,Great Northern Fibers LLC,Private,C&D processing - permit,[52T81],Yes,636198,4510434,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,Permit,?1-4720-00852/00002,2006-12-28T00:00:00,2011-12-27T00:00:00,"{'human_address': '{""address"":""77 Field Street"",""city"":""West Babylon"",""state"":""NY"",""zip"":""11704""}', 'latitude': '40.732494', 'longitude': '-73.387605', 'needs_recoding': False}"
Jet Paper Stock Corp TS,228 Blydenburgh Road,,Islandia,NY,11749,Suffolk,1,6312347100,Patricia DiMatteo,Private,C&D processing - permit,[52M07],Yes,653272,4518747,,Construction & Demolition Debris,Permit,?1-4728-00720/00001,2008-03-14T00:00:00,2013-03-13T00:00:00,
National Waste Disposal Corp,9 Lincoln Ave,,Bayshore,NY,11706,Suffolk,1,6312420300,National Waste Disposal Corp,Private,C&D processing - permit,[52W57],Yes,644718,4514705,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,?1-4728-00937/00004,2013-10-31T00:00:00,2018-10-30T00:00:00,"{'human_address': '{""address"":""9 Lincoln Ave"",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.770402', 'longitude': '-73.285356', 'needs_recoding': False}"
Omni Recycling of Babylon Inc,114 Alder Street,,West Babylon,NY,11704,Suffolk,1,6316941694,Omni Recycling of Babylon Inc,Private,C&D processing - permit,[52M19],Yes,635466,4510228,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,?14720-00643/00002-0,,2001-04-14T00:00:00,"{'human_address': '{""address"":""114 Alder Street"",""city"":""West Babylon"",""state"":""NY"",""zip"":""11704""}', 'latitude': '40.731886', 'longitude': '-73.395643', 'needs_recoding': False}"
One World Recycling LLC,685 North Queens Avenue,,Lindenhurst,NY,11757,Suffolk,1,6318880600,One World Recycling; LLC,Private,C&D processing - permit,[52M37],Yes,637892,4507314,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Concrete;Emergency Authorization Waste (Storm Debris);Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous),Permit,?1-4720-01004/00006,2016-09-19T00:00:00,2021-09-18T00:00:00,"{'human_address': '{""address"":""685 North Queens Avenue"",""city"":""Lindenhurst"",""state"":""NY"",""zip"":""11757""}', 'latitude': '40.705213', 'longitude': '-73.367475', 'needs_recoding': False}"
Paragon Recycling & Transfer Corp,35 Dale Steet,,West Babylon,NY,11704,Suffolk,1,6312491639,Paragon Recycling & Transfer Corp,Private,C&D processing - permit,[52T46],Yes,635999,4510103,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Roofing Shingles;Wood (Unadulterated Pallets);Asphalt;Brick;Rock;Concrete;Paper / Cardboard;Plastics,Permit,?1-4720-00581/00002,2016-12-16T00:00:00,2021-12-15T00:00:00,
Paumanok Environmental,88 Old Dock Road,,Yaphank,NY,11980,Suffolk,1,6317755900,Stanley Lomangino,Private,C&D processing - permit,[52W151],Yes,673424,4519761,,Construction & Demolition Debris;Concrete;Paper / Cardboard;Emergency Authorization Waste (Storm Debris);Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous),Permit,?1-4722-05676-00001,2014-09-09T00:00:00,2019-09-08T00:00:00,"{'human_address': '{""address"":""88 Old Dock Road"",""city"":""Yaphank"",""state"":""NY"",""zip"":""11980""}', 'latitude': '40.811325', 'longitude': '-72.943821', 'needs_recoding': False}"
Peconic Recycling & Transfer Corp,560 Commerce Drive,,Cutchogue,NY,11935,Suffolk,1,,Anthony DiVello,Private,C&D processing - permit,[52T120],Yes,709500,4544700,,Construction & Demolition Debris,Permit,?1-4738-03697/00001,2016-08-18T00:00:00,2021-08-17T00:00:00,"{'human_address': '{""address"":""560 Commerce Drive"",""city"":""Cutchogue"",""state"":""NY"",""zip"":""11935""}', 'latitude': '41.025691', 'longitude': '-72.502491', 'needs_recoding': False}"
Posillico Materials,1610 New Highway,,Farmingdale,NY,11735,Suffolk,1,6312491872,Posillico Materials LLC,Private,C&D processing - permit,[52W189],Yes,633800,4511500,,Asphalt;Brick;Concrete;Rock;Soil (Clean),,?1-4720-00695/00009,2015-11-20T00:00:00,2020-11-19T00:00:00,"{'human_address': '{""address"":""1610 New Highway"",""city"":""Farmingdale"",""state"":""NY"",""zip"":""11735""}', 'latitude': '40.742558', 'longitude': '-73.413578', 'needs_recoding': False}"
Recycled Earth Products Inc,140 Old Northport Road,,Kings Park,NY,11754,Suffolk,1,6313684000,Toby Alan Carlson,Private,C&D processing - permit,[52W97],Yes,644600,4526700,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Rock;Brick;Soil (Clean);Asphalt;Other - Bank Run;Wood (Brush/ Branches/ Trees/ Stumps);Wood (Unadulterated);Wood (Chips);Emergency Authorization Waste (Storm Debris);Construction & Demolition Debris,Permit,?1-4734-00304/00005,2016-12-15T00:00:00,2021-12-15T00:00:00,"{'human_address': '{""address"":""140 Old Northport Road"",""city"":""Kings Park"",""state"":""NY"",""zip"":""11754""}', 'latitude': '40.879295', 'longitude': '-73.28509', 'needs_recoding': False}"
Organix Green Industries,2257 County Road 4 Box 142,,Seneca Castle,NY,14547,Ontario,8,5855265427,OGI; LLC,,Composting - source separated organic waste - registration,[35C07],Yes,328759,4743490,,,Registration,?,,,"{'human_address': '{""address"":""2257 County Road 4 Box 142"",""city"":""Seneca Castle"",""state"":""NY"",""zip"":""14547""}', 'latitude': '42.892811', 'longitude': '-77.10409', 'needs_recoding': False}"
Tate Street Realty LLC,442 Tate Street,,Holbrook,NY,11741,Suffolk,1,6315805800,Get Rid of It By Recycling Inc,Private,C&D processing - permit,[52T04],Yes,662494,4516156,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Concrete;Wood (Brush/ Branches/ Trees/ Stumps);Paper / Cardboard;Roofing Shingles;Soil (Clean);Metals (Ferrous);Metals (Non-Ferrous);Wood (Unadulterated),Permit,?1-4728-00943/00004,2013-01-23T00:00:00,2018-01-22T00:00:00,"{'human_address': '{""address"":""442 Tate Street"",""city"":""Holbrook"",""state"":""NY"",""zip"":""11741""}', 'latitude': '40.780506', 'longitude': '-73.074258', 'needs_recoding': False}"
Try Recycling Services LLC,135 South Second St.,,Bayshore,NY,11706,Suffolk,1,6315861165,Try Recycling Services LLC,Private,C&D processing - permit,[52W54],Yes,644373,4514368,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris,Permit,?1-4728-01451/00001,2017-07-01T00:00:00,2022-06-30T00:00:00,"{'human_address': '{""address"":""135 South Second St."",""city"":""Bayshore"",""state"":""NY"",""zip"":""11706""}', 'latitude': '40.767305', 'longitude': '-73.289231', 'needs_recoding': False}"
Waste Sorting Corp,2065 Pond Road,,Ronkonkoma,NY,11779,Suffolk,1,6319811332,Kenneth Goetz,Private,C&D processing - permit,[52W66],Yes,658846,4517530,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Paper / Cardboard;Wood (Unadulterated),Permit,?1-4728-00760/00002,2015-02-23T00:00:00,2020-02-22T00:00:00,"{'human_address': '{""address"":""2065 Pond Road"",""city"":""Ronkonkoma"",""state"":""NY"",""zip"":""11779""}', 'latitude': '40.793383', 'longitude': '-73.117694', 'needs_recoding': False}"
Winters Bros Waste Systems of LI LLC Excel TS,151 Peconic Ave.,,Medford,NY,11763,Suffolk,1,6312893335,Progressive Waste Solutions TS of LI; Inc,Private,C&D processing - permit,[52W08],Yes,669758,4520419,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Soil (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Rock;Construction & Demolition Debris,Permit,?1-4722-00996/00005,2016-10-13T00:00:00,2021-10-12T00:00:00,"{'human_address': '{""address"":""151 Peconic Ave."",""city"":""Medford"",""state"":""NY"",""zip"":""11763""}', 'latitude': '40.816413', 'longitude': '-72.98904', 'needs_recoding': False}"
Winters Brothers Waste Systems - 99 Nancy Babylon,99 Nancy Street,,West Babylon,NY,11704,Suffolk,1,6314915705,Winters Brothers Waste Systems of Long Island LLC,Private,C&D processing - permit,[52W09],Yes,637148,4511092,4.3 - Utilization of Digital Orthophoto Quads,Source Separated Recyclables (Metal/Glass/Paper/Plastic);Wood (Brush/ Branches/ Trees/ Stumps);Rock;Construction & Demolition Debris;Concrete;Brick;Soil (Clean),Permit,?1-4720-02209/00001,2015-08-31T00:00:00,2020-08-31T00:00:00,"{'human_address': '{""address"":""99 Nancy Street"",""city"":""West Babylon"",""state"":""NY"",""zip"":""11704""}', 'latitude': '40.73898', 'longitude': '-73.375967', 'needs_recoding': False}"
A J Recycling Inc (Roll-Tech),325 Faile Street,,Bronx,NY,10474,Bronx,2,7183287334,Andrew Bullaro,Private,C&D processing - permit,[03W41],Yes,594080,4517969,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Paper / Cardboard;Plastics;Wood (Unadulterated),Permit,?2-6007-00137/00001,2016-11-02T00:00:00,2021-11-01T00:00:00,"{'human_address': '{""address"":""325 Faile Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.807744', 'longitude': '-73.88472', 'needs_recoding': False}"
Ashpa Transfer LLC,1264 Viele Avenue,,Bronx,NY,10474,Bronx,2,7189917700,Jack Guttman,Private,C&D processing - permit,[03W35],Yes,593963,4517880,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Brick;Soil (Clean);Concrete;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics,Permit,?2-6007-00231/00001,2016-11-01T00:00:00,2021-04-07T00:00:00,"{'human_address': '{""address"":""1264 Viele Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.8066', 'longitude': '-73.885997', 'needs_recoding': False}"
JD Recycling,216 Manida Street,,Bronx,NY,10474,Bronx,2,7188016432,John Inzalaco,Private,C&D processing - permit,[03W73],Yes,594100,4517900,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Concrete;Metals (Non-Ferrous);Metals (Ferrous);Paper / Cardboard,Permit,?2-6007-00020/00004,2017-05-02T00:00:00,2022-05-01T00:00:00,"{'human_address': '{""address"":""216 Manida Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.805274', 'longitude': '-73.885983', 'needs_recoding': False}"
John Danna & Sons Inc,318 Bryant Avenue,,Bronx,NY,10474,Bronx,2,7185421774,Richard Danna,Private,C&D processing - permit,[03W18],Yes,575665,4491790,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics;Rock,Permit,?2-6007-00002/00002,2015-10-29T00:00:00,2020-10-28T00:00:00,"{'human_address': '{""address"":""318 Bryant Avenue"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.807459', 'longitude': '-73.883687', 'needs_recoding': False}"
Zevel Transfer LLC,620-630 Truxton Street,,Bronx,NY,10474,Bronx,2,7189917700,Jack Guttman,Private,C&D processing - permit,[03W24],Yes,593419,4518455,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Brick;Metal (Structural);Concrete,Permit,?2-6007-00070/00009,2018-03-28T00:00:00,2022-11-01T00:00:00,"{'human_address': '{""address"":""620-630 Truxton Street"",""city"":""Bronx"",""state"":""NY"",""zip"":""10474""}', 'latitude': '40.811895', 'longitude': '-73.892742', 'needs_recoding': False}"
ATLAS Roll-Off Corp,895 Essex Street,,Brooklyn,NY,11208,Kings,2,7183456451,John Polisnelli,Private,C&D processing - permit,[24W43],Yes,595181,4501718,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Metals (Non-Ferrous);Metals (Ferrous);Wood (Unadulterated),Permit,?2-6105-00095/00004,2016-03-18T00:00:00,2021-03-17T00:00:00,"{'human_address': '{""address"":""895 Essex Street"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11208""}', 'latitude': '40.662098', 'longitude': '-73.876022', 'needs_recoding': False}"
Brooklyn C&D LLC,548 Varick Avenue,,Brooklyn,NY,11222,Kings,2,7183497555,Brooklyn C&D LLC,Private,C&D processing - permit,[24W36],Yes,589800,4508700,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Metal (Structural);Concrete,Permit,?2-6101-00065/00005,2017-07-25T00:00:00,2022-06-26T00:00:00,"{'human_address': '{""address"":""548 Varick Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}', 'latitude': '40.725464', 'longitude': '-73.934937', 'needs_recoding': False}"
City Recycling Corp,151 Anthony Street,,Brooklyn,NY,11222,Kings,2,7185996573,Luciano and Gino Casagrande,Private,C&D processing - permit,[24W26],Yes,590173,4508759,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Rock,Permit,?2-6101-00005/00003,2016-06-13T00:00:00,2020-12-13T00:00:00,"{'human_address': '{""address"":""151 Anthony Street"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}', 'latitude': '40.724545', 'longitude': '-73.932453', 'needs_recoding': False}"
Cooper Recycling Corp,123 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7185335398,Adrienne Cooper,Private,C&D processing - permit,[24W89],Yes,590588,4507083,,Construction & Demolition Debris,Permit,?,2014-10-24T00:00:00,2019-10-23T00:00:00,"{'human_address': '{""address"":""123 Varick Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11237""}', 'latitude': '40.709944', 'longitude': '-73.928012', 'needs_recoding': False}"
Cooper Tank and Welding Corp,222 Maspeth Avenue,,Brooklyn,NY,11211,Kings,2,7183847727,Adrienne Cooper,Private,C&D processing - permit,[24W21],Yes,590100,4508000,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Plastics;Paper / Cardboard;Wood (Chips);Concrete,Permit,?2-6101-00061/00003,2015-10-29T00:00:00,2020-10-28T00:00:00,"{'human_address': '{""address"":""222 Maspeth Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11211""}', 'latitude': '40.717386', 'longitude': '-73.933983', 'needs_recoding': False}"
DeCostole Carting Inc,1481 Troy Avenue,,Brooklyn,NY,11203,Kings,2,7182416428,Decostole Carting Inc,Private,C&D processing - permit,[24W41],Yes,590117,4498926,,Construction & Demolition Debris;Metals (Non-Ferrous);Concrete,Consent Order,?,,,"{'human_address': '{""address"":""1481 Troy Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11203""}', 'latitude': '40.635989', 'longitude': '-73.934523', 'needs_recoding': False}"
Empire Recycling Services (Astoria Carting),538 Stewart Avenue,,Brooklyn,NY,11222,Kings,2,7183872077,Daniel M. Colasuonno,Private,C&D processing - permit,[24W74],Yes,589900,4508800,,Construction & Demolition Debris;Brick;Concrete;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics,Permit,?2-6101-00006/00002,2017-11-03T00:00:00,2022-11-02T00:00:00,"{'human_address': '{""address"":""538 Stewart Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11222""}', 'latitude': '40.725647', 'longitude': '-73.933253', 'needs_recoding': False}"
GADS Inc,594 Scholes Street,,Brooklyn,NY,11237,Kings,2,7184162190,Michael Allocco,Private,C&D processing - permit,[24WF7],Yes,590889,4507379,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Concrete;Paper / Cardboard;Plastics;Wood (Chips);Wood (Unadulterated),Permit,?2-6104-01347/00001,2015-11-30T00:00:00,2020-11-29T00:00:00,"{'human_address': '{""address"":""594 Scholes Street"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11237""}', 'latitude': '40.712371', 'longitude': '-73.924066', 'needs_recoding': False}"
Hi-Tech Resource Recovery Inc,130 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7183865750,Hi-Tech Resource Recovery Inc,Private,C&D processing - permit,[24W73],Yes,590549,4507134,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics,Permit,?2-6104-00012/00004,2016-05-05T00:00:00,2021-05-04T00:00:00,"{'human_address': '{""address"":""130 Varick Avenue"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""11237""}', 'latitude': '40.710731', 'longitude': '-73.928359', 'needs_recoding': False}"
