CUSTOMER_KEY,TRIAL_CUSTOMER_TYPE,CONTROL_GROUP_FLAG,TARIFF_PRODUCT_CD,FEEDBACK_TECH1_PRODUCT_CD,FEEDBACK_TECH2_PRODUCT_CD,LIFESTYLE_AUDIT_PRODUCT_CD,INFERRED_CELL,VERIFIED_CELL,SERVICE_TYPE,GENERAL_SUPPLY_CNT,CONTROLLED_LOAD_CNT,NET_SOLAR_CNT,GROSS_SOLAR_CNT,OTHER_LOAD_CNT,SERVICE_LOC_STATUS_NAME,ASSRTD_CLIMATE_ZONE_CD,ASSRTD_CLIMATE_ZONE_DESC,ASSRTD_DWELLING_TYPE_CD,ASSRTD_GAS_USAGE_GROUP_CD,ASSRTD_ELECTRICITY_USE_GRP_CD,DWELLING_TYPE_CD,DRYER_USAGE_CD,REDUCING_CONSUMPTION_CD,AIRCON_TYPE_CD,NUM_REFRIGERATORS,NUM_ROOMS_HEATED,HAS_GENERATION,HAS_INTERNET_ACCESS,HAS_GAS,HAS_GAS_HEATING,HAS_GAS_HOT_WATER,HAS_GAS_COOKING,HAS_POOLPUMP,HAS_AIRCON,HAS_GAS_OTHER_APPLIANCE,IS_HOME_DURING_DAYTIME,HAS_AGREED_TO_SMS,SMART_METER_INSTALLATION_DATE,LIFESTYLE_AUDIT_PERFORMED_DATE,PROVISIONING_COMPLETE_DATE,OFFER_WITHDRAWN_DATE,ACCEPTANCE_WITHDRAWN_DATE,OPERATION_START_DATE,OPERATION_FINISH_DATE,AGREEMENT_EXIT_REASON
11379993,Retail,N,EA-STOU,EA-SIHD,,,86,,Domestic,1,0,0,0,0,Customer Withdrew,5,Warm temperate,NotUnit,MED,HI,,MED,MED,Ducted,2,2,N,Y,,,,,Y,Y,,Y,N,,,,,4-Apr-13,,,
11379995,Retail,N,,,,,86,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
11379997,Retail,N,,,,,86,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8595396,Retail,N,,,,,50,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
8595398,Retail,N,,,,,74,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8595406,Retail,N,,,,,86,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8595410,Retail,N,EA-DPP,EA-SIHD,,,14,,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,MED,LOW,,LOW,HI,Other,2,0,N,N,,,,,N,Y,,Y,Y,7-Mar-13,,22-Mar-13,,,22-Mar-13,28-Feb-14,OPTOUTRETAILERCLOSE
8595420,Network,N,,NETSIHD,,,62,64,Domestic,1,0,0,0,0,Moved Out,5,Warm temperate,NotUnit,MED,MED,SeparateHouse,LOW,NONE,SplitSystem,2,1,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,14-Jul-12,,18-Oct-12,,,18-Oct-12,17-Jan-13,OptOutMoveOut
11273506,Retail,N,,,,,15,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11273508,Retail,N,,,,,15,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11273516,Retail,N,,,,,51,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
11273518,Retail,N,,,,,15,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11273520,Retail,N,,,,,51,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
11273522,Retail,N,,,,,15,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11273524,Retail,N,,,,,15,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11273536,Retail,N,,,,,51,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
11273542,Retail,N,EA-DPP,EA-SIHD,,,15,,Domestic,1,0,0,0,0,Customer Withdrew,6,Mild temperate,NotUnit,MED,LOW,,NONE,HI,Ducted,1,1,N,N,,,,,N,Y,,Y,Y,,,,,30-Jul-13,,,
8578551,Control,Y,,,,,97,,Domestic,1,1,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,30-Jul-12,,,,,,,
9542267,Retail,N,,,,,24,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11380001,Retail,N,,,,,14,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11380003,Retail,N,,,,,14,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11381130,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
11381132,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
11381140,Retail,N,,,,,28,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11381142,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
9397590,Retail,N,,,,,0,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9397594,Retail,N,,,,,6,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9397598,Retail,N,,,,,6,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11182161,Retail,N,,,,,18,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11182165,Retail,N,,,,,20,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
10181244,Retail,N,,,,,12,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11302476,Retail,N,,,,,3,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9009494,Retail,N,,,,,60,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9224479,Retail,N,,,,,48,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
8868828,Retail,N,,,,,1,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11381156,Retail,N,EA-TOPUP,EA-SIHD,,,28,,Domestic,1,0,0,0,0,Customer Withdrew,5,Warm temperate,NotUnit,HI,LOW,,NONE,MED,,2,0,N,Y,,,,,N,N,,Y,Y,,,,,19-Dec-12,,,
11381158,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
11381160,Retail,N,,,,,64,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
11381162,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
9397614,Retail,N,,,,,0,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
8597696,Retail,N,EA-DPP,EA-POR,,,0,,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,LOW,,LOW,NONE,Ducted,1,0,N,Y,,,,,N,Y,,Y,Y,21-Mar-13,,4-Apr-13,,,4-Apr-13,28-Feb-14,OPTOUTRETAILERCLOSE
8198933,Retail,N,,,,,6,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
10610256,Retail,N,EA-STOU,EA-POR,,,12,,Domestic,1,0,0,0,0,SGSC Declined,5,Warm temperate,NotUnit,LOW,LOW,,LOW,MED,,1,0,N,Y,,,,,N,N,,N,N,,,,5-Apr-13,,,,
8921896,Retail,N,EA-DPP,EA-POR,,,28,,Domestic,1,0,0,0,0,Customer Withdrew,5,Warm temperate,NotUnit,HI,LOW,,MED,HI,Ducted,3,0,N,Y,,,,,N,Y,,Y,Y,,,,,21-Dec-12,,,
8921900,Network,N,NETDPRPPE,NETSIHD,,,28,26,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,HI,LOW,SeparateHouse,NONE,HI,,2,0,N,Y,Y,N,Y,Y,N,N,N,N,Y,4-Jul-12,,6-Dec-12,,,6-Dec-12,28-Feb-14,OPTOUTNETWKCLOSE
8921902,Control,Y,,,,,100,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,7-Jul-12,,,,,,,
8921904,Retail,N,,,,,28,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
8921908,Network,N,NETDPRPPE,NETSIHD,,,28,24,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,HI,LOW,SeparateHouse,MED,MED,,1,0,N,Y,N,N,N,N,N,N,N,N,Y,24-Feb-12,,4-Jan-13,,,4-Jan-13,28-Feb-14,OPTOUTNETWKCLOSE
8921916,Control,Y,,,,,100,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,22-Jun-12,,,,,,,
8921918,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8921920,Network,N,,,,,28,,Domestic,1,1,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,22-Jun-12,,,,,,,
8921922,Network,N,NETDPRPPE,,,,64,64,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,HI,MED,SeparateHouse,LOW,LOW,Ducted,1,0,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,8-Aug-12,,24-Nov-12,,,24-Nov-12,28-Feb-14,OPTOUTNETWKCLOSE
9393834,Retail,N,EA-TOPUP,EA-SIHD,,,60,,Domestic,1,0,0,0,0,Moved Out,5,Warm temperate,NotUnit,LOW,MED,,MED,NONE,SplitSystem,1,3,N,Y,,,,,N,Y,,Y,Y,14-Mar-13,,4-Apr-13,,,4-Apr-13,22-Aug-13,OptOutMoveOut
9393838,Retail,N,,,,,24,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9393842,Retail,N,EA-DPP,EA-POR,,,60,,Domestic,1,0,0,0,0,Opted Out,5,Warm temperate,NotUnit,LOW,MED,,MED,MED,,1,0,N,Y,,,,,N,N,,Y,Y,18-Mar-13,,3-May-13,,,3-May-13,9-Dec-13,OptOutExit
9393848,Retail,N,EA-TOPUP,EA-POR,,,60,,Domestic,1,0,0,0,0,Opted Out,5,Warm temperate,NotUnit,LOW,MED,,HI,MED,,1,0,N,Y,,,,,N,N,,N,Y,21-Feb-13,,12-Mar-13,,,12-Mar-13,21-Mar-13,OptOutExit
9393852,Retail,N,EA-STOU,EA-SIHD,,,24,,Domestic,2,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,LOW,,MED,MED,,1,1,N,Y,,,,,N,N,,N,Y,28-Feb-13,,18-Mar-13,,,18-Mar-13,28-Feb-14,OPTOUTRETAILERCLOSE
9393854,Retail,N,EA-TOPUP,EA-POR,,,24,,Domestic,1,0,0,0,0,Opted Out,5,Warm temperate,NotUnit,LOW,LOW,,LOW,MED,,1,1,N,Y,,,,,N,N,,Y,Y,27-Feb-13,,13-Mar-13,,,13-Mar-13,20-Jun-13,OptOutExit
9393858,Network,N,,NETPOR,,,60,60,Domestic,1,1,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,MED,SeparateHouse,MED,HI,SplitSystem,1,1,N,Y,Y,Y,N,Y,N,Y,N,N,Y,6-Feb-12,,13-Nov-12,,,13-Nov-12,28-Feb-14,OPTOUTNETWKCLOSE
9393862,Retail,N,EA-STOU,EA-SIHD,,,24,,Domestic,1,0,0,0,0,SGSC Declined,5,Warm temperate,NotUnit,LOW,LOW,,HI,LOW,,1,2,N,Y,,,,,N,N,,N,Y,,,,6-Mar-13,,,,
9394468,Retail,N,,,,,13,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9394472,Retail,N,,,,,13,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9394478,Retail,N,,,,,13,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9394484,Retail,N,,,,,13,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9394492,Retail,N,,,,,13,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
11176149,Network,N,,,,,68,,Domestic,2,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4-May-12,,,,,,,
11176151,Network,N,NETDPRPPE,NETSIHD,,,30,30,Domestic,1,0,0,0,0,Trial Closed,5,Warm temperate,Unit,LOW,LOW,Unit,HI,LOW,Ducted,1,0,N,Y,Y,N,N,Y,N,Y,N,N,Y,4-May-12,,11-Apr-13,,,11-Apr-13,28-Feb-14,OPTOUTNETWKCLOSE
11176153,Network,N,,,,,32,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4-May-12,,,,,,,
11176161,Network,N,,,,,32,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4-May-12,,,,,,,
11176175,Network,N,,,,,68,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,MED,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,24-May-12,,,,,,,
11176179,Network,N,,,,,32,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,LOW,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4-May-12,,,,,,,
8876682,Retail,N,,,,,72,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8231880,Retail,N,,,,,20,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,MED,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
8583849,Retail,N,,,,,50,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
11088672,Retail,N,,,,,48,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9862338,Retail,N,,,,,12,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9395160,Retail,N,,,,,24,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9395162,Retail,N,,,,,60,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9395164,Retail,N,EA-DPP,EA-SIHD,,,60,,Domestic,1,0,0,0,0,Customer Withdrew,5,Warm temperate,NotUnit,LOW,MED,,LOW,HI,,2,0,N,Y,,,,,N,N,,Y,Y,,,,,19-Mar-13,,,
9395166,Retail,N,,,,,60,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9395168,Retail,N,,,,,96,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
9395176,Retail,N,,,,,96,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
9395182,Retail,N,,,,,36,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9395184,Retail,N,,,,,36,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
9395186,Retail,N,,,,,0,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9395190,Retail,N,,,,,0,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
9395192,Retail,N,,,,,72,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
9395804,Retail,N,EA-DPP,EA-SIHD,,,12,,Domestic,2,0,0,0,0,Trial Closed,5,Warm temperate,NotUnit,LOW,LOW,,LOW,MED,,1,3,N,Y,,,,,N,N,,Y,Y,12-Jun-13,,2-Jul-13,,,2-Jul-13,28-Feb-14,OPTOUTRETAILERCLOSE
9887494,Retail,N,,,,,18,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,Unit,LOW,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
8628189,Retail,N,,,,,28,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,LOW,,,,,,,N,,,,,,,,,,,,,,,,,,
10640925,Retail,N,,,,,59,,Domestic,1,0,0,0,0,Not a Customer,6,Mild temperate,Unit,HI,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
8864340,Retail,N,,,,,36,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,LOW,MED,,,,,,,N,,,,,,,,,,,,,,,,,,
8281456,Retail,N,,,,,74,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,MED,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
8923832,Retail,N,,,,,100,,Domestic,1,0,0,0,0,Not a Customer,5,Warm temperate,NotUnit,HI,HI,,,,,,,N,,,,,,,,,,,,,,,,,,
