Generic Data: Boolean,Generic Data: Numbers between 0-1,Generic Data: Numbers between 1-100,Generic Data: Float between 0-100,"Generic Data: Numbers between 100-100,000","Generic Data: Numbers between 100,000 - 1,000,000",Generic Data: Date,Generic Data: Timestamp,Generic Data: Epoch Time,Generic Data: Time,Generic Data: Frequency,Generic Data: SHA1,Generic Data: SHA256,Generic Data: encrypt,Generic Data: GUID
false,0.45,42,82.32,75470,8763057,2/27/1994,1994-04-23 05:40:04,1213057768,5:31 AM,Once,25a49940e2cbe24a2d1e1afcb5590349203bdc96,67f851ed22eb2e108c9494f685e8c7e3afd244e29e82b3b697c8b12f7f48feda,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,cbd4e2d3-0c70-429b-a466-418a32de9488
true,0.09,60,60.19,96846,3425150,2/13/1968,1971-11-09 23:38:52,648315940,6:39 PM,Yearly,cea7c53c3db42f48a907047a5df2daddf78ac0f0,dbc7fa3d6374991d09495116b4e90b1bd2fb8b9f528863e11e703e66202d7650,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,40745301-3a0c-4bb3-a57e-6f61312cfc7b
false,0.27,51,98.48,84398,3468854,2/9/1955,1977-08-03 13:56:27,1151167159,2:06 PM,Daily,684944e43afe97638fb54135441d28e2d1930530,1b20ec9c46d184b4d437f1a450b0a703e1874dc8a96392c9b7e2ad00b1e36291,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,d62a908c-87d8-42ac-9a04-ec49abaf01f5
,,,,,,,,,,,,,,
false,0.75,9,96.91,81677,5112416,1/13/1973,1986-03-26 16:31:37,385668703,11:00 PM,Never,d58f33cdbd0cab60c1628d5258d38bed8aca030f,36586b7e71629c6bb31103eba7da56b0a726e1349dbd5f49fae2972829e96f19,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,0f655b4b-1ff1-4787-bd0c-7c93ba591d9d
,,,,,,,,,,,,,,
false,0.68,75,17.63,49600,9315170,10/15/1994,1998-10-24 16:07:38,114429357,5:45 AM,Often,02a0bd56c42a7c0efe59cd68370c3eac3a4a3ec0,c264d084330902c8782d8a8d2c7978afdee51a9ccda946ab5f6a2faa0879a6c9,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,56631e7a-a1a9-4b79-acbf-a40f34a6d06a
true,0.59,60,56.47,21448,1072404,4/23/1972,1954-10-08 06:08:33,639041126,8:20 PM,Never,c1e9591b9c8ff875aaa4bde075f382663dccfd5c,f8d871aac0b39d14c875f619db7b991c76411f62b6f52101388da18e0c1c12c4,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,cd4fe678-2f2a-4902-9213-2ac9ad70dead
true,0.08,41,8.9,41666,1269288,12/13/1973,1957-02-21 15:45:57,1265268516,10:30 PM,Once,ce691a59f74e827efbfe91126aa45ead255970dc,9da3e3bb6ee0607a91dd4087b182b1f42614f89ce3eca5953ff8ae4788e17572,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,db386609-271a-4b92-a905-438a5de7487e
true,0.65,78,38.52,55654,5355421,1/9/2015,2011-11-29 15:37:02,489728873,3:59 PM,Daily,bbd438a20bf6c0deb5ef26bd1f113d382b05b9ae,0ca862f1b0054c52bc20c02dc27a0766d2a54c22d8162879153ea53c6cc78d4d,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,965c710e-8de6-4837-861d-1abe26394780
false,0.38,41,20.58,58255,6393423,5/15/1983,2013-04-04 04:34:18,-172460730,12:52 AM,Monthly,218e7417a193dcbeb15b09d9549b5ea47984b046,eaed9bf42779afe65f7a727c659713e51fd684b1f3e9cce7ab3ed0520e605014,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,24003abf-ab05-42dd-aa36-a8d16aef2087
false,0.55,42,68.54,21392,9675909,1/26/1994,2003-12-29 15:14:36,-471283670,9:55 AM,Once,5f97c416b062091ad00f92f34d746429b0214f41,e04a232ce53ae614a8c014d4271338c780db884669d2ea7141f79fd719711a62,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,cd367e2c-0691-4f23-b7fb-119072c6b333
false,0.42,41,36.64,65729,112778,7/2/1992,1991-10-07 12:17:00,1290186148,1:30 PM,Yearly,a763c162392324c41dc231a2361f3e37e55ddd03,ae294106d7f10e45249fa36e3135c8a5ad8315cb2285ee5ca8c7b4a75d7277d5,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,8a786a13-a400-4086-ae3d-ed529f001526
true,0.9,83,44.25,43341,4635955,5/27/1993,2014-02-16 05:32:30,517382344,12:44 AM,Often,779e5a3b017844b3469fb3fa8f757bb28acc1b3e,58e663a3c948974142c615a55eaa59db0a626fff31b2c09c9ac7c011656a714b,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,eec17145-face-49ae-ad3a-92765e9139c1
false,0.96,89,28.34,51670,8424915,9/28/2005,2015-09-27 23:55:29,223412350,10:15 PM,Seldom,8a545d084740e8a8a60d1544625d9983c8c34cce,04feda424b01b46b1c7e37cb6a19c00d5946492aef8de62d704e8bea752dd9ee,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,17226302-510b-4e13-b2ac-3d94480906de
false,0.51,84,62.62,11852,3410007,12/23/1990,1963-10-07 13:07:49,1104432438,5:57 PM,Seldom,9cb9569c784aca10aff9aca2749bfe7ae5572c04,514c81e6de5614477bea7c9863e3f9621638bbd9391027aafc51ae96eabc3bf4,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,6cb5ce77-665d-4d76-b933-607124b685cd
true,0.92,8,83.32,81989,3798247,3/5/1954,1989-11-14 17:13:38,1442298333,6:36 AM,Often,68b1e446417800f679b7e3f13db6327f119c2b3c,3bd99831709650c0cb6b1cb4251f0cde1d7ced9a57e0317b9d8f3b143298c8fd,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,798018ab-312f-4274-86b9-4119f183771d
false,0.69,60,74.65,46860,2650294,10/18/1961,1957-01-18 13:54:36,591336870,1:48 PM,Daily,7e78a70ff3136cd883dc24500b912685ae0b2420,b16a7b8be87099f60e635d1a9f363717ebaa9ad501c784b5484fc3088208493a,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,7179af80-22a9-40c9-99aa-0404bf3c2083
false,0.1,16,48.51,83779,8126233,6/5/1954,1951-12-15 06:49:06,792820946,9:29 AM,Daily,f151b0f430ec8b473479f48119ce38679aabaded,061797d8eb5f9f9b51c809cdf9e1d802902c2aa45a38570704bda3e850a0bed2,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,4250d153-ad48-4669-a50f-743fc9bb3238
true,0.47,39,35.48,51091,8601684,6/29/2017,2017-03-27 08:38:07,1301350114,9:59 AM,Often,30ab9dc370337caa9769f6c91cf00d4fcd0fe798,9da1ce1777f29ca755a37c36ca402ed367f20f2304b4c1bd1625d29570d4c03a,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,bbb237dd-96b9-4187-b19a-2763bca75c96
true,0.32,85,66.94,4782,9151392,6/6/1991,2012-04-15 11:51:37,-394003457,8:09 AM,Weekly,6b6e0c1ce041021b0d3762ad697f0eb347132053,f9c10a0929988a0c28329ecdc0decc89da472bf74bebad1ac789e7d083bbf2bd,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,a01abecf-f333-4cfe-8bc2-93c4cfd3212c
false,0.19,35,2.41,70165,8511807,7/21/2003,1963-09-27 04:52:00,52170442,5:20 PM,Daily,14e8de80be87ec8ac6841b2f5a833943997a9ab9,d286ee835c6e79ca4d95ba8fc28b19a0cc18b4cfc9a87f2579379318520443a2,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,ddeea7f0-cc21-4dba-b4fe-a57ad5cb8f61
false,0.65,15,39.97,62396,1099177,12/26/1989,1997-09-10 16:53:22,-402693443,10:43 AM,Once,6768f826beac631efd5bb6ac32cb7c6ab0d4cab3,957851dbfd261a0f6093f6aab3dcd822dc891a5550dffd1aca215cab61f40f0e,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,12c788d9-4331-4616-89ea-7d7115ce4b44
false,0.17,60,99.09,66186,9197112,1/23/1987,1979-03-24 23:53:12,945610061,8:43 AM,Never,9c2f0b864856055045acabf54e19a747fcea7c3e,b5fca1ef3e0a89fea87547f0d707d487eaac88fbdaa9a4e3f9d95f7ce1c82a63,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,fc1304ea-c7d8-4d06-b6a0-6d359dd6f2ec
false,0.55,10,44.31,49781,9639425,9/19/2008,1968-03-17 06:28:09,1050894056,11:49 PM,Often,b82251d28a784f7b1bf2c95516820d2ebd972259,2894bb76798536670f37a8c2aa41fecbd3eac653e03964a58f73da3059196adf,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,5bd84c07-1679-4a86-ad7b-fdd5e70aaa23
true,0.96,31,91.43,72440,6336883,9/18/1961,1988-02-28 22:29:13,1126664495,10:48 AM,Often,6a8b30bb14730093f2a9356a9c8b533c747dbcdc,aca4697d3baf498b242a42624f91f6665cf1156b500d503703448e8e1350e4d9,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,7def75e4-d2de-47b6-bb92-2b4c17b079e2
true,0.51,18,5.05,85667,6773919,8/5/2006,2009-11-09 00:30:51,-163002028,4:47 PM,Often,abbfcfc295527de9b9177b1590bc1fe76b945f49,f965a9802ec178e144128bf2d1ef1064157345eeea11430c8859fea57411c817,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,1e3f0a6f-0db7-46a8-8129-6786044410fb
true,0.77,15,39.22,7995,3692345,9/26/1980,1956-09-07 19:56:14,-453493024,6:06 AM,Once,5663cd62db8595123af74044d21a57223d537d6e,101039d1fce031ef6ccdca0e8bbb332d839170b5705b4f3a3bb4e36a360fd2d2,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,ff41259e-a3c0-4b13-ac4b-aac091f18ee2
true,0.07,67,69.16,54520,7961273,7/3/1974,1983-11-03 08:20:12,1514384218,9:11 PM,Daily,192d68c9e024764408d2e1110efb31cd05d7e943,3c223a158e4aafd989dcae6e3f8e70729939799bc94f355a96997374d73b2d08,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,290262e8-62ea-4d72-823c-79bc4bdefa16
false,0.66,91,27.45,16877,9688630,2/23/1961,1970-07-22 16:11:50,1547633595,10:41 AM,Weekly,d3527f17c98248c8980ad2334be04e5f414344ac,3254f2b1af0964d052f0fce43b430cf63c0b6b91c7781a12d229910bbafff726,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,4698de09-b7ea-40de-a3bc-820dcfd5573a
true,0.76,97,29.73,13139,5738379,6/10/1964,2012-04-27 18:09:37,1061666595,7:08 AM,Once,ce3070078fcfc936d678093f159e5a2c8c9c28ce,5334f1fac258aeab2b3867fa7ef26e780f91e600f5de688073afa44041f67fdf,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,2af09fc5-c463-4f35-a0b1-f6e07e495c66
false,0.91,46,64.4,33144,3015470,2/22/1953,2016-09-29 20:27:44,575365600,3:09 AM,Monthly,4236debb91f22471ea1d3017190b2ea47a9fb7c2,bc50603691cc6dee00e65d620097ac565bf120e30900e2bbaed5dc418225c755,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,7aa302e2-1a69-4473-aa2e-2d936105cb37
true,0.18,2,4.06,37913,5130119,4/14/1987,2012-01-18 13:25:24,-432819903,9:35 AM,Once,248fa1089abbbf8b86c35907d8b29b9ed7437b19,8257d5cea74661a96c762bb9b463b4ced7405e42c8f21e47637d72489a0cb9c6,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,cd0475f3-2e5e-49d3-adca-58952019bd8e
true,0.65,79,54.08,62819,9805178,4/18/1971,1951-04-17 15:59:00,145622190,11:23 AM,Once,ee1934eb1b0aaf1b697735170bae5a0c2b398a49,f36ca4dff21da39d6d9ac1225de0cfce5c5900dcc47f8100c74f09bf6d0b56ef,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,8aa12f1a-ee7c-4ab0-8d9f-8a6e57d47f98
false,0.3,30,29.83,58732,5871394,7/21/2015,1953-09-15 20:58:44,1544976442,9:09 AM,Yearly,ca3a9ac4002b50dac6cc6f66c704f9f13a51bdf1,496f1e189880a37a60dbc94e9c91f128dd02ab4062b42c1080c3e1cc95ffed9a,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,12136742-358d-457e-ba65-3c9f9675ae84
false,0.89,33,76.95,34271,3953185,6/12/1982,2012-12-12 09:53:35,481673892,9:18 PM,Daily,56092f0de5d91871df1044b824dc37e2c66a7db7,9278ac38a4db686f94202368c29c442f7813afe31d0957bd39f5fed34c3f7885,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,bd79e032-0b43-4d46-9dbe-9260875f9b97
false,0.77,43,28.87,92188,6160266,8/1/1999,2016-12-30 06:45:27,964532579,11:43 PM,Never,927013a2f108a35da47109bb3975a88352f3746d,2600d4908aada0ecc5c9a9537d697a1acde4b77f8aea5239bcefb8c5e1048e3f,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,5c16e418-3652-4113-9855-d7b3b5e31333
false,0.63,14,56.18,59572,8062635,6/22/1988,2013-06-29 22:55:43,1518030743,4:28 AM,Often,194822f6ff0ba4f4cc5439563be67eda61c04e0a,7127432b68fd169cdc8d1ed07cc4442bd2b9873c2ec8c44cec400da33484319c,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,d076182c-dae0-419a-b868-a9807e5388c0
false,0.32,40,35.31,30319,5641409,5/21/1959,1994-06-04 04:55:54,546748878,7:09 AM,Daily,2c5c489d9940d8ebb0aefbb6aa4dccfcf640ec90,148b96504d447f4d8587a798d3498457a36b034c0b7a51d77474b1f6ea641c51,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,785ae37a-0134-480a-be49-b9a641207ea3
true,0.8,57,74.4,71050,9609527,10/17/1987,2000-07-16 20:01:21,-27575022,7:48 PM,Monthly,5b49961fab774b5c43080d477ddbeb4afb63dfaf,0d7f2297050850216d6c9943f666c8a4fe0268f0a50bc180afdcbcebd1930cef,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,58f57ddb-20e3-43c2-8323-77f85537daac
false,0.45,23,48.96,25052,3330148,7/18/2002,1974-12-02 06:04:30,1147055658,4:25 AM,Seldom,ca8f347bee78b52c1ca45770c0143a4738911910,f7cc75510eb5090ce3a7dca486aa5b332bb9744ec692ca56adaad1fcc862e73e,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,7fdde3df-b70a-42b5-9aa0-4bb35cb64f5a
false,0.38,48,11.74,29044,373410,6/11/1971,2005-07-15 02:17:10,-446828739,6:37 AM,Never,eb67297df3503a3e36023dfbe6e00dba6b05a4dc,87c8019fe868b5e60a71d60ca6e667e3e0e803671048f1ac3460aa9efbe44e06,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,48be9f1b-a7de-463f-9af0-371584b0d783
false,0.81,71,6.38,18847,3431348,3/6/2013,1986-11-22 20:02:37,-90089292,5:48 PM,Seldom,c735f14a75329c6165871e85265be227223e0f8e,1c5577b29914a6ab107e474095b5520af178b3cf576542f2fd001ef8445801e7,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,69b17acb-c0cc-4662-8582-064924ffe7d2
true,0.0,41,22.12,28366,3918504,4/24/1996,1988-01-16 01:13:14,1472054947,2:43 PM,Never,b2e5a1c6f098ef02d9d2a72d1f524b6076b420ad,db07e3fcfc8373e341646b3c710499cc68545837562308b2bda303890401b86d,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,186c802d-d16d-446d-a4a7-7f1e3968d209
false,0.84,1,84.12,69141,8274118,11/30/2002,2011-08-24 19:28:38,443851237,2:13 PM,Weekly,e19b5a7b0a4d3905a73f57e414e9fab1cd27eb79,e9f75083a9d16fa832c69cda891ef35f0dee29f583a8388784c3d913aed0190b,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,bf45dd2e-e9f6-4535-9750-025efcb43190
false,0.64,73,5.05,97725,6119209,11/16/1956,2012-12-20 00:22:04,515282350,9:02 PM,Once,86a16752148a1b46cfc5a11b2693416dc480f098,bf72c4a43711581c6f89f2e04ae2f238a8d0addbc0af57330a941348c39ededc,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,364d38a8-7112-4591-bf04-c22afdbaddab
false,0.13,13,74.99,9037,6482502,2/26/1962,2000-05-20 08:05:15,1449874314,8:38 PM,Yearly,d1238d85f3d430e023536a1403c4ca9a69965170,2c476f47aa7a7b1e0f02b4183fa8d8e363d2f173d94e10321dedeb3eb27e7989,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,cc83137f-1539-4b52-beeb-bdebcca782d9
false,0.99,99,34.71,75951,964861,11/27/1975,1967-05-21 21:22:20,-148784763,12:07 PM,Often,891c0e802e085cb4f532ca1a90e5fa7870e02e33,1aa3c68daca5bf314432e0e0ea58cbdaa783611c97606249e4959e7e20d9299b,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,76f7541f-3141-4409-aedb-a0cf265d6277
false,0.53,43,12.84,60594,6112374,11/26/2014,1983-03-06 13:35:40,190458777,10:55 AM,Daily,980da8fc3af58fdfc72e8477fe016b2a401dcd67,bfc8066cdbcce6eb2fdc22c8e78b92c8178dde01f8b0171dbc228936bb97522f,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,aff51c14-fbf4-4011-9185-761c9422983c
true,0.58,31,95.19,42181,3957915,1/17/1964,1990-01-28 03:52:16,-124467091,7:17 PM,Never,df371b74e8ac669f27425566557a36cd64ec682e,c6520a5f02a0f83fc713e7ddb8d34b83da4810a446a691f24b91f0a36a272d7f,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,951706c5-9c0f-4d7b-bc2c-f4122e68e0f2
false,0.29,69,71.89,26881,4282444,1/29/1971,1968-04-23 23:18:51,502133239,4:14 AM,Never,df310fa7f45adee47a32cb2fba8dfc170d304659,ba3084b1212a46d297024697f96e4fd7cc283692d377b5368b63088fd09ce72c,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,34549254-5541-4690-8a4e-993c219971a9
false,0.1,60,2.89,67048,7326823,12/13/1981,1990-10-24 10:49:32,-285356439,4:48 PM,Monthly,5f9e33e65537d8a66b3301e398884e41feb7cfab,09fdd4f5779b51aefa71f61ae2e841892bce2b9144e9b6c13e195037c3f9cfb1,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,1671fb9a-1de7-4305-92af-c6d5ccf5c880
true,0.92,74,58.33,55843,3355086,6/10/2002,2004-01-29 14:44:53,-270811732,12:14 PM,Often,491654eb10b88cfef7745cc466c1f74a19634569,6184b9c89ba1717e1c1206e8539db06a811defedfd576a7f6c3f25862077de70,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,aa4e8df0-43d7-49ab-9c45-cf0ff996c10a
true,0.34,87,22.08,96167,9614745,12/13/1985,2009-04-15 14:19:42,-303527984,1:18 PM,Never,2b5a951b42d3f681378307b39d811bfbbd12737f,a6801627ee77203aa8e790929edf1194ac602bd8f7841a9468d2c1e9acc0f617,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,3c123723-51b4-4c51-901a-6c697bbfdc4b
false,0.44,48,20.71,10880,2336792,8/3/1980,1996-09-07 21:00:12,843961068,1:53 PM,Never,44147270de237612c36fbaef3d8876022ada1303,4240c1a4c5a36e3396ee57819bb4438a5f3b5bb8a983ef2a75bab95a0efdcf74,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,91b55819-3877-4ff2-aa53-160f67f75400
true,0.44,42,9.48,37225,2244765,7/16/1965,1980-01-11 22:27:18,-306472775,10:48 AM,Monthly,2c2c444721789c7c629af9683e6da00d2c7cf38a,98304a6758f3ca89ec3414588c444f79f386eb71ec4146e75cb9ca8e74d863da,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,52678ee0-f1f2-4922-97d9-fbe469ccf55d
false,0.74,80,53.19,89196,1312733,5/28/2004,2003-11-15 03:39:09,87759255,12:17 PM,Monthly,229791a4a6640b6ea4b33e467530943b35b5e22e,e5cf143ff5d5717b1890a8ff34728d6bd6d860d7ce5c7fc6f349dd714790a448,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,691ae3e9-ef20-441c-a009-1f1923d15638
false,0.04,93,24.81,8578,349667,2/10/1983,1999-01-29 05:02:24,1423331666,6:31 PM,Monthly,4b42cd5bff9b335f6be86adc5fd76fd92339ac9d,5853f8326c979a1c094d102cce4f2007ebfc3f3360ecec8bc23732968d819e6b,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,49852654-14a1-432e-8154-ad6f58c55828
false,0.9,48,6.87,484,1947230,12/25/2014,1974-01-31 11:24:38,-236231487,1:55 PM,Weekly,b03328c5fe0390d38e36dddd37e41cc67dc7cf32,2c36256beacb6c52f47f4f031e3cd05d91be94e47f6c4766b6a86b7555ea0df2,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,99efb406-ff9c-4b26-841e-cdc28a04e841
false,0.67,11,11.55,45633,4873905,7/9/2002,1998-06-23 15:31:07,469517426,9:08 AM,Never,87b0710c977ee7557c19104be4b954111fe32b80,4a163014ef01e2a921a274f750ec1fb5eaac80265f56af2431156d6229662a83,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,8b58c7c6-9f2c-4819-8599-ceea04a2a9dc
false,0.05,85,71.64,13713,5519395,7/12/1959,1987-11-16 23:39:59,919591001,6:29 PM,Seldom,f5d550a62a60a39861f4126530978fbfca759a7a,7df1f671c702cd8da6d5c170d174a5e7fc134b7303f001646356819e9b7233d6,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,a4497fb8-b9fa-4ea6-80c8-71e64cab8234
,,,,,,,,,,,,,,
true,0.25,65,31.44,1266,5370491,4/16/1996,1994-08-25 16:53:17,284833809,7:40 PM,Monthly,698dff246f9382fab15b26f5858caef6a91caab1,767ac5f7c50c8de0e350889a64318551cb2d1a3e3f954d0bfabba13160ee5096,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,d6296f0a-5802-4b08-90e5-d72d9249933a
,,,,,,,,,,,,,,
true,0.48,33,76.79,80514,8554888,8/22/1995,2005-10-02 08:31:00,1235009699,12:01 PM,Once,c53875ca41d90255c0b3deb3072fe049d113c3a4,03e21eb38efc10015b94d3bf1bf9745dab07dc7cdc999ad55c5516a550da6ded,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,fc9bfcd6-5f16-448c-831a-ac0601015985
false,0.07,46,66.79,58374,636042,1/4/1954,2009-12-04 20:02:48,254090949,11:06 AM,Monthly,bf9cb3c4b540cda3aa566eafeb3c15adeba62932,43d8dbd52b367c9b03c028825c665b18fe69c312030055e71b9ec35733db091f,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,69781070-4a0f-4132-a6b7-572716793920
false,0.47,53,52.79,26016,664344,7/17/2008,1972-12-01 17:47:39,1507353035,10:45 PM,Often,d2ff7de025a5635535b8db9b53e3bb208a9d806a,b2a9e7540cf4baf6b86a3d5bc5c6de5934d50e2cc19ac7af40d14a396e5bc03c,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,f40a3478-0ce9-4c88-9441-efe265832949
,,,,,,,,,,,,,,
true,0.79,11,2.63,97997,3446663,7/29/1980,2017-05-11 04:40:12,-176843461,7:47 AM,Never,473dcdcdfb12ff9ff8937baee3c83f4b58e4109a,dd3950ce6bdbb459dcbd79b87785cef559d258525ad75eaa989ad21d1f814f4c,d1f4eb20c00c6972bb5eccf6f294f4c9a98eddf2,790aee21-2d66-49f1-812e-3a3e9f18ec61
