Company: Company Name,Company: Company Name (Fake),Company: Industry,Company: Company Number,Company: Stock Name,Company: Stock Symbol,Company: Stock Sector,Company: IBAN
Realbridge,Lemke-Bins,n/a,45-146-2080,"Stag Industrial, Inc.",STAG^C,n/a,DE71 6059 7783 8171 2422 96
Meemm,Zulauf-Abernathy,Packaged Foods,21-369-6823,Kellogg Company,K,Consumer Non-Durables,PK97 XXGE LHLG ZCCY 9IUC YTPD
Gabspot,"Block, Jacobs and O'Connell",Biotechnology: Biological Products (No Diagnostic Substances),27-896-0105,"TRACON Pharmaceuticals, Inc.",TCON,Health Care,PS57 IRND EPFG FCAA MRFK ML4K L1HX Z
Skipstorm,"Renner, Abbott and Nicolas",Major Pharmaceuticals,31-929-3744,"Reliv' International, Inc.",RELV,Health Care,KZ17 491J U3VO Y2TI EF4A
Meembee,Streich LLC,Real Estate Investment Trusts,10-733-4549,"Jernigan Capital, Inc.",JCAP,Consumer Services,LV17 VIXV AYDY VHIR DIGS H
Realpoint,Wehner-Wuckert,Auto Parts:O.E.M.,19-605-5764,Adient plc,ADNT,Capital Goods,FR71 4819 2413 05ZE R0NT AOZG E33
Skynoodle,Lowe and Sons,n/a,08-367-5194,National Retail Properties,NNN^E,n/a,AT23 0394 4894 3937 6882
Plambee,Cremin Group,Oilfield Services/Equipment,07-886-9616,"North American Energy Partners, Inc.",NOA,Energy,DE20 1997 0696 1903 1263 46
Edgeify,Purdy Inc,n/a,86-652-5125,BLDRS Developed Markets 100 ADR Index Fund,ADRD,n/a,FR45 7465 5247 48GP XCLH AOCH J53
Yadel,Renner and Sons,Other Specialty Stores,92-998-4312,Advance Auto Parts Inc,AAP,Consumer Services,CZ46 2914 5052 8253 1286 4699
Rhybox,Hahn Group,Major Pharmaceuticals,35-438-0478,SteadyMed Ltd.,STDY,Health Care,BE81 5239 1687 9179
Topicstorm,Graham Inc,EDP Services,00-124-7015,"TSR, Inc.",TSRI,Technology,KW28 HWAU ZQWQ IN2Z ESBR N8AN LWLD LF
Aivee,Skiles Group,Real Estate Investment Trusts,07-220-0125,Brixmor Property Group Inc.,BRX,Consumer Services,FR72 4555 8604 67XF 3OLO HMCL J86
Jetpulse,Cormier Inc,n/a,97-877-7691,Southern California Edison Company,SCE^G,n/a,MK25 355Z LXNE 4KOU L23
Yodel,Bechtelar Inc,n/a,76-161-2100,ClearBridge Energy MLP Fund Inc.,CEM,n/a,EE86 0316 0521 8416 7686
Leenti,Mueller and Sons,Auto Parts:O.E.M.,19-916-4260,Adient plc,ADNT,Capital Goods,MK19 004L GK2T XAV2 J59
Meedoo,Gaylord Group,n/a,36-840-6643,Washington Prime Group Inc.,WPG^I,n/a,EE87 0306 7046 5141 9541
Janyx,"Mraz, Hansen and Swift",n/a,53-957-0526,"KCAP Financial, Inc.",KAP,n/a,FO09 2421 8229 9955 67
Kwilith,"Greenholt, Dooley and Howell",Food Distributors,13-048-0127,"The Chefs' Warehouse, Inc.",CHEF,Consumer Non-Durables,LB31 2781 R2IZ X97K FIKK 3ON7 9JYQ
Devbug,Miller and Sons,Air Freight/Delivery Services,86-303-9110,"Delta Air Lines, Inc.",DAL,Transportation,CY42 3415 0140 LYUL NLZL O1LJ ER56
Skalith,Bauch-Leffler,Electrical Products,04-459-5881,Sanmina Corporation,SANM,Technology,AD12 0227 9730 XM9G URSB L9RF
Gabcube,Dietrich-Hessel,Investment Managers,19-976-3603,"Houlihan Lokey, Inc.",HLI,Finance,SI66 0673 6632 7029 421
Yotz,Swaniawski Group,n/a,15-022-2612,Aspen Insurance Holdings Limited,AHL^C,n/a,LT05 5709 3957 1059 5306
DabZ,"Daugherty, Koepp and Harber",Specialty Insurers,58-340-5649,"Health Insurance Innovations, Inc.",HIIQ,Finance,AT77 7249 2452 9937 5230
Jetpulse,Romaguera-Torphy,n/a,37-304-7134,The Charles Schwab Corporation,SCHW^D,n/a,LU76 150W AHLU XLKI WYKE
Zoombeat,Feeney Group,EDP Services,04-998-8497,"TSR, Inc.",TSRI,Technology,NO15 1721 1598 581
Dablist,Schuppe Group,n/a,07-801-9209,BullMark LatAm Select Leaders ETF,BMLA,n/a,FR41 2163 6758 25QO VVSI OOAF Y96
Fivebridge,"Dicki, Bruen and Harber",Hospital/Nursing Management,90-400-3058,"The Ensign Group, Inc.",ENSG,Health Care,ME52 4881 1153 1162 0554 04
Shuffledrive,"Graham, Pagac and Steuber",Property-Casualty Insurers,84-888-7500,Global Indemnity Limited,GBLIZ,Finance,SI35 1352 2210 4764 123
Twinder,O'Kon LLC,Marine Transportation,12-303-4402,Navigator Holdings Ltd.,NVGS,Transportation,EE65 6272 9280 4174 5374
Teklist,"Walsh, Kulas and Skiles",n/a,80-240-7376,Nuveen Select Tax Free Income Portfolio II,NXQ,n/a,BG96 TMNH 5783 25HO RQAC VJ
Rhyzio,Pfannerstill-Bartell,Real Estate,81-971-2471,"Marcus & Millichap, Inc.",MMI,Finance,MK31 749K MH4E QOHP S24
Gigabox,Koelpin LLC,Diversified Commercial Services,62-460-5157,Triton International Limited,TRTN,Technology,NO23 9525 7697 654
Linktype,Bogisich-Jaskolski,n/a,88-220-3233,Avenue Income Credit Strategies Fund,ACP,n/a,FR87 0687 0205 96NO RPEW KNLJ D97
Feedfire,"Crona, Beatty and Walker",Electronic Components,44-249-8758,Quantum Corporation,QTM,Technology,DK49 8842 4540 9117 96
Zoomlounge,"Kautzer, Witting and Mertz",n/a,68-902-2689,First Trust RBA American Industrial Renaissance ETF,AIRR,n/a,KZ95 586J BHYA 3DXB FCG1
Voonix,Auer-Schmidt,"Computer Software: Programming, Data Processing",43-318-4850,"21Vianet Group, Inc.",VNET,Technology,PS24 ZQZI CVOR I4R6 RUWF HS41 ESO5 8
Kazu,Hartmann-Mosciski,Forest Products,25-089-9504,"Ply Gem Holdings, Inc.",PGEM,Basic Industries,TR72 9539 2TIW BVLH JKDZ JGBE RB
Meeveo,Schiller-Roberts,Electric Utilities: Central,09-580-8940,Otter Tail Corporation,OTTR,Public Utilities,GE14 ZX87 2579 9292 3942 18
Omba,"Braun, Rodriguez and McDermott",EDP Services,32-047-6392,"Simulations Plus, Inc.",SLP,Technology,GR13 5122 352W P5TG TCS4 1JO8 V1O
Tazzy,Larson and Sons,Savings Institutions,09-128-7032,"People's United Financial, Inc.",PBCTP,Finance,IS05 1145 3046 7906 4015 2128 57
Feedfire,"Hagenes, Pollich and Gislason",Environmental Services,57-694-3164,"Stericycle, Inc.",SRCLP,Basic Industries,FR12 1319 2794 03XK PPEY GWNC R97
Flashspan,"Raynor, Deckow and Schiller",n/a,40-146-1976,Foresight Autonomous Holdings Ltd.,FRSX,n/a,FR57 7020 0118 35SU N2GE T1WW F96
Edgewire,Stark-Kuphal,Finance: Consumer Services,23-653-7773,STRATS Trust,GJS,Finance,BG87 YJLG 2964 41MP YL4I BT
Thoughtstorm,Fisher-Oberbrunner,Industrial Machinery/Components,46-232-2600,"Key Technology, Inc.",KTEC,Technology,FR08 3551 8440 05V7 EURW 8QC5 Y73
Thoughtbridge,"Brekke, Nolan and Zieme",n/a,42-554-9554,Bank of America Corporation,BAC^I,n/a,MD46 QICU V5F8 UQWY NJ2R TFX1
Skinder,Kihn-Waters,Publishing,34-224-3399,Thomson Reuters Corp,TRI,Consumer Services,AT28 7003 3224 0683 5604
Dazzlesphere,"Borer, Ebert and Gleason",Home Furnishings,81-423-5045,"Bassett Furniture Industries, Incorporated",BSET,Consumer Durables,IL09 1182 6404 1335 3715 617
Skimia,Towne Group,n/a,81-503-3503,Lions Gate Entertainment Corporation,LGF.B,n/a,AZ43 JGXK JPIF BL4R 74MU X4OF JXZS
Layo,"Bogan, Dietrich and Kertzmann",Investment Bankers/Brokers/Service,62-888-4481,Cowen Inc.,COWNL,Finance,AD91 1232 0115 QYU3 NYZL WPFY
Skibox,Johnston-Kub,Computer Software: Prepackaged Software,86-335-4665,"Connecture, Inc.",CNXR,Technology,NO26 5063 0497 387
Fatz,Konopelski-Conroy,Specialty Insurers,61-723-5760,Erie Indemnity Company,ERIE,Finance,BE37 8490 4681 1091
Wordware,Hackett-Medhurst,Services-Misc. Amusement & Recreation,46-639-0858,Dover Downs Gaming & Entertainment Inc,DDE,Consumer Services,GL75 6288 5177 3358 55
Avavee,Ritchie-Kihn,"Computer Software: Programming, Data Processing",25-234-0495,"TripAdvisor, Inc.",TRIP,Technology,SA88 83OD XRAQ YRBP ISVQ CQCS
Realblab,Mante-Braun,n/a,80-507-2548,Nuveen Preferred and Income 2022 Term Fund,JPT,n/a,IE32 JOWY 1727 5247 8051 13
Babbleblab,Weimann Inc,Natural Gas Distribution,38-458-7199,UGI Corporation,UGI,Public Utilities,MD46 DZL3 A1JH QYZE LDWX 5NLF
Podcat,Reichel and Sons,Major Pharmaceuticals,57-892-5047,Cerecor Inc.,CERCW,Health Care,LI83 9152 9SK5 VGEN XDR4 W
Divape,Murray-Abbott,Forest Products,90-626-6710,Koppers Holdings Inc.,KOP,Basic Industries,MT05 BBJL 3203 8ZND LIPL QWOV VDPL VXK
Twinte,Kohler LLC,Industrial Machinery/Components,61-981-8973,Eastern Company (The),EML,Capital Goods,FI42 0780 3289 6600 66
Yakidoo,"Jacobs, Bednar and Brown",Oilfield Services/Equipment,71-597-9297,"Mammoth Energy Services, Inc.",TUSK,Energy,MT31 VJBO 9779 6TKQ 4PFO NUR6 UBED I0Q
Zoonder,Medhurst and Sons,Major Pharmaceuticals,10-341-3145,"ANI Pharmaceuticals, Inc.",ANIP,Health Care,GI07 HYMW WA7C XQNH VE7Y N4M
Pixope,Emmerich LLC,Telecommunications Equipment,52-892-0592,WPCS International Incorporated,WPCS,Consumer Services,KZ48 393A NQTG BJFQ Y5TU
Jabbersphere,Hagenes and Sons,Electronic Components,21-622-0733,II-VI Incorporated,IIVI,Capital Goods,FI70 7946 7665 4498 48
Izio,Bergnaum-Prohaska,n/a,62-331-5511,"PS Business Parks, Inc.",PSB^U,n/a,LT33 9711 0043 1390 3133
Teklist,Hauck LLC,Computer Software: Prepackaged Software,17-614-7076,"Activision Blizzard, Inc",ATVI,Technology,NO08 2858 2676 198
Tagpad,Harvey and Sons,Industrial Machinery/Components,24-747-2486,"Uni-Pixel, Inc.",UNXL,Capital Goods,PK24 BRRY 0VKD IEDU 8HDX EGQS
Dynazzy,Bernier-Moore,Miscellaneous manufacturing industries,55-972-9129,"Jason Industries, Inc.",JASN,Consumer Durables,FR49 9721 0723 50HD OODA XDSW W80
Eadel,Lemke Inc,Building Products,27-268-6212,Easterly Acquisition Corp.,EACQ,Capital Goods,DK03 8119 2203 8264 62
Kanoodle,Kunze Inc,Oil & Gas Production,13-099-8360,U.S. Energy Corp.,USEG,Energy,IT43 Q359 0121 006O RJHS QJ9D HQO
Aimbo,"Schmeler, Reynolds and Cole",n/a,81-761-7663,"Polar Power, Inc.",POLA,n/a,FR75 0205 0861 43FK HXJ4 YAZQ H11
Ntags,Harvey LLC,n/a,33-352-3652,BlackRock Utility and Infrastructure Trust,BUI,n/a,VG62 JCUK 6262 9407 7243 2189
Twitterbeat,Gutkowski-Cummings,Other Pharmaceuticals,59-441-5185,AmerisourceBergen Corporation (Holding Co),ABC,Health Care,FR03 2113 3918 62SX ETBS DNFM I43
Bubbletube,"O'Connell, Kessler and Huel",Clothing/Shoe/Accessory Stores,89-744-7829,DSW Inc.,DSW,Consumer Services,GI89 NFSV 3VBX A43L 3AGJ RMZ
Pixope,Wisoky and Sons,Major Banks,03-181-7269,Wintrust Financial Corporation,WTFC,Finance,AT11 0713 4264 9008 2747
Twitterlist,"Schumm, Ledner and Rice",Business Services,73-698-1458,BSQUARE Corporation,BSQR,Miscellaneous,FR15 3984 4469 04V8 JBGV WNFS K49
Realcube,"Metz, Dickinson and Rice",n/a,45-812-4950,Alliance National Municipal Income Fund Inc,AFB,n/a,MR57 3653 6928 7308 6628 4739 015
Skyble,Will-Kessler,n/a,13-021-4032,Vanguard Russell 1000 Value ETF,VONV,n/a,AD64 8032 3960 YEMO PXH8 8XIY
Zoombox,McDermott Group,Computer Software: Prepackaged Software,83-855-2425,"Cornerstone OnDemand, Inc.",CSOD,Technology,DE87 0165 0647 1256 1804 14
Zoomzone,"Leannon, Feest and Wiza",Investment Bankers/Brokers/Service,49-077-1049,VelocityShares Daily Inverse VIX Short-Term ETN,XIV,Finance,LV69 NXXY QVBL 3XVQ SYHI P
Yadel,Fritsch LLC,Coal Mining,98-239-9719,"Warrior Met Coal, Inc.",HCC,Energy,DK19 9610 1996 8796 63
Zoombeat,Gottlieb Group,Major Pharmaceuticals,45-679-2868,"Apricus Biosciences, Inc.",APRI,Health Care,KW42 GHFN LPVR IN6Y TAXD TPP2 LLMS EW
Jabbersphere,Marquardt Group,Savings Institutions,30-038-8521,Broadway Financial Corporation,BYFC,Finance,BR24 8726 3498 0042 9726 1193 313N S
Trudoo,Grimes-Predovic,Savings Institutions,95-314-5075,1st Constitution Bancorp (NJ),FCCY,Finance,AE29 8658 8466 9793 9356 664
Quamba,Hodkiewicz Group,Broadcasting,74-181-2174,Liberty Media Corporation,FWONK,Consumer Services,MT10 EQAW 2825 6QP9 5AU6 2BXJ YVJ1 I4C
Brainbox,Wisozk Group,Precious Metals,53-325-2976,Eldorado Gold Corporation,EGO,Basic Industries,BE80 2471 7940 0200
Talane,Wilderman Inc,Major Banks,32-945-7814,"Premier Financial Bancorp, Inc.",PFBI,Finance,CH12 6733 1DCB 1PFZ K84J Y
Skinte,"Beier, Christiansen and Medhurst",Major Pharmaceuticals,21-001-7382,"Epizyme, Inc.",EPZM,Health Care,RO17 BBGK VLSV D0XI 3WH9 RBCU
Feedfire,"Gottlieb, Feil and Nader",n/a,83-711-2921,"Colony NorthStar, Inc.",CLNS^A.CL,n/a,TN46 2274 3216 0645 1076 2692
Bubblemix,"Kihn, Kassulke and Hackett",Industrial Machinery/Components,17-202-2524,"Badger Meter, Inc.",BMI,Capital Goods,CY32 4533 7290 RBII FKFY WZ6W YJLX
Mudo,Bartoletti-Conn,Major Chemicals,26-325-0759,"Advanced Emissions Solutions, Inc.",ADES,Basic Industries,IT73 A046 1365 351K UJ7X PSU2 CTR
Mudo,"Goyette, Lynch and Beer",Major Pharmaceuticals,98-830-4443,Prima BioMed Ltd,PBMD,Health Care,IL11 5047 3424 6675 6586 844
Layo,"Jerde, Kovacek and Lindgren",Plastic Products,58-449-0443,"Deswell Industries, Inc.",DSWL,Consumer Non-Durables,LI55 6089 6J2Z IK5P BVLU X
Fanoodle,"Legros, Sawayn and Collier",Auto Parts:O.E.M.,65-027-4392,"Lydall, Inc.",LDL,Capital Goods,RS09 3428 5633 4578 9936 66
Zoonder,"Stiedemann, Hoeger and Jacobi",Industrial Machinery/Components,78-731-0992,Northrop Grumman Corporation,NOC,Capital Goods,PK49 ANCY XZWI 47OK ZI2V U531
Tagopia,"Schroeder, Bins and Stracke",Trucking Freight/Courier Services,60-530-0184,Swift Transportation Company,SWFT,Transportation,SA33 58PT BNDV ZEA4 TDWH DYKF
Meedoo,"Reichert, Powlowski and Dooley",Major Pharmaceuticals,98-656-6586,Prana Biotechnology Ltd,PRAN,Health Care,IS04 5261 5320 5667 1609 8052 27
Jabberstorm,Witting-Hoeger,Hotels/Resorts,88-778-6255,Intercontinental Hotels Group,IHG,Consumer Services,CZ26 4793 7836 7409 8180 3611
Ntag,Dickinson-Grant,Precious Metals,27-256-4905,Yamana Gold Inc.,AUY,Basic Industries,AL72 5511 4412 RJ9F WDRT BHGT QE33
Twimbo,"Gibson, Feest and Bergstrom",Business Services,79-547-6206,"Ominto, Inc.",OMNT,Miscellaneous,GL04 2084 1735 4096 65
Photofeed,Schimmel-Emmerich,Finance: Consumer Services,77-583-2554,"Nelnet, Inc.",NNI,Finance,DO81 KMKT 5758 0480 6824 7679 4174
Wordpedia,"Beatty, Boyle and Hickle",Packaged Foods,95-484-3829,Archer-Daniels-Midland Company,ADM,Consumer Non-Durables,TN70 1835 8924 7635 0358 3612
Vinder,Trantow-Adams,n/a,30-777-6481,BlackRock Income Investment Quality Trust,BAF,n/a,LT36 0536 0617 6337 5025
Rooxo,"Luettgen, Rutherford and Connelly",n/a,74-980-3590,"Blackrock MuniHoldings Quality Fund, Inc.",MUS,n/a,AT65 2425 0616 5612 3219
Bubblemix,Block and Sons,Precious Metals,34-201-4960,Silver Standard Resources Inc.,SSRI,Basic Industries,DK97 7160 3300 2738 19
Eazzy,"Cummings, Balistreri and Lynch",Biotechnology: In Vitro & In Vivo Diagnostic Substances,84-548-1098,Meridian Bioscience Inc.,VIVO,Health Care,EE03 1386 8852 9585 4541
Rhynyx,Thompson Inc,n/a,20-462-3190,Capitala Finance Corp.,CPTA,n/a,IE05 NOFR 2898 7169 3604 81
Avaveo,Tremblay and Sons,n/a,97-371-1393,FIRST REPUBLIC BANK,FRC,n/a,LT47 1788 4018 0212 3268
Skidoo,Ward and Sons,Real Estate Investment Trusts,31-269-4895,RLJ Lodging Trust,RLJ,Consumer Services,FR70 6099 9663 70VV AZEJ NFIB D43
Rhybox,Walter-Lockman,Beverages (Production/Distribution),86-993-1282,Vina Concha Y Toro,VCO,Consumer Non-Durables,CY17 5668 9395 F3NR XCAG ELUE BVW8
Blogpad,"Rogahn, Bogisich and Lueilwitz",Business Services,00-036-2707,"ALJ Regional Holdings, Inc.",ALJJ,Miscellaneous,NO81 2689 6261 887
Twimbo,"Senger, Heathcote and Kozey",Investment Managers,23-230-0764,Medley LLC,MDLX,Finance,FR35 1984 0477 17ZA KALK 3KLV A62
Jamia,White Group,Other Consumer Services,24-378-4061,ManTech International Corporation,MANT,Consumer Services,AL78 6033 5230 YH5L SWAL XLXK UFNO
Eadel,Lesch and Sons,n/a,25-879-6273,Great Elm Capital Corp.,GECC,n/a,LB63 7800 ZFO1 CBPJ ZF5B MJGQ MKWH
Kanoodle,Braun-Nolan,Other Specialty Stores,77-947-6639,"Suburban Propane Partners, L.P.",SPH,Consumer Services,FI64 4070 2987 4758 65
Kayveo,Wolff and Sons,n/a,39-239-3848,Nuveen California AMT-Free Quality Municipal Income Fund,NKX,n/a,RS87 4122 0569 0438 8976 17
Realmix,"Franecki, Lynch and Kemmer",Natural Gas Distribution,05-036-6590,Nustar Energy L.P.,NS,Energy,ME89 3510 8043 3161 4574 01
Bubbletube,Thompson-Erdman,Other Consumer Services,57-488-7806,Applied DNA Sciences Inc,APDNW,Consumer Services,AL66 5767 5397 JKHB 57NM RYLQ NWCL
Tagtune,"Daniel, Pfannerstill and Kuvalis",Major Banks,67-802-7003,Webster Financial Corporation,WBS,Finance,NL26 SREL 1242 3173 91
Minyx,"Schmitt, Gerhold and Hilll",Marine Transportation,31-962-7078,Seaspan Corporation,SSW,Transportation,SE64 7350 9916 2108 1197 4377
Zoonoodle,Vandervort-Legros,n/a,22-255-5529,BlueStar TA-BIGITech Israel Technology ETF,ITEQ,n/a,FR62 3257 3618 91UE C3MR MVAK H95
Kazio,Cummings LLC,Computer Software: Prepackaged Software,90-840-4827,SAP SE,SAP,Technology,FR44 7031 1933 31PG G09T GGLI N04
Devshare,Armstrong-McLaughlin,Oil Refining/Marketing,96-491-6937,"Expeditors International of Washington, Inc.",EXPD,Transportation,KZ44 630H 2TFI MEVJ 3Q7V
Snaptags,Anderson-Cormier,n/a,20-122-6341,Saratoga Investment Corp,SAB,n/a,MK97 216X IQHA YQCD R93
Jamia,Runolfsdottir Group,Other Specialty Stores,94-005-3538,Advance Auto Parts Inc,AAP,Consumer Services,SA37 74XW G9UD S77I AGPH YGYW
Yambee,Turcotte-Leuschke,n/a,45-872-6638,"NCS Multistage Holdings, Inc.",NCSM,n/a,VG23 HWGH 8951 1233 0961 5677
Twimm,"Kirlin, Gutkowski and Feest",Major Pharmaceuticals,73-235-8802,"MacroGenics, Inc.",MGNX,Health Care,RO17 FSPH SMYC GQEG KXLE ANIU
Mynte,"Braun, Casper and Runolfsdottir",n/a,18-039-7135,PowerShares Variable Rate Investment Grade Portfolio,VRIG,n/a,AL22 7401 1240 GETT TM4M WOAO GLA4
Einti,Abbott-Bartoletti,Hospital/Nursing Management,59-104-1207,Quorum Health Corporation,QHC,Health Care,EE05 4320 2972 9512 8531
Yakijo,Halvorson Group,Biotechnology: Biological Products (No Diagnostic Substances),20-811-5360,"Proteon Therapeutics, Inc.",PRTO,Health Care,SK60 3369 4297 0943 4925 0525
Topiczoom,"Schinner, Bosco and Aufderhar",Metal Fabrications,79-093-3354,"Oil States International, Inc.",OIS,Energy,LV95 XBYT B21M CPJS 9LGP C
Aivee,Hermiston Inc,n/a,85-898-1698,"Colony NorthStar, Inc.",CLNS^D,n/a,GI13 NZUE XLYY QXEN EDSF FL8
Realblab,Effertz-Okuneva,Home Furnishings,16-650-2191,Select Comfort Corporation,SCSS,Consumer Durables,VG30 EBZC 6549 0777 6833 5982
Eire,Lang-Hackett,Marine Transportation,15-289-6465,"Odyssey Marine Exploration, Inc.",OMEX,Consumer Services,SE95 7179 1341 4213 4356 3287
Eire,"Jacobs, Hills and Bergnaum",Specialty Chemicals,22-756-8620,Cyanotech Corporation,CYAN,Consumer Durables,VG51 VEWT 3863 4781 9059 0046
Eabox,Donnelly Inc,Professional Services,95-020-3310,"Exponent, Inc.",EXPO,Consumer Services,FR05 2322 9267 64ZA NBLZ CBMU Q17
Cogidoo,Johnston and Sons,Rental/Leasing Companies,71-202-1441,"Hertz Global Holdings, Inc",HTZ,Consumer Services,FR53 8567 4672 487I LA24 56C2 L10
Tagtune,Schamberger Group,Plastic Products,81-560-1559,Armstrong World Industries Inc,AWI,Consumer Non-Durables,CR34 9214 1840 8288 8896 0
Tazz,Murazik-Hamill,n/a,18-312-2947,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",MUJ,n/a,MT21 SWLK 0965 9ZUQ CQ0U 5LCW EO5I 5RN
Flipstorm,Schowalter-Smith,Medical/Dental Instruments,89-380-7218,"Entellus Medical, Inc.",ENTL,Health Care,IL14 7266 0873 7436 1331 894
Youtags,"Brown, Leuschke and Zboncak",n/a,05-279-1111,Goldman Sachs MLP Income Opportunities Fund,GMZ,n/a,GT34 ZDXO PLES JYSX VGOE B8AQ ALRR
Demizz,Hoeger-Carroll,Major Banks,74-857-9811,"Commerce Bancshares, Inc.",CBSH,Finance,ES10 0609 2048 2297 2686 4181
Zava,Crist-Hane,Oil & Gas Production,14-044-2139,Total S.A.,TOT,Energy,FR04 8045 0888 55US FF2Q CRMB E93
Wordpedia,Brown-Bins,Beverages (Production/Distribution),32-985-0612,"Truett-Hurst, Inc.",THST,Consumer Non-Durables,AD74 3969 0870 A5N6 FR5C WXPC
Dabjam,Krajcik-O'Kon,Steel/Iron Ore,77-205-7871,Tenaris S.A.,TS,Basic Industries,GT55 B9WJ JAEW I5PX W5UH BKIG 9NYU
Realmix,Stamm-Mayert,Home Furnishings,99-276-5844,Bed Bath & Beyond Inc.,BBBY,Consumer Services,SA94 50ZE 0CH8 TJ03 V5CH FDVK
Skinix,"Gottlieb, Stroman and O'Keefe",n/a,41-849-3933,Gabelli NextShares Trust,MOGLC,n/a,FR28 1053 7553 44JC ZPKI ZLC7 T41
Twitterbeat,"VonRueden, Macejkovic and Welch",Business Services,47-903-5105,JM Global Holding Company,WYIGW,Finance,PL78 5410 9036 2480 9671 2171 4818
Gigashots,Bradtke Inc,Medical/Dental Instruments,41-050-8607,"NuVasive, Inc.",NUVA,Health Care,PK91 XSFQ E4VC HIBG N08R ANG7
Jamia,Rath-Marks,Home Furnishings,16-277-3121,Bed Bath & Beyond Inc.,BBBY,Consumer Services,CY93 0542 4301 MAVF TN6H MCJ4 C2GQ
