Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,Last Payment Amount,Origination Country,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate Type,Current Rate Ref,Early Redemption Penalty,Last Payment Date,Next Principal Scheduled Repayment Date,Early Redemption Penalty,Loan Status,Days in Past-Due
116714.2857,117424.4,ZLP27293,Branch,Not in MARP,2/26/2013,341.2698413,Ireland,Mortage,Loan,Linear,2/18/2045,2/17/2050,EUR,119571.4286,710.1142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
113592.8571,114190.7143,ZLP27294,Web,Not in MARP,2/27/2013,332.1428571,Ireland,Mortage,Loan,Linear,2/19/2045,2/18/2050,EUR,116285.7143,597.8571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
110471.4286,110491.1971,ZLP27295,Broker,Not in MARP,2/28/2013,323.015873,Ireland,Mortage,Loan,Linear,2/20/2045,2/18/2053,EUR,132714.2857,19.76857143,mixed,5 years fixed then variable,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,92
180000,181000,ZLP27296,Branch,Not in MARP,3/1/2013,555.5555556,Ireland,Mortage,Loan,Linear,2/21/2045,2/26/2045,EUR,129428.5714,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
147000,147750,ZLP27297,Web,Not in MARP,3/2/2013,250,Ireland,Mortage,Loan,Linear,2/22/2045,2/27/2045,EUR,126142.8571,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
95000,95250,ZLP27298,Broker,Not in MARP,3/3/2013,277.7777778,Ireland,Mortage,Loan,Linear,2/23/2045,2/28/2045,EUR,122857.1429,250,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
76500,76729.5,ZLP27299,Branch,Not in MARP,3/4/2013,236.1111111,Ireland,Mortage,Loan,Linear,2/24/2045,3/1/2045,EUR,119571.4286,229.5,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
196000,197156,ZLP27300,Branch,Not in MARP,3/5/2013,555.5555556,Ireland,Mortage,Loan,Linear,2/25/2045,3/2/2045,EUR,116285.7143,1156,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
142500,143250,ZLP27301,Web,Not in MARP,3/6/2013,416.6666667,Ireland,Mortage,Loan,Linear,2/26/2045,3/3/2045,EUR,132714.2857,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
129200,129223.12,ZLP27302,Broker,Not in MARP,3/7/2013,0,Ireland,Mortage,Loan,Linear,2/27/2045,2/26/2051,EUR,129428.5714,23.12,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,270
132740.8286,132763.39,ZLP27303,Branch,Not in MARP,3/8/2013,368.6507937,Ireland,Mortage,Loan,Linear,2/28/2045,2/27/2050,EUR,126142.8571,22.56142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
122957.1429,122979.1457,ZLP27304,Web,ARA,3/9/2013,359.5238095,Ireland,Mortage,Loan,Linear,3/1/2045,2/28/2050,EUR,122857.1429,22.00285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
113528.5714,113550.0157,ZLP27305,Broker,Exited MARP,3/10/2013,350.3968254,Ireland,Mortage,Loan,Linear,3/2/2045,3/1/2050,EUR,119571.4286,21.44428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
120400,120420.8857,ZLP27306,Branch,Not in MARP,3/11/2013,472.5274725,Ireland,Mortage,Loan,Linear,3/3/2045,3/2/2050,EUR,116285.7143,20.88571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
113592.8571,113613.1843,ZLP27307,Branch,ARA,3/12/2013,332.1428571,Ireland,Mortage,Loan,Linear,3/4/2045,3/3/2050,EUR,119571.4286,20.32714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
110471.4286,110491.1971,ZLP27308,Web,ARA,3/13/2013,323.015873,Ireland,Mortage,Loan,Linear,3/5/2045,3/3/2053,EUR,116285.7143,19.76857143,fixed,,,fixed,,0.03,7/29/2019,8/30/2019,0.04,non-performing,75
142500,142525.5,ZLP27309,Broker,ARA,3/14/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/6/2045,3/11/2045,EUR,200000,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
95000,95500,ZLP27310,Branch,Not in MARP,3/15/2013,277.7777778,Ireland,Mortage,Loan,Linear,3/7/2045,3/12/2045,EUR,200000,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
76500,76712.5,ZLP27311,Web,Not in MARP,3/16/2013,236.1111111,Ireland,Mortage,Loan,Linear,3/8/2045,3/13/2045,EUR,150000,212.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
196000,196540,ZLP27312,Broker,Not in MARP,3/17/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/9/2045,3/14/2045,EUR,200000,540,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
142500,143367,ZLP27313,Branch,Not in MARP,3/18/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/10/2045,3/15/2045,EUR,175000,867,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
122400,123080,ZLP27314,Branch,Not in MARP,3/19/2013,377.7777778,Ireland,Mortage,Loan,Linear,3/11/2045,3/16/2045,EUR,170000,680,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
153206.6667,153233.2433,ZLP27315,Web,Not in MARP,3/20/2013,434.2592593,Ireland,Mortage,Loan,Linear,3/12/2045,3/11/2051,EUR,165000,26.57666667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
153809.5238,154619.0476,ZLP27316,Broker,Not in MARP,3/21/2013,449.7354497,Ireland,Mortage,Loan,Linear,3/13/2045,3/12/2050,EUR,160000,809.5238095,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
159102.381,159939.7619,ZLP27317,Branch,Not in MARP,3/22/2013,465.2116402,Ireland,Mortage,Loan,Linear,3/14/2045,3/13/2050,EUR,155000,837.3809524,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
173082.2286,173514.8476,ZLP27318,Web,Not in MARP,3/23/2013,480.6878307,Ireland,Mortage,Loan,Linear,3/15/2045,3/14/2050,EUR,150000,432.6190476,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
169688.0952,170170.3667,ZLP27319,Broker,Not in MARP,3/24/2013,496.1640212,Ireland,Mortage,Loan,Linear,3/16/2045,3/15/2050,EUR,145000,482.2714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
165771.4286,166836.0495,ZLP27320,Branch,Not in MARP,3/25/2013,511.6402116,Ireland,Mortage,Loan,Linear,3/17/2045,3/16/2050,EUR,140000,1064.620952,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
185966.6667,186915.4762,ZLP27321,Branch,Not in MARP,3/26/2013,527.1164021,Ireland,Mortage,Loan,Linear,3/18/2045,3/16/2053,EUR,135000,948.8095238,fixed,,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,92
185566.6667,185599.8733,ZLP27322,Web,Not in MARP,3/27/2013,542.5925926,Ireland,Mortage,Loan,Linear,3/19/2045,3/24/2045,EUR,130000,33.20666667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
190000,191000,ZLP27323,Broker,Not in MARP,3/28/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/20/2045,3/25/2045,EUR,125000,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
142500,143250,ZLP27324,Branch,ARA,3/29/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/21/2045,3/26/2045,EUR,200000,750,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
95000,95250,ZLP27325,Web,Exited MARP,3/30/2013,277.7777778,Ireland,Mortage,Loan,Linear,3/22/2045,3/27/2045,EUR,200000,250,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
76500,76729.5,ZLP27326,Broker,Not in MARP,3/31/2013,236.1111111,Ireland,Mortage,Loan,Linear,3/23/2045,3/28/2045,EUR,150000,229.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
196000,197156,ZLP27327,Branch,ARA,4/1/2013,555.5555556,Ireland,Mortage,Loan,Linear,3/24/2045,3/29/2045,EUR,200000,1156,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
142500,143250,ZLP27328,Branch,ARA,4/2/2013,416.6666667,Ireland,Mortage,Loan,Linear,3/25/2045,3/24/2051,EUR,175000,750,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
122400,122423.12,ZLP27329,Web,ARA,4/3/2013,377.7777778,Ireland,Mortage,Loan,Linear,3/26/2045,3/25/2050,EUR,170000,23.12,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
130060,130082.5614,ZLP27330,Broker,Not in MARP,4/4/2013,368.6507937,Ireland,Mortage,Loan,Linear,3/27/2045,3/26/2050,EUR,165000,22.56142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
122957.1429,122979.1457,ZLP27331,Branch,Not in MARP,4/5/2013,0,Ireland,Mortage,Loan,Linear,3/28/2045,3/27/2050,EUR,160000,22.00285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,360
119835.7143,120151.0714,ZLP27332,Web,Not in MARP,4/6/2013,350.3968254,Ireland,Mortage,Loan,Linear,3/29/2045,3/28/2050,EUR,155000,315.3571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
122881.7143,123213.4286,ZLP27333,Broker,Not in MARP,4/7/2013,341.2698413,Ireland,Mortage,Loan,Linear,3/30/2045,3/29/2050,EUR,150000,331.7142857,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
113592.8571,114283.98,ZLP27334,Branch,Not in MARP,4/8/2013,332.1428571,Ireland,Mortage,Loan,Linear,3/31/2045,3/29/2053,EUR,145000,691.1228571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
104657.1429,105238.5714,ZLP27335,Branch,Not in MARP,4/9/2013,323.015873,Ireland,Mortage,Loan,Linear,4/1/2045,4/6/2045,EUR,140000,581.4285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
196000,196034,ZLP27336,Web,Not in MARP,4/10/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/2/2045,4/7/2045,EUR,135000,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
142500,143250,ZLP27337,Broker,Not in MARP,4/11/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/3/2045,4/8/2045,EUR,130000,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
95000,95500,ZLP27338,Branch,Not in MARP,4/12/2013,370.3703704,Ireland,Mortage,Loan,Linear,4/4/2045,4/9/2045,EUR,125000,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
80750,80962.5,ZLP27339,Web,Not in MARP,4/13/2013,0,Ireland,Mortage,Loan,Linear,4/5/2045,4/10/2045,EUR,200000,212.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
190000,190540,ZLP27340,Broker,Not in MARP,4/14/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/6/2045,4/11/2045,EUR,221666.6667,540,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
135000,135867,ZLP27341,Branch,Not in MARP,4/15/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/7/2045,4/6/2051,EUR,256666.6667,867,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
133280,133960,ZLP27342,Branch,Not in MARP,4/16/2013,377.7777778,Ireland,Mortage,Loan,Linear,4/8/2045,4/7/2050,EUR,291666.6667,680,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
126078.5714,126101.1329,ZLP27343,Web,Not in MARP,4/17/2013,368.6507937,Ireland,Mortage,Loan,Linear,4/9/2045,4/8/2050,EUR,326666.6667,22.56142857,variable,,LIBOR,fixed,LIBOR,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
116485.7143,116507.7171,ZLP27344,Broker,ARA,4/18/2013,0,Ireland,Mortage,Loan,Linear,4/10/2045,4/9/2050,EUR,361666.6667,22.00285714,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,320
123620,123641.4443,ZLP27345,Branch,Exited MARP,4/19/2013,350.3968254,Ireland,Mortage,Loan,Linear,4/11/2045,4/10/2050,EUR,396666.6667,21.44428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
116714.2857,117021.4286,ZLP27346,Web,Not in MARP,4/20/2013,341.2698413,Ireland,Mortage,Loan,Linear,4/12/2045,4/11/2050,EUR,431666.6667,307.1428571,mixed,5 years fixed then variable,,fixed,,0.03,7/23/2019,8/30/2019,0.04,non-performing,91
113592.8571,113915.7,ZLP27347,Broker,ARA,4/21/2013,332.1428571,Ireland,Mortage,Loan,Linear,4/13/2045,4/11/2053,EUR,132714.2857,322.8428571,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
116308.9714,116981.1029,ZLP27348,Branch,ARA,4/22/2013,323.015873,Ireland,Mortage,Loan,Linear,4/14/2045,4/19/2045,EUR,129428.5714,672.1314286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
142500,143250,ZLP27349,Branch,ARA,4/23/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/15/2045,4/20/2045,EUR,126142.8571,750,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
90000,90017,ZLP27350,Web,Not in MARP,4/24/2013,277.7777778,Ireland,Mortage,Loan,Linear,4/16/2045,4/21/2045,EUR,122857.1429,17,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
83300,83725,ZLP27351,Broker,Not in MARP,4/25/2013,236.1111111,Ireland,Mortage,Loan,Linear,4/17/2045,4/22/2045,EUR,119571.4286,425,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
190000,191000,ZLP27352,Branch,Not in MARP,4/26/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/18/2045,4/23/2045,EUR,116285.7143,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
142500,142875,ZLP27353,Web,Not in MARP,4/27/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/19/2045,4/24/2045,EUR,132714.2857,375,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
129200,129567.2,ZLP27354,Broker,Not in MARP,4/28/2013,377.7777778,Ireland,Mortage,Loan,Linear,4/20/2045,4/19/2051,EUR,129428.5714,367.2,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
148516.6667,149420.2733,ZLP27355,Branch,Not in MARP,4/29/2013,434.2592593,Ireland,Mortage,Loan,Linear,4/21/2045,4/20/2050,EUR,126142.8571,903.6066667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
145714.2857,146523.8095,ZLP27356,Branch,Not in MARP,4/30/2013,0,Ireland,Mortage,Loan,Linear,4/22/2045,4/21/2050,EUR,122857.1429,809.5238095,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,360
164126.6667,164155.1376,ZLP27357,Web,Not in MARP,5/1/2013,465.2116402,Ireland,Mortage,Loan,Linear,4/23/2045,4/22/2050,EUR,119571.4286,28.47095238,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
164395.2381,164424.6562,ZLP27358,Broker,Not in MARP,5/2/2013,480.6878307,Ireland,Mortage,Loan,Linear,4/24/2045,4/23/2050,EUR,116285.7143,29.41809524,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
160757.1429,160787.5081,ZLP27359,Branch,Not in MARP,5/3/2013,496.1640212,Ireland,Mortage,Loan,Linear,4/25/2045,4/24/2050,EUR,132714.2857,30.3652381,fixed,,,fixed,,0.03,7/22/2019,8/30/2019,0.04,non-performing,180
180506.6667,180967.1429,ZLP27360,Web,Not in MARP,5/4/2013,511.6402116,Ireland,Mortage,Loan,Linear,4/26/2045,4/24/2053,EUR,129428.5714,460.4761905,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
180273.8095,180786.1667,ZLP27361,Broker,Not in MARP,5/5/2013,527.1164021,Ireland,Mortage,Loan,Linear,4/27/2045,5/2/2045,EUR,126142.8571,512.3571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
185566.6667,186695.6933,ZLP27362,Branch,Not in MARP,5/6/2013,542.5925926,Ireland,Mortage,Loan,Linear,4/28/2045,5/3/2045,EUR,122857.1429,1129.026667,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
200040,201040,ZLP27363,Branch,Not in MARP,5/7/2013,555.5555556,Ireland,Mortage,Loan,Linear,4/29/2045,5/4/2045,EUR,119571.4286,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,142525.5,ZLP27364,Web,ARA,5/8/2013,416.6666667,Ireland,Mortage,Loan,Linear,4/30/2045,5/5/2045,EUR,116285.7143,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
90000,90500,ZLP27365,Broker,Exited MARP,5/9/2013,277.7777778,Ireland,Mortage,Loan,Linear,5/1/2045,5/6/2045,EUR,132714.2857,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
83300,83725,ZLP27366,Branch,Not in MARP,5/10/2013,236.1111111,Ireland,Mortage,Loan,Linear,5/2/2045,5/7/2045,EUR,129428.5714,425,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
190000,190500,ZLP27367,Web,ARA,5/11/2013,555.5555556,Ireland,Mortage,Loan,Linear,5/3/2045,5/2/2051,EUR,126142.8571,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
142500,142905,ZLP27368,Broker,ARA,5/12/2013,416.6666667,Ireland,Mortage,Loan,Linear,5/4/2045,5/3/2050,EUR,122857.1429,405,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,213
129200,129986.08,ZLP27369,Branch,ARA,5/13/2013,0,Ireland,Mortage,Loan,Linear,5/5/2045,5/4/2050,EUR,119571.4286,786.08,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,290
126078.5714,126742.1429,ZLP27370,Branch,Not in MARP,5/14/2013,368.6507937,Ireland,Mortage,Loan,Linear,5/6/2045,5/5/2050,EUR,116285.7143,663.5714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
116485.7143,116835.1714,ZLP27371,Web,Not in MARP,5/15/2013,359.5238095,Ireland,Mortage,Loan,Linear,5/7/2045,5/6/2050,EUR,119571.4286,349.4571429,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
123620,124349.1057,ZLP27372,Broker,Not in MARP,5/16/2013,350.3968254,Ireland,Mortage,Loan,Linear,5/8/2045,5/7/2050,EUR,116285.7143,729.1057143,variable,,LIBOR,fixed,LIBOR,0.03,7/23/2019,8/30/2019,0.04,non-performing,95
116714.2857,117328.5714,ZLP27373,Branch,Not in MARP,5/17/2013,341.2698413,Ireland,Mortage,Loan,Linear,5/9/2045,5/7/2053,EUR,200000,614.2857143,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
107614.2857,107634.6129,ZLP27374,Web,Not in MARP,5/18/2013,332.1428571,Ireland,Mortage,Loan,Linear,5/10/2045,5/15/2045,EUR,200000,20.32714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
113960,113979.7686,ZLP27375,Broker,Not in MARP,5/19/2013,323.015873,Ireland,Mortage,Loan,Linear,5/11/2045,5/16/2045,EUR,150000,19.76857143,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,185
190000,190034,ZLP27376,Branch,Not in MARP,5/20/2013,555.5555556,Ireland,Mortage,Loan,Linear,5/12/2045,5/17/2045,EUR,200000,34,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
142500,142875,ZLP27377,Branch,Not in MARP,5/21/2013,416.6666667,Ireland,Mortage,Loan,Linear,5/13/2045,5/18/2045,EUR,175000,375,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
100020,100290,ZLP27378,Web,Not in MARP,5/22/2013,277.7777778,Ireland,Mortage,Loan,Linear,5/14/2045,5/19/2045,EUR,170000,270,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
80750,81241.3,ZLP27379,Broker,Not in MARP,5/23/2013,236.1111111,Ireland,Mortage,Loan,Linear,5/15/2045,5/20/2045,EUR,165000,491.3,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
180000,181000,ZLP27380,Branch,Not in MARP,5/24/2013,555.5555556,Ireland,Mortage,Loan,Linear,5/16/2045,5/15/2051,EUR,160000,1000,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,93
147000,147025.5,ZLP27381,Web,Not in MARP,5/25/2013,416.6666667,Ireland,Mortage,Loan,Linear,5/17/2045,5/16/2050,EUR,155000,25.5,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
129200,129880,ZLP27382,Broker,Not in MARP,5/26/2013,377.7777778,Ireland,Mortage,Loan,Linear,5/18/2045,5/17/2050,EUR,150000,680,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,92
126078.5714,126742.1429,ZLP27383,Branch,Not in MARP,5/27/2013,368.6507937,Ireland,Mortage,Loan,Linear,5/19/2045,5/18/2050,EUR,145000,663.5714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,180
122957.1429,123280.7143,ZLP27384,Branch,ARA,5/28/2013,359.5238095,Ireland,Mortage,Loan,Linear,5/20/2045,5/19/2050,EUR,140000,323.5714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,170
119835.7143,120176.3,ZLP27385,Web,Exited MARP,5/29/2013,350.3968254,Ireland,Mortage,Loan,Linear,5/21/2045,5/20/2050,EUR,135000,340.5857143,fixed,,,fixed,,0.03,7/29/2019,8/30/2019,0.04,non-performing,213
110571.4286,111281.5429,ZLP27386,Broker,Not in MARP,5/30/2013,341.2698413,Ireland,Mortage,Loan,Linear,5/22/2045,5/20/2053,EUR,130000,710.1142857,mixed,5 years fixed then variable,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,200
117180,117777.8571,ZLP27387,Branch,ARA,5/31/2013,332.1428571,Ireland,Mortage,Loan,Linear,5/23/2045,5/28/2045,EUR,125000,597.8571429,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,90
110471.4286,110785.4,ZLP27388,Web,ARA,6/1/2013,258.4126984,Ireland,Mortage,Loan,Linear,5/24/2045,5/29/2045,EUR,200000,313.9714286,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,91
135000,135867,ZLP27389,Broker,ARA,6/2/2013,416.6666667,Ireland,Mortage,Loan,Linear,5/25/2045,5/30/2045,EUR,200000,867,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,95
98000,98500,ZLP27390,Branch,Not in MARP,6/3/2013,277.7777778,Ireland,Mortage,Loan,Linear,5/26/2045,5/31/2045,EUR,150000,500,fixed,,,fixed,,0.03,7/26/2019,8/30/2019,0.04,non-performing,97
