COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,P,WEBSITE URL,CEO,CONTACT TITLE,EMPLOYEES,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Almaden Minerals, Ltd. Ordinary Shares (Canada)",Other Business Services,14000 Jamboree Road,Dallas,TX,75025,682-632-5966,irvinecompany.com,Hortencia Bresser,,,,$500.000 - $999.999,7361,Employment Agencies,561311,33.71906,117.795533
Advantage Oil & Gas Ltd  Ordinary Shares,Other Business Services,4570 Eucalyptus Avenue,Norman,OK,73076,214-808-1245,rainchainsworld.com,Leanna Tijerina,,,,Unknown,,"Business Services, NEC",,33.98903,117.70332
Allianceberstein Holding L.P.  Units,Other Business Services,311 California St # 400,Le Mars,IA,51031,214-808-1246,jmoorepartners.com,Danilo Pride,,,,"$100,000 - $500,000",7389,"Business Services, NEC",522320,37.793116,122.400138
ABB Ltd Common Stock,Professional Services,3652 Viaduct Lujosa,Sioux Falls,SD,65140,918-354-8897,resourcetrends.com,Huey Marcille,,1,135000,,8748,"Business Consulting Services, NEC",541910,33.070376,117.047896
AbbVie Inc. Common Stock,Real Estate,330 Pythian Road,Burbank,CA,91504,918-354-8898,torvickrealestate.com,Apolonia Warne,President,2,268000,,6531,Real Estate Agents and Managers,531210,38.43004,122.58205
AmerisourceBergen Corporation (Holding Co) Common Stock,Legal,100 West San Fernando St # 300,Kansas City ,MO,65214,918-354-8899,zilkakotab.com,Chandra Lagos,,2,334000,,8111,Legal Services,541110,37.33344,121.89096
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Legal,15700 Winchester Boulevard,Eureka,CA,95501,918-354-8900,receiversinc.com,Crissy Pacholec,Owner,2,334000,,8111,Legal Services,541110,37.240097,121.97673
Asbury Automotive Group Inc Common Stock,Other Business Services,4500 Woodman Ave. Suite A,Manhattan,NY,81100,918-354-8901,ziegelgroup.com,Gianna Branin,,,,Unknown,,"Business Services, NEC",,34.1530858,118.4308629
ABM Industries Incorporated Common Stock,Other Business Services,248 Rickenbacker Circle,Modesto,CA,95350,214-808-1252,clarkpest.com,Valentin Billa,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,37.691842,121.80377
Arbor Realty Trust Common Stock,Legal,8911 Research Drive,Dallas,TX,75025,214-808-1253,shimokaji.com,Ilona Dudash,Owner,,,$500.000 - $999.999,8111,Legal Services,541110,33.64267,117.73773
Arbor Realty Trust Preferred Series A,Professional Services,4270 North Blackstone Avenue # 110,Norman,OK,73076,214-808-1254,chcfresno.org,Willard Lablanc,Executive Director,,,"$1,000,000 - $2,500,000",8748,"Business Consulting Services, NEC",531390,36.795286,119.790412
Arbor Realty Trust Cumulative Redeemable Preferred Series B,Other Business Services,27700 Medical Center Road,Le Mars,IA,51031,214-808-1255,mission4health.com,Lauryn Randol,,2000,212000000,,7389,"Business Services, NEC",561499,33.56184,117.6673
Arbor Realty Trust Cumulative Redeemable Preferred Series C,Professional Services,13701 Riverside Drive # 604,Sioux Falls,SD,65140,214-808-1256,levineandassociates.com,Laurena Begin,Owner,2,420000,,8743,Public Relations Services,541820,34.157666,118.431299
Arbor Realty Trust 7.375% Senior Notes due 2021,Printing & Publishing,12400 High Bluff Drive # 100,Burbank,CA,91504,214-808-1257,amnhealthcare.com,Elise Michelle,CEO,1700,705843000,,7363,Help Supply Services,561330,32.94463,117.24058
Abbott Laboratories Common Stock,Legal,3419 West Shaw Avenue,Kansas City ,MO,65214,918-354-8897,gltlaw.com,Corrie Kardell,,9,1503000,,8111,Legal Services,541110,36.80813,119.85418
Barrick Gold Corporation Common Stock,Professional Services,"1030 15th Street, Suite 100",Eureka,CA,95501,214-808-1259,adt.com,Kimberely Rabuse,,,,Unknown,,"Business Consulting Services, NEC",,33.75782937,117.87
American Campus Communities Inc Common Stock,Other Business Services,701 First Ave.,Manhattan,NY,81100,682-632-5966,justmyweight.com,Tish Violett,,,,Unknown,,"Business Services, NEC",,37.41487,122.01817
Acco Brands Corporation Common Stock,Other Business Services,925 Blcaom Hill Road # 1525,Modesto,CA,95350,214-808-1261,ethanallen.com,Hollis Stanfield,,20,6120000,,7389,"Business Services, NEC",541410,37.25062,121.862878
Accuvest Global Opportunities ETF,Transportation & Shipping,2558 Merced Avenue,Dallas,TX,75025,214-808-1262,vulcan.com,Andree Christmann,Owner,,,"$1,000,000 - $2,500,000",3592,"Carburetors, Pistons, Piston Rings, and Valves",332710,34.05889,118.05125
Ace Limited Common Stock,Other Business Services,909 North Sepulveda Boulevard,Norman,OK,73076,214-808-1263,loanapp.com,Lyla Fucillo,,,0,"$1,000,000 - $2,500,000",7389,"Business Services, NEC",561499,33.930061,118.39625
Alliancebernstein Income Fund,Legal,400 South Hope St # 1060,Le Mars,IA,51031,214-808-1264,omm.com,Felton Yafuso,,1500,0,"$100,000 - $500,000",8111,Legal Services,541110,34.052214,118.253655
Aluminum Corporation of China Limited American Depositary Shares,Printing & Publishing,9840 Sixth St.,Sioux Falls,SD,65140,214-808-1265,safariprinting.com,Dell Polino,,2,414000,,,Printing and Writing Paper,,34.0859906,117.5897076
"Arch Coal, Inc. Common Stock",Legal,Po Box 1900,Burbank,CA,91504,214-808-1266,waynejohnsonlaw.com,Nohemi Leko,Owner,2,334000,,8111,Legal Services,541110,34.03424,117.174804
SPDR MSCI ACWI IMI ETF,Legal,160 West Santa Clara St # 1050,Kansas City ,MO,65214,512-343-4495,businessandtechnologylawgroup.com,Tambra Lembke,,6,1002000,,8111,Legal Services,541110,37.33493,121.89304
AECOM Common Stock,Other Business Services,"1041 n ogden dr #1, West Holly",Eureka,CA,95501,512-343-4496,laxlegacylimo.com/,Vicki Maikoksoong,,,,Unknown,,"Business Services, NEC",,38.0407564,119.1445949
"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests",Other Business Services,411 Lewis Rd. #190,Manhattan,NY,81100,682-632-5966,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Renato Airhart,,,,Unknown,,"Business Services, NEC",,37.29718,121.84169
Accenture plc. Class A Ordinary Shares (Ireland),Professional Services,5630 Cerritos Avenue,Modesto,CA,95350,512-343-4498,wcct.com,Lenita Darbro,,,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810093,118.034014
Avenue Income Credit Strategies Fund Common Shares,Other Business Services,3416 Lancashire Lane,Dallas,TX,75025,512-343-4499,homereportcardinspections.com,Barney Hagen,President,1,219000,,7389,"Business Services, NEC",531390,37.687053,120.985548
Ares Commercial Real Estate Corporation Common Stock,Transportation & Shipping,7131 Mirabel Road,Norman,OK,73076,682-632-5966,rruwater.com,Matthew Armacost,Owner,9,2322000,,3713,Truck and Bus Bodies,221310,38.47474,122.89481
Actavis plc Ordinary Shares,Other Business Services,3819 23rd St,Le Mars,IA,51031,512-343-4501,apieceofpeace.com,Belen Nelton,,,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.753224,122.42784
Acme United Corporation. Common Stock,Legal,20750 Ventura Boulevard # 400,Sioux Falls,SD,65140,512-343-4502,lmwslaw.com,Iesha Wardle,Partner,75,12525000,,8111,Legal Services,541110,34.166501,118.585307
Accuride Corporation Common Stock,Insurance,14451 Chambers Road Ste 130,Burbank,CA,91504,682-632-5966,insuremegary.com,Francesco Sarchet,,,,Unknown,,"Insurance Agents, Brokers, and Service",,33.72198,117.80747
iShares MSCI All Country World Minimum Volatility Index Fund,Professional Services,1127 11th St # 310,Kansas City ,MO,65214,512-343-4504,theboveecompany.com,Paulene Rhule,Owner,8,1680000,,8742,Management Consulting Services,541820,38.578538,121.492655
AeroCentury Corp. Common Stock,Legal,535 Anton Boulevard # 810,Eureka,CA,95501,214-808-1277,lawfriend.com,Carole Hughlett,,,,"$100,000 - $500,000",8111,Legal Services,541110,33.69004,117.87685
Agree Realty Corporation Common Stock,Professional Services,13261 Moorpark Street Suite 201,Manhattan,NY,81100,214-808-1278,hadassteincpa.com,Miss Dunning,,4,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
American DG Energy Inc. Common Stock,Advertising & Marketing,8654 Washington Boulevard,Modesto,CA,95350,214-808-1279,haleymiranda.com,Elfrieda Hinsch,Owner,10,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
Adcare Health Systems Inc Common Stock (GA),Professional Services,,Dallas,TX,75025,682-632-5966,wilsonarchitecture.com,Edelmira Calzado,,1,207000,,8712,Architectural Services,541310,,
"Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)",Printing & Publishing,694 South Oxford Avenue,Norman,OK,73076,214-808-1281,calbook.org,Jaime Wasurick,Other,,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
Archer,Professional Services,3314 Capobella,Le Mars,IA,51031,214-808-1282,yeseverestcs.com,Lera Hua,,,,Unknown,8742,Management Consulting Services,999990,33.59486,117.7331
Adeptus Health Inc. Common Stock,Legal,355 South Grand Avenue # 2900,Sioux Falls,SD,65140,214-808-1283,reedsmith.com,Jame Mastro,,200,33400000,,8111,Legal Services,541110,34.052269,118.251988
Alliance Data Systems Corporation Common Stock,Legal,555 California St,Burbank,CA,91504,214-808-1284,ltws.com,Jillian Hailstone,,4,668000,,8111,Legal Services,541110,37.792711,122.403216
ADT Corporation Common Stock,Insurance,2240 East Plaza Boulevard # L,Kansas City ,MO,65214,682-632-5966,farmersagent.com/tbundalian,Louis Zarling,Manager,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.67868,117.08183
Adams Express Company (The),Other Business Services,3325 Longview Drive,Eureka,CA,95501,512-343-4501,local.terminix.com,Emmett Mcshaw,,,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.643399,121.386572
DB Agriculture Short ETN DB Agriculture Short ETN,Other Business Services,755 East Nees Avenue Unit 27156,Manhattan,NY,81100,512-343-4502,levelupcareers.com,Tammy Sams,,,,"$100,000 - $500,000",7361,Employment Agencies,541612,36.85206,119.77131
"Adams Resources & Energy, Inc. Common Stock",Other Business Services,601 East Holt Boulevard,Modesto,CA,95350,512-343-4503,acesmogcheck.com,Willis Wylie,,3,324000,,,"Business Services, NEC",,34.06321,117.64338
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Legal,"7700 Irvine Center Drive, Suite 955",Dallas,TX,75025,512-343-4504,habbaspilaw.com/city/orange-county/,Maxima Brzozowski,,3,510000,,,Legal Services,,33.659095,117.750209
Associated Estates Realty Corporation Common Stock,Legal,319 North Main St # B,Norman,OK,73076,682-632-5966,fortbragglaw.com,Boris Latif,Partner,2,334000,,8111,Legal Services,541110,39.44467,123.80605
AEGON N.V. Perp. Cap. Securities (Netherlands),Printing & Publishing,100 S. CITRUS SUITE 204,Le Mars,IA,51031,512-343-4506,rochaarts.com,Salina Knavel,,,,Unknown,,Miscellaneous Publishing,,34.0858,117.89019
Ameren Corporation Common Stock,Real Estate,2175 North Calif Boulevard # 300,Sioux Falls,SD,65140,682-632-5966,cbre.com,Justa Dini,,,,Unknown,6531,Real Estate Agents and Managers,531210,37.90943,122.06541
AEGON N.V. Common Stock,Legal,"8996 Miramar Rd, Ste 220",Burbank,CA,91504,214-808-1293,aimeemorris.com,Amalia Wolfgang,,,,Unknown,,Legal Services,,32.8940773,117.13
AEGON N.V. Perp. Cap Secs.,Professional Services,1481 Ford St # 201,Kansas City ,MO,65214,214-808-1294,caeap.com,Felix Tutterrow,President,7,574000,,8748,"Business Consulting Services, NEC",624190,34.03728,117.15524
Aegon NV 8.00% Non,Professional Services,3478 Buskirk Avenue # 215,Eureka,CA,95501,214-808-1237,mazeassociates.com,Eura Mcglocklin,,38,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.941519,122.05708
American Equity Investment Life Holding Company Common Stock,Professional Services,28213 Foxlane Drive,Manhattan,NY,81100,214-808-1238,svsmusicproductions.com,Lang Heuring,,,,"$50,000 - $100,000",8748,"Business Consulting Services, NEC",541618,34.434374,118.467037
Agnico Eagle Mines Limited Common Stock,Legal,2225 East Bayshore Road # 200,Modesto,CA,95350,214-808-1239,williamclewis.com,Agustin Lakatos,Owner,4,668000,,8111,Legal Services,541110,37.450301,122.123097
"American Eagle Outfitters, Inc. Common Stock",Professional Services,1543 West Grand Avenue,Dallas,TX,75025,918-354-8898,cashamerica.com,Jaime Lowrance,,,,$500.000 - $999.999,8742,Management Consulting Services,522320,35.12115,120.61234
"American Electric Power Company, Inc. Common Stock",Professional Services,3525 Mount Diablo Boulevard 12,Norman,OK,73076,918-354-8899,maryfurlong.com,Carman Gudiel,,,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.891856,122.118878
Aercap Holdings N.V. Ordinary Shares,Legal,220 Bush St # 1611,Le Mars,IA,51031,918-354-8900,toothattorney.com,Argelia Hofbauer,,7,1169000,,8111,Legal Services,541110,37.791212,122.40091
The AES Corporation Common Stock,Insurance,6265 Greenwich Drive # 250,Sioux Falls,SD,65140,214-808-1244,hpis.biz,Mammie Cisney,Chief Executive Officer,4,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85446,117.18487
AES Corporation (The) Class C Preferred Stock,Professional Services,13022 Woodcock Avenue,Burbank,CA,91504,214-808-1245,arpnetworks.com,Rashad Menino,,,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306057,118.455571
Aetna Inc. Common Stock,Insurance,3170 Crow Canyon Place # 120,Kansas City ,MO,65214,214-808-1246,farmersagent.com/jcarlson2,Janna Bastain,Owner,,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.777005,121.972433
Astoria Financial Corporation Common Stock,Real Estate,873 Stevens Avenue,Eureka,CA,95501,214-808-1247,equityapartments.com,Callie Neikirk,Manager,4,792000,,6513,Operators of Apartment Buildings,531110,32.984006,117.25936
Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,Professional Services,5150 Candlewood St # 9g,Manhattan,NY,81100,682-632-5967,driverstuwilliams.com,Coral Helmcamp,,,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.853518,118.133016
"American Financial Group, Inc. 5.75% Senior Notes due 2042",Professional Services,2205 Coy Avenue,Bakersfield,CA,93307,214-808-1247,krazan.com,Xenia Mushero,President,6,1056000,,8748,"Business Consulting Services, NEC",541711,35.323231,118.99972
AllianceBernstein National Municipal Income Fund Inc,Other Business Services,6746 Greenleaf Ave,Whittier,CA,90601,214-808-1248,locksmith-los-alamitos.com,Adelle Nitcher,,,,Unknown,,"Business Services, NEC",,33.9794984,118.0370973
"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",Real Estate,2801 Camino Del Rio South # 301,San Diego,CA,92108,918-354-8902,heffins.com,Hildegarde Wehrwein,Owner,,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770911,117.134033
"American Financial Group, Inc. Common Stock",Legal,1280 South Victoria Avenue # 125,Ventura,CA,93003,918-354-8903,venturadui.com,Phuong Sugai,Partner,3,501000,,8111,Legal Services,541110,34.26305,119.21183
"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054",Real Estate,4111 Viaduct Marina,Marina Del Rey,CA,90292,918-354-8904,oakwood.com,Leontine Lafoy,Manager,70,13860000,,6513,Operators of Apartment Buildings,531210,33.982518,118.461079
Market Vectors,Professional Services,1001 Bridgeway # 431,Sausalito,CA,94965,918-354-8905,unspoken.com,Darell Mcalarney,,2,460000,,8742,Management Consulting Services,541611,37.858475,122.483599
AFLAC Incorporated Common Stock,Other Business Services,1860 El  Camino Real #55,Burlingame,CA,94010,918-354-8906,abcservicesssf.com,Madonna Landman,,,,Unknown,,"Business Services, NEC",,37.59562,122.38456
"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022",Printing & Publishing,9800 Baseline Road,Alta Loma,CA,91701,214-808-1258,dmjsystems.com,Chuck Berggren,,,,"$100,000 - $500,000",,"Commercial Printing, Lithographic",,34.1226991,117.5903693
"American Financial Group, Inc. 7% Senior Notes due 2050",Professional Services,1730 Highway 89,Tahoe City,CA,96145,214-808-1259,sierrasheetmetalandheating.com,Gregg Epperheimer,Owner,9,1431000,,8748,"Business Consulting Services, NEC",541330,39.17407,120.15584
"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052",Other Business Services,PO Box 763,Menlo Park,CA,94026,214-808-1260,happyspacessf.com,Yan Bubrig,,,,Unknown,,"Business Services, NEC",,37.47843933,122.17
"AmTrust Financial Services, Inc. Preferred Series A",Other Business Services,10861 Cherry St Ste 201,Los Alamitos,CA,90720,214-808-1261,medpromedicaltesting.com/,Stephanie Garlett,,,,Unknown,,"Business Services, NEC",,33.804642,118.0686006
"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B",Other Business Services,1288 Kifer Rd. Suite 203,Sunnyvale,CA,94086,214-808-1262,aitech-usa.com,Alberto Stenquist,,,,Unknown,,"Business Services, NEC",,37.372698,121.990149
"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C",Other Business Services,2525 N McCall Ave,Sanger,CA,93657,214-808-1263,woodspest.com/,Wayne Shivers,Owner,,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.7724509,119.611536
Apollo Senior Floating Rate Fund Inc. Common Stock,Other Business Services,40610 County Center Drive,Temecula,CA,92591,918-354-8898,staffmark.com,Kristal Bothe,,,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.53086,117.15914
"American Financial Group, Inc. 6 3/8% Senior Notes due 2042",Professional Services,7077 Orangewood Avenue # 112,Garden Grove,CA,92841,214-808-1260,hrnetworkinc.com,Florencia Stadel,Owner,5,850000,,8742,Management Consulting Services,541612,33.7956,118.00969
First Majestic Silver Corp. Ordinary Shares (Canada),Legal,515 South Figueroa St # 1515,Los Angeles,CA,90071,682-632-5967,hpdlegal.net,Darrin Tumolillo,Manager,5,835000,,8111,Legal Services,541110,34.052066,118.25742
DB Agriculture Short ETN DB Agriculture Double Short ETN,Real Estate,2091 Rose St,Berkeley,CA,94709,214-808-1267,gordoncommercial.com,Freeman Rudig,Owner,4,536000,,6531,Real Estate Agents and Managers,531210,37.88199,122.27029
Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest,Printing & Publishing,21800 Oxnard St # 250,Woodland Hills,CA,91367,214-808-1268,penton.com,Lazaro Mollison,,,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
AGCO Corporation Common Stock,Real Estate,4616 Collwood Lane,San Diego,CA,92115,214-808-1269,propertysandiego.com,Ellsworth Rieg,,,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767177,117.084867
Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,Other Business Services,333 Washington Boulevard # 360,Marina Del Rey,CA,90292,214-808-1270,familyentertainment.biz,Brinda Mrkvicka,Owner,3,1038000,,7389,"Business Services, NEC",454390,33.98121,118.46376
DB Agriculture Long ETN DB Agriculture Long ETN,Advertising & Marketing,7362 Mannix Court,San Diego,CA,92129,214-808-1271,mynextsign.com,Florinda Mackedanz,Owner,,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938831,117.163823
iShares Core U.S. Aggregate Bond ETF,Printing & Publishing,2817 West Magnolia Boulevard,Burbank,CA,91505,214-808-1272,hayescoprinting.com,Nadine Swartzbeck,President,5,715000,,2752,"Commercial Printing, Lithographic",323111,34.17069,118.33867
Alamos Gold Inc Ordinary Shares,Real Estate,921 East Hillsdale Boulevard,San Mateo,CA,94404,512-343-4497,waxcenter.com/ca-foster-city,Arlette Torchio,,,,"$1,000,000 - $2,500,000",6512,Operators of Nonresidential Buildings,531120,37.55595,122.27518
Accuvest Global Long Short ETF,Printing & Publishing,3600 American River Drive # 203,Sacramento,CA,95864,512-343-4498,mazzetti.com,Adolph Krivanec,,10,2070000,,7363,Help Supply Services,561320,38.569929,121.380919
Federal Agricultural Mortgage Corporation Common Stock,Real Estate,P.O. Box 57-2465,Tarzana,CA,91357,682-632-5967,shcommercialrealestate.com,Georgiana Colbath,,,,Unknown,,Real Estate Agents and Managers,,33.7917977,118.2315573
Federal Agricultural Mortgage Corporation 5.875% Non,Other Business Services,1012 South Wall Street,Los Angeles,CA,90015,512-343-4500,musadirect.com,Rana Lehn,,3,2697000,,,"Business Services, NEC",,34.03711,118.25355
Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,Other Business Services,78 ilex drive,Newbury Park,CA,91320,512-343-4501,ultimizer.net,Chi Morgan,,,,Unknown,,"Business Services, NEC",,34.179447,118.926957
Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,Professional Services,4110 Palisades Road,San Diego,CA,92116,682-632-5967,freibergs.com,Starr Prothro,Manager,,,$500.000 - $999.999,8741,Management Services,541618,32.774908,117.107906
Federal Agricultural Mortgage Corporation Common Stock,Other Business Services,2062 Business Center Drive #140,Irvine,CA,92612,512-343-4503,skylinerecoveryllc.com,Glennis Roseum,,,,Unknown,,"Business Services, NEC",,33.67873,117.85795
"Allergan, Inc. Common Stock",Legal,104 15th St,West Sacramento,CA,95691,512-343-4504,apfss.com,Thea Petermeier,Owner,8,3248000,,8111,Legal Services,517919,38.57121,121.5249
Assured Guaranty Ltd. Common Stock,Other Business Services,625 Broadway,San Diego,CA,92101,682-632-5967,altaplanning.com,Rosalind Persechino,Manager,,,$500.000 - $999.999,7389,"Business Services, NEC",541410,32.715655,117.15901
Assured Guaranty Ltd.,Other Business Services,15260 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,512-343-4505,spherion.com,Shenika Tapian,,,,"$100,000 - $500,000",7361,Employment Agencies,561311,34.153682,118.46572
Assured Guaranty Ltd.,Insurance,9616 Schlitz Road,Phelan,CA,92371,214-808-1280,deliveringonthepromise.com/rdemarco,Veta Vandeberg,,,,"$1,000,000 - $2,500,000",,Hospital and Medical Service Plans,,34.42507,117.53405
Assured Guaranty Ltd.,Other Business Services,25876 The Old Rd. #179,Stevenson Ranch,CA,91381,214-808-1281,jesusarteaga.com,Herschel Geneseo,,,,Unknown,,"Business Services, NEC",,34.39208,118.57321
ETFS Asian Gold Trust,Media,3600 West Magnolia Boulevard,Burbank,CA,91505,214-808-1282,lastudios.info,Dianne Tomasic,,,,"$1,000,000 - $2,500,000",7812,Motion Picture and Video Tape Production,512110,34.167992,118.346189
ProShares Ultra Silver,Professional Services,1141 Scenic Drive # 100,Modesto,CA,95350,214-808-1237,athertoncpas.com,Micah Gerten,,22,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648248,120.9776
Adecoagro S.A. Common Shares,Warehousing & Storage,1846 South 4th St,El Centro,CA,92243,214-808-1238,elcentrointerstate.com,Kaycee Alaibilla,Owner,,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77683,115.55224
Agrium Inc. Common Stock,Legal,689 North Arrowhead Avenue,San Bernardino,CA,92401,214-808-1239,robertgrantlaw.com,Tesha Brang,Owner,,,"$100,000 - $500,000",8111,Legal Services,541110,34.11174,117.2898
"Argan, Inc. Common Stock",Other Business Services,1402 E. Juana,San Leandro,CA,94577,918-354-8898,ghaspwaterdamagerestoration.com/mold-testing/ca/mold-inspection-in-san-leandro-ca/,Marya Chhour,,,,Unknown,,"Business Services, NEC",,37.7297,122.13376
iShares  Agency Bond ETF,Legal,428 Yale Avenue,Claremont,CA,91711,918-354-8899,paulbrisson.com,Ronnie Kettelle,,,,Unknown,,Legal Services,,34.09795,117.71789
A.H. Belo Corporation Common Stock,Professional Services,2835 North Naomi St,Burbank,CA,91504,918-354-8900,aetlab.com,Mabel Fower,Executive Director,35,5005000,,8734,Testing Laboratories,541380,34.20341,118.33994
"Armada Hoffler Properties, Inc. Common Stock",Professional Services,31978 Hilltop Boulevard # D,Running Springs,CA,92382,214-808-1244,brsltd.org,Harley Works,CEO,,,Unknown,8734,Testing Laboratories,541380,34.2055,117.10595
Aspen Insurance Holdings Limited Ordinary Shares,Advertising & Marketing,2831 F St,Eureka,CA,95501,214-808-1245,coxrasmussen.com,Joye Nedman,Owner,5,1045000,,7311,Advertising Agencies,541810,40.7824,124.16365
Aspen Insurance Holdings Limited Perp Pfd Shares (Bermuda),Professional Services,5304 Betsy Ross Drive,Santa Clara,CA,95054,214-808-1246,promo-line.com,Luisa Harnish,Owner,50,10500000,,8743,Public Relations Services,237130,37.407365,121.143201
Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda),Insurance,656 University Avenue,Sacramento,CA,95825,214-808-1247,perryfn.com,Stacey Lortz,President,10,1960000,,6411,"Insurance Agents, Brokers, and Service",524210,38.567119,121.705768
Aspen Insurance Holdings Limited 5.95% Fixed,Other Business Services,14001 Jamboree Road,Irvine,CA,92606,682-632-5967,irvinecompany.com,Reyes Mesmer,,,,$500.000 - $999.1000,7361,Employment Agencies,561311,33.1259,117.654869
"Ashford Hospitality Prime, Inc. Common Stock",Other Business Services,4571 Eucalyptus Avenue,Chino,CA,91710,214-808-1247,rainchainsworld.com,Avery Demus,,,,Unknown,,"Business Services, NEC",,33.152897,117.138007
