Gender,NameSet,GivenName,MiddleInitial,Surname
female,Ninja,Mimototokiku,,
female,Eritrean,Lemlem,A,Dahlak
female,"Chechen (Latin)",Nurset,B,Kishiev
male,Greenland,Niels,A,Rosing
male,French,Zacharie,N,Casgrain
male,French,Jacques,A,Robillard
female,Persian,مهتاب,ب,آسایش
female,Eritrean,Luam,S,Habte
female,Russian,Ilona,G,Glebova
female,Russian,Stepanida,G,Seleznyova
female,Australian,Rose,J,Romilly
female,Scottish,Milly,S,Maclean
female,Slovenian,Lejla,F,Bosanac
male,Dutch,Joëy,T,"van der Hilst"
male,Norwegian,Oliver,A,Carlsen
male,"Chinese (Traditional)",承翰,姿,呂
male,Japanese,克己,千,末崎
female,Eritrean,Haddas,S,Dahlak
male,Ninja,Tekashishimoto,,
male,Russian,Ildar,S,Andreev
male,Vietnamese,Liêm,H,Đinh
male,Hungarian,Albert,I,Söröss
male,"Japanese (Anglicized)",Ryuumei,N,Kanai
male,"Russian (Cyrillic)",Гавриил,В,Глебов
female,Russian,Snjezana,J,Rozhkova
female,French,Alphonsine,M,Quiron
male,Slovenian,Arian,A,Maksimčuk
female,England/Wales,Megan,G,Pearce
female,Russian,Ia,I,Artamonova
male,Polish,Henio,L,Pawłowski
male,Italian,Principio,C,Boni
male,Arabic,Yushua,J,Said
female,Ninja,Takitoteka,,
female,Arabic,Hasnah,S,Hadad
male,Polish,Włodzisław,K,Kucharski
male,England/Wales,Max,P,Humphries
female,French,Adorlee,B,Marleau
male,Swedish,Rayan,M,Danielsson
male,England/Wales,Joe,A,Sims
female,Swedish,Tiffany,E,Bergman
male,Igbo,Nwokezuike,N,Onwumelu
male,Japanese,延,静,保倉
female,Persian,شوکا,خ,پارسافر
male,Slovenian,Šaćir,M,Diminić
male,Australian,Leo,S,Goudie
female,American,Antoinette,P,Fletcher
male,Hobbit,Trahand,P,Underhill
male,Australian,Declan,A,Turley
female,Italian,Annibale,A,Romani
female,Eritrean,Hiwet,R,Filmon
female,Brazil,Matilde,P,Pinto
male,Igbo,Kwemto,C,Oluchukwu
female,Norwegian,Live,L,Torp
female,Brazil,Bianca,B,Santos
male,Slovenian,Zarjo,C,Collauti
female,Australian,Abby,J,Dumas
male,Brazil,Lucas,A,Cardoso
female,Hobbit,Jessamine,F,Baggins
female,Klingon,B'elanna,K,Helvari
female,Polish,Seweryna,M,Sokołowska
male,Polish,Bolek,W,Szczepański
male,Japanese,勇,恵,高須
male,Slovenian,Saud,M,Babovič
female,Vietnamese,Phụng,T,Lưu
male,Scottish,Omar,C,Hunter
female,"Chinese (Traditional)",惠如,淑,錢
male,Arabic,Nooh,H,Wasem
female,Vietnamese,Kiều,T,Lạc
female,Finnish,Carola,E,Herlevi
male,French,Cheney,H,Corbeil
male,Australian,Mitchell,I,Walling
male,Norwegian,Christian,T,Ruud
male,Scottish,Aston,L,Hughes
female,Greenland,Else,A,Frederiksen
female,Russian,Stanislaus,V,Yudina
male,Hispanic,Avelino,M,Bernal
female,Czech,Veronika,L,Sedlářová
male,"Chechen (Latin)",Kunta,Z,Dratchev
female,Thai,ณภัทรกัลญา,ท,พิกุลเวชช
male,"Chinese (Traditional)",詠絮,怡,洪
female,French,Maureen,F,Audet
female,Norwegian,Erle,S,Sørensen
female,Japanese,結衣,延,島津
female,German,Stefanie,P,Jung
female,Norwegian,Lise,M,Nilssen
male,Ninja,Shikimirikashite,,
female,Chinese,Yu,Y,Ch'eng
female,Brazil,Rebeca,M,Goncalves
female,Czech,Laura,M,Koberová
male,Australian,Mason,C,Greenhalgh
male,Icelandic,Marina,D,Heiðarsson
female,Hungarian,Alberta,G,Szôllôs
female,"Chechen (Latin)",Belita,L,Melikov
female,"Russian (Cyrillic)",Акулина,П,Успе́нская
male,"Chechen (Latin)",Shahab,A,Dratchev
male,Dutch,Wannes,J,Boone
female,Icelandic,Sveinfríður,S,Ragnarsdóttir
female,Hungarian,Bella,A,Fekete
male,Norwegian,Christopher,T,Dahlberg
male,Finnish,August,R,Hahli
female,Klingon,K'Ellal,K,Noggra
female,Hungarian,Mária,U,Német
female,Vietnamese,Mười,T,Võ
male,Swedish,Tristan,S,Carlsson
female,Czech,Hana,M,Nová
male,Eritrean,Sebhat,H,Zula
female,Thai,สุธารีรัตน์,อ,เขียวบู่
male,Persian,فرهنگ,پ,طاهباز
female,Igbo,Ifunanya,M,Mamelu
male,"Chinese (Traditional)",信宏,依,韓
female,Croatian,Sofija,M,Jurišić
female,Italian,Simona,P,Cocci
female,Scottish,Abbie,B,Watson
female,Swedish,Nova,T,Sundberg
male,Russian,Theodore,M,Fyodorov
female,"Chinese (Traditional)",育秋,齡,鄒
male,Ninja,Meikitatakikarin,,
female,American,Lorraine,C,Erbe
female,Thai,ดาวประกาย,ค,มาอยู่
female,Hungarian,Boriska,S,Ferenc
male,Russian,Irakli,M,Istomin
female,Klingon,Melota,K,Elas
female,Hispanic,Yanina,D,Callas
male,England/Wales,Joseph,A,Sheppard
female,Arabic,Nabeeha,L,Harb
male,American,Joseph,G,Brown
male,England/Wales,Elliot,T,Joyce
female,England/Wales,Katie,D,Burrows
female,"Russian (Cyrillic)",Иветта,Г,Муравьёва
female,"Japanese (Anglicized)",Sumire,W,Nishiyama
female,Scottish,Olivia,R,Boyle
male,Thai,คมสวัสดิ์,ส,เสนจันตะ
male,Ninja,Tekarukite,,
male,Greenland,Daniel,L,Heilmann
male,Czech,Jan,A,Dvořáček
male,Scottish,Cormac,J,Johnston
female,Hobbit,Amaranth,R,Hogpen
male,Danish,Tosh,L,Lund
female,Slovenian,"Marija Mihaela",Z,Čorak
female,Arabic,Suraa,A,Ghannam
female,Hispanic,Bonfilia,A,Colunga
female,"Chechen (Latin)",Yahita,N,Karataev
male,Danish,Julius,A,Christiansen
male,Hobbit,Roderic,E,Tunnelly
female,"Russian (Cyrillic)",Екатерина,Ф,Ермакова
male,Dutch,Ary,S,Haandrikman
male,American,Jordan,K,Lee
male,Italian,Michele,B,Gallo
female,Thai,สุปดิวรดา,ท,เล่งสูงเนิน
female,French,Vedette,C,Huard
male,"Japanese (Anglicized)",Shikio,M,Harada
male,Czech,Rudolf,E,Jirsa
female,Brazil,Aline,C,Melo
female,Igbo,Akunna,O,Chukwuraenye
female,Czech,Markéta,M,Švejnohová
male,Ninja,Tekatokikuta,,
female,Australian,Annabelle,J,Boucaut
female,"Chechen (Latin)",Aminat,A,Desheriyev
male,Greenland,Mikael,B,Lennert
female,Igbo,Chibugo,C,Obidimkpa
female,Russian,Isabella,A,Baranova
female,Vietnamese,Mùi,C,Chu
female,"Chechen (Latin)",Khiazni,K,Umkhayev
male,Swedish,Marko,M,Johnsson
male,Polish,Sergiusz,M,Nowicki
female,Russian,Naina,E,Gorbunova
female,Slovenian,Borica,J,Artnjak
female,German,Christina,D,Lemann
female,Hungarian,Teca,C,Boross
male,Chinese,Cai,H,Shao
male,Eritrean,Habte,A,Tewolde
female,Danish,Andrea,A,Frandsen
male,Persian,هرمز,ا,علیزاده
male,Finnish,Åke,K,Sademies
male,Russian,Rustam,X,Sergeyev
male,Italian,Ilario,F,Manna
male,Japanese,大輝,美,折出
male,Danish,Emil,M,Thomsen
female,"Russian (Cyrillic)",Клавдия,В,Голова́нова
female,Swedish,Marie,K,Åberg
male,American,George,C,Holt
female,Vietnamese,Luyến,Q,Liễu
female,Finnish,Sinikka,V,Hanski
male,Icelandic,Brynjólfur,Á,Hallbjörnsson
female,Croatian,Veronika,V,Galić
male,Klingon,Mar'Da,T,Kallatar
female,French,Carole,M,Plante
male,Igbo,Chinwemma,U,Rapuokwu
male,"Chechen (Latin)",Zubair,A,Kadiev
female,Swedish,Nikolina,T,Petersson
female,England/Wales,Phoebe,B,Barnes
male,Italian,Leo,M,Lori
female,Swedish,Charlotta,F,Berggren
female,Klingon,B'Gara,K,Demma
female,Finnish,Julia,M,Nykänen
female,Russian,Olesya,I,Blinova
male,"Chinese (Traditional)",玠宇,子,邢
female,"Chechen (Latin)",Layla,M,Ibragimov
female,"Japanese (Anglicized)",Naruha,S,Kokura
female,"Chinese (Traditional)",于倩,馨,孫
female,Norwegian,Ada,F,Kyllingstad
male,"Russian (Cyrillic)",Кузьма,С,Александров
female,Norwegian,Ebba,P,Stokke
female,Ninja,Zukushichirika,,
female,Thai,สุนงค์เยาว์,ท,พุทธิระ
female,Chinese,Cui,X,Mao
female,Polish,Urszula,K,Michalska
female,Hobbit,Jessamine,G,Galbassi
female,Hispanic,Dimpna,N,Robles
male,Igbo,Oluchukwu,Z,Ukaegbulam
male,Slovenian,Aleksej,Z,Šema
male,Klingon,K'ven,V,Paswut
male,Dutch,Sancho,G,Pos
female,Hobbit,Ruby,M,Took
male,England/Wales,Jude,M,Leach
male,Czech,František,P,Král
female,"Chechen (Latin)",Fatima,B,Korgay
female,"Japanese (Anglicized)",Shifumi,T,Hatakenaka
male,Chinese,Shi,Y,T'ien
male,Polish,Lesław,L,Chmielewski
female,German,Sandra,U,Decker
female,Polish,Zoja,D,Kalinowska
male,Slovenian,Zarjo,N,Pristalič
male,Danish,Valdemar,S,Toft
male,Croatian,Žarko,B,Knežević
female,"Russian (Cyrillic)",Майя,М,мишина
male,Eritrean,Yonas,A,Futsum
male,Czech,František,J,Bukač
male,Czech,Jiří,L,Boháč
female,Scottish,Danielle,M,Macleod
female,Finnish,Eila,T,Peltonen
male,Italian,Jacopo,I,Ferri
female,Igbo,Chidumaga,O,Ubanwa
female,Vietnamese,Hạnh,T,Đặng
female,Thai,สุธิดารักษ์,ท,ชัยวาที
male,Eritrean,Futsum,F,Ambessa
male,French,Arthur,M,Savoie
male,Hobbit,Crassus,E,Underhill
male,Czech,David,M,Andrlík
female,Vietnamese,Công,Q,Hoàng
male,"Chechen (Latin)",Isa,S,Vizirov
male,Croatian,Mile,G,Lovrić
female,Swedish,Vanesa,H,Holmgren
male,Danish,Tristan,J,Steffensen
female,"Chechen (Latin)",Ayzan,V,Inarkaevich
male,Japanese,勇,陽,薬師
male,Igbo,Chibueze,C,Chimaijem
male,"Russian (Cyrillic)",Равиль,Т,Панин
male,Slovenian,Massimiliano,V,Drljača
male,Italian,Ovidio,B,Milanesi
male,Italian,Uriele,E,Trevisan
female,Hobbit,Regina,F,Burrows
male,Finnish,Olli-Pekka,E,Kantee
female,Finnish,Maarit,P,Sademies
female,Swedish,Wilma,E,Danielsson
male,"Chinese (Traditional)",莊周,筱,佘
male,Hispanic,Rudy,A,Sauceda
male,American,Rafael,V,Williams
male,Danish,Oliver,S,Bech
male,Hobbit,Gorbaduc,B,Baggins
male,Thai,คเชนทร์ชาติ,ส,เจนดง
female,German,Katja,T,Grunewald
male,England/Wales,John,P,Baldwin
male,"Chinese (Traditional)",哲揚,正,崔
female,Hispanic,Natalya,R,Santacruz
female,Klingon,Noggra,D,Goradh
male,Croatian,Antonio,L,Filipović
male,Persian,کیومرث,ز,"دلدار نسب"
male,Australian,Patrick,L,Gipps
male,Persian,سیامک,ش,داوودی
female,Polish,Eligia,D,Wojciechowska
male,Brazil,Vitór,F,Castro
male,Swedish,Edin,S,Hansson
male,Russian,Rafik,H,Borodin
male,Vietnamese,Trợ,H,Triệu
male,Chinese,Hui,Y,Hsing
female,Polish,Brygida,A,Grabowska
female,Hobbit,Prisca,D,Chubb
male,Igbo,Chikelu,Y,Ebelegbulam
female,Danish,Sarah,V,Olsen
male,Persian,نیاسان,پ,ساوجی
male,Greenland,Jan,J,Lange
female,"Japanese (Anglicized)",Hinako,S,Inoue
female,Greenland,Emilie,M,Andersen
male,Scottish,Malcolm,R,Sutherland
male,Czech,Petr,J,Jelínek
male,Vietnamese,Quế,T,Vương
male,"Russian (Cyrillic)",Демьян,Э,Глазков
female,Klingon,J'Sira,K,Nizhisht
female,German,Kristin,M,Fisher
male,Dutch,Charles,R,Kolk
female,Czech,Alenka,L,Straková
female,Dutch,Pippa,F,"van Ravenhorst"
male,Igbo,Kwemto,N,Chidumaga
male,Hispanic,Elpidio,A,Polanco
male,Australian,Archer,G,Booth
female,Ninja,Mekachiritakukuto,,
female,Italian,Adalberta,A,Pisani
female,"Russian (Cyrillic)",Марианна,П,Артемьева
male,"Japanese (Anglicized)",Norimasa,K,Nishizawa
female,Norwegian,Sofie,A,Olsen
female,"Chinese (Traditional)",珮瑄,立,鄭
female,Croatian,Hrvoja,S,Hrvat
female,"Russian (Cyrillic)",Руслана,М,Воробьёва
female,"Japanese (Anglicized)",Mafumi,S,Yanagisawa
male,American,Richard,D,Sizemore
male,Eritrean,Yusef,L,Kidane
male,Dutch,Douglas,J,Rigters
female,England/Wales,Abby,M,Hall
female,England/Wales,Charlotte,H,Davison
male,German,Sven,M,Farber
female,Icelandic,Halldóra,I,Þorkelsdóttir
female,Chinese,Xiu,X,Shao
female,Hungarian,Eszti,P,Kontz
female,Czech,Pavla,J,Nejedlá
female,Ninja,Aririkishitakufu,,
male,Danish,Valdemar,B,Simonsen
female,Igbo,Chidumaga,C,Odinakachi
male,Igbo,Igwebuike,C,Chiazagomekpere
male,Ninja,Katakuna,,
female,Scottish,Darcie,R,Thomson
male,Klingon,Kelt,K,Juriss
female,Russian,Inessa,M,Alexeyeva
female,Japanese,緑,大,奥本
female,Japanese,朋美,勇,有島
male,Norwegian,Nicolai,A,Pedersen
male,French,Astolpho,M,Bois
female,"Chechen (Latin)",Fatima,T,Vedzizhev
female,Japanese,美咲,大,谷尻
female,Brazil,Brenda,C,Azevedo
female,England/Wales,Jennifer,M,Jackson
male,Igbo,Olisaemeka,U,Zinachidi
female,Norwegian,Andrea,J,Nymoen
female,Vietnamese,Hiền,T,Tôn
female,Australian,Kayla,J,Caesar
female,Danish,Esther,A,Lauridsen
female,Australian,Kiara,L,"Ah Mouy"
female,Arabic,Fiddah,L,Safar
male,Czech,Petr,J,Tichý
male,Polish,Frydrych,M,Nowicki
female,Australian,Ashley,R,Brazier
male,American,David,M,Sims
male,Brazil,Rafael,A,Carvalho
female,Italian,Ludovica,I,Sal
female,Scottish,Charlie,R,Stewart
female,"Chechen (Latin)",Larisa,A,Kadiev
male,Chinese,Ning,L,Chiang
female,Eritrean,Elisa,A,Goytiom
male,Igbo,Chifo,R,Nwachinemelu
male,Chinese,Jie,A,Mao
male,Russian,Ostap,X,Anisimov
male,Danish,Elias,N,Holm
female,American,Perla,R,Baehr
male,French,Campbell,A,Édouard
male,Dutch,Ryon,G,Dieteren
male,Scottish,Alex,K,Maclean
male,Australian,Ashton,A,Stuart
female,Arabic,Yumnah,H,Isa
female,Australian,Elizabeth,J,Carvosso
female,Thai,ลลิตวดี,ก,กัตโร
female,Croatian,Janja,S,Jurković
female,England/Wales,Grace,C,Woods
female,Vietnamese,Tiền,T,Đào
female,Italian,Adolfa,B,Genovese
male,Persian,فرامرز,گ,غایی
male,"Chinese (Traditional)",佳樺,婷,丁
female,Ninja,Katakuchirikika,,
male,Vietnamese,Sửu,T,Thủy
male,Greenland,Jens,K,Kristensen
male,"Chinese (Traditional)",思芛,毓,常
male,"Japanese (Anglicized)",Ryousei,H,Horikawa
female,Vietnamese,Chỉ,H,La
female,Klingon,G'Koli,K,Trimori
male,French,Leverett,H,Lafontaine
male,Australian,Ashton,J,Howitt
male,Scottish,Torin,S,Duncan
female,Brazil,Evelyn,M,Cunha
female,Hispanic,Holly,O,Olivas
female,German,Sophie,F,Traugott
male,Dutch,Salvador,H,Afkir
male,Igbo,Chidiegwu,C,Obijiaku
male,Australian,Ashton,K,Larcombe
male,Slovenian,Nasir,K,Oklešen
female,Thai,"ศิริพาพร ",ท,บำรุงสำราญ
male,American,Michael,G,Dotson
male,Vietnamese,Thiết,S,Liễu
female,Japanese,葵,孝,坪根
female,Swedish,Bea,L,Johnsson
female,Finnish,Eija-Riitt,E,Huovinen
male,Icelandic,Cheryl,E,Héðinsson
female,American,Lisa,H,Rishel
male,"Russian (Cyrillic)",Борислав,Р,Давыдов
male,England/Wales,Charlie,Z,Parker
male,Hungarian,Zoltán,C,Forgách
female,Ninja,Kijitokamikika,,
male,Slovenian,Ramadan,M,Anžej
male,Swedish,Richard,C,Pettersson
male,Russian,Lucas,A,Maslow
male,Eritrean,Aziz,L,Negassi
male,Hungarian,Varsàny,F,Baán
female,Vietnamese,Bồn,N,Tôn
female,Croatian,Čika,S,Novaković
female,Icelandic,Guðný,D,Bjarnadóttir
female,Greenland,Jakobine,O,Andersen
male,Finnish,Väinö,K,Kauniainen
female,Danish,Nicoline,M,Hermansen
female,Hungarian,Agi,O,Söröss
male,Hispanic,Crescencio,S,Ybarra
male,Norwegian,Sebastian,M,Michaelsen
female,Danish,Rebecca,N,Steffensen
female,Eritrean,Fre-qalsi,A,Sheshy
male,Arabic,Ubayy,M,Ghanem
female,Swedish,Nour,T,Forsberg
female,Norwegian,Nora,T,Nilsen
male,England/Wales,Hayden,N,Shaw
male,Brazil,Marcos,P,Alves
female,Eritrean,Faruz,O,Senay
male,Klingon,Rokis,N,D'ciq
male,Croatian,Svetoslav,M,Vidović
female,Scottish,Imogen,L,Sinclair
female,Thai,ลลิตวดี,จ,ชะวาเขียว
female,Vietnamese,Cẩm,T,Tôn
female,Icelandic,Sylvía,Þ,Böðvarsdóttir
male,Japanese,実,愛,野々垣
male,"Chinese (Traditional)",偉廷,琬,莊
female,Hispanic,Nerida,N,Centeno
male,German,Bernd,S,Neustadt
male,Thai,คมวุฒิ,ช,ศรีโสภณ
female,Norwegian,Mia,O,Johnsen
female,"Japanese (Anglicized)",Hatsu,N,Hirayama
male,Hungarian,Ábel,A,Schmidt
female,Hungarian,Dominika,P,Siposs
male,Polish,Szczęsny,K,Kucharski
male,Brazil,Daniel,S,Araujo
female,Hungarian,Alberta,P,Csorba
male,American,Phillip,A,Thompson
female,Swedish,Gry,N,Månsson
male,Chinese,Fai,Z,Lu
female,Brazil,Julia,A,Ferreira
male,Igbo,Ubanwa,C,Ndubueze
male,Vietnamese,Mua,K,Đoàn
female,Igbo,Chifo,C,Odili
male,Icelandic,Rafn,G,Karlsson
male,Finnish,Akseli,I,Elomo
female,Eritrean,Luam,S,Semere
female,French,Dominique,R,Quirion
male,Australian,Tristan,B,Beor
male,"Russian (Cyrillic)",Ярослав,А,Крыло́в
male,Icelandic,Sighvatr,S,Magnússon
female,Eritrean,Eden,I,Berhane
female,Ninja,Zumoarikunorikitoku,,
female,Japanese,弘子,勇,江坂
male,Hobbit,Rudigar,B,Headstrong
female,Hobbit,Berylla,S,Button
female,French,Joséphine,H,Laramée
male,Italian,Castore,M,Pagnotto
female,"Japanese (Anglicized)",Etsumi,S,Iguchi
female,Swedish,Rebecca,F,Isaksson
male,Greenland,Isak,M,Jakobsen
female,Danish,Sara,S,Schmidt
female,"Russian (Cyrillic)",Муза,Н,Улья́нова
male,Vietnamese,Mới,T,Ngô
female,Japanese,愛美,大,満井
female,Czech,Anna,R,Fričová
male,England/Wales,Logan,N,Stokes
female,Hungarian,Jolan,A,Katona
female,Czech,Nikola,M,Matasová
female,Hobbit,Lily,P,Hayward
female,Vietnamese,Bình,L,Lý
male,Dutch,Lazar,P,Noor
male,Dutch,Fulco,S,"van Niel"
male,"Russian (Cyrillic)",Никодим,Е,Измайлов
male,Igbo,Ngozichukwuka,C,Chialuka
female,Brazil,Laura,P,Goncalves
female,Czech,Lucie,J,Langová
male,Croatian,Strahimir,T,Bilić
male,Norwegian,Henrik,T,Adolfsen
male,Hungarian,Marót,Z,Magyar
female,Dutch,Christal,Y,Sprenkels
male,Icelandic,Gísli,H,Sigurgeirsson
male,Greenland,Michael,C,Abelsen
female,England/Wales,Summer,D,Bevan
female,"Chechen (Latin)",Zulikhan,D,Kishiev
female,England/Wales,Louise,S,Hall
male,"Russian (Cyrillic)",Серафим,И,Юсупов
male,Igbo,Onuoha,C,Amaechi
female,Thai,รุ่งกานต์,ค,วิทยา
male,Chinese,Cai,L,Hsüeh
female,American,April,J,McNamara
male,"Chinese (Traditional)",培鈞,虹,范
male,Slovenian,Roman,T,Švabić
female,Russian,Daria,A,Bogdanova
male,Thai,คงภพ,ส,ร้านคำมี
male,"Chechen (Latin)",Bashir,M,Timayev
female,Eritrean,Genet,T,Selassie
male,"Chinese (Traditional)",文帝,淑,鄧
female,Australian,Lauren,N,Shiers
female,"Chechen (Latin)",Valida,O,Musliyevich
male,Vietnamese,Nhỏ,C,Đặng
male,Ninja,Rinkimirikakuta,,
male,Greenland,Martin,C,Davidsen
male,Brazil,Marcos,B,Carvalho
male,Russian,Daniel,F,Abramowitz
female,Icelandic,Katla,E,Snorradóttir
male,Greenland,Marius,H,Geisler
female,"Chinese (Traditional)",巧欣,治,劉
female,Ninja,Kakiaririka,,
female,"Chinese (Traditional)",虹均,貿,梁
male,Croatian,Srđan,D,Lončar
female,"Japanese (Anglicized)",Ayano,A,Motsuzuki
male,"Japanese (Anglicized)",Mamoru,S,Jouon
male,Croatian,Slaven,J,Kovačić
female,Hispanic,Rosilda,U,Hidalgo
female,Slovenian,Milena,L,Oderlap
male,"Russian (Cyrillic)",Закир,З,Голубев
female,"Chinese (Traditional)",惠婷,俊,任
male,Croatian,Prvoš,S,Topić
male,Hungarian,Vince,L,Földesi
male,Norwegian,Tobias,M,Tveita
male,Czech,Karel,J,Skala
female,Ninja,Tokatomifu,,
male,"Chinese (Traditional)",冠廷,雅,任
female,Igbo,Nwabugwu,A,Chibueze
male,Russian,Benjamin,R,Belov
female,Vietnamese,Bé,T,Lương
female,Igbo,Ebelechukwu,A,Ojiofor
female,Vietnamese,Hát,K,Đặng
male,Croatian,Vjekoslav,S,Lukić
female,Dutch,Karin,K,Welman
female,"Russian (Cyrillic)",Регина,М,Озерова
male,Croatian,Branislav,K,Ivančić
female,Norwegian,Silje,W,Amdal
male,"Japanese (Anglicized)",Tomo,N,Watanabe
male,Swedish,Dennis,A,Holmgren
male,Russian,Avdei,I,Shubin
female,Swedish,Samantha,M,Samuelsson
male,Czech,Tomáš,L,Šandera
female,Swedish,Tora,S,Johansson
female,French,Véronique,H,Bizier
female,Igbo,Chukwumoge,O,Ndukaku
male,Hobbit,Minto,B,Grubb
female,Chinese,Xiuxiu,L,Yüan
female,Brazil,Melissa,S,Pinto
male,Croatian,Jasmin,Č,Crnić
female,Vietnamese,Lâu,T,Lý
female,Slovenian,Elzana,S,Čerkez
female,Czech,Hana,R,Zimolová
male,Dutch,Frenk,F,Flierman
female,French,Aya,F,Auclair
female,Scottish,Hannah,B,Kennedy
female,Ninja,Mimoshiki,,
female,Klingon,Karana,C,Surn
male,Hobbit,Matta,G,Brown
male,Italian,Giancarlo,G,Sagese
female,Australian,Ella,E,Medworth
male,Persian,فرهاد,م,غایی
male,German,Ralph,B,Wannemaker
female,Finnish,Sirja,A,Hasti
female,Croatian,Čika,O,Martinović
female,Dutch,Albertje,J,"de Koster"
female,Italian,"Maria Pia",T,Bellucci
male,Persian,شایا,ت,ساوجی
male,Brazil,Tiago,G,Costa
female,Polish,Berta,E,Jabłońska
male,American,Robert,D,Griffin
male,"Japanese (Anglicized)",Nobutaka,R,Aoyagi
male,Igbo,Tobenna,I,Chizoba
male,Vietnamese,Nhu,X,Phạm
female,Igbo,Nwakego,O,Madukwe
male,Czech,Aleš,L,Říha
female,Persian,گیتا,ف,"شاه سیاه"
male,Slovenian,Džan,N,Korlat
female,Brazil,Emily,R,Alves
male,American,Antonio,J,Keeley
female,Norwegian,Kristina,H,Sletner
male,Danish,David,S,Andersen
female,Croatian,Hrvoja,M,Ivanović
male,Croatian,Tihomir,T,Kralj
male,Japanese,四郎,紅,上月
male,Klingon,Kishin,G,Limmrii
male,Dutch,Sijtze,R,"van Leuken"
female,Igbo,Isioma,C,Otitodilichukwu
male,Swedish,Abdullah,E,Axelsson
male,Persian,کیا,ش,"صادق زاده"
female,"Chinese (Traditional)",宛晶,騰,曾
female,Hispanic,Keiko,B,Cordero
male,American,Donald,A,Stepp
female,Croatian,Stana,M,Blažević
male,"Chechen (Latin)",Kerim,M,Arsanukayev
female,Arabic,Ghunyah,A,Ghannam
male,Igbo,Azikiwe,A,Obiuto
male,Croatian,Toni,M,Topić
female,Klingon,Lukara,R,Furstig
female,"Russian (Cyrillic)",Александра,Л,Кудряшо́ва
male,Slovenian,Matis,A,Grunfeld
female,Ninja,Mekafutakukijiri,,
female,German,Kristin,M,Beckenbauer
male,Italian,Albertino,M,Bergamaschi
male,American,Donny,L,Franklin
female,German,Sabrina,L,Luft
female,"Chechen (Latin)",Tamara,M,Inarkaevich
female,Eritrean,Winta,B,Haile
female,Chinese,Qiao,L,Yüan
male,Italian,Romeo,G,Pagnotto
female,Ninja,Kateka,,
female,Icelandic,Sóldís,Þ,Ingólfsdóttir
male,Hungarian,Ármin,E,Benkó
male,Chinese,Hui,Y,Tsui
female,Klingon,Noggra,K,Rovashi
male,Eritrean,Amanuel,M,Simon
male,Czech,Jaroslav,M,Tylšar
female,"Chechen (Latin)",Bitsi,S,Eldarkhanov
male,Italian,Chiaffredo,A,Boni
female,Japanese,優香,和,漢那
male,Finnish,Ismo,L,Viljanen
