TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom,Census 2010 Tracts,Neighborhoods,Zip Codes,Counties
363472,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2008,DODGE,DURANGO,WHITE,,04232019,1118,"(41.776724195055, -72.6888813592941)",29,13,18493,1041
363519,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AE80441,2015,CHEVROLET,SPARK,RED,,04242019,1206,"(41.7652883727208, -72.6884660275183)",5,9,15052,1041
363548,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2003,ACURA,3.2,TAN,,04252019,0253,"(41.7407146659635, -72.6753008190658)",21,2,18494,1041
363781,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,2005,SUBRU,OUTBACK,BLUE,,05012019,1559,"(41.7414748365659, -72.6719640347503)",22,2,18494,1041
363839,,,860-296-9663,CT,LG787,2012,AUDI,Q5,GRAY,,05032019,0028,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
363778,,,860-296-1518,NA,NA1,2003,HONDA,ODYSSEY,GREEN,,05012019,1416,"(41.765864655394, -72.7076804635541)",35,14,15051,1041
364090,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AS98458,2005,HONDA,ACCORD,BLUE,,05092019,2303,"(41.7517362889447, -72.6740892739398)",7,6,18494,1041
364331,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,,,1999,FORD,RANGER,RED,,05162019,1203,"(41.7693328812114, -72.6789087044559)",19,10,15050,1041
363735,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2006,SATURN,MINI VAN,BRO,,04302019,0953,"(41.7704659618807, -72.6721227754497)",19,10,18498,1041
363964,,,860-246-7616,CT,AK95454,2001,AUDI,A4,BLACK,,05062019,0150,"(41.7709918775545, -72.6928883694579)",28,11,15051,1041
363958,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AF34398,2015,NISSAN,ALTIMA,BLK,,05062019,0054,"(41.7355481161232, -72.6756552776815)",20,2,18494,1041
364346,,,860-947-3062,CT,AT06261,1997,OLDSMOBLIE,CUTLASS,TAN,,05162019,2221,"(41.764415548723, -72.6999778808479)",27,11,15051,1041
364226,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,SC,EFX933,2013,GMC,TERRAIN,SILVER,,05142019,0950,"(41.7673044489498, -72.6766330028392)",19,10,15050,1041
363692,,,860-293-2442,CT,AD65729,2008,MITSUBISHI,LANCER,GRAY,,04292019,0152,"(41.8006137013404, -72.7174254161015)",,,18495,1041
363522,,,860-236-2602,NA,NA,2015,FORD,MUSTANG,BLACK,,04242019,1241,"(41.7515850915715, -72.686193910018)",24,3,15052,1041
363765,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,OH,GVL3853,2016,HONDA,CIVIC,RED,,05012019,0331,"(41.7674013818891, -72.6743623633049)",19,10,15050,1041
363973,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AD69751,2010,SUBARU,OUTBACK,BLACK,,05062019,0841,"(41.7554154254651, -72.6826359552076)",25,9,15052,1041
364000,,,860-296-2826,FL,ASTB07,2016,TOYOTA,CAMRY,GRAY,,05072019,1034,"(41.7715142579148, -72.6935410083324)",28,11,15051,1041
363992,,,860-296-2826,CT,C154624,2012,FORD,F-150,BLUE,,05072019,0546,"(41.7653969353552, -72.7090034496398)",35,14,15051,1041
364268,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2008,BMW,328I,WHITE,,05152019,0937,"(41.770822047169, -72.6952706439476)",28,11,15051,1041
363891,D & L TOWING,181 PANE RD. NEWINGTON CT. 06111,860-677-7771,CT,AM05356,2012,LANDROVER,EVOQUE,BLACK,,05042019,0234,"(41.766491340676, -72.7106243127497)",35,14,15051,1041
364014,,,860-236-2602,CT,AT58151,2010,TOYOTA,CAMRY,WHITE,,05072019,1745,"(41.7724434349355, -72.6879109475928)",5,11,15051,1041
363555,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,953ZME,2011,HYUNDAI,SONATA,GRAY,,04252019,0931,"(41.7947487395161, -72.6645192667542)",4,16,18498,1041
363423,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2005,SAAB,9 3 LINEAR,GRAY,,04222019,0034,"(41.7906747293462, -72.6814549436181)",16,16,18493,1041
364136,,,860-296-5382,CT,AN83926,2016,NISSAN,ALTIMA,SILVER,,05112019,0734,"(41.7908869029211, -72.6829274039362)",16,16,18493,1041
363353,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,SERRAO,2007,HONDA,ACCORD,GRAY,,04192019,1900,"(41.7685050753929, -72.6860564611053)",5,11,15051,1041
363659,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,CT,1ANUA0,2011,VOLKSWAGEN,JETTA,BROWN,,04272019,2120,"(41.7670897972513, -72.6795927112564)",19,10,15050,1041
363280,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2001,NISSAN,MAXIMA,GRY,,04172019,1716,"(41.798915162764, -72.6959146472043)",33,17,18493,1041
363982,,,860-296-2826,,,1991,MERCURY,CAPRI,BLUE,,05062019,1401,"(41.7444820745815, -72.6770059958538)",6,3,18494,1041
363604,,,860-236-2602,CT,AL26174,2007,HONDA,CIVIC,WHITE,,04262019,0451,"(41.7566418389583, -72.6821882164613)",8,6,15052,1041
363905,,,860-296-9663,CT,AF30312,1996,HONDA,ACCORD,WHITE,,05042019,1344,"(41.7806557974668, -72.6742084745303)",12,12,18498,1041
363718,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,1999,HONDA,ACCORD,GRAY,,04302019,0327,"(41.7419259949189, -72.6776008263313)",21,2,18494,1041
364128,,,860-296-2826,NJ,T324593,2019,KIA,NIRO,GRAY,,05112019,0311,"(41.737397025547, -72.6708791795093)",22,2,18494,1041
363294,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,2006,SATURN,VUE,TEAL,,04182019,0243,"(41.7863909561658, -72.6896195868509)",16,16,18493,1041
363670,,,860-246-7616,,,1998,BUICK,REGAL,GRAY,,04282019,0141,"(41.7307541070946, -72.669299825846)",22,4,18494,1041
364234,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2007,BMW,328I,BLUE/BLACK,,05142019,1231,"(41.7834045923357, -72.6648608703173)",11,15,18498,1041
363759,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2005,TOYT,CAMRY,GRY,,04302019,1920,"(41.787641265003, -72.6622643818704)",11,15,18498,1041
364022,,,860-246-7616,CT,AN59175,2017,HYUNDAI,ELANTRA,BLUE,,05072019,2306,"(41.7497663603987, -72.694605700331)",39,5,15052,1041
363952,,,860-296-8588,CT,C328CF,2012,VOLVO,TRACTOR,BURGUNDY,,05052019,1941,"(41.7400662119647, -72.7141975059878)",3,5,15052,1041
363890,,,860-216-5474,SC,QWX996,2005,HONDA,ACCORD,WHITE,,05042019,0230,"(41.7709918775545, -72.6928883694579)",28,11,15051,1041
364290,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AB48519,2004,NISSAN,ALTIMA,SILV,,05152019,1802,"(41.7572360417745, -72.6930001149717)",26,9,15052,1041
363439,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,,,1999,CHEVY,STATION,CHARCOAL,,04222019,1522,"(41.7394174246816, -72.7064804829372)",3,5,15052,1041
363843,,,860-296-9663,CT,2AKRN9,2011,ACURA,TSX,GRAY,,05032019,0050,"(41.766491340676, -72.7106243127497)",35,14,15051,1041
364021,,,860-246-7616,CT,3929CS,2007,CHRYSLER,300,GRAY,,05072019,2257,"(41.7706316618094, -72.6855054271636)",5,11,15051,1041
364356,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,7AMPR2,2011,NISSAN,ROGUE,GRAY,,05172019,0154,"(41.7295020722925, -72.6682559968916)",22,4,18494,1041
364188,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,AG47343,2010,CHEVY,HHR,BLK,,05122019,2141,"(41.75739566539, -72.6891486271648)",25,9,15052,1041
364138,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2003,HONDA,ACCORD,SIL,,05112019,1130,"(41.8043051992563, -72.6950684293119)",32,17,18493,1041
364344,,,860-947-3062,CT,240YWA,2014,CHEVY,EQUINOX,BLACK,,05162019,2217,"(41.7709918775545, -72.6928883694579)",28,11,15051,1041
363475,,,860-296-5382,,,2017,TOYOTA,CAMRY,GRAY,,04232019,1123,"(41.7651484873552, -72.7094352754547)",35,14,15051,1041
363574,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2009,DODGE,CALIBER,BLK,,04252019,1111,"(41.799305044979, -72.680748694594)",13,16,18493,1041
363575,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,658YTG,2013,VOLKSWAGON,PASSAT,GRAY,,04252019,1116,"(41.800592678372, -72.6884821365303)",,16,13807,1041
363606,,,860-236-2602,CT,AR37152,2005,ACURA,MDX,GRAY,,04262019,0618,"(41.7956659445012, -72.6790134516743)",13,16,18498,1041
363829,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AP27430,2007,JEEP,COMPASS,SILVER,,05022019,2013,"(41.7912160171966, -72.6810700032762)",13,16,18493,1041
363939,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,CT,AL45172,2017,FORD,FIESTA,BLACK,,05052019,0330,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
364073,,,860-947-3062,CT,AT53678,1999,NISSAN,ALTIMA,BLUE,,05092019,0927,"(41.7447179073531, -72.683290606054)",24,3,18494,1041
364354,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,TX,301G3H,2003,AUDI,A6,BLUE,,05172019,0104,"(41.7402263859838, -72.6993548558059)",37,5,15052,1041
363874,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AD65022,2000,MITSUBISHI,GALANT,GRY,,05032019,1449,"(41.7621384931801, -72.694799863822)",26,9,15052,1041
363284,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,1998,MAZDA,626 DX/LX,GREEN,,04172019,1926,"(41.7802989078572, -72.6870623354397)",15,13,18493,1041
363946,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,932UZE,2003,TOYOTA,COROLLA,GRAY,,05052019,1148,"(41.7595388060022, -72.68705094433)",40,9,15052,1041
363317,,,860-296-1518,CT,AH90040,2008,INFINITE,G35,GRAY/BLUE,,04182019,1346,"(41.7917816973378, -72.6826496523442)",16,16,18493,1041
363751,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,00KLDK,2001,SUZUKI,GSX-R600,YELLOW,,04302019,1515,"(41.7457381999913, -72.6861692077163)",24,3,18494,1041
364054,,,860-236-2602,CT,5ASTE2,2007,CHEVROLET,UPLANDER,TAN,,05082019,2320,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
363595,,,860-296-1518,,,2000,HONDA,ACCORD,BLACK,,04252019,1951,"(41.8043199722338, -72.6970615451889)",32,17,18493,1041
363528,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AR87535,2013,HYUNDAI,ELANTRA,BLUE,,04242019,1637,"(41.7429422417977, -72.7093580717086)",3,5,15052,1041
364185,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AN05894,2009,MITSBUISHI,OUTLANDER,BLU,,05122019,1816,"(41.799305044979, -72.680748694594)",13,16,18493,1041
363936,CT AUTO & TOWING LLC,"42,JANSEN COURT,WEST HARTFORD,CT,99999",860-216-5474,CT,AD55100,2013,ACURA,ILX 20,BLACK,,05052019,0325,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
363898,,,860-296-8588,CT,AA34058,2013,KIA,OPTIMA,RED,,05042019,0843,"(41.7806557974668, -72.6742084745303)",12,12,18498,1041
364130,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2000,ACURA,RL,RED,,05112019,0421,"(41.7394830057205, -72.6874118199675)",23,3,18494,1041
363451,,,860-296-5382,FL,JHBB17,2004,SATURN,VUE,SILVER,,04222019,1919,"(41.757500868762, -72.6775999990816)",8,6,15052,1041
363355,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,,,2003,YAMAHA,RAPTOR 660,BLUE,,04192019,1929,"(41.7565474291318, -72.7109513056819)",2,8,15052,1041
363253,,,,CT,481XTX,2010,HONDA,ACCORD LXP,BLUE,,04172019,0033,"(41.7690369579141, -72.6727886402643)",19,10,15050,1041
363808,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,,,2000,HONDA,ACCORD,WHITE,,05022019,1040,"(41.7615789069916, -72.6863002655734)",40,9,15052,1041
364149,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,805YCV,2013,LINCOLN,MKX,GRAY,,05112019,1809,"(41.7925020451373, -72.6864573227235)",16,16,18493,1041
363876,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,990NTT,2002,LEXUS,SC 430,WHITE,,05032019,1546,"(41.7709856266028, -72.6774048596085)",19,10,15050,1041
363551,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AF86361,2003,JEEP GC,LAREDO,GRAY,,04252019,0908,"(41.7941703165367, -72.6646230735176)",4,16,18498,1041
363763,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,0000,VOLVO,S80,TAN,,05012019,0106,"(41.789367698715, -72.6831790784761)",16,16,18493,1041
363654,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,830ZKV,1997,HONDA,ACCORD,GRAY,,04272019,1734,"(41.7784913575627, -72.7134455708565)",1,14,15051,1041
363790,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,,,1999,HONDA,ACCORD,GREEN,,05012019,2137,"(41.7777137209728, -72.6737303515459)",12,12,18498,1041
364258,,,203-315-9207,CT,AN32047,2000,HONDA,CIVIC,,,05152019,0026,"(41.7449662007606, -72.6827592317203)",6,3,18494,1041
364154,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2002,BUICK,REGAL,BROWN,,05112019,2041,"(41.7778896840482, -72.6855875450252)",18,12,18498,1041
363516,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,,,2004,FORD,TAURUS,RED,,04242019,1147,"(41.775758168791, -72.6804467543645)",17,12,18498,1041
363453,,,860-296-5382,CT,8AHVA8,2010,TOYOTA,CAMRY,BLUE,,04222019,2251,"(41.7675036450187, -72.7030968998675)",27,11,15051,1041
364177,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,MA,7LG492,2002,JEEP,UTILITY,BLACK,,05122019,0833,"(41.7701672801386, -72.69273966188)",28,11,15051,1041
363476,FOUR ACES,"20,GILBERT AVE,BLOOMFIELD,CT,06002",860-335-8325,CT,AP40850,2007,HONDA,ACCORD,BLUE,,04232019,1144,"(41.7616169707472, -72.7078794064043)",35,14,15052,1041
364025,,,860-296-5382,CT,AT15925,2018,HYUNDAI,ELANTRA,SILVER,,05082019,0025,"(41.7709918775545, -72.6928883694579)",28,11,15051,1041
363460,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,AS14724,2005,VOLVO,S80,GRAY,,04232019,0312,"(41.7864361178861, -72.6887286662859)",16,16,18493,1041
363339,,,860-296-2826,CT,A901230,2018,NISSAN,ALTIMA,BLACK,,04192019,0149,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
363954,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AH35520,2006,DODGE,STRATUS,TAN,,05052019,2258,"(41.7841295696871, -72.6836485342194)",16,16,18493,1041
363589,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AF36423,2006,FORD,FIVE HUNDR,GRAY,,04252019,1708,"(41.7989063944006, -72.6782778364592)",13,16,18498,1041
364216,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AT58173,2005,ACURA,TL,GRY/BLK,,05142019,0209,"(41.7832732251506, -72.6724727140759)",12,12,18498,1041
363369,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,655XAA,2004,TOYOTA,SEQOIA,BEIGE,,04202019,0120,"(41.7822998549487, -72.6794156194923)",13,16,18498,1041
364112,,,860-296-8588,CT,AA69050,2014,NISSAN,SENTRA,BLACK,,05102019,1252,"(41.7729444971669, -72.6951780841341)",28,11,15051,1041
364106,,,860-246-7616,CT,AJ65264,2010,BMW,750 XDRIVE,BLACK,,05102019,1022,"(41.7610285994396, -72.680434919946)",19,6,15052,1041
363603,,,860-236-2602,CT,AL20563,1998,JEEP,GRAN CHERO,WHITE,,04262019,0410,"(41.7959359911185, -72.6802146505428)",13,16,18493,1041
364172,,,860-296-2826,CT,C162941,2005,DODGE,RAM 1500,BLACK,,05122019,0248,"(41.7675822284044, -72.6785738434467)",19,10,15050,1041
364248,,,860-246-7616,CT,AN75157,2006,HONDA,CIVIC,TAN,,05142019,1905,"(41.7766399377125, -72.7116267768465)",1,14,15051,1041
364067,,,860-296-2826,CT,AT14504,2010,NISSAN,SENTRA,BLACK,,05092019,0334,"(41.7666483753919, -72.7094343349686)",35,14,15051,1041
363942,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AM45725,2006,CHEVY,COBALT,BLUE,,05052019,0452,"(41.7733477424865, -72.6770505947716)",19,10,15050,1041
363293,,,860-216-5474,CT,6ADTP7,2015,NISSAN,SENTRA,SILVER,,04182019,0213,"(41.7677188959902, -72.6807039158207)",19,10,15050,1041
363559,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,CT,AA06100,2003,SATURN,ION,GRAY,,04252019,0946,"(41.7941703165367, -72.6646230735176)",4,16,18498,1041
363523,,,860-236-2602,CT,AR39410,2010,HYUNDAI,ELENTRA,BLUE,,04242019,1414,"(41.7458487936474, -72.682857900576)",6,3,18494,1041
363745,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,C099665,2004,FORD,F250,RED,,04302019,1323,"(41.7628591899669, -72.6942901190674)",26,9,15052,1041
363918,,,860-296-8588,CT,AD20945,2014,MERCEDES,C300,WHITE,,05042019,2344,"(41.7612494439356, -72.708983942906)",35,14,15052,1041
363370,"CENTRAL AUTO & TRANSPORT, LLC","195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,AM88384,2010,JEEP,WRANGLER,SILVER,,04202019,0234,"(41.733944028659, -72.7019039158432)",38,5,15052,1041
363467,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,2004,FORD,EXPEDETION,WHITE,,04232019,0743,"(41.7542776617071, -72.7133541184427)",36,8,15052,1041
363274,,,860-296-5382,,,2002,FORD,EXPEDITION,GRAY,,04172019,1324,"(41.7998508542586, -72.6612843451518)",4,16,18498,1041
363913,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,AF16629,2005,MERCURY,MONTEGO,RED,,05042019,2131,"(41.7426938348121, -72.6915930060283)",24,3,15052,1041
364288,METRO AUTOBODY & TOWING INC,722 WETHERSFIELD AV  HARTFORD CT 06114,860-947-3062,CT,AN30673,2005,CADILLAC,DEVILLE,GOLD,,05152019,1658,"(41.7574278432214, -72.680123379698)",8,6,15052,1041
363571,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AG09232,2007,ACURA,RDX,GRAY,,04252019,1100,"(41.7941703165367, -72.6646230735176)",4,16,18498,1041
363642,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,4AFRS5,2014,CADILLAC,ESCALADE,BLK,,04272019,0932,"(41.7668573038312, -72.6758297928303)",19,10,15050,1041
363482,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AD22041,2001,MERCEDES-B,ML320,SILVER,,04232019,1554,"(41.7531451181697, -72.675884052996)",8,6,18494,1041
363882,,,860-296-5382,CT,AS66301,2018,NISSAN,ROGUE,SILVER,,05032019,1803,"(41.7824605106032, -72.6715492279817)",12,12,18498,1041
363302,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,,,1999,TOYOTA,CAMRY,TAN,,04182019,0928,"(41.7610105824496, -72.7029082048619)",34,8,15052,1041
364256,COLLATERAL RECOVERY SERVICES,"21,CIRO RD,NORTH BRANFORD,CT,06471",203-315-9207,CT,AN51725,2015,HYUNDAI,SONATA,,,05152019,0009,"(41.8068144557211, -72.7007480532516)",32,17,18493,1041
364011,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AL45628,2010,ACRUA,MDX,BLK,,05072019,1713,"(41.762639022624, -72.6700946532066)",19,10,15050,1041
363579,CROSS COUNTRY AUTO,"585 WINDOSR ST. HARTFORD, CT 06120",860-296-2826,,,2003,ACURA,TL,GRAY,,04252019,1140,"(41.7809036272352, -72.6866853290193)",15,13,18493,1041
363336,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,00JNXE,1996,HONDA,ACCORD,TAN,,04192019,0035,"(41.7790635078942, -72.6887630592833)",15,13,18493,1041
364317,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,VA,UUF4678,2011,SUBARU,LEGARY,RED,,05162019,0949,"(41.7535121480662, -72.6869168609269)",25,9,15052,1041
363529,FRIENDLY AUTO BODY & TOWING,"99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,CT,AR62223,2018,MERCEDES,GLE 350,BROWN,,04242019,1639,"(41.7429422417977, -72.7093580717086)",3,5,15052,1041
363998,,,860-296-2826,CT,AS91954,2012,NISSAN,JUNK,GRAY,,05072019,1020,"(41.7602139655138, -72.7100028150157)",36,8,15052,1041
363902,,,860-947-3062,CT,6059CK,1997,FORD,F250,BLACK,,05042019,1051,"(41.7894941247071, -72.6690272180133)",4,16,18498,1041
