Device_SIMServiceProviderBrandName,Device_Manufacturer,Device_Model,Device_OS,Device_Language,QOS_Date,QOS_SignalStrength,Location_Latitude,Location_Longitude,QOS_DeltaTransmittedBytes,QOS_DeltaReceivedBytes,Location_Country,Location_Region,Location_City,Connection_GenerationCategory
O2,motorola,Moto G (4),ANDROID70,en,2017-09-14 11:15:17 UTC,null,50.7141406,-3.5338612,96380,478585,United Kingdom,England,Exeter,4G
O2,samsung,SM-G935F,ANDROID70,de,2017-08-19 10:48:17 UTC,-51,50.9316071,11.5900582,0,0,Germany,Thuringia,Jena,3G
O2,Sony,E6683,ANDROID71,en,2017-08-01 10:28:34 UTC,null,51.0262013,-0.2656809,3659,0,United Kingdom,England,Horsham,3G
O2,samsung,SM-G920F,ANDROID70,en,2017-07-31 05:33:10 UTC,-99,53.3890795,-2.1926367,5328,3359,United Kingdom,England,Stockport,4G
O2,samsung,SM-G950F,ANDROID70,en,2017-09-12 08:10:31 UTC,-82,50.8330646,-0.6319691,7042,15092,United Kingdom,England,null,4G
O2,LENOVO,Lenovo Z90a40,ANDROID60,en,2017-07-29 16:06:10 UTC,null,48.9496556,20.4912167,336887,479965,Slovakia,KosiÄky,null,3G
O2,Sony,C6903,ANDROID51,de,2017-09-02 10:27:06 UTC,null,52.323975,13.7364221,487,420,Germany,Brandenburg,null,4G
O2,samsung,SM-A310F,ANDROID60,en,2017-07-30 08:48:29 UTC,null,53.2199502,-0.4685213,5006,7656,United Kingdom,England,null,3G
O2,vernee,thor,ANDROID70,de,2017-09-04 18:51:42 UTC,-113,49.7458563,6.6338837,0,0,Germany,Rhineland-Palatinate,Trier,3G
O2,Sony,D6503,ANDROID44,de,2017-09-03 09:35:13 UTC,-95,50.98772507,11.34659876,580,580,Germany,Thuringia,Weimar,3G
O2,samsung,SM-G955F,ANDROID70,en,2017-09-02 06:50:34 UTC,null,50.9362711,-2.6446052,10689,10002,United Kingdom,England,Yeovil,UNKNOWN
O2,HUAWEI,BTV-DL09,ANDROID70,de,2017-08-27 10:51:54 UTC,null,45.8040873,15.9741339,0,0,Croatia,Grad Zagreb,null,4G
O2,samsung,SM-G903F,ANDROID60,de,2017-09-06 06:18:22 UTC,-51,51.6142234,13.7147116,3558,11543,Germany,Brandenburg,Finsterwalde,3G
O2,LGE,Nexus 4,ANDROID51,pl,2017-07-24 12:55:28 UTC,-99,53.5668973,-0.6536799,0,0,United Kingdom,England,null,3G
O2,CS23,CS23,ANDROID51,de,2017-08-20 11:25:54 UTC,null,50.3011807,8.8187609,4395,6749,Germany,Hesse,null,UNKNOWN
O2,samsung,SM-G800F,ANDROID60,en,2017-08-20 16:11:16 UTC,-87,46.8480289,-1.4820819,0,0,France,Pays de la Loire,null,3G
O2,samsung,SM-G930F,ANDROID70,de,2017-08-03 21:51:45 UTC,null,48.121838,11.6627638,0,0,Germany,Bavaria,Munich,4G
O2,samsung,SM-A320FL,ANDROID60,ru,2017-07-28 12:55:19 UTC,-51,49.122292,10.2434969,260,0,Germany,Bavaria,null,3G
O2,HTC,HTC One_M8,ANDROID60,en,2017-08-23 08:23:26 UTC,null,51.7674097,0.0935586,424,602,United Kingdom,England,Harlow,UNKNOWN
O2,Sony,G3121,ANDROID70,de,2017-08-08 14:18:36 UTC,null,49.5377752,7.4016194,71275,80943,Germany,Rhineland-Palatinate,null,4G
O2,Lenovo,Lenovo K10e70,ANDROID60,hu,2017-07-29 08:50:03 UTC,null,47.6765646,22.448928,304,305,Romania,Satu Mare,null,3G
O2,Sony,E6853,ANDROID71,en,2017-08-31 17:32:32 UTC,-54,51.4039819,-2.5057275,159891,865736,United Kingdom,England,null,UNKNOWN
O2,LGE,Nexus 5X,ANDROID71,en,2017-08-16 13:16:10 UTC,null,53.4040118,-2.3053118,27350,29647,United Kingdom,England,Manchester,UNKNOWN
O2,samsung,SM-G935F,ANDROID70,de,2017-08-11 17:32:17 UTC,-74,51.3600552,7.5622874,0,0,Germany,North Rhine-Westphalia,Hagen,UNKNOWN
O2,samsung,SM-A320FL,ANDROID60,de,2017-09-04 03:42:02 UTC,null,48.0006719,10.1762623,130977,323845,Germany,Bavaria,Memmingen,UNKNOWN
O2,samsung,SM-G920F,ANDROID70,de,2017-07-17 06:02:07 UTC,-108,52.3168569,9.6602248,0,0,Germany,Lower Saxony,Ronnenberg,4G
O2,samsung,GT-I9515,ANDROID50,de,2017-08-04 13:19:54 UTC,null,50.3860604,9.7323543,0,0,Germany,Hesse,null,3G
O2,TCL,5051X,ANDROID60,en,2017-08-17 10:24:59 UTC,-111,52.8973869,-1.7681277,256,340,United Kingdom,England,null,3G
O2,samsung,SM-G930F,ANDROID70,en,2017-07-24 05:40:18 UTC,null,56.0023713,-3.8064603,32692,108266,United Kingdom,Scotland,Falkirk,4G
O2,samsung,GT-N7105,ANDROID44,en,2017-08-03 09:11:16 UTC,null,48.3378044,-3.5382723,247619,4574272,France,Brittany,null,UNKNOWN
O2,LENOVO,Lenovo P70-A,ANDROID51,hu,2017-08-24 18:36:01 UTC,null,47.7627319,18.1206834,8061,16650,Slovakia,Nitriansky,null,UNKNOWN
O2,samsung,SM-G389F,ANDROID60,cs,2017-08-17 14:49:56 UTC,-72,49.6411171,17.1421948,0,0,Czech Republic,OlomouckÃ½,null,4G
O2,samsung,SM-G920F,ANDROID70,ru,2017-08-27 12:43:39 UTC,null,48.1830863,11.5501987,6471,380,Germany,Bavaria,Munich,4G
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-07-17 14:50:15 UTC,null,50.9024854,-1.3559927,5647,21600,United Kingdom,England,Southampton,4G
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-09-01 13:32:00 UTC,null,50.8798327,-1.2447213,0,0,United Kingdom,England,Winchester,4G
O2,samsung,SM-A310F,ANDROID70,de,2017-08-06 07:06:27 UTC,null,48.0384787,11.2080439,1689,8597,Germany,Bavaria,null,4G
O2,HUAWEI,PLK-L01,ANDROID60,cs,2017-08-24 08:56:28 UTC,null,48.4664803,17.4438442,0,0,Slovakia,TrnavskÃ½,null,UNKNOWN
O2,Vodafone,Vodafone Smart ultra 6,ANDROID60,en,2017-08-24 06:27:18 UTC,null,53.7891933,-2.4026378,14370,19883,United Kingdom,England,null,UNKNOWN
O2,samsung,SM-G955F,ANDROID70,en,2017-07-12 17:04:44 UTC,null,52.7697285,-1.5795972,110670,1229284,United Kingdom,England,null,4G
O2,HTC,HTC One M9,ANDROID70,en,2017-08-29 11:49:54 UTC,null,51.505952,-0.0253722,64723,238922,United Kingdom,England,London,4G
O2,LeMobile,Le X820,ANDROID60,de,2017-07-21 13:33:26 UTC,null,51.4443447,8.4346391,3768,8664,Germany,North Rhine-Westphalia,null,3G
O2,motorola,MotoG3,ANDROID60,en,2017-08-21 12:30:46 UTC,null,51.9127486,-0.5140736,14012,22648,United Kingdom,England,null,4G
O2,samsung,SM-G935F,ANDROID70,en,2017-09-03 02:03:01 UTC,-52,56.0080494,-3.7938132,20371,98095,United Kingdom,Scotland,Falkirk,UNKNOWN
O2,OnePlus,ONEPLUS A3003,ANDROID71,de,2017-09-04 10:29:33 UTC,null,49.1370702,9.2077803,97274,74644,Germany,Baden-WÃ¼rttemberg,Heilbronn,4G
O2,LGE,Nexus 4,ANDROID51,de,2017-08-19 16:24:26 UTC,null,52.4645197,13.259598,1634,5179,Germany,Berlin,Berlin,3G
O2,Sony,C6833,ANDROID51,en,2017-07-29 19:34:10 UTC,null,52.2883826,-1.5609322,730,2534,United Kingdom,England,Warwick,UNKNOWN
O2,Google,Pixel XL,ANDROID71,en,2017-08-19 20:09:20 UTC,-75,52.6448662,-1.1465002,1220,573,United Kingdom,England,Leicester,UNKNOWN
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-07-14 05:26:22 UTC,-56,52.4253912,-1.5187722,67065,281028,United Kingdom,England,Coventry,UNKNOWN
O2,Sony,E6853,ANDROID71,en,2017-09-09 11:52:00 UTC,null,53.259097,-2.8741834,1958,421,United Kingdom,England,null,4G
O2,samsung,GT-N7100,ANDROID44,en,2017-08-18 15:56:27 UTC,-107,51.33821855,-0.074082805,980,980,United Kingdom,England,London,3G
O2,OnePlus,ONEPLUS A5000,ANDROID71,en,2017-08-28 11:37:55 UTC,null,55.8393174,-4.172329,37856,68419,United Kingdom,Scotland,Glasgow,4G
O2,samsung,SM-G925F,ANDROID70,en,2017-05-24 13:51:38 UTC,-94,51.6471507,-0.2582421,0,0,United Kingdom,England,null,4G
O2,bq,Aquaris_M4.5,ANDROID51,de,2017-08-09 12:58:11 UTC,-61,51.2523535,6.8072667,6831,24105,Germany,North Rhine-Westphalia,DÃ¼sseldorf,UNKNOWN
O2,OnePlus,ONE E1003,ANDROID60,en,2017-08-20 11:58:35 UTC,null,53.765975,-2.418757,904,904,United Kingdom,England,null,UNKNOWN
O2,Sony,E5823,ANDROID70,de,2017-07-28 23:35:49 UTC,null,52.1300286,8.106541,1174,5156,Germany,Lower Saxony,null,3G
O2,samsung,SM-G930F,ANDROID70,de,2017-08-25 11:28:20 UTC,null,49.8722181,8.6557915,228,327,Germany,Hesse,Darmstadt,3G
O2,LENOVO,Lenovo K33a42,ANDROID70,cs,2017-09-02 08:33:43 UTC,-83,44.76775167,15.35280588,10090,21061,Croatia,Licko-Senjska,null,3G
O2,samsung,SM-G930F,ANDROID70,de,2017-09-08 20:56:02 UTC,null,48.7701869,9.1442423,2314,15378,Germany,Baden-WÃ¼rttemberg,Stuttgart,4G
O2,samsung,SM-G955F,ANDROID70,en,2017-07-26 18:32:33 UTC,null,51.5142994,-0.098165,661,0,United Kingdom,England,London,4G
O2,LENOVO,Lenovo P2a42,ANDROID60,en,2017-09-11 15:56:40 UTC,-108,51.7838171,-0.4987637,580,580,United Kingdom,England,null,4G
O2,motorola,Moto G (4),ANDROID70,en,2017-09-08 23:53:50 UTC,null,52.7888816,-2.0521992,15859,19095,United Kingdom,England,Stafford,2G
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-08-29 15:59:22 UTC,-96,51.8486861,-2.1766324,0,0,United Kingdom,England,Tewkesbury,4G
O2,Sony,D5803,ANDROID60,de,2017-08-10 14:34:05 UTC,null,50.8412349,6.2753009,0,0,Germany,North Rhine-Westphalia,Eschweiler,3G
O2,samsung,GT-I9195,ANDROID44,de,2017-09-27 06:55:35 UTC,null,49.37729721,6.78189955,214177,3881330,Germany,Saarland,null,4G
O2,HUAWEI,VKY-L09,ANDROID70,de,2017-08-19 06:40:15 UTC,null,51.0967041,6.8136964,587437,17213886,Germany,North Rhine-Westphalia,Dormagen,4G
O2,samsung,SAMSUNG-SM-N915A,ANDROID51,de,2017-09-15 12:57:04 UTC,-87,50.9356167,6.8494799,1672,6378,Germany,North Rhine-Westphalia,Cologne,3G
O2,samsung,SM-A310F,ANDROID60,de,2017-07-14 18:04:35 UTC,-69,52.5631183,4.6306538,0,0,Netherlands,North Holland,Castricum,UNKNOWN
O2,samsung,SM-A510F,ANDROID70,de,2017-08-14 15:48:52 UTC,-51,52.4867681,13.3423649,0,0,Germany,Berlin,Berlin,3G
O2,LENOVO,Lenovo A7000-a,ANDROID60,cs,2017-09-03 14:51:31 UTC,-112,48.5544046,17.6151952,52,848,Slovakia,TrnavskÃ½,null,4G
O2,samsung,GT-I9195,ANDROID44,en,2017-07-12 15:58:21 UTC,-68,51.561472,-0.5024321,46622,159269,United Kingdom,England,null,4G
O2,LENOVO,Lenovo P2a42,ANDROID60,en,2017-07-15 14:01:57 UTC,null,52.0101608,-0.7336211,1031,0,United Kingdom,England,Milton Keynes,3G
O2,HTC,HTC One,ANDROID50,de,2017-08-31 05:48:36 UTC,null,51.0468533,13.7472609,0,0,Germany,Saxony,Dresden,3G
O2,samsung,SM-A510F,ANDROID70,de,2017-09-03 10:05:23 UTC,-61,54.5364829,9.7354335,40040,14439,Germany,Schleswig-Holstein,null,UNKNOWN
O2,samsung,SM-A510F,ANDROID60,cs,2017-08-10 03:22:19 UTC,-51,50.7315871,15.0577508,647,1071,Czech Republic,Liberec,null,3G
O2,Sony,F8331,ANDROID71,en,2017-09-02 10:26:47 UTC,null,52.6831179,-1.1372506,701,1594,United Kingdom,England,null,4G
O2,samsung,SM-G930F,ANDROID70,en,2017-08-15 06:03:20 UTC,null,51.469345,-0.4718478,867,525,United Kingdom,England,London,4G
O2,samsung,SM-T116,ANDROID44,en,2017-08-08 07:37:43 UTC,-85,49.83071333,8.501177528,7158,3155,Germany,Hesse,Riedstadt,3G
O2,samsung,SM-G925F,ANDROID70,en,2017-08-19 08:58:12 UTC,null,50.5076588,8.2680986,902,1219,Germany,Hesse,null,3G
O2,OUKITEL,K6000 Pro,ANDROID60,cs,2017-09-02 19:45:34 UTC,null,50.0282218,14.5234163,14447727,10420688,Czech Republic,Prague,null,UNKNOWN
O2,ZTE,ZTE A2017G,ANDROID71,en,2017-07-14 16:38:38 UTC,null,48.1843831,11.5383914,5355979,32575644,Germany,Bavaria,Munich,UNKNOWN
O2,samsung,SM-J510FN,ANDROID60,en,2017-09-09 01:50:58 UTC,null,53.3982991,-2.5123496,24216,251936,United Kingdom,England,Warrington,3G
O2,samsung,SM-G930F,ANDROID70,de,2017-09-03 15:37:39 UTC,-51,50.236217,8.3157088,0,0,Germany,Hesse,null,3G
O2,HTC,HTC One,ANDROID50,cs,2017-08-13 09:35:05 UTC,null,50.0654337,14.3025213,330,145,Czech Republic,Prague,null,3G
O2,LGE,LG-K350,ANDROID60,en,2017-08-29 09:29:44 UTC,null,53.3545383,-2.290835,0,0,United Kingdom,England,Manchester,UNKNOWN
O2,samsung,SM-G920F,ANDROID70,en,2017-08-22 05:28:17 UTC,-57,50.353405,-3.5787616,0,0,United Kingdom,England,null,UNKNOWN
O2,OnePlus,ONEPLUS A3003,ANDROID71,en,2017-07-21 21:05:56 UTC,-42,51.369144,-0.1807911,36785,48000,United Kingdom,England,London,UNKNOWN
O2,HUAWEI,H60-L04,ANDROID51,de,2017-07-17 16:50:51 UTC,null,51.4835453,7.6065867,18163,321907,Germany,North Rhine-Westphalia,Holzwickede,4G
O2,samsung,GT-I9195I,ANDROID44,de,2017-09-07 10:03:34 UTC,-101,48.7839869,9.2240514,998,863,Germany,Baden-WÃ¼rttemberg,Stuttgart,3G
O2,samsung,SM-G920F,ANDROID70,de,2017-07-20 05:41:18 UTC,-90,50.1620304,8.6349243,9621,5707,Germany,Hesse,Frankfurt,4G
O2,samsung,SM-G925F,ANDROID70,en,2017-07-11 10:01:12 UTC,null,51.6313842,0.3387386,199,40,United Kingdom,England,Brentwood,2G
O2,samsung,SM-G920F,ANDROID70,de,2017-08-14 11:02:55 UTC,-51,52.6718629,13.6257039,0,0,Germany,Brandenburg,null,3G
O2,LENOVO,Lenovo K920,ANDROID50,cs,2017-08-27 15:11:12 UTC,null,47.58529,17.2584837,155,1170,Hungary,Gyor-Moson-Sopron,null,4G
O2,Sony,F3111,ANDROID70,en,2017-07-25 08:35:26 UTC,-61,53.787383,-1.0788636,23772,72432,United Kingdom,England,Selby,UNKNOWN
O2,samsung,SM-G930F,ANDROID70,de,2017-09-03 18:37:03 UTC,-104,48.4018951,11.7572384,0,0,Germany,Bavaria,Freising,4G
O2,motorola,Moto G (4),ANDROID70,en,2017-08-10 15:32:07 UTC,null,55.8133771,-4.0313187,580,580,United Kingdom,Scotland,North Lanarkshire,4G
O2,OnePlus,ONEPLUS A3003,ANDROID71,de,2017-07-21 04:53:26 UTC,-74,48.8089267,9.1436604,580,580,Germany,Baden-WÃ¼rttemberg,Stuttgart,4G
O2,samsung,SM-A510F,ANDROID70,en,2017-08-15 16:53:38 UTC,null,55.8140405,-4.2067406,0,0,United Kingdom,Scotland,South Lanarkshire,4G
O2,Sony,E6853,ANDROID71,de,2017-07-26 13:29:07 UTC,null,52.5619903,13.4602667,0,0,Germany,Berlin,Berlin,UNKNOWN
O2,Sony,F5321,ANDROID71,cs,2017-08-06 22:14:36 UTC,null,49.0287523,17.7118278,10584,12324,Czech Republic,ZlÃ­nskÃ½,null,UNKNOWN
O2,samsung,SM-G925F,ANDROID70,en,2017-07-23 15:22:30 UTC,-88,52.6405646,1.7222709,0,0,United Kingdom,England,Great Yarmouth,4G
O2,samsung,SM-G935F,ANDROID70,en,2017-05-31 09:54:53 UTC,null,55.8592012,-4.3205214,152466,3777298,United Kingdom,Scotland,Glasgow,4G
O2,UMIDIGI,Z,ANDROID71,cs,2017-08-04 06:12:36 UTC,null,50.1053055,14.2731062,0,0,Czech Republic,Prague,null,4G
O2,samsung,GT-I9506,ANDROID50,de,2017-09-12 12:35:59 UTC,-111,51.5426509,7.866713,0,0,Germany,North Rhine-Westphalia,Werl,3G
O2,Sony,E6653,ANDROID71,en,2017-07-21 08:07:24 UTC,null,55.8314103,-4.4575367,91242,651085,United Kingdom,Scotland,Renfrewshire,4G
O2,samsung,SM-G900F,ANDROID60,en,2017-07-30 09:19:21 UTC,null,52.4635746,0.9443957,0,0,United Kingdom,England,null,4G
O2,Sony,D5803,ANDROID60,de,2017-08-31 16:58:41 UTC,null,50.11469,8.6739316,3739,11051,Germany,Hesse,Frankfurt,3G
O2,Google,Pixel,ANDROID71,en,2017-07-28 08:20:59 UTC,-71,53.0048078,-2.173974,0,159,United Kingdom,England,Stoke-on-Trent,UNKNOWN
O2,samsung,GT-I9195,ANDROID44,en,2017-07-17 12:50:33 UTC,null,51.2679627,-1.0696663,0,0,United Kingdom,England,null,UNKNOWN
O2,Sony,D5803,ANDROID60,cs,2017-08-31 13:30:28 UTC,-96,50.2229358,12.7986448,60,163,Czech Republic,KarlovarskÃ½,null,4G
O2,ZTE,ZTE A2017G,ANDROID71,de,2017-08-03 15:45:31 UTC,null,48.3024742,11.6273992,4058,4620,Germany,Bavaria,null,UNKNOWN
O2,samsung,SM-G930F,ANDROID70,de,2017-08-22 06:31:12 UTC,-92,51.4299542,7.5318896,52,59,Germany,North Rhine-Westphalia,Schwerte,4G
O2,samsung,SM-G935F,ANDROID70,en,2017-08-31 13:49:51 UTC,null,52.3556117,-2.0366601,1520,887,United Kingdom,England,Bromsgrove,4G
O2,Sony,D6503,ANDROID60,de,2017-08-17 07:32:50 UTC,null,52.1419285,11.6268292,2958,6850,Germany,Saxony-Anhalt,Neue Neustadt,3G
O2,motorola,XT1562,ANDROID60,de,2017-08-07 20:00:07 UTC,null,52.0027255,13.0534073,1959,1324,Germany,Brandenburg,null,UNKNOWN
O2,samsung,SM-G930F,ANDROID70,de,2017-08-16 14:19:41 UTC,-104,51.3711179,6.1768792,722,836,Netherlands,Limburg,Venlo,4G
O2,motorola,Moto G (4),ANDROID70,en,2017-08-22 09:23:06 UTC,null,50.8536144,-0.9537728,0,0,United Kingdom,England,Havant,4G
O2,samsung,SM-G935F,ANDROID70,en,2017-09-19 17:58:25 UTC,-64,54.3231006,10.057441,46003,132508,Germany,Schleswig-Holstein,Kiel,UNKNOWN
O2,samsung,SM-G389F,ANDROID60,cs,2017-08-04 12:11:35 UTC,null,49.5397709,16.9991036,0,0,Czech Republic,OlomouckÃ½,null,3G
O2,samsung,SM-G955F,ANDROID70,de,2017-08-11 12:12:10 UTC,null,49.9801959,9.132525,60,384,Germany,Bavaria,Aschaffenburg,4G
O2,samsung,GT-I9301I,ANDROID44,de,2017-05-26 10:14:07 UTC,null,51.85484407,7.06935922,75,0,Germany,North Rhine-Westphalia,null,3G
O2,Sony,D6503,ANDROID60,cs,2017-07-19 08:42:45 UTC,-93,50.4041059,14.92939,0,52,Czech Republic,null,null,4G
O2,samsung,SM-G900F,ANDROID50,en,2017-07-19 00:13:14 UTC,-93,51.4637386,-0.0817892,120522,255748,United Kingdom,England,London,4G
O2,OnePlus,ONE E1003,ANDROID60,de,2017-09-13 07:12:23 UTC,-91,53.5926639,10.0034124,0,0,Germany,Hamburg,Hamburg,3G
O2,HTC,HTC 10,ANDROID70,de,2017-07-09 16:26:35 UTC,-108,53.8859823,10.6509439,19807,40987,Germany,Schleswig-Holstein,Stockelsdorf,4G
O2,samsung,SM-A300FU,ANDROID60,en,2017-08-06 10:44:11 UTC,null,53.4427494,-2.203158,0,0,United Kingdom,England,Manchester,UNKNOWN
O2,LGE,Nexus 5,ANDROID60,de,2017-09-06 12:10:29 UTC,-111,48.117865,11.6738971,9736,16220,Germany,Bavaria,Munich,4G
O2,samsung,SM-N9005,ANDROID50,en,2017-08-18 12:28:29 UTC,null,50.8664292,-1.0156388,2048,5066,United Kingdom,England,Havant,4G
O2,samsung,GT-I9300,ANDROID43,de,2017-08-07 07:37:26 UTC,null,52.5345445,13.2683275,60,0,Germany,Berlin,Berlin,UNKNOWN
O2,samsung,SM-A310F,ANDROID70,de,2017-08-24 17:29:50 UTC,null,50.7796499,6.2007591,3576,7642,Germany,North Rhine-Westphalia,Stolberg,3G
O2,samsung,SM-A310F,ANDROID60,en,2017-08-15 17:48:08 UTC,null,53.2311877,-0.5358966,2331,729,United Kingdom,England,Lincoln,4G
O2,samsung,SM-N9005,ANDROID50,de,2017-08-07 16:09:27 UTC,null,50.05177,8.573892,9951,13870,Germany,Hesse,Frankfurt,3G
O2,OnePlus,ONEPLUS A5000,ANDROID71,en,2017-08-22 10:43:10 UTC,-111,50.7576213,-1.7069928,0,0,United Kingdom,England,null,3G
O2,OnePlus,ONEPLUS A5000,ANDROID71,en,2017-07-20 12:10:26 UTC,null,55.8703834,-3.6832191,8155,42175,United Kingdom,Scotland,West Lothian,3G
O2,Huawei,Nexus 6P,ANDROID71,de,2017-07-21 16:23:36 UTC,null,48.95775489,9.40880595,1345,6686,Germany,Baden-WÃ¼rttemberg,null,3G
O2,Lenovo,Lenovo A880,ANDROID42,cs,2017-08-11 15:02:56 UTC,null,49.4616567,8.5393933,5751,32545,Germany,Baden-WÃ¼rttemberg,Mannheim,3G
O2,OnePlus,ONE A2003,ANDROID60,de,2017-08-28 07:49:12 UTC,null,52.5521693,13.3614306,17609,42366,Germany,Berlin,Berlin,3G
O2,samsung,SM-G800F,ANDROID60,en,2017-08-15 13:30:36 UTC,-102,56.5923456,-2.9098514,1812,6256,United Kingdom,Scotland,Angus,4G
O2,samsung,SM-G935F,ANDROID70,en,2017-07-26 15:27:16 UTC,null,52.6382197,-1.1077342,11154,24818,United Kingdom,England,Leicester,4G
O2,ZTE,ZTE A2017G,ANDROID71,de,2017-09-09 14:49:51 UTC,-83,53.7816653,9.9419967,580,655,Germany,Schleswig-Holstein,null,3G
O2,samsung,GT-I9195,ANDROID44,de,2017-06-06 10:47:08 UTC,null,49.14618297,9.22560376,3495,542,Germany,Baden-WÃ¼rttemberg,Heilbronn,UNKNOWN
O2,samsung,GT-I9301I,ANDROID44,cs,2017-07-12 13:45:58 UTC,-65,50.6584141,13.8209026,7519,5981,Czech Republic,null,null,UNKNOWN
O2,Wileyfox,Wileyfox Storm,ANDROID71,en,2017-08-19 23:29:27 UTC,-105,51.4492269,-0.2129349,2020,2153,United Kingdom,England,London,4G
O2,samsung,SM-G955F,ANDROID70,ru,2017-07-31 16:36:13 UTC,-101,48.22709,11.5721961,0,0,Germany,Bavaria,Munich,UNKNOWN
O2,motorola,Moto G (4),ANDROID70,de,2017-09-06 05:40:36 UTC,-91,51.0255717,7.5654676,270,52,Germany,North Rhine-Westphalia,Gummersbach,3G
O2,HTC,HTC 10,ANDROID70,de,2017-07-20 17:28:54 UTC,-87,50.9717316,11.1349546,0,0,Germany,Thuringia,Erfurt,4G
O2,UMIDIGI,Z,ANDROID71,cs,2017-08-07 00:57:42 UTC,-54,50.4387106,15.1281885,52,52,Czech Republic,StredoceskÃ½,null,UNKNOWN
O2,UMIDIGI,Z,ANDROID71,de,2017-09-28 11:33:53 UTC,-100,48.5628348,9.459721,368,60,Germany,Baden-WÃ¼rttemberg,null,4G
O2,samsung,SM-G930F,ANDROID70,de,2017-09-01 03:28:45 UTC,-85,51.1520206,9.4783759,46975,87975,Germany,Hesse,null,UNKNOWN
O2,Apple,iPhone 6S,IOS103,en,2017-07-27 20:58:35 UTC,null,37.093603,-8.18382,357012,8220797,Portugal,Faro,Albufeira,UNKNOWN
O2,samsung,SM-G903F,ANDROID60,de,2017-09-06 11:03:22 UTC,null,52.5343196,13.3879782,2578,2940,Germany,Berlin,Berlin,4G
O2,Sony,E5823,ANDROID71,en,2017-09-06 17:26:39 UTC,null,53.803954,-1.5029668,3350,16371,United Kingdom,England,Leeds,4G
O2,LGE,Nexus 5,ANDROID60,en,2017-08-21 12:18:20 UTC,null,51.5050197,-0.0193356,407,2341,United Kingdom,England,London,3G
O2,Sony,E6553,ANDROID71,de,2017-08-17 15:39:40 UTC,-89,50.9329645,6.9399058,774,723,Germany,North Rhine-Westphalia,Cologne,3G
O2,Sony,F5121,ANDROID71,de,2017-09-23 08:07:19 UTC,null,53.9590502,10.2631457,909,1930,Germany,Schleswig-Holstein,null,3G
O2,LGE,Nexus 5X,ANDROID71,de,2017-09-04 17:21:23 UTC,null,50.12588079,8.64229528,3532,4009,Germany,Hesse,Frankfurt,4G
O2,Sony,E2303,ANDROID50,de,2017-07-12 12:38:34 UTC,null,52.3353369,13.1124163,32524,26639,Germany,Brandenburg,null,4G
O2,LGE,LG-D802,ANDROID50,de,2017-08-15 04:24:55 UTC,null,49.6561831,11.0330476,0,0,Germany,Bavaria,null,3G
O2,LENOVO,Lenovo K33a48,ANDROID70,de,2017-08-29 01:02:33 UTC,null,50.1900122,10.0828791,16126,7368,Germany,Bavaria,Bad Kissingen,3G
