COMPANY NAME,INDUSTRY,ADDRESS,CITY,STATE,ZIP,COUNTY,number,WEBSITE URL,CEO,CONTACT TITLE,NUMBER OF EMPLOYEES,EMPLOYEE SIZE,SALES,SALES RANGE,SIC CODE,SIC DESCRIPTION,NAICS CODE,LATITUDE,LONGITUDE
"Arch Coal, Inc. Common Stock",Legal,Po Box 1900,Redlands,CA,92373,San Bernardino,214-808-1266,waynejohnsonlaw.com,Wayne Johnson,Owner,2,,334000,,8111,Legal Services,541110,34.03424,117.174804
SPDR MSCI ACWI IMI ETF,Legal,160 West Santa Clara St # 1050,San Jose,CA,95113,Santa Clara,512-343-4495,businessandtechnologylawgroup.com,Stephen Hollman,,6,,1002000,,8111,Legal Services,541110,37.33493,121.89304
AECOM Common Stock,Other Business Services,"1041 n ogden dr #1, West Holly",Lee Vining,CA,93541,Mono,512-343-4496,laxlegacylimo.com/,Mehdi Nadifi,,,4-Jan,,Unknown,,"Business Services, NEC",,38.0407564,119.1445949
"Access Midstream Partners, L.P. Common Units Representing Limited Partner Interests",Other Business Services,411 Lewis Rd. #190,San Jose,CA,95111,Santa Clara,682-632-5966,quantumleapdatarecovery.com/california/data-recovery-in-san-jose-ca/,Amal Monroe,,,4-Jan,,Unknown,,"Business Services, NEC",,37.29718,121.84169
Accenture plc. Class A Ordinary Shares (Ireland),Professional Services,5630 Cerritos Avenue,Cypress,CA,90630,Orange,512-343-4498,wcct.com,Kenneth Kim,,,4-Jan,,"$100,000 - $500,000",8731,Commercial Physical and Biological Research,541712,33.810093,118.034014
Avenue Income Credit Strategies Fund Common Shares,Other Business Services,3416 Lancashire Lane,Modesto,CA,95350,Stanislaus,512-343-4499,homereportcardinspections.com,Bob Holmes,President,1,,219000,,7389,"Business Services, NEC",531390,37.687053,120.985548
Ares Commercial Real Estate Corporation Common Stock,Transportation & Shipping,7131 Mirabel Road,Forestville,CA,95436,Sonoma,682-632-5966,rruwater.com,Hal Wood,Owner,9,,2322000,,3713,Truck and Bus Bodies,221310,38.47474,122.89481
Actavis plc Ordinary Shares,Other Business Services,3819 23rd St,San Francisco,CA,94114,San Francisco,512-343-4501,apieceofpeace.com,Margaret Belton,,,4-Jan,,"$100,000 - $500,000",7389,"Business Services, NEC",812199,37.753224,122.42784
Acme United Corporation. Common Stock,Legal,20750 Ventura Boulevard # 400,Woodland Hills,CA,91364,Los Angeles,512-343-4502,lmwslaw.com,Robert Sherwin,Partner,75,,12525000,,8111,Legal Services,541110,34.166501,118.585307
Accuride Corporation Common Stock,Insurance,14451 Chambers Road Ste 130,Tustin,CA,92780,Orange,682-632-5966,insuremegary.com,Gary Bernat,,,4-Jan,,Unknown,,"Insurance Agents, Brokers, and Service",,33.72198,117.80747
iShares MSCI All Country World Minimum Volatility Index Fund,Professional Services,1127 11th St # 310,Sacramento,CA,95814,Sacramento,512-343-4504,theboveecompany.com,John Bovee,Owner,8,,1680000,,8742,Management Consulting Services,541820,38.578538,121.492655
AeroCentury Corp. Common Stock,Legal,535 Anton Boulevard # 810,Costa Mesa,CA,92626,Orange,214-808-1277,lawfriend.com,Noel Torgerson,,,4-Jan,,"$100,000 - $500,000",8111,Legal Services,541110,33.69004,117.87685
Agree Realty Corporation Common Stock,Professional Services,13261 Moorpark Street Suite 201,Sherman Oaks,CA,91423,Los Angeles,214-808-1278,hadassteincpa.com,Hadas Stein,,4,,1876000,,,"Accounting, Auditing, and Bookkeeping Services",,34.1503,118.422
American DG Energy Inc. Common Stock,Advertising & Marketing,8654 Washington Boulevard,Culver City,CA,90232,Los Angeles,214-808-1279,haleymiranda.com,Jed West,Owner,10,,2090000,,7311,Advertising Agencies,541810,34.02997,118.38266
Adcare Health Systems Inc Common Stock (GA),Professional Services,,San Diego,CA,92121,San Diego,682-632-5966,wilsonarchitecture.com,Timothy Wilson,,1,,207000,,8712,Architectural Services,541310,,
"Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)",Printing & Publishing,694 South Oxford Avenue,Los Angeles,CA,90005,Los Angeles,214-808-1281,calbook.org,Mary Menzel,Other,,4-Jan,,Unknown,5192,"Books, Periodicals, and Newspapers",813319,34.06004,118.30777
Archer,Professional Services,3314 Capobella,Aliso Viejo,CA,92656,Orange,214-808-1282,yeseverestcs.com,Diane L Smith,,,4-Jan,,Unknown,8742,Management Consulting Services,999990,33.59486,117.7331
Adeptus Health Inc. Common Stock,Legal,355 South Grand Avenue # 2900,Los Angeles,CA,90071,Los Angeles,214-808-1283,reedsmith.com,Junga Kim,,200,,33400000,,8111,Legal Services,541110,34.052269,118.251988
Alliance Data Systems Corporation Common Stock,Legal,555 California St,San Francisco,CA,94104,San Francisco,214-808-1284,ltws.com,Wayne H Gilbert,,4,,668000,,8111,Legal Services,541110,37.792711,122.403216
ADT Corporation Common Stock,Insurance,2240 East Plaza Boulevard # L,National City,CA,91950,San Diego,682-632-5966,farmersagent.com/tbundalian,Teresita Bundalian,Manager,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.67868,117.08183
Adams Express Company (The),Other Business Services,3325 Longview Drive,Sacramento,CA,95821,Sacramento,512-343-4501,local.terminix.com,,,,4-Jan,,Unknown,7342,Disinfecting and Pest Control Services,561710,38.643399,121.386572
DB Agriculture Short ETN DB Agriculture Short ETN,Other Business Services,755 East Nees Avenue Unit 27156,Fresno,CA,93729,,512-343-4502,levelupcareers.com,,,,4-Jan,,"$100,000 - $500,000",7361,Employment Agencies,541612,36.85206,119.77131
"Adams Resources & Energy, Inc. Common Stock",Other Business Services,601 East Holt Boulevard,Ontario,CA,91764,San Bernardino,512-343-4503,acesmogcheck.com,Smog Ontario,,3,,324000,,,"Business Services, NEC",,34.06321,117.64338
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Legal,"7700 Irvine Center Drive, Suite 955",Irvine,CA,92618,Orange,512-343-4504,habbaspilaw.com/city/orange-county/,Samer Habbas,,3,,510000,,,Legal Services,,33.659095,117.750209
Associated Estates Realty Corporation Common Stock,Legal,319 North Main St # B,Fort Bragg,CA,95437,Mendocino,682-632-5966,fortbragglaw.com,Ryan F Perkins,Partner,2,,334000,,8111,Legal Services,541110,39.44467,123.80605
AEGON N.V. Perp. Cap. Securities (Netherlands),Printing & Publishing,100 S. CITRUS SUITE 204,Covina,CA,91723,Los Angeles,512-343-4506,rochaarts.com,ROCHA ARTS,,,4-Jan,,Unknown,,Miscellaneous Publishing,,34.0858,117.89019
Ameren Corporation Common Stock,Real Estate,2175 North Calif Boulevard # 300,Walnut Creek,CA,94596,Contra Costa,682-632-5966,cbre.com,Trevor Thorpe,,,4-Jan,,Unknown,6531,Real Estate Agents and Managers,531210,37.90943,122.06541
AEGON N.V. Common Stock,Legal,"8996 Miramar Rd, Ste 220",San Diego,CA,92126,San Diego,214-808-1293,aimeemorris.com,Aimee Morris,,,4-Jan,,Unknown,,Legal Services,,32.8940773,117.13
AEGON N.V. Perp. Cap Secs.,Professional Services,1481 Ford St # 201,Redlands,CA,92373,San Bernardino,214-808-1294,caeap.com,Robert Bruner,President,7,,574000,,8748,"Business Consulting Services, NEC",624190,34.03728,117.15524
Aegon NV 8.00% Non,Professional Services,3478 Buskirk Avenue # 215,Pleasant Hill,CA,94523,Contra Costa,214-808-1237,mazeassociates.com,Tim Kirsch,,38,,3230000,,8721,"Accounting, Auditing, and Bookkeeping Services",541219,37.941519,122.05708
American Equity Investment Life Holding Company Common Stock,Professional Services,28213 Foxlane Drive,Canyon Country,CA,91351,Los Angeles,214-808-1238,svsmusicproductions.com,Scott V Smith,,,4-Jan,,"$50,000 - $100,000",8748,"Business Consulting Services, NEC",541618,34.434374,118.467037
Agnico Eagle Mines Limited Common Stock,Legal,2225 East Bayshore Road # 200,Palo Alto,CA,94303,San Mateo,214-808-1239,williamclewis.com,William Lewis,Owner,4,,668000,,8111,Legal Services,541110,37.450301,122.123097
"American Eagle Outfitters, Inc. Common Stock",Professional Services,1543 West Grand Avenue,Grover Beach,CA,93433,San Luis Obispo,918-354-8898,cashamerica.com,Dan Hutton,,,4-Jan,,$500.000 - $999.999,8742,Management Consulting Services,522320,35.12115,120.61234
"American Electric Power Company, Inc. Common Stock",Professional Services,3525 Mount Diablo Boulevard 12,Lafayette,CA,94549,Contra Costa,918-354-8899,maryfurlong.com,Mary Furlong,,,4-Jan,,"$100,000 - $500,000",8742,Management Consulting Services,541613,37.891856,122.118878
Aercap Holdings N.V. Ordinary Shares,Legal,220 Bush St # 1611,San Francisco,CA,94104,San Francisco,918-354-8900,toothattorney.com,James Davis,,7,,1169000,,8111,Legal Services,541110,37.791212,122.40091
The AES Corporation Common Stock,Insurance,6265 Greenwich Drive # 250,San Diego,CA,92122,San Diego,214-808-1244,hpis.biz,Wayne Washkowiak,Chief Executive Officer,4,,784000,,6411,"Insurance Agents, Brokers, and Service",524210,32.85446,117.18487
AES Corporation (The) Class C Preferred Stock,Professional Services,13022 Woodcock Avenue,Sylmar,CA,91342,Los Angeles,214-808-1245,arpnetworks.com,,,,4-Jan,,"$100,000 - $500,000",8712,Architectural Services,541310,34.306057,118.455571
Aetna Inc. Common Stock,Insurance,3170 Crow Canyon Place # 120,San Ramon,CA,94583,Contra Costa,214-808-1246,farmersagent.com/jcarlson2,Jason Carlson,Owner,,4-Jan,,"$100,000 - $500,000",6411,"Insurance Agents, Brokers, and Service",524210,37.777005,121.972433
Astoria Financial Corporation Common Stock,Real Estate,873 Stevens Avenue,Solana Beach,CA,92075,San Diego,214-808-1247,equityapartments.com,James Peterson,Manager,4,,792000,,6513,Operators of Apartment Buildings,531110,32.984006,117.25936
Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,Professional Services,5150 Candlewood St # 9g,Lakewood,CA,90712,Los Angeles,682-632-5967,driverstuwilliams.com,Kyle Driver,,,4-Jan,,"$100,000 - $500,000",8721,"Accounting, Auditing, and Bookkeeping Services",541211,33.853518,118.133016
"American Financial Group, Inc. 5.75% Senior Notes due 2042",Professional Services,2205 Coy Avenue,Bakersfield,CA,93307,Kern,214-808-1247,krazan.com,Dean Alexander,President,6,,1056000,,8748,"Business Consulting Services, NEC",541711,35.323231,118.99972
AllianceBernstein National Municipal Income Fund Inc,Other Business Services,6746 Greenleaf Ave,Whittier,CA,90601,Los Angeles,214-808-1248,locksmith-los-alamitos.com,,,,4-Jan,,Unknown,,"Business Services, NEC",,33.9794984,118.0370973
"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047",Real Estate,2801 Camino Del Rio South # 301,San Diego,CA,92108,San Diego,918-354-8902,heffins.com,Shawn Heffernan,Owner,,4-Jan,,Unknown,6512,Operators of Nonresidential Buildings,523930,32.770911,117.134033
"American Financial Group, Inc. Common Stock",Legal,1280 South Victoria Avenue # 125,Ventura,CA,93003,Ventura,918-354-8903,venturadui.com,Steven Powell,Partner,3,,501000,,8111,Legal Services,541110,34.26305,119.21183
"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054",Real Estate,4111 Viaduct Marina,Marina Del Rey,CA,90292,Los Angeles,918-354-8904,oakwood.com,Oakwood Kornblugh,Manager,70,,13860000,,6513,Operators of Apartment Buildings,531210,33.982518,118.461079
Market Vectors,Professional Services,1001 Bridgeway # 431,Sausalito,CA,94965,Marin,918-354-8905,unspoken.com,Steven Lee Ulrich,,2,,460000,,8742,Management Consulting Services,541611,37.858475,122.483599
AFLAC Incorporated Common Stock,Other Business Services,1860 El  Camino Real #55,Burlingame,CA,94010,San Mateo,918-354-8906,abcservicesssf.com,Claudia Giraldo,,,4-Jan,,Unknown,,"Business Services, NEC",,37.59562,122.38456
"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022",Printing & Publishing,9800 Baseline Road,Alta Loma,CA,91701,San Bernardino,214-808-1258,dmjsystems.com,DAVID JOHNS,,,4-Jan,,"$100,000 - $500,000",,"Commercial Printing, Lithographic",,34.1226991,117.5903693
"American Financial Group, Inc. 7% Senior Notes due 2050",Professional Services,1730 Highway 89,Tahoe City,CA,96145,Placer,214-808-1259,sierrasheetmetalandheating.com,Jim Casey,Owner,9,,1431000,,8748,"Business Consulting Services, NEC",541330,39.17407,120.15584
"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052",Other Business Services,PO Box 763,Menlo Park,CA,94026,,214-808-1260,happyspacessf.com,Natalia Mulholland,,,4-Jan,,Unknown,,"Business Services, NEC",,37.47843933,122.17
"AmTrust Financial Services, Inc. Preferred Series A",Other Business Services,10861 Cherry St Ste 201,Los Alamitos,CA,90720,Orange,214-808-1261,medpromedicaltesting.com/,MedPro Testing Services,,,4-Jan,,Unknown,,"Business Services, NEC",,33.804642,118.0686006
"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B",Other Business Services,1288 Kifer Rd. Suite 203,Sunnyvale,CA,94086,Santa Clara,214-808-1262,aitech-usa.com,Shanny Wang,,,4-Jan,,Unknown,,"Business Services, NEC",,37.372698,121.990149
"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C",Other Business Services,2525 N McCall Ave,Sanger,CA,93657,Fresno,214-808-1263,woodspest.com/,Greg Cook,Owner,,4-Jan,,"$100,000 - $500,000",,Disinfecting and Pest Control Services,,36.7724509,119.611536
Apollo Senior Floating Rate Fund Inc. Common Stock,Other Business Services,40610 County Center Drive,Temecula,CA,92591,Riverside,918-354-8898,staffmark.com,,,,4-Jan,,"$100,000 - $500,000",7361,Employment Agencies,561311,33.53086,117.15914
"American Financial Group, Inc. 6 3/8% Senior Notes due 2042",Professional Services,7077 Orangewood Avenue # 112,Garden Grove,CA,92841,Orange,214-808-1260,hrnetworkinc.com,Audrianne Adams-Lee,Owner,5,,850000,,8742,Management Consulting Services,541612,33.7956,118.00969
First Majestic Silver Corp. Ordinary Shares (Canada),Legal,515 South Figueroa St # 1515,Los Angeles,CA,90071,Los Angeles,682-632-5967,hpdlegal.net,Robert Prata,Manager,5,,835000,,8111,Legal Services,541110,34.052066,118.25742
DB Agriculture Short ETN DB Agriculture Double Short ETN,Real Estate,2091 Rose St,Berkeley,CA,94709,Alameda,214-808-1267,gordoncommercial.com,John Gordon,Owner,4,,536000,,6531,Real Estate Agents and Managers,531210,37.88199,122.27029
Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest,Printing & Publishing,21800 Oxnard St # 250,Woodland Hills,CA,91367,Los Angeles,214-808-1268,penton.com,Hershal Sarbin,,,4-Jan,,Unknown,2721,"Periodicals: Publishing, or Publishing and Printing",511120,,
AGCO Corporation Common Stock,Real Estate,4616 Collwood Lane,San Diego,CA,92115,San Diego,214-808-1269,propertysandiego.com,,,,4-Jan,,"$100,000 - $500,000",6512,Operators of Nonresidential Buildings,531312,32.767177,117.084867
Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,Other Business Services,333 Washington Boulevard # 360,Marina Del Rey,CA,90292,Los Angeles,214-808-1270,familyentertainment.biz,Kermit Murray,Owner,3,,1038000,,7389,"Business Services, NEC",454390,33.98121,118.46376
DB Agriculture Long ETN DB Agriculture Long ETN,Advertising & Marketing,7362 Mannix Court,San Diego,CA,92129,San Diego,214-808-1271,mynextsign.com,Ong Yang,Owner,,4-Jan,,"$100,000 - $500,000",3993,Signs and Advertising Specialties,339950,32.938831,117.163823
iShares Core U.S. Aggregate Bond ETF,Printing & Publishing,2817 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1272,hayescoprinting.com,Dan Sumner,President,5,,715000,,2752,"Commercial Printing, Lithographic",323111,34.17069,118.33867
Alamos Gold Inc Ordinary Shares,Real Estate,921 East Hillsdale Boulevard,San Mateo,CA,94404,San Mateo,512-343-4497,waxcenter.com/ca-foster-city,,,,4-Jan,,"$1,000,000 - $2,500,000",6512,Operators of Nonresidential Buildings,531120,37.55595,122.27518
Accuvest Global Long Short ETF,Printing & Publishing,3600 American River Drive # 203,Sacramento,CA,95864,Sacramento,512-343-4498,mazzetti.com,Bill Mazzetti,,10,,2070000,,7363,Help Supply Services,561320,38.569929,121.380919
Federal Agricultural Mortgage Corporation Common Stock,Real Estate,P.O. Box 57-2465,Tarzana,CA,91357,,682-632-5967,shcommercialrealestate.com,Susan (Sue) Horowitz,,,4-Jan,,Unknown,,Real Estate Agents and Managers,,33.7917977,118.2315573
Federal Agricultural Mortgage Corporation 5.875% Non,Other Business Services,1012 South Wall Street,Los Angeles,CA,90015,Los Angeles,512-343-4500,musadirect.com,James Bae,,3,,2697000,,,"Business Services, NEC",,34.03711,118.25355
Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B,Other Business Services,78 ilex drive,Newbury Park,CA,91320,Ventura,512-343-4501,ultimizer.net,Monica Vernon,,,4-Jan,,Unknown,,"Business Services, NEC",,34.179447,118.926957
Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,Professional Services,4110 Palisades Road,San Diego,CA,92116,San Diego,682-632-5967,freibergs.com,Patti Cipro,Manager,,4-Jan,,$500.000 - $999.999,8741,Management Services,541618,32.774908,117.107906
Federal Agricultural Mortgage Corporation Common Stock,Other Business Services,2062 Business Center Drive #140,Irvine,CA,92612,Orange,512-343-4503,skylinerecoveryllc.com,keng kasn,,,4-Jan,,Unknown,,"Business Services, NEC",,33.67873,117.85795
"Allergan, Inc. Common Stock",Legal,104 15th St,West Sacramento,CA,95691,Yolo,512-343-4504,apfss.com,Loriann Calles,Owner,8,,3248000,,8111,Legal Services,517919,38.57121,121.5249
Assured Guaranty Ltd. Common Stock,Other Business Services,625 Broadway,San Diego,CA,92101,San Diego,682-632-5967,altaplanning.com,Sherry Ryan,Manager,,4-Jan,,$500.000 - $999.999,7389,"Business Services, NEC",541410,32.715655,117.15901
Assured Guaranty Ltd.,Other Business Services,15260 Ventura Boulevard # 1150,Sherman Oaks,CA,91403,Los Angeles,512-343-4505,spherion.com,,,,4-Jan,,"$100,000 - $500,000",7361,Employment Agencies,561311,34.153682,118.46572
Assured Guaranty Ltd.,Insurance,9616 Schlitz Road,Phelan,CA,92371,San Bernardino,214-808-1280,deliveringonthepromise.com/rdemarco,Robin DeMarco,,,4-Jan,,"$1,000,000 - $2,500,000",,Hospital and Medical Service Plans,,34.42507,117.53405
Assured Guaranty Ltd.,Other Business Services,25876 The Old Rd. #179,Stevenson Ranch,CA,91381,Los Angeles,214-808-1281,jesusarteaga.com,Jesus Arteaga,,,4-Jan,,Unknown,,"Business Services, NEC",,34.39208,118.57321
ETFS Asian Gold Trust,Media,3600 West Magnolia Boulevard,Burbank,CA,91505,Los Angeles,214-808-1282,lastudios.info,Helgar Pedrini,,,4-Jan,,"$1,000,000 - $2,500,000",7812,Motion Picture and Video Tape Production,512110,34.167992,118.346189
ProShares Ultra Silver,Professional Services,1141 Scenic Drive # 100,Modesto,CA,95350,Stanislaus,214-808-1237,athertoncpas.com,Linda Stanley,,22,,3806000,,8721,"Accounting, Auditing, and Bookkeeping Services",541211,37.648248,120.9776
Adecoagro S.A. Common Shares,Warehousing & Storage,1846 South 4th St,El Centro,CA,92243,Imperial,214-808-1238,elcentrointerstate.com,Steve Gray,Owner,,4-Jan,,"$100,000 - $500,000",4225,General Warehousing and Storage,531130,32.77683,115.55224
Agrium Inc. Common Stock,Legal,689 North Arrowhead Avenue,San Bernardino,CA,92401,San Bernardino,214-808-1239,robertgrantlaw.com,Robert Grant,Owner,,4-Jan,,"$100,000 - $500,000",8111,Legal Services,541110,34.11174,117.2898
