main_ServiceProvider,main_Device_Manufacturer,main_Device_Model,main_Device_OS,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_SignalStrength,main_QOS_Location_Latitude,main_QOS_Location_Longitude,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,main_Country,main_Region,main_City,conn_Generation_Category
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-25 01:22:18 UTC,null,35.6051474,-105.9955927,101247,92578,United States,New Mexico,null,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-07-17 22:24:50 UTC,null,36.8346474,-108.0237222,44799,468116,United States,New Mexico,null,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-23 00:05:17 UTC,null,43.5171551,-96.7611999,3450,8802,United States,South Dakota,Sioux Falls,4G
Verizon Wireless,motorola,DROID RAZR HD,ANDROID44,en,2017-07-24 22:38:46 UTC,-67,42.4792914,-96.3524705,352,352,United States,Iowa,Sioux City,4G
Verizon Wireless,motorola,XT1096,ANDROID51,en,2017-07-30 17:55:29 UTC,-68,36.6217089,-82.1920038,1408,835,United States,Virginia,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-22 22:48:54 UTC,null,28.5088074,-81.2669287,139,0,United States,Florida,null,UNKNOWN
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-05-25 07:50:31 UTC,-81,47.4425049,-122.2007673,52,0,United States,Washington,null,4G
Verizon Wireless,LGE,VS425PP,ANDROID51,en,2017-07-23 12:49:10 UTC,null,32.4352081,-94.8022899,12676,43116,United States,Texas,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-29 18:55:22 UTC,-69,40.0081537,-79.0819818,788,958,United States,Pennsylvania,null,4G
Verizon Wireless,samsung,SM-J100VPP,ANDROID51,en,2017-07-25 22:55:18 UTC,null,32.5024497,-95.6263327,12944,20645,United States,Texas,null,4G
Verizon Wireless,LGE,VS990,ANDROID60,en,2017-07-12 00:17:28 UTC,null,45.20909126,-122.600714,24090,106250,United States,Oregon,null,4G
Verizon Wireless,kyocera,E6782,ANDROID44,en,2017-07-25 19:55:47 UTC,null,43.02004427,-87.98745212,5694,7386,United States,Wisconsin,West Allis,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-11 15:47:30 UTC,null,33.7680795,-84.3855286,10506,14496,United States,Georgia,Atlanta,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-25 00:41:31 UTC,-74,41.6677113,-88.0225986,1048,835,United States,Illinois,null,4G
Verizon Wireless,samsung,SM-N915V,ANDROID60,en,2017-06-03 17:17:10 UTC,null,33.6666268,-117.1701769,17183,21374,United States,California,null,4G
Verizon Wireless,motorola,Moto G Play,ANDROID60,en,2017-07-22 18:05:12 UTC,null,33.6789471,-117.8913293,6987,19267,United States,California,Costa Mesa,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-28 21:37:54 UTC,null,34.1059388,-117.5546113,2118,5310,United States,California,Rancho Cucamonga,4G
Verizon Wireless,motorola,Moto G (4),ANDROID70,en,2017-07-13 01:13:41 UTC,null,34.0102686,-118.3990108,128,256,United States,California,Culver City,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-28 02:56:10 UTC,null,33.8308113,-117.2247035,527676,152910,United States,California,Perris,4G
Verizon Wireless,motorola,Moto G Play,ANDROID60,en,2017-07-28 19:20:03 UTC,null,33.6680853,-117.8825025,0,0,United States,California,Costa Mesa,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-07-24 10:28:54 UTC,-59,33.8291454,-118.0469678,51162,25312,United States,California,Cypress,4G
Verizon Wireless,LGE,VS987,ANDROID70,en,2017-07-07 12:33:07 UTC,null,39.975077,-83.2156416,8132,19149,United States,Ohio,null,4G
Verizon Wireless,blackberry,STV100-2,ANDROID60,en,2017-07-02 15:10:42 UTC,-77,43.6357951,-84.2238477,0,0,United States,Michigan,Midland,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-06-20 11:42:32 UTC,null,41.103913,-81.322035,0,0,United States,Ohio,null,4G
Verizon Wireless,blackberry,STV100-2,ANDROID60,en,2017-07-02 14:53:22 UTC,-81,43.6354195,-84.2241437,0,382,United States,Michigan,Midland,4G
Verizon Wireless,Sony,D6708,ANDROID51,en,2017-07-19 00:38:23 UTC,-76,41.336289,-81.8194274,9910,12316,United States,Ohio,Strongsville,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-12 11:51:47 UTC,-84,39.9572109,-83.0221123,580,580,United States,Ohio,Columbus,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-22 16:55:50 UTC,-72,45.0609914,-85.257721,816,0,United States,Michigan,null,4G
Verizon Wireless,LGE,VS890 4G,ANDROID44,en,2017-07-12 11:07:22 UTC,-87,42.9947634,-84.5471206,1888,1888,United States,Michigan,null,4G
Verizon Wireless,motorola,XT1575,ANDROID60,en,2017-07-27 20:22:52 UTC,null,41.1345587,-83.3306948,20888,40906,United States,Ohio,null,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-12 12:44:35 UTC,null,42.5085631,-83.4741522,3762,8213,United States,Michigan,Novi,4G
Verizon Wireless,samsung,SM-J320VPP,ANDROID60,en,2017-07-20 00:53:24 UTC,-35,40.001966,-82.9972014,8844,8814,United States,Ohio,Columbus,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-10 15:43:07 UTC,null,39.5746314,-84.2607987,52,52,United States,Ohio,null,4G
Verizon Wireless,HTC,HTC6525LVW,ANDROID60,en,2017-07-14 23:45:58 UTC,null,40.0169894,-83.1710761,52,1083,United States,Ohio,Columbus,4G
Verizon Wireless,blackberry,STV100-2,ANDROID60,en,2017-07-10 16:35:52 UTC,-86,43.0014477,-85.6239236,0,0,United States,Michigan,Grand Rapids,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-22 03:13:04 UTC,null,41.0219291,-81.5940909,0,0,United States,Ohio,Barberton,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-13 16:56:57 UTC,null,42.7425528,-85.6663011,0,0,United States,Michigan,null,4G
Verizon Wireless,motorola,Nexus 6,ANDROID51,en,2017-06-16 02:06:05 UTC,null,40.67354138,-74.10651206,4880,3577,United States,New Jersey,Bayonne,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-27 18:55:49 UTC,null,41.0672378,-74.4832304,401,0,United States,New Jersey,West Milford,4G
Verizon Wireless,blackberry,STV100-2,ANDROID60,en,2017-07-07 19:26:31 UTC,null,40.782949,-73.9782677,19336,52809,United States,New York,New York,4G
Verizon Wireless,HTC,HTC6525LVW,ANDROID60,en,2017-07-11 19:00:14 UTC,null,40.9135097,-74.2935218,0,0,United States,New Jersey,null,4G
Verizon Wireless,motorola,XT1080,ANDROID44,en,2017-07-16 17:32:09 UTC,null,40.8183246,-73.8905691,12096,42994,United States,New York,New York,4G
Verizon Wireless,LGE,VS985 4G,ANDROID60,en,2017-07-12 11:00:56 UTC,null,40.6237127,-73.9777573,153718,396011,United States,New York,New York,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-14 13:13:04 UTC,null,34.00639173,-81.77227813,0,0,United States,South Carolina,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-24 00:28:34 UTC,null,33.6075577,-79.0311219,182443,348793,United States,South Carolina,null,4G
Verizon Wireless,samsung,SM-G928V,ANDROID60,ko,2017-07-23 18:51:31 UTC,null,35.8638806,-78.7123854,8844,22205,United States,North Carolina,Raleigh,4G
Verizon Wireless,motorola,XT1565,ANDROID60,en,2017-07-21 01:37:14 UTC,null,35.4064828,-80.2013998,0,0,United States,North Carolina,Albemarle,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-17 19:41:29 UTC,null,34.45314417,-80.09390179,21744,77210,United States,South Carolina,null,UNKNOWN
Verizon Wireless,samsung,SCH-I545,ANDROID50,en,2017-07-27 17:50:14 UTC,-62,35.063099,-80.8442483,969,939,United States,North Carolina,Charlotte,4G
Verizon Wireless,LGE,VS880PP,ANDROID51,en,2017-07-22 19:03:03 UTC,null,34.7450665,-77.4858254,0,0,United States,North Carolina,null,4G
Verizon Wireless,LGE,VS880PP,ANDROID51,en,2017-07-15 22:14:05 UTC,null,34.7654496,-77.4058244,24302,203000,United States,North Carolina,Jacksonville,4G
Verizon Wireless,motorola,XT1609,ANDROID60,en,2017-07-29 15:18:32 UTC,null,30.46651593,-87.24161723,0,0,United States,Florida,null,4G
Verizon Wireless,samsung,SCH-I605,ANDROID44,en,2017-05-08 12:15:52 UTC,-68,40.74384268,-73.78304368,8025,38521,United States,New York,New York,4G
Verizon,samsung,SM-S903VL,ANDROID60,en,2017-05-13 16:59:25 UTC,-83,42.67447,-73.6848497,504378,1637754,United States,New York,null,4G
Verizon Wireless,samsung,SCH-I435,ANDROID44,en,2017-06-28 15:08:05 UTC,null,36.09786516,-79.41373518,862,3877,United States,North Carolina,Burlington,4G
Verizon,Apple,iPhone 6S,IOS103,en,2017-06-25 01:11:36 UTC,null,38.903666,-77.53144,37838,54865,United States,Virginia,null,4G
Verizon Wireless,samsung,SCH-I545,ANDROID44,en,2017-05-11 19:19:46 UTC,-61,40.07690438,-75.04426143,0,0,United States,Pennsylvania,Philadelphia,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-06-23 12:11:14 UTC,-58,41.2251348,-96.119214,88892,134827,United States,Nebraska,Omaha,4G
Verizon Wireless,samsung,SM-G360V,ANDROID44,en,2017-06-25 15:29:47 UTC,-85,35.1637663,-80.73681467,2135,10222,United States,North Carolina,Charlotte,4G
Verizon Wireless,samsung,SCH-I435,ANDROID44,en,2017-05-04 21:09:28 UTC,-81,37.91987127,-89.82035009,0,0,United States,Illinois,null,4G
Verizon Wireless,samsung,SCH-I605,ANDROID44,en,2017-07-06 12:13:56 UTC,-68,40.7726999,-73.77947966,360,424,United States,New York,New York,4G
Verizon,Apple,"iPhone9,2",IOS103,en,2017-06-12 20:48:29 UTC,null,33.352848,-111.714607,6830,136731,United States,Arizona,Gilbert,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-07-10 21:00:35 UTC,null,34.0432479,-118.2575303,2336,8007,United States,California,Los Angeles,4G
Verizon,Apple,iPhone 6S Plus,IOS103,en,2017-06-05 15:51:24 UTC,null,43.092233,-73.772317,1288321,2889672,United States,New York,null,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-06-13 12:46:27 UTC,-120,30.400323,-86.6320826,0,0,United States,Florida,null,4G
Verizon Wireless,samsung,SCH-I435,ANDROID44,en,2017-06-15 01:58:08 UTC,-74,33.92168922,-117.1081228,1707,1806,United States,California,null,4G
Verizon Wireless,motorola,XT1635-01,ANDROID70,en,2017-06-02 11:21:43 UTC,null,38.26062951,-77.34149793,5248,10865,United States,Virginia,null,4G
Verizon Wireless,samsung,SM-J320V,ANDROID60,en,2017-07-09 16:43:15 UTC,null,47.9200161,-122.1044694,0,0,United States,Washington,null,4G
Verizon Wireless,samsung,SCH-I435,ANDROID44,en,2017-07-05 20:25:54 UTC,-79,33.90376845,-84.02478986,0,0,United States,Georgia,null,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-06-26 11:16:13 UTC,null,29.7007698,-82.3885042,34736,80094,United States,Florida,Gainesville,4G
Verizon Wireless,samsung,SCH-I605,ANDROID44,en,2017-07-22 23:37:06 UTC,null,30.3948292,-88.8893961,0,0,United States,Mississippi,Biloxi,4G
Verizon,Apple,"iPhone9,2",IOS103,en,2017-05-14 20:16:21 UTC,null,42.317315,-83.191936,8330580,12703986,United States,Michigan,Dearborn,UNKNOWN
Verizon Wireless,samsung,SCH-I605,ANDROID44,en,2017-07-19 16:20:37 UTC,null,36.5005194,-79.48201832,12134,16901,United States,North Carolina,null,3G
Verizon Wireless,samsung,SM-G928V,ANDROID60,en,2017-05-30 22:52:08 UTC,null,42.1657155,-71.0710761,25422,55298,United States,Massachusetts,Canton,4G
Verizon Wireless,Quanta,QTAQZ3,ANDROID51,en,2017-07-12 18:48:02 UTC,null,42.0890459,-88.0506955,11810,19453,United States,Illinois,Palatine,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-07-23 16:21:13 UTC,null,41.5493115,-87.4636573,1364,1101,United States,Indiana,Highland,4G
Verizon Wireless,samsung,SM-G730V,ANDROID44,en,2017-05-24 17:40:54 UTC,null,41.99277757,-76.54540966,0,0,United States,Pennsylvania,null,4G
Verizon Wireless,LGE,VS995,ANDROID70,en,2017-07-23 01:33:50 UTC,-77,43.0334084,-73.7896465,5151,2524,United States,New York,null,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-05-28 01:44:42 UTC,null,35.6956196,-120.6979835,946,648,United States,California,null,4G
Verizon Wireless,Sony,SGP561,ANDROID44,en,2017-07-11 22:37:28 UTC,-74,39.8741597,-84.1360929,19030,19106,United States,Ohio,Huber Heights,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-07-14 17:17:26 UTC,-75,41.7720695,-88.4421094,1221,580,United States,Illinois,null,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-07-11 18:18:28 UTC,null,40.6737378,-73.9706831,31191,164550,United States,New York,New York,4G
Verizon,motorola,XT1096,ANDROID51,en,2017-07-28 11:10:31 UTC,-91,43.2667775,-72.4028011,221788,1171850,United States,New Hampshire,null,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-05-27 17:47:15 UTC,null,35.7543443,-120.6768538,0,0,United States,California,null,4G
Verizon Wireless,samsung,SM-G928V,ANDROID70,en,2017-07-26 03:33:19 UTC,null,39.0686947,-84.2969046,0,0,United States,Ohio,null,4G
Verizon Wireless,samsung,SM-N915V,ANDROID60,en,2017-05-26 13:00:42 UTC,-76,40.0891625,-75.3853078,3938,5784,United States,Pennsylvania,null,4G
Verizon Wireless,samsung,SCH-I435,ANDROID44,en,2017-07-21 15:37:56 UTC,-82,34.33553501,-83.27409322,664173,664144,United States,Georgia,null,4G
Verizon Wireless,samsung,SM-G930U,ANDROID70,en,2017-07-28 17:27:47 UTC,-80,39.0452342,-76.4984571,11474,90319,United States,Maryland,Arnold,4G
Verizon Wireless,samsung,SM-J727V,ANDROID70,en,2017-07-30 23:26:13 UTC,-53,39.3823968,-119.3015628,0,0,United States,Nevada,null,4G
Verizon Wireless,samsung,SM-J320V,ANDROID60,en,2017-07-23 15:35:25 UTC,null,34.0114684,-117.9137667,3936,5538,United States,California,null,4G
Verizon Wireless,LGE,VK815,ANDROID60,en,2017-07-26 06:01:00 UTC,-86,35.2020333,-81.1776781,0,0,United States,North Carolina,null,4G
Verizon Wireless,KYOCERA,E6810,ANDROID60,en,2017-07-19 22:58:36 UTC,-72,34.773524,-86.8090811,649,681,United States,Alabama,null,4G
Verizon Wireless,samsung,SM-G925V,ANDROID70,en,2017-07-14 22:39:20 UTC,null,40.4208739,-111.8827558,122642,1098769,United States,Utah,Lehi,4G
Verizon Wireless,samsung,SM-T377V,ANDROID60,en,2017-05-29 16:55:59 UTC,-70,40.3786948,-74.1557415,0,0,United States,New Jersey,null,4G
Verizon Wireless,motorola,Moto G (4),ANDROID70,en,2017-05-31 19:42:24 UTC,-74,47.0135658,-122.7285054,0,0,United States,Washington,null,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-26 14:43:35 UTC,null,39.61363365,-77.79680159,50518,134314,United States,Maryland,null,4G
Verizon Wireless,motorola,XT1565,ANDROID60,en,2017-07-26 19:36:24 UTC,-73,41.56576987,-81.5756392,0,0,United States,Ohio,Cleveland,4G
Verizon Wireless,KYOCERA,E6810,ANDROID60,en,2017-07-20 19:02:48 UTC,-92,39.7700759,-86.1749729,1104,794,United States,Indiana,null,4G
Verizon Wireless,motorola,XT1650,ANDROID70,en,2017-07-25 14:53:19 UTC,null,37.20007212,-84.15600014,23883,24385,United States,Kentucky,null,4G
Verizon Wireless,samsung,SM-T377V,ANDROID60,en,2017-07-25 02:42:03 UTC,-78,40.7886839,-73.038706,0,0,United States,New York,Holtsville,4G
