Year,AssignedID,Bank,FIPSStateCode,FIPSCountyCode,MSA,FeatureID,Tract,MinPer,TraMedY,LocMedY,Tractrat,Income,CurAreY,IncRat,UPB,LTV,MortDate,AcquDate,Purpose,Coop,Product,FedGuar,Term,AmorTerm,SellType,NumBor,First,CICA,BoRace,CoRace,BoGender,CoGender,BoAge,CoAge,Occup,NumUnits,Bed1,Bed2,Bed3,Bed4,Aff1,Aff2,Aff3,Aff4,Rent1,Rent2,Rent3,Rent4,RentUt1,RentUt2,RentUt3,RentUt4,Geog,Rate,Amount,Front,Back,BoCreditScore,CoBoCreditScore,PMI,Self,PropType,ArmIndex,ArmMarg,PrepayP,BoEth,Race2,Race3,Race4,Race5,CoEth,Corace2,Corace3,Corace4,Corace5,HOEPA,LienStatus,SpcHsgGoals,FedFinStbltyPlan,AcqTyp,GSEREO
2018,2190030,Indianapolis,12,31,27260,2404783,7,23.97,111705,64042,1.74,108084,69900,1.5463,380000,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,99,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,380000,0.3,0.4,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2181795,Des Moines,38,65,13900,9999999999,9612,3.47,79712,84553,0.9427,113112,96600,1.1709,208800,0.8,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,2,1,32,33,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,208800,0.1411,0.3833,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2154947,San Francisco,6,1,41860,9999999999,4302,36.12,123250,98647,1.2494,130008,97400,1.3348,587571,0.6,2017,2018,2,2,1,0,360,360,1,2,2,9,5,2,1,2,54,54,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,589200,0.3393,0.4995,3,4,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2182041,Des Moines,16,83,46300,9999999999,6,9.39,62188,55164,1.1273,77004,59300,1.2985,148000,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,29,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,148000,0.144,0.2856,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2166627,Chicago,17,161,19340,9999999999,201,4.71,75352,67930,1.1093,122544,72300,1.6949,168750,0.47,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,40,41,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,168750,0.1416,0.2042,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2151935,Topeka,31,55,36540,9999999999,75.12,8.02,103805,75898,1.3677,54420,81600,0.6669,140000,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,2,4,50,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,140000,0.2464,0.3849,2,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2175307,Dallas,17,31,16980,9999999999,8028.02,18.55,99508,78092,1.2742,80004,84600,0.9457,305624,0.9,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,47,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,306000,0.3602,0.4334,3,9,0.25,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2167691,Chicago,18,89,16980,9999999999,432.01,7.16,65821,78092,0.8429,99168,84600,1.1722,151813,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,2,1,55,61,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,152000,0.1237,0.2724,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2170514,Chicago,55,25,31540,9999999999,17.04,24.26,121406,83743,1.4497,84024,91700,0.9163,184000,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,66,65,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,184000,0.0867,0.3281,5,5,0,2,PT11,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2132365,Cincinnati,39,107,16380,2398904,9680,3.47,78262,56217,1.4317,103736,57600,1.801,209000,0.79,2017,2018,1,2,1,0,360,360,1,2,2,9,5,5,2,1,27,31,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0388,209000,0.15,0.17,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2018,2152272,Topeka,31,43,43580,9999999999,102,47.24,59036,62621,0.9428,60228,65100,0.9252,203300,0.95,2018,2018,1,2,1,0,360,360,1,1,1,9,5,8,1,4,41,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,203300,0.2509,0.258,4,9,0.3,2,PT01,99,99999,12/31/9999,1,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2137339,Indianapolis,26,11,99999,1625861,9704,2.78,47813,53542,0.59,45920,58700,0.7823,58000,0.21,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,67,66,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,58000,0.13,0.27,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2173279,Chicago,17,1,39500,9999999999,103,1.51,64674,61860,1.0455,38592,63900,0.6039,129126,0.99,2018,2018,1,2,1,3,360,360,1,2,1,9,5,5,1,2,33,29,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,129126,0.3147,0.3194,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2150470,Topeka,31,157,42420,9999999999,9534,10.39,81875,61382,1.3339,41631,62600,0.665,185250,0.95,2017,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,62,66,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,185250,0.4114,0.4744,4,4,0.3,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2179579,Des Moines,29,165,28140,9999999999,302.07,14.65,75125,74661,1.0062,84996,80000,1.0625,363920,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,41,40,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,363920,0.3725,0.4144,5,5,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2170690,Chicago,27,53,33460,9999999999,262.06,5.07,136250,88779,1.5347,162768,94300,1.7261,445500,0.9,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,2,4,47,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,445500,0.2179,0.4081,5,9,0.25,1,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2134125,Cincinnati,37,183,39580,2404590,525.03,19.82,123322,78057,1.5798,91251,80200,1.1378,200000,0.79,2018,2018,2,2,1,0,360,360,1,1,2,9,5,8,1,4,29,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,200000,0.17,0.22,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,4,2
2018,2161639,Boston,25,25,14460,9999999999,819,97.82,26923,98431,0.2735,397549,107800,3.6878,367200,0.8,2018,2018,1,2,1,0,360,360,1,2,1,9,5,5,2,1,27,68,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,367200,0.06,0.31,4,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2165728,Chicago,17,89,16980,9999999999,8524.03,7.02,88500,78092,1.1333,82296,84600,0.9728,204720,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,30,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0449,204720,0.2501,0.2698,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2170331,Chicago,55,133,33340,9999999999,2035,3.9,121667,73657,1.6518,138996,77300,1.7981,408000,0.8,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,31,28,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.047,408000,0.2232,0.2313,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2138701,Indianapolis,6,37,31080,2411359,9102.09,50.2,99594,62703,1.58,78740,69300,1.1362,299605,0.64,2018,2018,1,2,1,0,360,360,1,1,2,9,2,8,2,4,99,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,300000,0.32,0.33,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2157676,Topeka,48,85,19100,9999999999,305.11,35.73,140457,72527,1.9366,57000,77200,0.7383,270800,0.8,2018,2018,1,2,1,0,360,360,1,1,1,9,2,8,1,4,24,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,270800,0.3786,0.4074,9,9,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2139328,Indianapolis,26,139,24340,1626369,210,0.93,61563,65342,0.94,66036,70300,0.9393,147920,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,3,3,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.05,147920,0.18,0.38,3,3,0,2,PT01,99,99999,12/31/9999,3,6,6,6,6,3,6,6,6,6,2,1,2,2,1,2
2018,2163420,New York,36,23,18660,9999999999,9711,3.63,62436,66391,0.9404,50000,68500,0.7299,59898,1.01,2018,2018,1,2,1,3,360,360,1,1,1,9,5,8,2,4,51,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,59898,0.1597,0.3587,3,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2146268,Des Moines,29,33,99999,9999999999,9603,6.04,50302,55861,0.9005,32064,58900,0.5444,72800,0.8,2018,2018,2,2,1,0,360,360,1,1,2,9,5,8,2,4,52,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,72800,0.1801,0.3114,4,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2184281,Cincinnati,18,105,14020,2394196,4.02,21.85,35845,61426,0.5835,126228,73900,1.7081,84800,0.8,2018,2018,1,2,1,0,360,360,1,2,1,9,5,5,1,2,29,27,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,84800,0.06,0.2,5,5,0,2,PT02,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,1,2,4,2
2018,2154421,Topeka,20,113,32700,9999999999,7886,10.74,67214,69139,0.9722,68462,73100,0.9366,85000,0.68,2018,2018,1,2,1,0,180,180,1,2,2,9,5,5,1,2,49,43,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0425,85000,0.1563,0.1668,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2144318,Chicago,17,89,16980,9999999999,8545.03,26.36,110225,78092,1.4115,103836,84600,1.2274,195684,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,2,1,38,33,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0499,195920,0.1886,0.4451,3,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2148049,Des Moines,46,11,15100,9999999999,9588.03,8.2,88333,74756,1.1816,213372,69100,3.0879,405000,0.87,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,54,54,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,405000,0.16,0.3926,4,5,0.25,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2171931,Chicago,6,37,31080,9999999999,2190.1,97.37,49359,70221,0.7029,101208,69300,1.4604,539336,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,2,4,45,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,540000,0.4331,0.4957,5,9,0,1,PT01,99,99999,12/31/9999,1,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2167255,Chicago,17,31,16980,9999999999,8240.03,7.64,99250,78092,1.2709,133980,84600,1.5837,261000,0.9,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,41,38,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0488,261000,0.1747,0.3333,4,3,0.25,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2132759,Cincinnati,39,49,18140,2394565,63.93,28.59,94529,70454,1.3417,69540,73900,0.941,167758,0.8,2018,2018,1,2,1,0,360,360,1,1,1,9,5,8,1,4,34,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.04,168000,0.21,0.24,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,4,2
2018,2186962,Cincinnati,13,295,16860,329472,206.01,11.26,74289,58694,1.2657,63963,61700,1.0367,220800,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,39,38,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.05,220800,0.28,0.41,5,5,0,2,PT02,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2018,2191722,Indianapolis,21,59,36980,2404448,14.02,2.78,65742,58106,1.13,153192,62300,2.4589,240000,0.73,2018,2018,2,2,1,0,360,360,1,2,2,9,5,5,1,2,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,240000,0.13,0.18,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2183727,Cincinnati,21,37,17140,2404373,504,9.32,63398,70589,0.8981,54792,77000,0.7116,96875,0.26,2018,2018,2,2,1,0,360,360,1,1,2,9,5,8,2,4,51,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1,0.0463,97000,0.23,0.31,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,4,2
2018,2167919,Chicago,20,91,28140,9999999999,538.01,7.37,77264,74661,1.0349,81864,80000,1.0233,265000,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,2,1,27,28,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,265000,0.2196,0.3469,5,5,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2133996,Cincinnati,18,57,26900,2395240,1105.12,3.87,109805,66803,1.6437,245148,68400,3.584,326400,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,5,5,1,2,37,37,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,326400,0.11,0.19,5,4,0,2,PT02,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2018,2186277,Cincinnati,48,121,19100,2410843,201.06,24.68,87929,71149,1.2358,124992,77200,1.6191,325525,0.77,2018,2018,1,2,1,0,360,360,1,2,2,9,7,7,1,2,51,46,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,325525,0.25,0.39,4,5,0,2,PT02,99,99999,12/31/9999,3,6,6,6,6,3,6,6,6,6,2,1,2,2,4,2
2018,2164996,Pittsburgh,37,55,28620,9999999999,9702,12.53,62635,63667,0.9838,229872,67000,3.4309,210400,0.8,2018,2018,1,2,1,0,360,360,1,2,2,9,7,7,3,3,70,65,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0475,210400,0.019,0.1857,5,5,0,1,PT11,99,99999,12/31/9999,3,6,6,6,6,3,6,6,6,6,2,1,2,2,1,2
2018,2144716,Chicago,55,101,39540,9999999999,15.02,12.28,77125,68939,1.1187,87732,78300,1.1205,242139,0.97,2018,2018,1,2,1,1,360,360,1,2,2,9,5,5,2,2,47,48,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,242139,0.2442,0.3622,2,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2190160,Indianapolis,4,13,38060,2412682,8152,22.69,80186,63686,1.25,335124,69100,4.8498,199743,0.8,2018,2018,1,2,1,0,360,360,1,2,1,9,7,7,1,1,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,200000,0.1,0.23,5,5,0,2,PT07,99,99999,12/31/9999,3,6,6,6,6,3,6,6,6,6,2,1,2,2,1,2
2018,2166766,Chicago,42,45,37980,9999999999,4079.01,7.1,176319,82710,2.1318,179736,87400,2.0565,452490,0.52,2018,2018,2,2,1,0,360,360,1,1,2,9,5,8,1,4,59,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,453100,0.2722,0.461,5,9,0,1,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2153641,Topeka,20,113,32700,9999999999,7881,2.97,66375,69139,0.96,51970,73100,0.7109,85000,0.74,2018,2018,1,2,1,0,360,360,1,2,1,9,5,5,1,2,60,56,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,85000,0.1603,0.3408,5,2,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2018,2166234,Chicago,17,167,44100,9999999999,22,12.15,58047,74777,0.7763,46512,78500,0.5925,148000,0.8,2018,2018,1,2,1,0,360,360,1,1,2,9,5,8,1,4,71,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0458,148000,0.3014,0.4644,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2018,2185855,Cincinnati,6,65,40140,2497157,427.26,53.79,90250,61507,1.4673,80004,65800,1.2159,235000,0.62,2018,2018,2,2,1,0,360,360,1,1,2,9,5,8,1,4,38,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0513,235000,0.2,0.24,3,9,0,2,PT02,99,99999,12/31/9999,1,6,6,6,6,5,8,8,8,8,2,1,2,2,4,2
2018,2185279,Cincinnati,39,165,17140,9999999999,309,9.63,127145,70589,1.8012,91524,77000,1.1886,242250,0.95,2018,2018,1,2,1,0,360,360,1,1,1,9,5,8,1,4,36,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,242250,0.24,0.29,4,9,0.3,2,PT02,99,99999,12/31/9999,2,2,6,6,6,5,8,8,8,8,2,1,2,2,4,2
