,LOAN IDENTIFIER,CURRENT DQ STATUS,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR
12605555,843145155031,0,R,OTHER,4.625,76000,360,01/2015,03/2015,80,80,2,36.0,659.0,Y,P,SF,1,P,TX,791,,FRM,649.0,,N
12547094,839741129900,0,B,OTHER,3.75,439000,360,02/2015,04/2015,76,76,2,39.0,792.0,N,R,SF,1,P,WA,981,,FRM,808.0,,N
8724896,614798097485,0,R,OTHER,4.0,193000,360,01/2015,03/2015,95,95,1,42.0,800.0,Y,P,SF,1,P,OR,973,30.0,FRM,,1.0,N
13143468,874445492310,0,R,OTHER,3.5,298000,180,12/2014,02/2015,56,56,2,41.0,778.0,N,C,PU,1,P,CO,801,,FRM,789.0,,N
7621622,550695377591,0,R,"WELLS FARGO BANK, N.A.",3.875,347000,360,01/2015,03/2015,90,90,1,39.0,765.0,Y,P,PU,1,P,WA,980,25.0,FRM,,1.0,N
193639,111847125158,0,R,QUICKEN LOANS INC.,3.75,260000,240,12/2014,02/2015,80,80,1,30.0,739.0,N,P,SF,1,P,CA,900,,FRM,,,N
13938519,920937181598,0,R,"WELLS FARGO BANK, N.A.",3.125,228000,120,12/2014,03/2015,68,68,2,25.0,799.0,N,R,SF,1,P,NC,271,,FRM,776.0,,N
7082554,519366931181,0,C,OTHER,3.875,214000,240,01/2015,03/2015,90,90,2,29.0,776.0,N,P,SF,1,P,PA,188,12.0,FRM,759.0,1.0,N
11050449,751293941393,0,R,"WELLS FARGO BANK, N.A.",3.375,256000,180,11/2014,01/2015,80,80,1,42.0,793.0,N,P,SF,1,S,ME,42,,FRM,,,N
15084281,988670133127,0,B,QUICKEN LOANS INC.,3.99,417000,360,02/2015,04/2015,85,85,2,33.0,778.0,N,R,PU,1,P,CA,920,12.0,FRM,786.0,2.0,N
10759404,733946933078,0,R,"WELLS FARGO BANK, N.A.",4.5,276000,360,11/2014,02/2015,56,56,2,42.0,803.0,N,R,SF,1,P,CA,954,,FRM,807.0,,N
2626025,256027204318,0,R,"WELLS FARGO BANK, N.A.",4.25,90000,240,12/2014,02/2015,73,73,1,26.0,807.0,N,C,SF,1,P,WA,985,,FRM,,,N
4980048,395016996223,0,R,OTHER,3.375,108000,180,12/2014,02/2015,66,66,1,23.0,817.0,N,R,SF,1,P,NV,894,,FRM,,,N
4744357,380731512977,0,R,OTHER,3.25,150000,180,01/2015,03/2015,79,79,2,40.0,780.0,N,C,SF,1,P,MI,496,,FRM,746.0,,N
6410772,479653202736,0,R,OTHER,3.7,172000,360,02/2015,04/2015,80,80,1,35.0,760.0,Y,P,CO,1,P,WA,981,,FRM,,,N
5394778,419459658348,0,R,OTHER,4.5,52000,360,12/2014,02/2015,80,80,2,10.0,814.0,N,P,SF,1,I,OH,433,,FRM,805.0,,N
4383807,359676241500,0,R,OTHER,3.375,141000,180,12/2014,02/2015,49,49,2,23.0,800.0,N,R,SF,1,P,WA,981,,FRM,807.0,,N
9486505,659188748619,0,R,OTHER,3.5,94000,180,02/2015,04/2015,95,95,2,33.0,695.0,Y,P,SF,1,P,WA,989,25.0,FRM,646.0,1.0,N
12080158,812335968848,0,R,QUICKEN LOANS INC.,3.99,76000,240,12/2014,02/2015,42,42,2,45.0,705.0,N,C,SF,1,I,TN,378,,FRM,726.0,,N
3843235,327449407421,0,C,"WELLS FARGO BANK, N.A.",4.125,383000,360,12/2014,02/2015,75,75,1,21.0,743.0,N,P,CO,1,S,FL,321,,FRM,,,N
10902894,742397593570,0,C,PENNYMAC CORP.,4.25,199000,360,12/2014,02/2015,80,80,2,18.0,706.0,N,P,PU,1,P,TX,786,,FRM,719.0,,N
8563919,605550364303,0,C,"WELLS FARGO BANK, N.A.",3.25,88000,180,01/2015,03/2015,51,51,1,30.0,807.0,N,R,SF,1,P,NV,891,,FRM,,,N
8529343,603645823269,0,C,"WELLS FARGO BANK, N.A.",3.625,160000,180,01/2015,03/2015,66,66,1,35.0,816.0,N,R,SF,1,P,CO,802,,FRM,,,N
5402530,419964468262,0,R,OTHER,3.875,188000,180,01/2015,03/2015,75,75,1,45.0,766.0,N,P,PU,1,I,TX,774,,FRM,,,N
5494867,425398609253,0,R,OTHER,4.125,251000,360,02/2015,04/2015,42,42,1,26.0,817.0,N,R,CO,1,I,CA,941,,FRM,,,N
1145835,168029500609,0,C,"WELLS FARGO BANK, N.A.",4.875,123000,360,12/2014,02/2015,85,85,2,42.0,706.0,N,C,SF,1,P,AR,720,12.0,FRM,708.0,1.0,N
8942056,627420696514,0,C,OTHER,3.75,131000,240,03/2015,04/2015,67,67,1,33.0,770.0,N,R,SF,1,P,MN,563,,FRM,,,N
12103742,813685396405,0,R,OTHER,3.85,316000,360,12/2014,02/2015,90,90,2,39.0,800.0,N,P,CO,1,P,PA,191,25.0,FRM,810.0,1.0,Y
12746365,851581353720,0,B,OTHER,3.99,292000,360,02/2015,04/2015,80,80,1,24.0,747.0,N,C,SF,1,P,CA,902,,FRM,,,N
10290695,706369174536,0,R,OTHER,5.125,64000,360,12/2014,02/2015,80,80,1,16.0,678.0,N,P,SF,1,I,GA,300,,FRM,,,N
554545,133322825419,X,C,OTHER,4.375,179000,360,09/2014,11/2014,95,95,1,30.0,651.0,Y,P,PU,1,P,NC,277,16.0,FRM,,1.0,N
859865,151127115013,0,R,OTHER,4.125,100000,360,02/2015,04/2015,50,50,1,24.0,664.0,Y,P,PU,1,P,KY,400,,FRM,,,N
13815514,913758381095,0,R,OTHER,3.625,111000,240,01/2015,02/2015,65,80,2,27.0,711.0,N,R,SF,1,P,WI,535,,FRM,630.0,,N
1542327,191535582592,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.0,109000,360,11/2014,01/2015,95,95,2,36.0,792.0,Y,P,SF,1,P,WY,824,30.0,FRM,798.0,1.0,N
2228213,232386973440,0,R,OTHER,3.625,375000,360,01/2015,03/2015,53,53,2,39.0,727.0,N,C,SF,1,P,NY,117,,FRM,801.0,,N
1197833,171116406152,0,R,OTHER,4.125,250000,360,01/2015,03/2015,80,80,2,43.0,765.0,Y,P,SF,1,P,CA,956,,FRM,796.0,,N
11958908,804977589662,0,C,OTHER,2.875,175000,120,11/2014,01/2015,59,59,2,39.0,792.0,N,C,PU,1,P,IA,522,,FRM,789.0,,N
7365421,535760155596,0,R,OTHER,3.875,171000,360,11/2014,01/2015,95,95,1,15.0,806.0,Y,P,SF,1,P,GA,302,30.0,FRM,,1.0,N
2703124,260558435147,0,R,OTHER,3.125,338000,180,03/2015,05/2015,66,66,2,38.0,694.0,N,R,PU,1,P,MD,217,,FRM,638.0,,N
4806604,384410958360,0,C,PENNYMAC CORP.,4.5,204000,360,12/2014,02/2015,95,95,2,41.0,713.0,Y,P,SF,1,P,PA,191,30.0,FRM,675.0,1.0,N
13223070,879040674746,0,R,OTHER,2.875,157000,180,03/2015,05/2015,72,72,2,26.0,816.0,N,R,SF,1,P,IL,614,,FRM,804.0,,N
605397,136379364010,0,C,"WELLS FARGO BANK, N.A.",4.375,437000,360,12/2014,02/2015,90,90,1,38.0,763.0,N,R,PU,1,P,NY,117,25.0,FRM,,1.0,N
10011932,690078013012,0,R,OTHER,4.75,190000,360,01/2015,03/2015,76,76,2,44.0,673.0,N,C,SF,1,P,CA,945,,FRM,725.0,,N
14436280,950330687046,0,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.875,136000,360,12/2014,02/2015,80,80,2,33.0,808.0,N,P,PU,1,I,FL,333,,FRM,778.0,,N
282988,117213045990,0,R,OTHER,4.25,240000,360,12/2014,02/2015,39,39,2,39.0,791.0,N,C,PU,1,P,CO,801,,FRM,775.0,,N
321612,119464838027,0,C,"WELLS FARGO BANK, N.A.",4.25,357000,360,12/2014,02/2015,80,80,1,25.0,701.0,N,C,SF,1,P,GA,303,,FRM,,,N
5244461,410456415835,0,R,"WELLS FARGO BANK, N.A.",4.75,120000,360,12/2014,01/2015,80,80,2,19.0,808.0,N,R,SF,1,P,MN,564,,FRM,814.0,,N
483141,129121591286,0,B,OTHER,4.25,256000,360,01/2015,03/2015,80,80,2,36.0,680.0,Y,P,PU,1,P,GA,301,,FRM,693.0,,N
3172069,288115206684,0,C,OTHER,4.875,149000,360,12/2014,02/2015,75,75,1,39.0,652.0,N,P,SF,1,I,OH,442,,FRM,,,N
5318862,414962041236,0,C,"FLAGSTAR BANK, FSB",4.375,50000,360,11/2014,01/2015,65,65,2,40.0,798.0,N,P,CO,1,S,TX,785,,FRM,781.0,,N
14368814,946239606367,0,R,OTHER,3.75,380000,360,02/2015,04/2015,71,71,2,31.0,808.0,N,R,SF,1,P,UT,841,,FRM,805.0,,N
4788364,383329314128,0,B,QUICKEN LOANS INC.,4.99,233000,360,01/2015,03/2015,75,75,2,45.0,640.0,N,C,SF,1,P,CA,956,,FRM,646.0,,N
2849579,269255267034,0,R,"WELLS FARGO BANK, N.A.",4.0,299000,360,01/2015,03/2015,65,65,1,25.0,813.0,N,R,CO,1,P,CA,940,,FRM,,,N
11732637,791458318820,0,R,"WELLS FARGO BANK, N.A.",3.75,279000,360,12/2014,02/2015,60,60,2,22.0,769.0,N,P,SF,1,P,WY,820,,FRM,786.0,,N
13430013,891215805547,0,R,OTHER,3.75,535000,360,02/2015,04/2015,70,70,2,26.0,770.0,N,R,SF,1,P,CA,913,,FRM,735.0,,N
10876190,740826740455,0,R,"WELLS FARGO BANK, N.A.",4.125,237000,360,12/2014,02/2015,80,80,2,20.0,796.0,N,P,PU,1,P,FL,328,,FRM,781.0,,N
4669513,376364844172,0,B,OTHER,3.875,286000,360,01/2015,03/2015,80,90,1,28.0,725.0,N,P,PU,1,P,GA,300,,FRM,,,N
3165546,287674061982,0,B,QUICKEN LOANS INC.,4.375,270000,360,01/2015,04/2015,70,70,2,37.0,654.0,N,C,SF,1,P,NJ,70,,FRM,665.0,,N
2425512,244066099151,0,R,OTHER,4.5,116000,360,02/2015,04/2015,80,80,2,33.0,799.0,N,P,SF,1,I,PA,189,,FRM,801.0,,N
14619847,961194338833,X,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.125,264000,360,11/2014,01/2015,80,80,1,27.0,771.0,Y,P,SF,1,P,NC,282,,FRM,,,N
6599406,490723642101,0,R,OTHER,3.875,409000,360,12/2014,02/2015,90,90,2,38.0,814.0,N,P,PU,1,P,CO,800,25.0,FRM,795.0,1.0,N
1575986,193547366020,0,C,DITECH FINANCIAL LLC,3.75,323000,360,01/2015,03/2015,90,90,1,43.0,752.0,N,P,SF,1,P,MN,554,25.0,FRM,,1.0,N
12595998,842651609223,0,C,"FLAGSTAR BANK, FSB",4.25,128000,360,02/2015,04/2015,80,80,2,20.0,816.0,N,P,PU,1,I,TX,770,,FRM,816.0,,N
8593692,607226268017,0,R,OTHER,3.375,71000,180,02/2015,04/2015,80,80,1,44.0,624.0,Y,P,SF,1,P,IL,614,,FRM,,,N
3031987,279830359179,0,C,"WELLS FARGO BANK, N.A.",4.25,195000,360,12/2014,02/2015,90,90,2,21.0,795.0,Y,P,PU,1,P,TX,762,25.0,FRM,748.0,1.0,N
14061293,928247551424,0,R,"CITIMORTGAGE, INC.",3.875,82000,120,12/2014,02/2015,33,33,2,23.0,799.0,N,R,PU,1,I,AZ,853,,FRM,720.0,,N
13653440,904487028068,5,C,PENNYMAC CORP.,3.99,265000,360,12/2014,02/2015,95,95,1,39.0,800.0,Y,P,SF,1,P,TX,770,30.0,FRM,,1.0,N
7550894,546787723354,0,R,OTHER,4.375,166000,360,11/2014,01/2015,80,80,1,26.0,774.0,N,C,SF,1,P,CA,935,,FRM,,,N
5042729,398639729983,0,B,OTHER,4.0,145000,360,03/2015,05/2015,68,68,1,44.0,690.0,N,C,SF,1,P,IL,600,,FRM,,,N
1937971,214941680584,0,R,OTHER,4.875,382000,360,02/2015,04/2015,77,87,2,38.0,663.0,N,R,SF,1,P,VA,223,,FRM,664.0,,N
2894797,271845218561,0,C,"STEARNS LENDING, LLC",4.0,534000,360,12/2014,01/2015,78,78,2,44.0,781.0,Y,P,SF,2,P,MA,21,,FRM,756.0,,N
11302099,766272068112,0,R,OTHER,3.9989999999999997,282000,360,02/2015,04/2015,80,80,2,48.0,691.0,N,P,PU,1,P,CA,925,,FRM,692.0,,N
9669977,670101061858,4,C,"WELLS FARGO BANK, N.A.",4.125,261000,360,11/2014,01/2015,95,95,2,45.0,752.0,N,P,PU,1,P,FL,347,30.0,FRM,816.0,1.0,N
6154310,464398571542,0,R,"WELLS FARGO BANK, N.A.",3.75,260000,360,02/2015,04/2015,53,76,2,38.0,767.0,N,R,PU,1,P,AZ,853,,FRM,774.0,,N
11039378,750600817608,0,C,DITECH FINANCIAL LLC,3.75,469000,360,02/2015,05/2015,53,68,2,34.0,715.0,N,R,SF,1,P,MA,19,,FRM,719.0,,N
2627894,256133208224,0,R,OTHER,3.875,308000,360,02/2015,05/2015,80,90,1,25.0,761.0,N,R,SF,1,P,OR,971,,FRM,,,N
1241922,173747996782,0,R,OTHER,3.99,71000,360,02/2015,04/2015,95,95,1,40.0,747.0,Y,P,SF,1,P,FL,330,30.0,FRM,,1.0,N
14185688,935411738709,0,C,"WELLS FARGO BANK, N.A.",3.75,272000,360,02/2015,04/2015,80,80,2,31.0,784.0,Y,P,SF,1,P,NJ,70,,FRM,754.0,,N
3455681,304603480678,0,R,OTHER,4.25,675000,360,02/2015,04/2015,75,75,2,36.0,718.0,N,P,SF,3,P,WA,981,,FRM,723.0,,N
7459491,541346421630,0,R,OTHER,3.875,215000,360,02/2015,04/2015,95,95,1,39.0,752.0,Y,P,SF,1,P,NY,125,30.0,FRM,,1.0,N
13512806,896145667684,0,R,OTHER,4.125,384000,240,01/2015,03/2015,78,78,1,27.0,707.0,N,C,SF,1,P,CT,64,,FRM,,,N
9543258,662605797042,0,R,OTHER,4.0,194000,360,01/2015,03/2015,95,95,2,23.0,785.0,Y,P,SF,1,P,OR,974,30.0,FRM,711.0,1.0,N
7020139,515643599679,0,R,OTHER,4.0,86000,240,10/2014,12/2014,75,75,1,45.0,760.0,Y,P,SF,1,P,OH,442,,FRM,,,N
10721266,731751295195,0,R,OTHER,3.875,182000,360,02/2015,04/2015,90,90,2,32.0,764.0,Y,P,CP,1,P,NY,106,25.0,FRM,770.0,1.0,N
11196402,759998051009,0,R,"WELLS FARGO BANK, N.A.",4.625,182000,360,11/2014,01/2015,93,93,1,34.0,746.0,N,R,SF,1,P,MA,25,30.0,FRM,,2.0,N
10753974,733621409054,0,R,OTHER,2.8,267000,180,02/2015,04/2015,79,79,2,24.0,783.0,N,R,PU,1,P,OH,441,,FRM,817.0,,N
13651135,904356317685,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.875,247000,360,01/2015,03/2015,95,95,2,25.0,773.0,N,P,SF,1,P,AR,727,30.0,FRM,744.0,1.0,N
14587506,959291705843,0,R,OTHER,4.0,141000,360,12/2014,02/2015,95,95,1,37.0,729.0,Y,P,SF,1,P,PA,175,30.0,FRM,,1.0,N
3775025,323354572397,0,R,OTHER,3.875,164000,360,02/2015,04/2015,80,80,2,42.0,725.0,N,C,PU,1,P,MO,630,,FRM,765.0,,N
6534100,486866369408,0,R,SUNTRUST MORTGAGE INC.,2.99,184000,180,12/2014,01/2015,80,80,1,17.0,809.0,Y,P,PU,1,P,MD,211,,FRM,,,N
1462557,186757984034,0,C,OTHER,4.375,214000,360,01/2015,04/2015,80,80,2,34.0,675.0,N,C,SF,1,P,IA,527,,FRM,707.0,,N
9885531,682708442554,0,R,"WELLS FARGO BANK, N.A.",4.625,102000,360,01/2015,03/2015,80,80,1,24.0,712.0,N,C,PU,1,P,NV,890,,FRM,,,N
1587727,194197939791,0,R,OTHER,4.375,175000,360,12/2014,02/2015,65,65,1,41.0,702.0,Y,P,SF,1,P,CA,953,,FRM,,,N
8841344,621454791965,0,B,QUICKEN LOANS INC.,4.375,528000,360,12/2014,02/2015,76,76,2,23.0,692.0,N,R,SF,1,P,CA,945,,FRM,712.0,,N
3204118,289952348483,0,R,OTHER,3.125,80000,180,02/2015,04/2015,54,54,1,26.0,672.0,N,R,SF,1,P,MT,591,,FRM,,,N
11229562,761956637160,0,C,OTHER,4.0,180000,360,12/2014,02/2015,95,95,1,14.0,807.0,N,P,SF,1,P,KS,672,30.0,FRM,,1.0,N
5380414,418610679818,0,C,"CITIMORTGAGE, INC.",3.875,155000,360,02/2015,04/2015,79,79,1,41.0,813.0,N,R,SF,1,P,NJ,87,,FRM,,,N
10935117,744324248321,0,R,OTHER,3.75,95000,240,12/2014,02/2015,55,55,2,41.0,798.0,N,R,SF,1,P,IN,460,,FRM,805.0,,N
5729871,439248185266,0,R,OTHER,3.75,417000,360,01/2015,03/2015,78,78,2,16.0,775.0,Y,P,SF,1,P,WA,981,,FRM,786.0,,N
8175631,582744547398,0,B,QUICKEN LOANS INC.,3.125,302000,180,11/2014,02/2015,73,73,2,28.0,775.0,N,R,SF,1,P,CA,925,,FRM,808.0,,N
10052599,692462299795,0,R,OTHER,4.625,196000,360,01/2015,03/2015,75,75,1,42.0,717.0,N,R,MH,1,P,WA,982,,FRM,,,N
11002750,748395938266,0,C,OTHER,3.625,148000,360,02/2015,04/2015,67,67,1,45.0,786.0,N,C,SF,1,P,ND,582,,FRM,,,N
10308676,707436237329,0,C,OTHER,4.75,304000,360,11/2014,01/2015,80,80,2,42.0,735.0,N,P,SF,1,P,FL,327,,FRM,658.0,,N
379925,122885413693,0,C,"WELLS FARGO BANK, N.A.",4.625,204000,360,11/2014,01/2015,80,80,2,47.0,647.0,Y,P,SF,1,P,WA,989,,FRM,731.0,,N
11107057,754696712131,0,C,IMPAC MORTGAGE CORP.,3.99,228000,360,03/2015,05/2015,61,61,2,43.0,799.0,N,R,SF,1,P,CA,945,,FRM,798.0,,N
7398430,537736518199,0,R,OTHER,3.375,74000,360,02/2013,04/2013,54,54,1,32.0,814.0,N,R,CO,1,P,WA,982,,FRM,,,N
13073833,870414920026,0,C,"FLAGSTAR BANK, FSB",4.25,225000,360,02/2015,04/2015,79,79,1,43.0,625.0,Y,P,PU,1,P,TX,786,,FRM,,,N
12963036,863872013553,0,C,OTHER,4.375,114000,360,12/2014,02/2015,95,95,1,28.0,687.0,N,R,SF,1,P,MS,388,30.0,FRM,,1.0,N
13992850,924227052069,0,C,FRANKLIN AMERICAN MORTGAGE COMPANY,3.75,88000,240,12/2014,02/2015,71,71,1,43.0,757.0,N,R,SF,1,P,NY,128,,FRM,,,N
11803979,795645435467,0,C,"WELLS FARGO BANK, N.A.",4.25,243000,360,12/2014,02/2015,95,95,1,40.0,774.0,Y,P,SF,1,P,TN,377,30.0,FRM,,1.0,N
2119503,226015784868,0,R,OTHER,3.5,193000,360,02/2015,04/2015,85,85,2,29.0,768.0,Y,P,SF,1,P,MI,496,12.0,FRM,798.0,1.0,N
3893608,330539481772,0,R,OTHER,3.0,122000,180,02/2015,04/2015,53,53,2,22.0,789.0,N,C,SF,1,P,WA,991,,FRM,796.0,,N
7899876,566581017014,0,C,PENNYMAC CORP.,4.125,69000,360,02/2015,04/2015,56,56,1,23.0,781.0,N,C,SF,1,I,GA,300,,FRM,,,N
11326468,767826916707,0,R,"NATIONSTAR MORTGAGE, LLC",3.625,352000,240,02/2015,04/2015,72,72,1,31.0,792.0,N,R,SF,1,P,CA,950,,FRM,,,N
13370281,887649243857,0,R,OTHER,3.375,128000,180,01/2015,03/2015,49,49,2,28.0,759.0,N,R,PU,1,P,FL,333,,FRM,759.0,,N
5575077,430006609685,0,R,QUICKEN LOANS INC.,4.05,329000,360,02/2015,04/2015,71,71,1,39.0,760.0,N,R,SF,1,P,CO,802,,FRM,,,N
1667102,198852268833,0,R,OTHER,4.0,140000,360,02/2015,03/2015,70,70,1,25.0,714.0,N,R,SF,1,P,MI,494,,FRM,,,N
