Contract Identifier,Instrument Identifier,Channel of Origination,Date of Origination,Country of Origination,Asset Class,Loan Purpose,Product Type,Amortisation Type,Original Maturity Date,Current Maturity Date,Loan Currency,Origination Amount,Principal Balance,Accrued Interest Balance (On book),Total Balance,Original Interest Rate,Original Interest Rate Type,Description of Original Interest Rate Type,Original Interest Rate Reference,Current Interest Rate,Current Interest Rate Type,Current Interest Rate Reference,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
A00019363,LP19300,Branch,42068,USA,CRE,Mortage,Loan,Linear,53018,53023,USD,200000,196000,1156,197156,0.04,fixed,,,,fixed,,42069,53023,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.289,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3
A00019364,LP19301,Web,42069,USA,Resi,Mortage,Loan,Linear,53019,53024,USD,150000,142500,750,143250,0.04,fixed,,,,fixed,,42070,53024,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,20,3
A00019365,LP19302,Broker,42070,USA,Resi,Mortage,Loan,Linear,53020,55210,USD,136000,129200,23.12,129223.12,0.04,fixed,,,,fixed,,42071,55210,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.30578,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,,90,3
A00019366,LP19303,Branch,42071,USA,Resi,Mortage,Loan,Linear,53021,54846,USD,132714.2857,132740.8286,22.56142857,132763.39,0.04,fixed,,,,fixed,,42072,54846,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,33.1908475,43707,43707,monthly,monthly,1105.952381,3982.224857,0.04,0.005,0.01,non-performing,91,3
A00019367,LP19304,Web,42072,USA,Resi,Mortage,Loan,Balloon,53022,54847,USD,129428.5714,122957.1429,22.00285714,122979.1457,0.04,fixed,,,,fixed,,42073,54847,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.74478643,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,95,3
A00019368,LP19305,Broker,42073,USA,Resi,Mortage,Loan,Linear,53023,54848,USD,126142.8571,113528.5714,21.44428571,113550.0157,0.04,fixed,,,,fixed,,42074,54848,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,28.38750393,43707,43707,monthly,monthly,1051.190476,3405.857143,0.04,0.005,0.01,non-performing,97,3
A00019369,LP19306,Branch,42074,USA,Resi,Mortage,Loan,Linear,53024,54849,USD,122857.1429,120400,20.88571429,120420.8857,0.04,fixed,,,,fixed,,42075,54849,,,0.03,0.005,0.0075,43672,472.5274725,341.2698413,30.10522143,43707,43707,monthly,monthly,1023.809524,3612,0.04,0.005,0.01,non-performing,93,3
A00019370,LP19307,Branch,42075,USA,Resi,Mortage,Loan,Linear,53025,54850,USD,119571.4286,113592.8571,20.32714286,113613.1843,0.04,fixed,,,,fixed,,42076,54850,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.40329607,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,,90,3
A00019371,LP19308,Web,42076,USA,Resi,Mortage,Loan,Linear,53026,55946,USD,116285.7143,110471.4286,19.76857143,110491.1971,0.04,fixed,,,,fixed,,42077,55946,,,0.03,0.005,0.0075,43675,323.015873,323.015873,27.62279929,43707,43707,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,92,3
A00019372,LP19309,Broker,42077,USA,Resi,Mortage,Loan,Linear,53027,53032,USD,150000,142500,25.5,142525.5,0.04,fixed,,,,fixed,,42078,53032,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.631375,43707,43707,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,180,6
A00019373,LP19310,Branch,42078,USA,Resi,Mortage,Loan,Linear,53028,53033,USD,100000,95000,500,95500,0.04,fixed,,,,fixed,,42079,53033,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.875,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,170,6
A00019374,LP19311,Web,42079,USA,Resi,Mortage,Loan,Linear,53029,53034,USD,85000,76500,212.5,76712.5,0.04,fixed,,,,fixed,,42080,53034,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.178125,43707,43707,monthly,monthly,1416.666667,4590,0.04,0.005,0.01,non-performing,213,6
A00019375,LP19312,Broker,42080,USA,Resi,Mortage,Loan,Linear,53030,53035,USD,200000,196000,540,196540,0.05,fixed,,,,fixed,,42081,53035,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.135,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,,20,3
A00019376,LP19313,Branch,42081,USA,Resi,Mortage,Loan,Linear,53031,53036,USD,150000,142500,867,143367,0.04145402299,mixed,5 years fixed then variable,,,fixed,,42082,53036,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.84175,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,90,3
A00019377,LP19314,Branch,42082,USA,Resi,Mortage,Loan,Linear,53032,53037,USD,136000,122400,680,123080,0.04155858361,variable,,LIBOR,3,fixed,LIBOR,42083,53037,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,30.77,43707,43707,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,91,3
A00019378,LP19315,Web,42083,USA,Resi,Mortage,Loan,Linear,53033,55223,USD,156333.3333,153206.6667,26.57666667,153233.2433,0.04166314423,fixed,,,,fixed,,42084,55223,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,38.30831083,43707,43707,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,non-performing,95,3
A00019379,LP19316,Broker,42084,USA,CRE,Mortage,Loan,Linear,53034,54859,USD,161904.7619,153809.5238,809.5238095,154619.0476,0.04176770486,fixed,,,,fixed,,42085,54859,,,0.03,0.005,0.0075,43672,449.7354497,449.7354497,38.6547619,43707,43707,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,non-performing,97,3
A00019380,LP19317,Branch,42085,USA,Resi,Mortage,Loan,Linear,53035,54860,USD,167476.1905,159102.381,837.3809524,159939.7619,0.04187226548,mixed,5 years fixed then variable,,,fixed,,42086,54860,,,0.03,0.005,0.0075,43672,465.2116402,465.2116402,39.98494048,43707,43707,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,93,3
A00019381,LP19318,Web,42086,USA,Resi,Mortage,Loan,Linear,53036,54861,USD,173047.619,173082.2286,432.6190476,173514.8476,0.0419768261,fixed,,,,fixed,,42087,54861,,,0.03,0.005,0.0075,43672,480.6878307,480.6878307,43.3787119,43707,43707,monthly,monthly,2884.126984,10384.93371,0.04,0.005,0.01,non-performing,213,6
A00019382,LP19319,Broker,42087,USA,Resi,Mortage,Loan,Linear,53037,54862,USD,178619.0476,169688.0952,482.2714286,170170.3667,0.04208138673,fixed,,,,fixed,,42088,54862,,,0.03,0.005,0.0075,43672,496.1640212,496.1640212,42.54259167,43707,43707,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,,20,3
A00019383,LP19320,Branch,42088,USA,Resi,Mortage,Loan,Linear,53038,54863,USD,184190.4762,165771.4286,1064.620952,166836.0495,0.04218594735,fixed,,,,fixed,,42089,54863,,,0.03,0.005,0.0075,43672,511.6402116,511.6402116,41.70901238,43707,43707,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,,90,3
A00019384,LP19321,Branch,42089,USA,Resi,Mortage,Loan,Linear,53039,55959,USD,189761.9048,185966.6667,948.8095238,186915.4762,0.04229050797,fixed,,,,fixed,,42090,55959,,,0.03,0.005,0.0075,43669,527.1164021,527.1164021,46.72886905,43707,43707,monthly,monthly,1581.349206,5579,0.04,0.005,0.01,non-performing,91,3
A00019385,LP19322,Web,42090,USA,Resi,Mortage,Loan,Linear,53040,53045,USD,195333.3333,185566.6667,33.20666667,185599.8733,0.04239506859,fixed,,,,fixed,,42091,53045,,,0.03,0.005,0.0075,43672,542.5925926,542.5925926,46.39996833,43707,43707,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,95,3
A00019386,LP19323,Broker,42091,USA,Resi,Mortage,Loan,Linear,53041,53046,USD,200000,190000,1000,191000,0.04249962922,fixed,,,,fixed,,42092,53046,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,97,3
A00019387,LP19324,Branch,42092,USA,Resi,Mortage,Loan,Balloon,53042,53047,USD,150000,142500,750,143250,0.04260418984,mixed,5 years fixed then variable,,,fixed,,42093,53047,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
A00019388,LP19325,Web,42093,USA,Resi,Mortage,Loan,Linear,53043,53048,USD,100000,95000,250,95250,0.04270875046,fixed,,,,fixed,,42094,53048,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,23.8125,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,,20,3
A00019389,LP19326,Broker,42094,USA,Resi,Mortage,Loan,Linear,53044,53049,USD,85000,76500,229.5,76729.5,0.04281331109,fixed,,,,fixed,,42095,53049,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,19.182375,43707,43707,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,,90,3
A00019390,LP19327,Branch,42095,USA,Resi,Mortage,Loan,Linear,53045,53050,USD,200000,196000,1156,197156,0.04291787171,fixed,,,,fixed,,42096,53050,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.289,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,91,3
A00019391,LP19328,Branch,42096,USA,Resi,Mortage,Loan,Linear,53046,55236,USD,150000,142500,750,143250,0.04302243233,mixed,5 years fixed then variable,,,fixed,,42097,55236,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,95,3
A00019392,LP19329,Web,42097,USA,Resi,Mortage,Loan,Linear,53047,54872,USD,136000,122400,23.12,122423.12,0.04312699296,fixed,,,,fixed,,42098,54872,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,30.60578,43707,43707,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,97,3
A00019393,LP19330,Broker,42098,USA,Resi,Mortage,Loan,Linear,53048,54873,USD,132714.2857,130060,22.56142857,130082.5614,0.04323155358,fixed,,,,fixed,,42099,54873,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,32.52064036,43707,43707,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,93,3
A00019394,LP19331,Branch,42099,USA,Resi,Mortage,Loan,Linear,53049,54874,USD,129428.5714,122957.1429,22.00285714,122979.1457,0.0433361142,fixed,,,,fixed,,42100,54874,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,30.74478643,43707,43707,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,,20,3
A00019395,LP19332,Web,42100,USA,CRE,Mortage,Loan,Linear,53050,54875,USD,126142.8571,119835.7143,315.3571429,120151.0714,0.04344067482,fixed,,,,fixed,,42101,54875,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.03776786,43707,43707,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,,90,3
A00019396,LP19333,Broker,42101,USA,Resi,Mortage,Loan,Linear,53051,54876,USD,122857.1429,122881.7143,331.7142857,123213.4286,0.04354523545,fixed,,,,fixed,,42102,54876,,,0.03,0.005,0.0075,43672,341.2698413,341.2698413,30.80335714,43707,43707,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,91,3
A00019397,LP19334,Branch,42102,USA,Resi,Mortage,Loan,Linear,53052,55972,USD,119571.4286,113592.8571,691.1228571,114283.98,0.04364979607,fixed,,,,fixed,,42103,55972,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.570995,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
A00019398,LP19335,Branch,42103,USA,Resi,Mortage,Loan,Linear,53053,53058,USD,116285.7143,104657.1429,581.4285714,105238.5714,0.04375435669,fixed,,,,fixed,,42104,53058,,,0.03,0.005,0.0075,43672,323.015873,323.015873,26.30964286,43707,43707,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,non-performing,97,3
A00019399,LP19336,Web,42104,USA,Resi,Mortage,Loan,Linear,53054,53059,USD,200000,196000,34,196034,0.04385891732,fixed,,,,fixed,,42105,53059,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,49.0085,43707,43707,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3
A00019400,LP19337,Broker,42105,USA,Resi,Mortage,Loan,Linear,53055,53060,USD,150000,142500,750,143250,0.04396347794,fixed,,,,fixed,,42106,53060,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,,20,3
A00019401,LP19338,Branch,42106,USA,Resi,Mortage,Loan,Linear,53056,53061,USD,100000,95000,500,95500,0.04406803856,fixed,,,,fixed,,42107,53061,,,0.03,0.005,0.0075,43672,370.3703704,277.7777778,23.875,43707,43707,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,,90,3
A00019402,LP19339,Web,42107,USA,Resi,Mortage,Loan,Linear,53057,53062,USD,85000,80750,212.5,80962.5,0.04417259918,fixed,,,,fixed,,42108,53062,,,0.03,0.005,0.0075,43672,0,236.1111111,20.240625,43707,43707,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,91,3
A00019403,LP19340,Broker,42108,USA,Resi,Mortage,Loan,Linear,53058,53063,USD,200000,190000,540,190540,0.04427715981,fixed,,,,fixed,,42109,53063,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.635,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,95,3
A00019404,LP19341,Branch,42109,USA,Resi,Mortage,Loan,Linear,53059,55249,USD,150000,135000,867,135867,0.04438172043,fixed,,,,fixed,,42110,55249,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,33.96675,43707,43707,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,97,3
A00019405,LP19342,Branch,42110,USA,Resi,Mortage,Loan,Linear,53060,54885,USD,136000,133280,680,133960,0.04448628105,mixed,5 years fixed then variable,,,fixed,,42111,54885,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,33.49,43707,43707,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,93,3
A00019406,LP19343,Web,42111,USA,Resi,Mortage,Loan,Linear,53061,54886,USD,132714.2857,126078.5714,22.56142857,126101.1329,0.04459084168,variable,,LIBOR,3,fixed,LIBOR,42112,54886,,,0.03,0.005,0.0075,43672,368.6507937,368.6507937,31.52528321,43707,43707,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,,90,3
A00019407,LP19344,Broker,42112,USA,Resi,Mortage,Loan,Balloon,53062,54887,USD,129428.5714,116485.7143,22.00285714,116507.7171,0.0446954023,fixed,,,,fixed,,42113,54887,,,0.03,0.005,0.0075,43672,359.5238095,359.5238095,29.12692929,43707,43707,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,92,3
A00019408,LP19345,Branch,42113,USA,Resi,Mortage,Loan,Linear,53063,54888,USD,126142.8571,123620,21.44428571,123641.4443,0.04479996292,fixed,,,,fixed,,42114,54888,,,0.03,0.005,0.0075,43672,350.3968254,350.3968254,30.91036107,43707,43707,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,,20,3
A00019409,LP19346,Web,42114,USA,Resi,Mortage,Loan,Linear,53064,54889,USD,122857.1429,116714.2857,307.1428571,117021.4286,0.04490452354,mixed,5 years fixed then variable,,,fixed,,42115,54889,,,0.03,0.005,0.0075,43669,341.2698413,341.2698413,29.25535714,43707,43707,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,,90,3
A00019410,LP19347,Broker,42115,USA,Resi,Mortage,Loan,Linear,53065,55985,USD,119571.4286,113592.8571,322.8428571,113915.7,0.04,fixed,,,,fixed,,42116,55985,,,0.03,0.005,0.0075,43672,332.1428571,332.1428571,28.478925,43707,43707,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,91,3
A00019411,LP19348,Branch,42116,USA,CRE,Mortage,Loan,Linear,53066,53071,USD,116285.7143,116308.9714,672.1314286,116981.1029,0.035,fixed,,,,fixed,,42117,53071,,,0.03,0.005,0.0075,43672,323.015873,323.015873,29.24527571,43707,43707,monthly,monthly,969.047619,3489.269143,0.04,0.005,0.01,non-performing,95,3
A00019412,LP19349,Branch,42117,USA,Resi,Mortage,Loan,Linear,53067,53072,USD,150000,142500,750,143250,0.04,fixed,,,,fixed,,42118,53072,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.8125,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,97,3
A00019413,LP19350,Web,42118,USA,Resi,Mortage,Loan,Linear,53068,53073,USD,100000,90000,17,90017,0.04,fixed,,,,fixed,,42119,53073,,,0.03,0.005,0.0075,43672,277.7777778,277.7777778,22.50425,43707,43707,monthly,monthly,833.3333333,2700,0.04,0.005,0.01,non-performing,93,3
A00019414,LP19351,Broker,42119,USA,Resi,Mortage,Loan,Linear,53069,53074,USD,85000,83300,425,83725,0.04,fixed,,,,fixed,,42120,53074,,,0.03,0.005,0.0075,43672,236.1111111,236.1111111,20.93125,43707,43707,monthly,monthly,708.3333333,2499,0.04,0.005,0.01,,20,3
A00019415,LP19352,Branch,42120,USA,Resi,Mortage,Loan,Linear,53070,53075,USD,200000,190000,1000,191000,0.0375,fixed,,,,fixed,,42121,53075,,,0.03,0.005,0.0075,43672,555.5555556,555.5555556,47.75,43707,43707,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,,90,3
A00019416,LP19353,Web,42121,USA,Resi,Mortage,Loan,Linear,53071,53076,USD,150000,142500,375,142875,0.04,mixed,5 years fixed then variable,,,fixed,,42122,53076,,,0.03,0.005,0.0075,43672,416.6666667,416.6666667,35.71875,43707,43707,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,91,3
A00019417,LP19354,Broker,42122,USA,Resi,Mortage,Loan,Linear,53072,55262,USD,136000,129200,367.2,129567.2,0.04,fixed,,,,fixed,,42123,55262,,,0.03,0.005,0.0075,43672,377.7777778,377.7777778,32.3918,43707,43707,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,95,3
A00019418,LP19355,Branch,42123,USA,Resi,Mortage,Loan,Linear,53073,54898,USD,156333.3333,148516.6667,903.6066667,149420.2733,0.04,fixed,,,,fixed,,42124,54898,,,0.03,0.005,0.0075,43672,434.2592593,434.2592593,37.35506833,43707,43707,monthly,monthly,1302.777778,4455.5,0.04,0.005,0.01,non-performing,97,3
A00019419,LP19356,Branch,42124,USA,Resi,Mortage,Loan,Linear,53074,54899,USD,161904.7619,145714.2857,809.5238095,146523.8095,0.04,fixed,,,,fixed,,42125,54899,,,0.03,0.005,0.0075,43672,449.7354497,449.7354497,36.63095238,43707,43707,monthly,monthly,1349.206349,4371.428571,0.04,0.005,0.01,non-performing,93,3
A00019420,LP19357,Web,42125,USA,Resi,Mortage,Loan,Linear,53075,54900,USD,167476.1905,164126.6667,28.47095238,164155.1376,0.04,mixed,5 years fixed then variable,,,fixed,,42126,54900,,,0.03,0.005,0.0075,43672,465.2116402,465.2116402,41.0387844,43707,43707,monthly,monthly,1395.634921,4923.8,0.04,0.005,0.01,,20,3
A00019421,LP19358,Broker,42126,USA,Resi,Mortage,Loan,Linear,53076,54901,USD,173047.619,164395.2381,29.41809524,164424.6562,0.04,fixed,,,,fixed,,42127,54901,,,0.03,0.005,0.0075,43672,480.6878307,480.6878307,41.10616405,43707,43707,monthly,monthly,1442.063492,4931.857143,0.04,0.005,0.01,,90,3
A00019422,LP19359,Branch,42127,USA,Resi,Mortage,Loan,Linear,53077,54902,USD,178619.0476,160757.1429,30.3652381,160787.5081,0.0375,fixed,,,,fixed,,42128,54902,,,0.03,0.005,0.0075,43668,496.1640212,496.1640212,40.19687702,43707,43707,monthly,monthly,1488.492063,4822.714286,0.04,0.005,0.01,non-performing,91,3
