,rating_agency_name,file_creating_date,sec_category,issuer_name,legal_entity_identifier,object_type_rated,instrument_name,CUSIP_number,coupon_date,maturity_date,par_value,issued_paid,rating,rating_action_date,rating_action_class,rating_type,rating_sub_type,rating_type_term,other_announcement_type,watch_status,rating_outlook,issuer_identifier,issuer_identifier_schema,instrument_identifier,instrument_identifier_schema,central_index_key,obligor_identifier,obligor_identifier_schema,obligor_identifier_other,obligor_sec_category,obligor_industry_group,obligor_name
38,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser RegS""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2A0,ISIN,,,,,,,
39,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser RegS""",,,,,True,WD,2013-07-19,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2A0,ISIN,,,,,,,
40,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser 144A""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2B8,ISIN,,,,,,,
41,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser 144A""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2B8,ISIN,,,,,,,
42,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 8.5% Callable Notes 15 Jul 2015 ser 144A""",,,,,False,WD,2014-07-07,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1AY2B8,ISIN,,,,,,,
43,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser RegS""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P09,ISIN,,,,,,,
44,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser RegS""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P09,ISIN,,,,,,,
45,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser RegS""",,,,,True,WD,2013-11-18,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P09,ISIN,,,,,,,
46,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser 144A""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P17,ISIN,,,,,,,
47,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser 144A""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P17,ISIN,,,,,,,
48,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 6.5% Callable Notes 15 Jan 2016 ser 144A""",,,,,True,WD,2013-11-18,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P17,ISIN,,,,,,,
49,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser 144A""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P33,ISIN,,,,,,,
50,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser 144A""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P33,ISIN,,,,,,,
51,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser 144A""",,,,,True,WD,2013-11-11,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P33,ISIN,,,,,,,
52,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser RegS""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P25,ISIN,,,,,,,
53,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser RegS""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P25,ISIN,,,,,,,
54,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 625 mln 7.125% Callable Notes 15 Oct 2018 ser RegS""",,,,,True,WD,2013-11-11,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A1P25,ISIN,,,,,,,
55,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser RegS""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U37,ISIN,,,,,,,
56,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser RegS""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U37,ISIN,,,,,,,
57,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser RegS""",,,,,True,WD,2013-09-24,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U37,ISIN,,,,,,,
58,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser 144A""",,,,,True,BB,2012-06-15,HS,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U45,ISIN,,,,,,,
59,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser 144A""",,,,,False,BBB,2013-07-15,UP,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U45,ISIN,,,,,,,
60,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 1 bln 7.5% Callable Notes 15 Sep 2017 ser 144A""",,,,,True,WD,2013-09-27,WE,Long Term Rating,,,,,,89426662.0,NRSRO,DE000A1A0U45,ISIN,,,,,,,
61,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 2.5% Notes 20 Mar 2017""",,,,,False,BBB,2013-09-27,NW,Long Term Rating,,,,,,89426662.0,NRSRO,XS0972719412,ISIN,,,,,,,
62,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 2.5% Notes 20 Mar 2017""",,,,,True,BBB+,2016-10-24,UP,Long Term Rating,,,,,,89426662.0,NRSRO,XS0972719412,ISIN,,,,,,,
63,Fitch Ratings,2019-01-01,Corporate,"""Conti-Gummi Finance BV""",,Instrument,"""Conti-Gummi Finance BV EUR 750 mln 2.5% Notes 20 Mar 2017""",,,,,True,NR,2017-03-20,WE,Long Term Rating,,,,,,89426662.0,NRSRO,XS0972719412,ISIN,,,,,,,
64,Fitch Ratings,2019-01-01,Corporate,"""Aramark""",,Instrument,"""Aramark senior unsecured bond/note""",,,,,False,CCC,2012-06-15,HS,Long Term Rating,,,,,,90451478.0,NRSRO,USU03891AA31,ISIN,,,,,,,
65,Fitch Ratings,2019-01-01,Corporate,"""Aramark""",,Instrument,"""Aramark senior unsecured bond/note""",,,,,False,WD,2013-01-28,WO,Long Term Rating,,,,,,90451478.0,NRSRO,USU03891AA31,ISIN,,,,,,,
66,Fitch Ratings,2019-01-01,,,ISRPG12PN4EIEOEMW547,,,,,,,True,A,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Honeywell International, Inc."""
67,Fitch Ratings,2019-01-01,,,ISRPG12PN4EIEOEMW547,,,,,,,True,F1,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Honeywell International, Inc."""
68,Fitch Ratings,2019-01-01,Corporate,"""JetBlue Airways Corporation""",,Instrument,"""JetBlue Airways Corporation USD 425 mln revolving credit facility 06-Apr-2021""",,,,,True,BB,2014-02-20,NW,Long Term Rating,,,,,,82391900.0,NRSRO,93774690,NRSRO,,,,,,,
69,Fitch Ratings,2019-01-01,Corporate,"""JetBlue Airways Corporation""",,Instrument,"""JetBlue Airways Corporation USD 425 mln revolving credit facility 06-Apr-2021""",,,,,True,BB+,2015-02-19,UP,Long Term Rating,,,,,,82391900.0,NRSRO,93774690,NRSRO,,,,,,,
70,Fitch Ratings,2019-01-01,Corporate,"""Midea Group Co., Ltd.""",,Instrument,"""Midea Group Co., Ltd. USD Debts""",,,,,True,A-,2015-11-18,NW,Long Term Rating,,,,,,96197530.0,NRSRO,96209524,NRSRO,,,,,,,
71,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB,2015-04-27,NW,Long Term Issuer Default Rating,,,,,,,,,,,96155089.0,NRSRO,,Corporate,,"""Becle, S.A.B. de C.V."""
72,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB+,2017-04-05,UP,Long Term Issuer Default Rating,,,,,,,,,,,96155089.0,NRSRO,,Corporate,,"""Becle, S.A.B. de C.V."""
73,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB,2015-04-27,NW,Local Currency Long Term Issuer Default Rating,,,,,,,,,,,96155089.0,NRSRO,,Corporate,,"""Becle, S.A.B. de C.V."""
74,Fitch Ratings,2019-01-01,,,,,,,,,,True,BBB+,2017-04-05,UP,Local Currency Long Term Issuer Default Rating,,,,,,,,,,,96155089.0,NRSRO,,Corporate,,"""Becle, S.A.B. de C.V."""
75,Fitch Ratings,2019-01-01,Corporate,"""SABIC Capital II B.V.""",,Instrument,"""SABIC Capital II B.V. USD 1 bln 2.625% USD Gtd Notes 3 Oct 2018""",,,,,True,A+,2013-10-04,NW,Long Term Rating,,,,,,92962494.0,NRSRO,XS0971431613,ISIN,,,,,,,
76,Fitch Ratings,2019-01-01,Corporate,"""Rio Tinto Finance Plc""",,Instrument,"""Rio Tinto Finance Plc EUR 750 mln 2% Gtd Notes 11 May 2020""",,,,,False,A-,2013-03-01,NW,Long Term Rating,,,,,,96160432.0,NRSRO,XS0863129135,ISIN,,,,,,,
77,Fitch Ratings,2019-01-01,Corporate,"""Rio Tinto Finance Plc""",,Instrument,"""Rio Tinto Finance Plc EUR 500 mln 2.875% Gtd Notes 11 Dec 2024""",,,,,False,A-,2014-06-18,NW,Long Term Rating,,,,,,96160432.0,NRSRO,XS0863127279,ISIN,,,,,,,
78,Fitch Ratings,2019-01-01,Corporate,"""Rio Tinto Finance Plc""",,Instrument,"""Rio Tinto Finance Plc GBP 500 mln  4% Gtd Notes 11 Dec 2029""",,,,,False,A-,2014-06-18,NW,Long Term Rating,,,,,,96160432.0,NRSRO,XS0863076930,ISIN,,,,,,,
79,Fitch Ratings,2019-01-01,Corporate,"""Tunghsu Group Co., Ltd.""",,Instrument,"""Tunghsu Group Co., Ltd. USD Debts""",,,,,True,B+,2017-05-31,NW,Long Term Rating,,,,,,96497133.0,NRSRO,96505687,NRSRO,,,,,,,
80,Fitch Ratings,2019-01-01,,,52990097YFPX9J0H5D87,,,,,,,False,BB+,2012-06-15,HS,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Pernod Ricard S.A."""
81,Fitch Ratings,2019-01-01,,,52990097YFPX9J0H5D87,,,,,,,False,BBB-,2012-10-23,UP,Long Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Pernod Ricard S.A."""
82,Fitch Ratings,2019-01-01,,,52990097YFPX9J0H5D87,,,,,,,False,B,2012-06-15,HS,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Pernod Ricard S.A."""
83,Fitch Ratings,2019-01-01,,,52990097YFPX9J0H5D87,,,,,,,False,F3,2012-10-23,UP,Short Term Issuer Default Rating,,,,,,,,,,,,,,Corporate,,"""Pernod Ricard S.A."""
84,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 1.7 mln 6.625% bond/note 15-Aug-2033 ser RegS""",,,,,False,BBB+,2012-06-15,HS,Long Term Rating,,,,,,90594301.0,NRSRO,USG77395AA27,ISIN,,,,,,,
85,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 1.7 mln 6.625% bond/note 15-Aug-2033 ser RegS""",,,,,False,A-,2014-11-18,UP,Long Term Rating,,,,,,90594301.0,NRSRO,USG77395AA27,ISIN,,,,,,,
86,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 1.7 mln 6.625% bond/note 15-Aug-2033 ser RegS""",,,,,False,BBB,2016-11-09,DG,Long Term Rating,,,,,,90594301.0,NRSRO,USG77395AA27,ISIN,,,,,,,
87,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 2.5 bln 7.75% Callable Gtd Notes 15 Jan 2019 ser REGS""",,,,,False,A,2012-06-15,HS,Long Term Rating,,,,,,90594301.0,NRSRO,USU03597AB45,ISIN,,,,,,,
88,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 2.5 bln 7.75% Callable Gtd Notes 15 Jan 2019 ser REGS""",,,,,False,BBB+,2016-05-06,DG,Long Term Rating,,,,,,90594301.0,NRSRO,USU03597AB45,ISIN,,,,,,,
89,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 2.5 bln 7.75% Callable Gtd Notes 15 Jan 2019 ser REGS""",,,,,False,BBB,2016-11-09,DG,Long Term Rating,,,,,,90594301.0,NRSRO,USU03597AB45,ISIN,,,,,,,
90,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc EUR 1 bln 1.875% Gtd Notes 20 Jan 2020""",,,,,False,BBB+,2012-12-07,NW,Long Term Rating,,,,,,90594301.0,NRSRO,XS0862091955,ISIN,,,,,,,
91,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc EUR 1 bln 1.875% Gtd Notes 20 Jan 2020""",,,,,False,A-,2014-11-18,UP,Long Term Rating,,,,,,90594301.0,NRSRO,XS0862091955,ISIN,,,,,,,
92,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc EUR 1 bln 1.875% Gtd Notes 20 Jan 2020""",,,,,False,BBB,2016-11-09,DG,Long Term Rating,,,,,,90594301.0,NRSRO,XS0862091955,ISIN,,,,,,,
93,Fitch Ratings,2019-01-01,Corporate,"""Anheuser Busch InBev Worldwide Inc""",,Instrument,"""Anheuser Busch InBev Worldwide Inc USD 9.67 mln 4.95% bond/note 15-Jan-2042""",,,,,False,BBB+,2014-01-09,NW,Long Term Rating,,,,,,90594301.0,NRSRO,USU7787RAC52,ISIN,,,,,,,
