loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
14000,14000,14000,60 months,14.74%,331.16,C,C2,Sr. Events Manager,10+ years,MORTGAGE,156912,Source Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,917xx,CA,23.64,1,Jun-1986,0,20,,20,0,39621,66.7%,37,w,13351.4,13351.4,1313.18,1313.18,648.6,664.58,0,0,0,Jul-2019,331.16,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,549378,1,6,1,1,1,44678,38,2,4,16511,47,59400,1,1,3,5,27469,8264,80.2,0,0,157,393,7,1,3,7,,1,20,0,6,10,6,11,16,13,18,10,20,0,0,0,3,94.4,66.7,0,0,671756,84299,41700,118513,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
38000,38000,38000,60 months,10.33%,813.58,B,B1,Psychological associate,10+ years,MORTGAGE,185000,Source Verified,Feb-2019,Current,n,,,small_business,Business,281xx,NC,11.96,0,Jul-1996,0,,,20,0,50034,57.2%,43,w,35525.44,35525.44,4046.09,4046.09,2474.56,1571.53,0,0,0,Jul-2019,813.58,Aug-2019,Jul-2019,0,,1,Individual,,,,0,1540,428538,0,7,1,1,12,62486,55,0,0,18776,56,87500,2,0,2,2,21427,26074,65.2,0,0,271,267,49,10,4,49,,12,,0,6,8,8,11,21,11,18,8,20,0,0,0,2,100,50,0,0,522319,112520,74900,104309,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000,36 months,8.19%,377.09,A,A4,Security,10+ years,MORTGAGE,45000,Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,065xx,CT,9.97,0,May-1992,1,71,,6,0,7601,95%,14,w,10503.77,10503.77,1874.53,1874.53,1496.23,378.3,0,0,0,Jul-2019,377.09,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,182229,0,2,0,0,28,2510,29,0,1,4871,61,8000,1,3,2,1,30372,112,98.1,0,0,58,321,13,13,5,13,,3,,0,2,3,2,3,5,3,4,3,6,0,0,0,0,92.9,100,0,0,205085,10111,6000,8646,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
9000,9000,9000,36 months,15.02%,312.08,C,C3,,n/a,MORTGAGE,44000,Not Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,173xx,PA,16.97,0,Sep-1997,2,,45,17,1,9998,23.2%,60,w,0,0,9588.6115353194,9588.61,9000,588.61,0,0,0,Jul-2019,7347.8,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,18067,1,1,1,2,10,8069,81,8,12,4301,34,43100,2,1,9,14,1063,21022,22.1,0,0,172,257,5,5,1,7,,3,,0,3,9,6,24,8,16,51,9,17,0,0,0,9,100,0,1,0,53100,18067,27000,10000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000,60 months,17.19%,299.46,C,C5,Cnc macinist,10+ years,MORTGAGE,65000,Source Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,467xx,IN,32.81,0,Sep-1995,0,,,12,0,20893,92.9%,28,f,11478.69,11478.69,1249.41,1249.41,521.31,728.1,0,0,0,Jul-2019,299.46,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,176163,1,3,1,4,9,43413,78,0,3,2485,82,22500,1,4,4,8,14680,1118,88,0,0,179,281,15,2,2,15,,3,,0,5,8,5,10,11,8,15,8,12,0,0,0,2,100,100,0,0,190542,64306,9300,56041,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,6000,36 months,14.74%,207.23,C,C2,Medical Assistant,2 years,RENT,60000,Source Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,600xx,IL,14.42,0,May-2011,0,48,,16,0,11998,28.1%,20,w,5455.96,5455.96,824.01,824.01,544.04,279.97,0,0,0,Jul-2019,207.23,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,22393,1,1,0,1,16,10395,87,3,5,5714,41,42700,1,0,0,6,1400,19559,32.1,0,0,25,94,4,4,0,4,,16,48,0,6,9,8,10,2,15,18,9,16,0,0,0,3,95,0,0,0,54700,22393,28800,12000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
40000,40000,40000,60 months,8.19%,814.7,A,A4,Host,2 years,RENT,175000,Not Verified,Feb-2019,Current,n,,,credit_card,Credit card refinancing,070xx,NJ,8.55,0,Jul-2000,0,,,12,0,38232,43.5%,19,w,37254.28,37254.28,4055.3,4055.3,2745.72,1309.58,0,0,0,Jul-2019,814.7,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,42873,0,1,0,0,26,4641,31,0,1,17100,42,87900,0,1,0,1,3573,46654,44.5,0,0,89,222,24,24,0,32,,,,0,4,5,8,10,4,11,15,5,12,0,0,0,0,100,37.5,0,0,103091,42873,84100,15191,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
36000,36000,36000,36 months,14.47%,1238.63,C,C2,Special Educator,1 year,MORTGAGE,51000,Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,027xx,MA,33.13,0,Aug-1997,2,32,,15,0,26555,92.2%,27,w,32723.2,32723.2,5012.4,5012.4,3276.8,1735.6,0,0,0,Jul-2019,1238.63,Aug-2019,Jul-2019,0,65,1,Joint App,206000,14.89,,0,0,478793,3,9,2,3,1,63236,66,1,1,17645,72,28800,3,1,2,5,31920,1410,94.1,0,0,258,106,3,1,2,46,32,3,32,0,4,5,4,5,19,5,6,5,15,0,0,0,3,88.9,50,0,0,521089,89791,24000,96000,32156,Aug-1999,2,2,16,71.5,5,14,0,0,30,N,,,,,,,,,,,,,,,N,,,,,,
24000,24000,24000,60 months,12.40%,538.74,B,B4,Electrical Engineer,5 years,MORTGAGE,80713,Not Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,765xx,TX,38.58,0,Aug-2005,0,,,15,0,32868,84.3%,20,w,22818.89,22818.89,2121.89,2121.89,1181.11,940.78,0,0,0,Jul-2019,538.74,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,223716,0,9,0,1,24,40528,45,0,0,10309,57,39000,0,0,0,1,14914,6132,84.3,0,0,163,163,29,24,1,29,,,,0,5,5,5,5,14,5,5,5,15,0,0,0,0,100,80,0,0,289462,73396,39000,89924,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
2200,2200,2200,36 months,22.50%,84.59,D,D3,Executive producer,1 year,OWN,100000,Source Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,100xx,NY,4.02,1,Feb-2001,0,15,,2,0,13037,100.3%,4,w,2021.7,2021.7,332.86,332.86,178.3,154.56,0,0,0,Jul-2019,84.59,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,530245,0,0,0,0,,0,,0,0,13037,100,13000,0,0,3,0,265123,0,100.3,0,0,,217,39,39,1,39,,3,,0,1,1,1,3,0,1,3,1,2,0,0,0,0,100,100,0,0,688000,13037,13000,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000,60 months,23.40%,341.05,E,E1,Foodservice Administrator II,< 1 year,MORTGAGE,74000,Not Verified,Feb-2019,Current,n,,,house,Home buying,120xx,NY,12.16,0,May-1982,0,,24,8,1,224,2.6%,38,w,11443.46,11443.46,1689.65,1689.65,556.54,1133.11,0,0,0,Jul-2019,341.05,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,233665,1,2,1,3,4,59581,100,0,1,190,73,8500,0,5,1,4,33381,8276,2.6,0,0,275,441,15,4,4,15,,10,,0,2,2,3,18,9,4,25,2,7,0,0,0,1,100,0,1,0,252110,59805,8500,59610,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
35000,35000,35000,60 months,13.08%,797.8,B,B5,Service Tech,1 year,MORTGAGE,31200,Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,483xx,MI,67,0,May-2010,2,,,10,0,19271,59.7%,19,w,33789.42,33789.42,2342.53,2342.53,1210.58,1131.95,0,0,0,Jul-2019,797.8,Aug-2019,Jul-2019,0,,1,Joint App,104700,23.27,Verified,0,0,209335,3,3,1,2,4,30753,52,1,3,12790,55,32300,1,1,6,6,23259,13029,59.7,0,0,57,106,3,3,1,3,,4,,0,3,3,6,12,4,6,14,3,10,0,0,0,3,100,40,0,0,251366,50024,32300,59016,30380,Aug-2005,2,1,15,54.2,5,48,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
2500,2500,2500,36 months,11.71%,82.69,B,B3,Process Engineer,10+ years,MORTGAGE,110000,Source Verified,Mar-2019,Current,n,,,car,Car financing,290xx,SC,18.64,0,Mar-2002,1,,,12,0,40741,85.8%,35,w,2263.39,2263.39,329.13,329.13,236.61,92.52,0,0,0,Jul-2019,82.69,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,504578,1,1,0,2,20,20863,75,1,2,9725,82,47500,1,3,3,5,42048,2595,92.6,0,0,152,204,3,3,6,18,,3,,0,6,8,6,10,15,9,14,8,12,0,0,0,2,100,83.3,0,0,529100,61604,35300,28000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
12000,12000,12000,36 months,11.31%,394.63,B,B3,Chef,7 years,ANY,43583,Source Verified,Feb-2019,Late (31-120 days),n,,,major_purchase,Major purchase,104xx,NY,12.15,0,Oct-2007,1,55,,10,0,2066,5.3%,22,f,11147.42,11147.42,1176.35,1176.35,852.58,323.77,0,0,0,May-2019,394.63,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,9614,4,1,0,1,13,7548,76,5,5,1673,20,38900,1,0,1,6,961,36634,5.3,0,0,13,136,2,2,0,2,55,2,55,0,3,3,8,18,1,9,20,3,10,0,0,0,5,63.6,0,0,0,48900,9614,38700,10000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6500,6500,6500,36 months,12.40%,217.14,B,B4,Portfolio Specialist,3 years,MORTGAGE,97000,Not Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,765xx,TX,30.82,0,Jan-2007,0,,,12,0,38324,83.7%,24,w,5890.74,5890.74,859.6,859.6,609.26,250.34,0,0,0,Jul-2019,217.14,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,445917,1,4,1,2,4,10263,47,0,1,15313,73,45800,0,5,0,3,37160,3166,90.8,0,0,134,106,20,4,2,36,,,,0,4,7,4,4,12,7,9,7,12,0,0,0,1,100,75,0,0,521565,48587,34400,58765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
17000,17000,17000,36 months,6.46%,520.73,A,A1,Restaurant Manager,5 years,RENT,52500,Not Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,921xx,CA,17.19,0,Dec-2001,0,78,,10,0,10510,60.1%,18,w,15269.23,15269.23,2070.72,2070.72,1730.77,339.95,0,0,0,Jul-2019,520.73,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,33193,0,7,0,1,15,22683,79,0,2,5113,72,17500,0,0,0,3,3319,6990,60.1,0,0,206,178,13,13,0,13,,,,0,3,3,3,3,13,3,5,3,10,0,0,0,0,94.4,33.3,0,0,46238,33193,17500,28738,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
20000,20000,20000,36 months,13.08%,674.65,B,B5,Digital Retoucher,2 years,RENT,48000,Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,024xx,MA,40.15,0,May-2006,1,25,,19,0,16028,21%,40,w,18143.32,18143.32,2669.53,2669.53,1856.68,812.85,0,0,0,Jul-2019,674.65,Aug-2019,Jul-2019,0,,1,Joint App,123000,22.92,Source Verified,0,0,126166,3,8,4,5,4,110138,91,4,5,14078,64,76500,4,1,4,10,6640,60472,21,0,0,148,153,4,4,0,4,25,4,25,0,3,3,11,16,20,11,20,3,19,0,0,0,8,97.5,9.1,0,0,197728,126166,76500,121228,66427,Jul-2007,0,0,11,22.6,4,12,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
3000,3000,3000,36 months,15.57%,104.84,C,C3,security guard,6 years,RENT,33000,Not Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,934xx,CA,19.27,0,Sep-2013,1,,,7,0,4019,54.3%,9,f,2626.95,2626.95,516.76,516.76,373.05,143.71,0,0,0,Jul-2019,104.84,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,18284,3,1,1,1,11,14265,93,3,5,2139,80,7400,2,1,5,6,2612,2682,58.7,0,0,45,66,2,2,0,2,,4,,0,4,6,4,4,2,6,7,6,7,0,0,0,4,100,25,0,0,22799,18284,6500,15399,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
6000,6000,5975,36 months,7.56%,186.81,A,A3,,n/a,MORTGAGE,60000,Verified,Mar-2019,Current,n,,,credit_card,Credit card refinancing,956xx,CA,9.38,0,Oct-2005,1,,86,6,1,4851,21.2%,26,f,5398.3,5375.81,757.32,754.16,601.7,155.62,0,0,0,Jul-2019,186.81,Aug-2019,Jul-2019,0,,1,Individual,,,,0,0,435398,1,1,1,1,6,14079,94,0,2,4029,50,22900,0,3,1,6,72566,18049,21.2,0,0,72,160,21,6,8,23,,6,,0,3,3,4,8,7,4,11,3,6,0,0,0,1,100,0,1,0,462000,18930,22900,15000,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
30000,30000,30000,36 months,16.14%,1056.79,C,C4,Agency Marketing,1 year,MORTGAGE,22000,Not Verified,Feb-2019,Current,n,,,debt_consolidation,Debt consolidation,786xx,TX,69.34,1,Mar-1998,0,15,,5,0,19164,94.4%,22,w,26644.49,26644.49,5230.15,5230.15,3355.51,1874.64,0,0,0,Jul-2019,1056.79,Aug-2019,Jul-2019,0,66,1,Joint App,119000,16.04,Not Verified,0,0,29904,0,1,0,1,20,10740,56,0,0,11708,76,20300,1,7,0,1,5981,112,99.3,0,0,144,251,84,20,0,207,,20,15,0,2,3,2,4,11,4,11,3,5,0,0,0,0,81.8,100,0,0,39500,29904,16800,19200,31932,Mar-1998,0,3,8,94.4,3,8,0,0,66,N,,,,,,,,,,,,,,,N,,,,,,
15000,15000,15000,36 months,20.00%,557.46,D,D2,,< 1 year,MORTGAGE,200000,Verified,Mar-2019,Current,n,,,other,Other,295xx,SC,15.02,0,Mar-1991,3,70,,16,0,23683,78.9%,30,f,13739.07,13739.07,2213.17,2213.17,1260.93,952.24,0,0,0,Jul-2019,557.46,Aug-2019,Jul-2019,0,70,1,Individual,,,,0,0,314506,1,3,1,1,11,43699,72,2,4,10209,75,30000,3,0,7,5,24193,3792,77.4,0,0,111,336,4,4,4,4,,2,,1,3,7,8,10,9,12,17,7,16,0,0,0,3,96.7,40,0,0,350530,67382,16800,60330,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
25600,25600,25600,60 months,20.00%,678.25,D,D2,Operations Manager,6 years,MORTGAGE,115000,Verified,Mar-2019,Current,n,,,debt_consolidation,Debt consolidation,451xx,OH,39.91,1,May-2001,0,20,,12,0,12226,58.2%,48,w,24568.23,24568.23,2656.11,2656.11,1031.77,1624.34,0,0,0,Jul-2019,678.25,Aug-2019,Jul-2019,0,,1,Individual,,,,0,2994,340405,2,5,3,3,4,114862,91,0,3,8426,82,21000,3,1,7,7,28367,2808,81.3,0,0,186,213,13,4,6,13,25,5,20,0,4,6,4,18,21,6,21,6,12,0,0,0,4,89.6,50,0,0,391226,127088,15000,155176,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
