Principal Balance,UPB,Loan ID,Origination Channel,MARP Status,Origination Date,MARP Entry,Last Payment Amount,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Accrued Interest Balance (On book),Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due,Covenant Waiver,MARP Applicable
95000,80764.45,ZLP27310,Branch,Not in MARP,3/15/2013,12/5/2013,277.7777778,Ireland,Resi,Mortage,Loan,Linear,3/7/2045,3/12/2045,EUR,200000,500,0.04,fixed,,,,fixed,,3/16/2015,3/12/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3,1,0
76500,80764.45,ZLP27311,Web,Not in MARP,3/16/2013,12/6/2013,236.1111111,Ireland,Resi,Mortage,Loan,Linear,3/8/2045,3/13/2045,EUR,150000,212.5,0.04,fixed,,,,fixed,,3/17/2015,3/13/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,19.178125,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4590,0.04,0.005,0.01,non-performing,95,3,0,0
196000,80764.45,ZLP27312,Broker,Not in MARP,3/17/2013,12/7/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/9/2045,3/14/2045,EUR,200000,540,0.05,fixed,,,,fixed,,3/18/2015,3/14/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.135,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3,0,0
142500,80764.45,ZLP27313,Branch,Not in MARP,3/18/2013,12/8/2013,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/10/2045,3/15/2045,EUR,175000,867,0.04145402299,mixed,5 years fixed then variable,,,fixed,,3/19/2015,3/15/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.84175,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3,0,0
122400,80764.45,ZLP27314,Branch,Not in MARP,3/19/2013,12/9/2013,377.7777778,Ireland,Resi,Mortage,Loan,Linear,3/11/2045,3/16/2045,EUR,170000,680,0.04155858361,variable,,LIBOR,3,fixed,LIBOR,3/20/2015,3/16/2045,,,0.03,0.005,0.0075,7/26/2019,377.7777778,30.77,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6,0,0
153206.6667,80764.45,ZLP27315,Web,Not in MARP,3/20/2013,12/10/2013,434.2592593,Ireland,Resi,Mortage,Loan,Linear,3/12/2045,3/11/2051,EUR,165000,26.57666667,0.04166314423,fixed,,,,fixed,,3/21/2015,3/11/2051,,,0.03,0.005,0.0075,7/26/2019,434.2592593,38.30831083,8/30/2019,8/30/2019,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,non-performing,90,3,0,0
153809.5238,80764.45,ZLP27316,Broker,Not in MARP,3/21/2013,12/11/2013,449.7354497,Ireland,CRE,Mortage,Loan,Linear,3/13/2045,3/12/2050,EUR,160000,809.5238095,0.04176770486,fixed,,,,fixed,,3/22/2015,3/12/2050,,,0.03,0.005,0.0075,7/26/2019,449.7354497,38.6547619,8/30/2019,8/30/2019,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,non-performing,91,3,0,0
159102.381,80764.45,ZLP27317,Branch,Not in MARP,3/22/2013,12/12/2013,465.2116402,Ireland,Resi,Mortage,Loan,Linear,3/14/2045,3/13/2050,EUR,155000,837.3809524,0.04187226548,mixed,5 years fixed then variable,,,fixed,,3/23/2015,3/13/2050,,,0.03,0.005,0.0075,7/26/2019,465.2116402,39.98494048,8/30/2019,8/30/2019,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,95,3,0,0
173082.2286,80764.45,ZLP27318,Web,Not in MARP,3/23/2013,12/13/2013,480.6878307,Ireland,Resi,Mortage,Loan,Linear,3/15/2045,3/14/2050,EUR,150000,432.6190476,0.0419768261,fixed,,,,fixed,,3/24/2015,3/14/2050,,,0.03,0.005,0.0075,7/26/2019,480.6878307,43.3787119,8/30/2019,8/30/2019,monthly,monthly,2884.126984,10384.93371,0.04,0.005,0.01,non-performing,97,3,0,0
169688.0952,80764.45,ZLP27319,Broker,Not in MARP,3/24/2013,12/14/2013,496.1640212,Ireland,Resi,Mortage,Loan,Linear,3/16/2045,3/15/2050,EUR,145000,482.2714286,0.04208138673,fixed,,,,fixed,,3/25/2015,3/15/2050,,,0.03,0.005,0.0075,7/26/2019,496.1640212,42.54259167,8/30/2019,8/30/2019,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,93,3,0,0
165771.4286,80764.45,ZLP27320,Branch,Not in MARP,3/25/2013,12/15/2013,511.6402116,Ireland,Resi,Mortage,Loan,Linear,3/17/2045,3/16/2050,EUR,140000,1064.620952,0.04218594735,fixed,,,,fixed,,3/26/2015,3/16/2050,,,0.03,0.005,0.0075,7/26/2019,511.6402116,41.70901238,8/30/2019,8/30/2019,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,non-performing,90,3,0,0
185966.6667,80764.45,ZLP27321,Branch,Not in MARP,3/26/2013,12/16/2013,527.1164021,Ireland,Resi,Mortage,Loan,Linear,3/18/2045,3/16/2053,EUR,135000,948.8095238,0.04229050797,fixed,,,,fixed,,3/27/2015,3/16/2053,,,0.03,0.005,0.0075,7/23/2019,527.1164021,46.72886905,8/30/2019,8/30/2019,monthly,monthly,1581.349206,5579,0.04,0.005,0.01,non-performing,92,3,0,0
185566.6667,80764.45,ZLP27322,Web,Not in MARP,3/27/2013,12/17/2013,542.5925926,Ireland,Resi,Mortage,Loan,Linear,3/19/2045,3/24/2045,EUR,130000,33.20666667,0.04239506859,fixed,,,,fixed,,3/28/2015,3/24/2045,,,0.03,0.005,0.0075,7/26/2019,542.5925926,46.39996833,8/30/2019,8/30/2019,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,91,3,0,0
190000,80764.45,ZLP27323,Broker,Not in MARP,3/28/2013,12/18/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/20/2045,3/25/2045,EUR,125000,1000,0.04249962922,fixed,,,,fixed,,3/29/2015,3/25/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,95,3,0,0
142500,80764.45,ZLP27324,Branch,ARA,3/29/2013,12/19/2013,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/21/2045,3/26/2045,EUR,200000,750,0.04260418984,mixed,5 years fixed then variable,,,fixed,,3/30/2015,3/26/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,97,3,0,0
95000,80764.45,ZLP27325,Web,Exited MARP,3/30/2013,12/20/2013,277.7777778,Ireland,Resi,Mortage,Loan,Linear,3/22/2045,3/27/2045,EUR,200000,250,0.04270875046,fixed,,,,fixed,,3/31/2015,3/27/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,93,3,0,1
76500,80764.45,ZLP27326,Broker,Not in MARP,3/31/2013,12/21/2013,236.1111111,Ireland,Resi,Mortage,Loan,Linear,3/23/2045,3/28/2045,EUR,150000,229.5,0.04281331109,fixed,,,,fixed,,4/1/2015,3/28/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,90,3,1,0
196000,80962.5,ZLP27327,Branch,ARA,4/1/2013,12/22/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,3/24/2045,3/29/2045,EUR,200000,1156,0.04291787171,fixed,,,,fixed,,4/2/2015,3/29/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,92,3,0,0
142500,80962.5,ZLP27328,Branch,ARA,4/2/2013,12/23/2013,416.6666667,Ireland,Resi,Mortage,Loan,Linear,3/25/2045,3/24/2051,EUR,175000,750,0.04302243233,mixed,5 years fixed then variable,,,fixed,,4/3/2015,3/24/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,180,6,0,0
122400,80962.5,ZLP27329,Web,ARA,4/3/2013,12/24/2013,377.7777778,Ireland,Resi,Mortage,Loan,Linear,3/26/2045,3/25/2050,EUR,170000,23.12,0.04312699296,fixed,,,,fixed,,4/4/2015,3/25/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,30.60578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6,0,0
130060,80962.5,ZLP27330,Broker,Not in MARP,4/4/2013,12/25/2013,368.6507937,Ireland,Resi,Mortage,Loan,Linear,3/27/2045,3/26/2050,EUR,165000,22.56142857,0.04323155358,fixed,,,,fixed,,4/5/2015,3/26/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,32.52064036,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,213,6,0,0
122957.1429,81175,ZLP27331,Branch,Not in MARP,4/5/2013,12/26/2013,0,Ireland,Resi,Mortage,Loan,Linear,3/28/2045,3/27/2050,EUR,160000,22.00285714,0.0433361142,fixed,,,,fixed,,4/6/2015,3/27/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,360,9,0,1
119835.7143,81175,ZLP27332,Web,Not in MARP,4/6/2013,12/27/2013,350.3968254,Ireland,CRE,Mortage,Loan,Linear,3/29/2045,3/28/2050,EUR,155000,315.3571429,0.04344067482,fixed,,,,fixed,,4/7/2015,3/28/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,30.03776786,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,90,3,1,0
122881.7143,81175,ZLP27333,Broker,Not in MARP,4/7/2013,12/28/2013,341.2698413,Ireland,Resi,Mortage,Loan,Linear,3/30/2045,3/29/2050,EUR,150000,331.7142857,0.04354523545,fixed,,,,fixed,,4/8/2015,3/29/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,30.80335714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,91,3,0,0
113592.8571,81175,ZLP27334,Branch,Not in MARP,4/8/2013,12/29/2013,332.1428571,Ireland,Resi,Mortage,Loan,Linear,3/31/2045,3/29/2053,EUR,145000,691.1228571,0.04364979607,fixed,,,,fixed,,4/9/2015,3/29/2053,,,0.03,0.005,0.0075,7/26/2019,332.1428571,28.570995,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3,0,0
104657.1429,81175,ZLP27335,Branch,Not in MARP,4/9/2013,12/30/2013,323.015873,Ireland,Resi,Mortage,Loan,Linear,4/1/2045,4/6/2045,EUR,140000,581.4285714,0.04375435669,fixed,,,,fixed,,4/10/2015,4/6/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,26.30964286,8/30/2019,8/30/2019,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,non-performing,97,3,0,0
196000,81175,ZLP27336,Web,Not in MARP,4/10/2013,12/31/2013,555.5555556,Ireland,Resi,Mortage,Loan,Linear,4/2/2045,4/7/2045,EUR,135000,34,0.04385891732,fixed,,,,fixed,,4/11/2015,4/7/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,49.0085,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3,0,0
142500,81241.3,ZLP27337,Broker,Not in MARP,4/11/2013,1/1/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/3/2045,4/8/2045,EUR,130000,750,0.04396347794,fixed,,,,fixed,,4/12/2015,4/8/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,213,6,0,1
95000,81241.3,ZLP27338,Branch,Not in MARP,4/12/2013,1/2/2014,370.3703704,Ireland,Resi,Mortage,Loan,Linear,4/4/2045,4/9/2045,EUR,125000,500,0.04406803856,fixed,,,,fixed,,4/13/2015,4/9/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,170,3,1,0
80750,81241.3,ZLP27339,Web,Not in MARP,4/13/2013,1/3/2014,0,Ireland,Resi,Mortage,Loan,Linear,4/5/2045,4/10/2045,EUR,200000,212.5,0.04417259918,fixed,,,,fixed,,4/14/2015,4/10/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,20.240625,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,90,3,0,0
190000,81241.3,ZLP27340,Broker,Not in MARP,4/14/2013,1/4/2014,555.5555556,Ireland,Resi,Mortage,Loan,Linear,4/6/2045,4/11/2045,EUR,221666.6667,540,0.04427715981,fixed,,,,fixed,,4/15/2015,4/11/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,47.635,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3,0,0
135000,81241.3,ZLP27341,Branch,Not in MARP,4/15/2013,1/5/2014,416.6666667,Ireland,Resi,Mortage,Loan,Linear,4/7/2045,4/6/2051,EUR,256666.6667,867,0.04438172043,fixed,,,,fixed,,4/16/2015,4/6/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,33.96675,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,95,3,0,0
133280,81241.3,ZLP27342,Branch,Not in MARP,4/16/2013,1/6/2014,377.7777778,Ireland,Resi,Mortage,Loan,Linear,4/8/2045,4/7/2050,EUR,291666.6667,680,0.04448628105,mixed,5 years fixed then variable,,,fixed,,4/17/2015,4/7/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,33.49,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,97,3,0,0
