Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
1000,2019-01-01,Debt consolidation,,0%,312xx,GA,< 1 year,0
30000,2019-01-01,Debt consolidation,,25.57%,601xx,IL,< 1 year,0
10000,2019-01-01,Debt consolidation,,45.96%,546xx,WI,< 1 year,0
13000,2019-01-01,Debt consolidation,,29.1%,327xx,FL,< 1 year,0
17000,2019-01-01,Debt consolidation,,10.32%,338xx,FL,< 1 year,0
16000,2019-01-01,Debt consolidation,,34.42%,926xx,CA,< 1 year,0
20000,2019-01-01,Home buying,,18.87%,984xx,WA,< 1 year,0
15000,2019-01-01,Debt consolidation,,9.8%,430xx,OH,< 1 year,0
5000,2019-01-01,Debt consolidation,,28.02%,604xx,IL,< 1 year,0
40000,2019-01-01,Debt consolidation,,11.04%,028xx,RI,< 1 year,0
5000,2019-01-01,Other,,100%,493xx,MI,< 1 year,0
1000,2019-01-01,Other,,5.36%,393xx,MS,< 1 year,0
15000,2019-01-01,Debt consolidation,,11.84%,982xx,WA,< 1 year,0
40000,2019-01-01,Credit card refinancing,,37.18%,802xx,CO,< 1 year,0
1000,2019-01-01,Car financing,,0%,902xx,CA,< 1 year,0
7500,2019-01-01,Debt consolidation,,77.25%,721xx,AR,< 1 year,0
2400,2019-01-01,Major purchase,,100%,205xx,DC,< 1 year,0
13000,2019-01-01,Major purchase,,13.57%,371xx,TN,< 1 year,0
5000,2019-01-01,Car financing,,15.33%,322xx,FL,< 1 year,0
10000,2019-01-01,Credit card refinancing,,30.82%,705xx,LA,< 1 year,0
10000,2019-01-01,Debt consolidation,,23.36%,970xx,OR,< 1 year,0
10000,2019-01-01,Credit card refinancing,,40.16%,967xx,HI,< 1 year,0
5000,2019-01-01,Moving and relocation,556,3.01%,301xx,GA,< 1 year,0
5000,2019-01-01,Debt consolidation,,4.47%,760xx,TX,< 1 year,0
26500,2019-01-01,Credit card refinancing,,50.53%,853xx,AZ,< 1 year,0
4000,2019-01-01,Debt consolidation,,28.02%,945xx,CA,n/a,0
12000,2019-01-01,Home improvement,,16.82%,604xx,IL,< 1 year,0
10000,2019-01-01,Other,,16.93%,953xx,CA,< 1 year,0
1000,2019-01-01,Other,,0%,976xx,OR,3 years,0
20000,2019-01-01,Debt consolidation,,17.94%,945xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,19.79%,115xx,NY,< 1 year,0
7500,2019-01-01,Credit card refinancing,,7.53%,076xx,NJ,< 1 year,0
15000,2019-01-01,Debt consolidation,,33.15%,372xx,TN,< 1 year,0
4000,2019-01-01,Medical expenses,,100%,305xx,GA,< 1 year,0
5000,2019-01-01,Other,,28.53%,292xx,SC,< 1 year,0
4000,2019-01-01,Other,,37%,471xx,IN,< 1 year,0
1000,2019-01-01,Other,,41.89%,481xx,MI,< 1 year,0
3500,2019-01-01,Debt consolidation,,9.49%,928xx,CA,< 1 year,0
20000,2019-01-01,Debt consolidation,,100%,926xx,CA,< 1 year,0
2050,2019-01-01,Credit card refinancing,,3.04%,803xx,CO,2 years,0
3900,2019-01-01,Debt consolidation,,33.49%,993xx,WA,< 1 year,0
1000,2019-01-01,Debt consolidation,,0.33%,241xx,VA,5 years,0
7000,2019-01-01,Debt consolidation,,12%,369xx,AL,< 1 year,0
33000,2019-01-01,Major purchase,,100%,922xx,CA,< 1 year,0
15000,2019-01-01,Credit card refinancing,,10.16%,731xx,OK,< 1 year,0
10000,2019-01-01,Debt consolidation,,15.84%,913xx,CA,< 1 year,0
4000,2019-01-01,Other,,100%,945xx,CA,< 1 year,0
9500,2019-01-01,Home buying,,3.3%,386xx,MS,< 1 year,0
4000,2019-01-01,Other,,29.17%,924xx,CA,< 1 year,0
10000,2019-01-01,Other,,5.04%,563xx,MN,< 1 year,0
7000,2019-01-01,Debt consolidation,,11.86%,070xx,NJ,< 1 year,0
20000,2019-01-01,Debt consolidation,,7.74%,923xx,CA,< 1 year,0
1000,2019-01-01,Business,,12.5%,572xx,SD,< 1 year,0
30000,2019-01-01,Debt consolidation,,21.55%,113xx,NY,< 1 year,0
35000,2019-01-01,Home buying,,386%,796xx,TX,< 1 year,0
10000,2019-01-01,Debt consolidation,,22.9%,104xx,NY,< 1 year,0
1000,2019-01-01,Other,,14.24%,260xx,WV,< 1 year,0
5550,2019-01-01,Other,,38.44%,895xx,NV,< 1 year,0
10000,2019-01-01,Credit card refinancing,,31.8%,891xx,NV,< 1 year,0
6000,2019-01-01,Car financing,,0%,255xx,WV,< 1 year,0
1000,2019-01-01,Other,,40.92%,785xx,TX,1 year,0
5000,2019-01-01,Vacation,,28.38%,958xx,CA,< 1 year,0
1000,2019-01-01,Debt consolidation,,16.67%,347xx,FL,1 year,0
25000,2019-01-01,Debt consolidation,,0.63%,462xx,IN,< 1 year,0
25000,2019-01-01,Debt consolidation,,28.26%,751xx,TX,< 1 year,0
2000,2019-01-01,Debt consolidation,,17.4%,850xx,AZ,< 1 year,0
5000,2019-01-01,Other,,3.44%,790xx,TX,5 years,0
1000,2019-01-01,Other,,4.35%,391xx,MS,4 years,0
10000,2019-01-01,Other,,12.22%,902xx,CA,< 1 year,0
25000,2019-01-01,Other,,13.65%,208xx,MD,< 1 year,0
4000,2019-01-01,Other,,6.59%,312xx,GA,< 1 year,0
27000,2019-01-01,Debt consolidation,,20.61%,853xx,AZ,< 1 year,0
15000,2019-01-01,Other,690,100%,331xx,FL,< 1 year,0
16000,2019-01-01,Debt consolidation,612,167.71%,993xx,WA,< 1 year,0
10000,2019-01-01,Debt consolidation,,3.76%,973xx,OR,< 1 year,0
23050,2019-01-01,Car financing,,100%,757xx,TX,< 1 year,0
40000,2019-01-01,Debt consolidation,,25.14%,773xx,TX,< 1 year,0
8000,2019-01-01,Debt consolidation,,21.2%,701xx,LA,1 year,0
40000,2019-01-01,Debt consolidation,,29.75%,641xx,MO,< 1 year,0
20000,2019-01-01,Credit card refinancing,,8.73%,113xx,NY,< 1 year,0
4000,2019-01-01,Credit card refinancing,,2.07%,390xx,MS,< 1 year,0
15000,2019-01-01,Major purchase,,6.42%,355xx,AL,< 1 year,0
40000,2019-01-01,Debt consolidation,,31.59%,313xx,GA,< 1 year,0
10000,2019-01-01,Debt consolidation,,13.24%,874xx,NM,< 1 year,0
3000,2019-01-01,Major purchase,,24.04%,605xx,IL,< 1 year,0
20000,2019-01-01,Car financing,,4.56%,018xx,MA,< 1 year,0
40000,2019-01-01,Debt consolidation,,3.45%,967xx,HI,< 1 year,0
11500,2019-01-01,Debt consolidation,,4.26%,100xx,NY,< 1 year,0
20000,2019-01-01,Home buying,,13.7%,462xx,IN,< 1 year,0
35000,2019-01-01,Debt consolidation,,14.86%,280xx,NC,10+ years,0
35000,2019-01-01,Debt consolidation,669,35.18%,302xx,GA,< 1 year,0
1000,2019-01-01,Other,574,0%,688xx,NE,5 years,0
1000,2019-01-01,Home improvement,,14.54%,724xx,AR,< 1 year,0
1000,2019-01-01,Other,,22.92%,356xx,AL,5 years,0
2000,2019-01-01,Business,,1.78%,331xx,FL,< 1 year,0
1000,2019-01-01,Debt consolidation,,5.26%,454xx,OH,< 1 year,0
13000,2019-01-01,Major purchase,,10.4%,767xx,TX,< 1 year,0
12550,2019-01-01,Car financing,,100%,342xx,FL,< 1 year,0
1000,2019-01-01,Major purchase,632,0%,606xx,IL,< 1 year,0
10450,2019-01-01,Car financing,,100%,142xx,NY,1 year,0
20000,2019-01-01,Debt consolidation,,20.2%,193xx,PA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,1.27%,280xx,NC,< 1 year,0
30000,2019-01-01,Debt consolidation,,49.44%,750xx,TX,< 1 year,0
10000,2019-01-01,Credit card refinancing,,26.23%,997xx,AK,< 1 year,0
1000,2019-01-01,Other,,0%,923xx,CA,< 1 year,0
35000,2019-01-01,Debt consolidation,,9.43%,949xx,CA,< 1 year,0
15000,2019-01-01,Debt consolidation,,13.9%,304xx,GA,< 1 year,0
5000,2019-01-01,Debt consolidation,,22.92%,891xx,NV,< 1 year,0
20500,2019-01-01,Medical expenses,,0%,734xx,OK,n/a,0
15000,2019-01-01,Other,607,2%,373xx,TN,< 1 year,0
10000,2019-01-01,Debt consolidation,,9.26%,441xx,OH,< 1 year,0
3000,2019-01-01,Debt consolidation,,4.49%,089xx,NJ,< 1 year,0
30500,2019-01-01,Home buying,817,27.83%,928xx,CA,< 1 year,0
2000,2019-01-01,Major purchase,,19.17%,494xx,MI,< 1 year,0
20000,2019-01-01,Credit card refinancing,,38.36%,852xx,AZ,< 1 year,0
1000,2019-01-01,Other,,14.22%,988xx,WA,< 1 year,0
2000,2019-01-01,Home buying,,1.63%,750xx,TX,< 1 year,0
7000,2019-01-01,Credit card refinancing,,41.02%,100xx,NY,< 1 year,0
7000,2019-01-01,Debt consolidation,,9.56%,641xx,MO,5 years,0
5000,2019-01-01,Other,,16.14%,917xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,46.81%,784xx,TX,< 1 year,0
28000,2019-01-01,Major purchase,625,0.75%,930xx,CA,< 1 year,0
25000,2019-01-01,Major purchase,,449.5%,290xx,SC,< 1 year,0
10000,2019-01-01,Debt consolidation,,7.47%,324xx,FL,< 1 year,0
15000,2019-01-01,Credit card refinancing,,7.86%,205xx,DC,2 years,2
40000,2019-01-01,Debt consolidation,,35.04%,328xx,FL,< 1 year,0
3000,2019-01-01,Debt consolidation,,47%,447xx,OH,< 1 year,0
1000,2019-01-01,Other,,17.2%,236xx,VA,5 years,0
30000,2019-01-01,Debt consolidation,,11.02%,900xx,CA,< 1 year,0
21025,2019-01-01,Other,,100%,633xx,MO,< 1 year,0
2000,2019-01-01,Debt consolidation,,16.39%,997xx,AK,< 1 year,0
10000,2019-01-01,Debt consolidation,,12.45%,278xx,NC,< 1 year,0
40000,2019-01-01,Debt consolidation,,29.64%,334xx,FL,< 1 year,0
8000,2019-01-01,Credit card refinancing,,12.17%,900xx,CA,< 1 year,0
35500,2019-01-01,Debt consolidation,573,9.6%,283xx,NC,< 1 year,0
5500,2019-01-01,Debt consolidation,,2215.05%,595xx,MT,< 1 year,0
20000,2019-01-01,Car financing,,1.58%,725xx,AR,< 1 year,0
24000,2019-01-01,Credit card refinancing,,51.91%,924xx,CA,< 1 year,0
5000,2019-01-01,Debt consolidation,,21.01%,480xx,MI,< 1 year,0
25000,2019-01-01,Debt consolidation,,52.78%,986xx,WA,< 1 year,0
5000,2019-01-01,Medical expenses,,100%,310xx,GA,< 1 year,0
40000,2019-01-01,Debt consolidation,,100%,900xx,CA,< 1 year,0
15000,2019-01-01,Debt consolidation,,11.73%,481xx,MI,< 1 year,0
10000,2019-01-01,Debt consolidation,,44.77%,431xx,OH,< 1 year,0
20000,2019-01-01,Credit card refinancing,,42.25%,906xx,CA,< 1 year,0
2500,2019-01-01,Debt consolidation,,100%,729xx,AR,1 year,0
30000,2019-01-01,Credit card refinancing,,37.96%,785xx,TX,< 1 year,0
10000,2019-01-01,Credit card refinancing,,11.77%,431xx,OH,< 1 year,0
30000,2019-01-01,Credit card refinancing,,28.07%,452xx,OH,< 1 year,0
6500,2019-01-01,Other,,6.04%,454xx,OH,< 1 year,0
12000,2019-01-01,Other,,13.31%,745xx,OK,< 1 year,0
6000,2019-01-01,Debt consolidation,,100%,919xx,CA,< 1 year,0
7000,2019-01-01,Other,,13.52%,917xx,CA,< 1 year,0
12000,2019-01-01,Debt consolidation,,4.4%,100xx,NY,3 years,0
5000,2019-01-01,Other,,1.2%,448xx,OH,< 1 year,0
30000,2019-01-01,Major purchase,,1.13%,935xx,CA,< 1 year,0
3000,2019-01-01,Debt consolidation,,24.43%,323xx,FL,< 1 year,0
17000,2019-01-01,Debt consolidation,,16.6%,991xx,WA,< 1 year,0
15000,2019-01-01,Medical expenses,,10.02%,840xx,UT,< 1 year,0
5000,2019-01-01,Debt consolidation,,7.68%,296xx,SC,< 1 year,0
10000,2019-01-01,Credit card refinancing,,9.56%,431xx,OH,n/a,0
4000,2019-01-01,Other,,0%,953xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,60.64%,297xx,SC,< 1 year,0
6000,2019-01-01,Debt consolidation,,50%,482xx,MI,< 1 year,0
2000,2019-01-01,Car financing,,2.82%,482xx,MI,< 1 year,0
5000,2019-01-01,Business,,22.32%,968xx,HI,< 1 year,0
5000,2019-01-01,Car financing,,0%,329xx,FL,< 1 year,0
1000,2019-01-01,Other,,10.47%,908xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,30.77%,402xx,KY,< 1 year,0
25000,2019-01-01,Major purchase,,0%,112xx,NY,< 1 year,0
1000,2019-01-01,Other,,54.18%,770xx,TX,< 1 year,0
6000,2019-01-01,Debt consolidation,,7.5%,028xx,RI,< 1 year,0
10000,2019-01-01,Credit card refinancing,,43.28%,417xx,KY,< 1 year,0
3000,2019-01-01,Debt consolidation,,5.28%,920xx,CA,< 1 year,0
9000,2019-01-01,Debt consolidation,,33.25%,923xx,CA,< 1 year,0
10000,2019-01-01,Credit card refinancing,,37.66%,900xx,CA,< 1 year,0
300000,2019-01-01,Business Loan,,-1%,215xx,MD,< 1 year,0
2000,2019-01-01,Credit card refinancing,,17.59%,481xx,MI,< 1 year,0
2200,2019-01-01,Moving and relocation,,1.8%,988xx,WA,< 1 year,0
4000,2019-01-01,Credit card refinancing,,33%,293xx,SC,< 1 year,0
6500,2019-01-01,Major purchase,,7.82%,310xx,GA,< 1 year,0
30000,2019-01-01,Debt consolidation,,22.32%,974xx,OR,< 1 year,0
20000,2019-01-01,Debt consolidation,,14.35%,807xx,CO,< 1 year,0
10000,2019-01-01,Major purchase,,3.3%,634xx,MO,< 1 year,0
10000,2019-01-01,Car financing,,0.94%,800xx,CO,< 1 year,0
5000,2019-01-01,Credit card refinancing,,23.15%,928xx,CA,< 1 year,0
15000,2019-01-01,Debt consolidation,,1.02%,280xx,NC,< 1 year,0
1000,2019-01-01,Other,641,5.33%,356xx,AL,< 1 year,0
25000,2019-01-01,Debt consolidation,,18.51%,986xx,WA,< 1 year,0
20000,2019-01-01,Credit card refinancing,,22.27%,328xx,FL,< 1 year,0
3500,2019-01-01,Medical expenses,,66.48%,647xx,MO,< 1 year,0
20000,2019-01-01,Home improvement,,9.73%,060xx,CT,< 1 year,0
1000,2019-01-01,Vacation,,7.16%,378xx,TN,< 1 year,0
1000,2019-01-01,Other,,0.16%,970xx,OR,< 1 year,0
5000,2019-01-01,Other,,0.98%,370xx,TN,5 years,0
10000,2019-01-01,Debt consolidation,,19.49%,857xx,AZ,< 1 year,0
1500,2019-01-01,Moving and relocation,,181.6%,492xx,MI,< 1 year,0
5000,2019-01-01,Credit card refinancing,,4.29%,370xx,TN,< 1 year,0
10000,2019-01-01,Major purchase,,0%,700xx,LA,< 1 year,0
15000,2019-01-01,Debt consolidation,,57.87%,232xx,VA,< 1 year,0
10000,2019-01-01,Vacation,,23.12%,291xx,SC,10+ years,0
1500,2019-01-01,Other,,21.58%,553xx,MN,< 1 year,0
5000,2019-01-01,Debt consolidation,,60.19%,392xx,MS,< 1 year,0
8000,2019-01-01,Credit card refinancing,,136.54%,604xx,IL,< 1 year,0
30000,2019-01-01,Debt consolidation,,22.89%,980xx,WA,3 years,0
15000,2019-01-01,Home buying,,18.45%,310xx,GA,< 1 year,0
1000,2019-01-01,Other,,7.83%,627xx,IL,< 1 year,0
25000,2019-01-01,Debt consolidation,,9.08%,260xx,WV,< 1 year,0
1000,2019-01-01,Other,,4.03%,765xx,TX,< 1 year,0
19500,2019-01-01,Debt consolidation,,24.7%,982xx,WA,< 1 year,0
3000,2019-01-01,Medical expenses,,0%,207xx,MD,< 1 year,0
20000,2019-01-01,Debt consolidation,,54.33%,894xx,NV,< 1 year,0
10000,2019-01-01,Credit card refinancing,,5.33%,917xx,CA,< 1 year,0
1200,2019-01-01,Business,,3.56%,972xx,OR,< 1 year,0
5000,2019-01-01,Home improvement,,14.41%,296xx,SC,< 1 year,0
3000,2019-01-01,Medical expenses,,9%,950xx,CA,< 1 year,0
15000,2019-01-01,Debt consolidation,,8.41%,137xx,NY,< 1 year,0
5000,2019-01-01,Debt consolidation,,12.52%,907xx,CA,< 1 year,0
2000,2019-01-01,Business,,0%,142xx,NY,< 1 year,0
8000,2019-01-01,Credit card refinancing,,38.87%,310xx,GA,< 1 year,0
25000,2019-01-01,Other,,7.46%,774xx,TX,< 1 year,0
10000,2019-01-01,Debt consolidation,,19.49%,857xx,AZ,< 1 year,0
10000,2019-01-01,Credit card refinancing,,27.83%,907xx,CA,< 1 year,0
1000,2019-01-01,Debt consolidation,,12.25%,908xx,CA,3 years,0
1000,2019-01-01,Car financing,,12.54%,631xx,MO,< 1 year,0
15000,2019-01-01,Home improvement,,18.45%,310xx,GA,< 1 year,0
1500,2019-01-01,Other,,25.93%,490xx,MI,n/a,0
7000,2019-01-01,Car financing,,0%,960xx,CA,< 1 year,0
14525,2019-01-01,Credit card refinancing,,26.81%,852xx,AZ,< 1 year,0
2000,2019-01-01,Debt consolidation,,36.22%,850xx,AZ,< 1 year,0
10000,2019-01-01,Credit card refinancing,,12.39%,240xx,VA,< 1 year,0
1100,2019-01-01,Credit card refinancing,,11.66%,857xx,AZ,< 1 year,0
4000,2019-01-01,Debt consolidation,,100%,154xx,PA,< 1 year,0
10000,2019-01-01,Debt consolidation,,33.38%,255xx,WV,10+ years,0
22000,2019-01-01,Debt consolidation,,21.29%,070xx,NJ,< 1 year,0
1000,2019-01-01,Other,,100%,396xx,MS,< 1 year,0
9000,2019-01-01,Debt consolidation,,24.62%,432xx,OH,< 1 year,0
10000,2019-01-01,Business,,100%,300xx,GA,< 1 year,0
1000,2019-01-01,Other,,32.57%,347xx,FL,4 years,0
5000,2019-01-01,Other,583,0%,294xx,SC,< 1 year,0
1000,2019-01-01,Debt consolidation,,0%,900xx,CA,< 1 year,0
2000,2019-01-01,Other,,9%,985xx,WA,1 year,0
5000,2019-01-01,Debt consolidation,,28.95%,395xx,MS,< 1 year,0
15500,2019-01-01,Other,,12.02%,366xx,AL,< 1 year,0
1000,2019-01-01,Other,,26.77%,990xx,WA,< 1 year,0
10000,2019-01-01,Debt consolidation,,17.95%,981xx,WA,< 1 year,0
40000,2019-01-01,Debt consolidation,,27.92%,953xx,CA,< 1 year,0
14925,2019-01-01,Credit card refinancing,,8.34%,956xx,CA,< 1 year,0
28000,2019-01-01,Debt consolidation,673,100%,941xx,CA,< 1 year,0
6000,2019-01-01,Debt consolidation,,0.51%,630xx,MO,< 1 year,0
20375,2019-01-01,Car financing,,100%,285xx,NC,< 1 year,0
2000,2019-01-01,Major purchase,,24.99%,494xx,MI,< 1 year,0
1500,2019-01-01,Home buying,,100%,392xx,MS,< 1 year,0
40000,2019-01-01,Debt consolidation,,50.87%,794xx,TX,< 1 year,0
1000,2019-01-01,Moving and relocation,,0.6%,423xx,KY,< 1 year,0
5000,2019-01-01,Car financing,,28%,327xx,FL,< 1 year,0
10000,2019-01-01,Debt consolidation,,43.28%,417xx,KY,< 1 year,0
3000,2019-01-01,Debt consolidation,,9.71%,765xx,TX,< 1 year,0
12000,2019-01-01,Debt consolidation,,28.64%,606xx,IL,< 1 year,0
7000,2019-01-01,Credit card refinancing,,4.52%,802xx,CO,< 1 year,0
2000,2019-01-01,Home improvement,,35.79%,351xx,AL,< 1 year,0
15000,2019-01-01,Debt consolidation,,129.52%,301xx,GA,< 1 year,0
20000,2019-01-01,Credit card refinancing,,32.13%,799xx,TX,< 1 year,0
6000,2019-01-01,Major purchase,,9.44%,080xx,NJ,< 1 year,0
25000,2019-01-01,Debt consolidation,,5.53%,432xx,OH,< 1 year,0
31000,2019-01-01,Major purchase,,1.76%,334xx,FL,< 1 year,0
3000,2019-01-01,Credit card refinancing,,7%,066xx,CT,< 1 year,0
2000,2019-01-01,Major purchase,,0.83%,750xx,TX,< 1 year,0
22000,2019-01-01,Debt consolidation,,5.55%,462xx,IN,< 1 year,0
3000,2019-01-01,Other,,100%,001xx,CA,< 1 year,0
1000,2019-01-01,Moving and relocation,,0.6%,423xx,KY,< 1 year,0
10000,2019-01-01,Credit card refinancing,,13.53%,380xx,TN,< 1 year,0
21000,2019-01-01,Other,,0.58%,606xx,IL,< 1 year,0
1000,2019-01-01,Other,,100%,925xx,CA,1 year,0
3000,2019-01-01,Other,,25.93%,402xx,KY,1 year,0
1000,2019-01-01,Other,,0%,704xx,LA,n/a,0
25000,2019-01-01,Other,,40.72%,705xx,LA,< 1 year,0
1000,2019-01-01,Other,,17.1%,469xx,IN,1 year,0
10000,2019-01-01,Debt consolidation,,25.44%,080xx,NJ,< 1 year,0
5000,2019-01-01,Home improvement,,14.89%,349xx,FL,< 1 year,0
1000,2019-01-01,Major purchase,,0%,494xx,MI,< 1 year,0
15000,2019-01-01,Other,,1.18%,932xx,CA,< 1 year,0
2500,2019-01-01,Home buying,,1.73%,763xx,TX,< 1 year,0
13900,2019-01-01,Debt consolidation,,28.74%,112xx,NY,< 1 year,0
5000,2019-01-01,Other,,16.04%,372xx,TN,< 1 year,0
2000,2019-01-01,Debt consolidation,,18.54%,958xx,CA,n/a,0
1000,2019-01-01,Other,615,0%,339xx,FL,< 1 year,0
3000,2019-01-01,Other,,2.24%,980xx,WA,< 1 year,0
12000,2019-01-01,Other,,24.68%,891xx,NV,< 1 year,0
40000,2019-01-01,Other,,1.84%,553xx,MN,< 1 year,0
1000,2019-01-01,Other,,3.06%,322xx,FL,< 1 year,0
5000,2019-01-01,Debt consolidation,,4.55%,747xx,OK,< 1 year,0
40000,2019-01-01,Credit card refinancing,,0.65%,042xx,ME,3 years,0
34500,2019-01-01,Debt consolidation,,71.33%,484xx,MI,< 1 year,0
10500,2019-01-01,Debt consolidation,,5.04%,606xx,IL,< 1 year,0
10000,2019-01-01,Credit card refinancing,,10.93%,302xx,GA,< 1 year,0
30000,2019-01-01,Debt consolidation,,33.7%,063xx,CT,n/a,0
