Loan_ID,Origination_Channel,Origination_Date,Origination_Country,Asset_Class,Loan_Purpose,Prod_Type,Amort_Type,Org_Mat_Date,Cur_Mat_Date,Currency,Org_Amount,Principal_Bal,Accrued_Interest_Bal,UPB,Original_Interest_Rate,Original_Rate_Type,Rate_Description,Original_Interest_Rate_Reference,Current_Rate,Current_Rate_Type,Current_Rate_Ref,Start_Date_of_Current_Fixed_Interest_Period,End_Date_of_Current_Fixed_Interest_Period,Interest_Cap_Rate,Interest_Floor_Rate,Early_Redemption_Penalty,Past-Due_Penalty_Interest-Margin,Default_Penalty_Interest_Margin,Last_Payment_Date,Last_Payment_Amount,Next_Principal_Scheduled_Repayment_Amount,Next_Interest_Scheduled_Repayment_Amount,Next_Principal_Scheduled_Repayment_Date,Next_Interest_Scheduled_Repayment_Date,Interest_Payment_Frequency,Principal_Payment_Frequency,Past-Due_Principal_Amount,Past-Due_Interest_Amount,Early_Redemption_Penalty,Past-Due_Penalty_Interest_Margin,Default_Penalty_Interest_Margin,Loan_Status,Days_Past-Due,Time_in_Past-Due
100727758,Branch,3/12/2013,UK,Resi,Mortage,Loan,Linear,2/15/2045,3/3/2050,GBP,100000,113592.8571,20.32714286,113613.1843,0.04,fixed,,,,fixed,,3/13/2015,3/3/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.40329607,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,93,3
100727757,Branch,3/13/2013,UK,Resi,Mortage,Loan,Linear,2/15/2045,3/3/2053,GBP,100000,110471.4286,19.76857143,110491.1971,0.04,fixed,,,,fixed,,3/14/2015,3/3/2053,,,0.03,0.005,0.0075,7/29/2019,323.015873,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,75,6
100727756,Branch,3/14/2013,UK,Resi,Mortage,Loan,Linear,2/15/2045,3/11/2045,GBP,100000,142500,25.5,142525.5,0.04,fixed,,,,fixed,,3/15/2015,3/11/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.631375,8/30/2019,8/30/2019,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,90,3
100727755,Branch,3/15/2013,UK,Resi,Mortage,Loan,Linear,2/16/2045,3/12/2045,GBP,100000,95000,500,95500,0.04,fixed,,,,fixed,,3/16/2015,3/12/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3
100727754,Branch,3/16/2013,UK,Resi,Mortage,Loan,Linear,2/16/2045,3/13/2045,GBP,100000,76500,212.5,76712.5,0.04,fixed,,,,fixed,,3/17/2015,3/13/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.178125,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4590,0.04,0.005,0.01,non-performing,95,3
100727753,Branch,3/17/2013,UK,Resi,Mortage,Loan,Linear,2/16/2045,3/14/2045,GBP,100000,196000,540,196540,0.05,fixed,,,,fixed,,3/18/2015,3/14/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.135,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3
100727752,Branch,3/18/2013,UK,Resi,Mortage,Loan,Linear,2/17/2045,3/15/2045,GBP,100000,142500,867,143367,0.04145402299,mixed,5 years fixed then variable,,,fixed,,3/19/2015,3/15/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.84175,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
100727751,Branch,3/19/2013,UK,Resi,Mortage,Loan,Linear,2/17/2045,3/16/2045,GBP,100000,122400,680,123080,0.04155858361,variable,,LIBOR,3,fixed,LIBOR,3/20/2015,3/16/2045,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,30.77,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6
100727750,Branch,3/20/2013,UK,Resi,Mortage,Loan,Linear,2/17/2045,3/11/2051,GBP,100000,153206.6667,26.57666667,153233.2433,0.04166314423,fixed,,,,fixed,,3/21/2015,3/11/2051,,,0.03,0.005,0.0075,7/26/2019,434.2592593,434.2592593,38.30831083,8/30/2019,8/30/2019,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,non-performing,90,3
100727749,Branch,3/21/2013,UK,CRE,Mortage,Loan,Linear,2/18/2045,3/12/2050,GBP,100000,153809.5238,809.5238095,154619.0476,0.04176770486,fixed,,,,fixed,,3/22/2015,3/12/2050,,,0.03,0.005,0.0075,7/26/2019,449.7354497,449.7354497,38.6547619,8/30/2019,8/30/2019,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,non-performing,91,3
100727748,Branch,3/22/2013,UK,Resi,Mortage,Loan,Linear,2/18/2045,3/13/2050,GBP,100000,159102.381,837.3809524,159939.7619,0.04187226548,mixed,5 years fixed then variable,,,fixed,,3/23/2015,3/13/2050,,,0.03,0.005,0.0075,7/26/2019,465.2116402,465.2116402,39.98494048,8/30/2019,8/30/2019,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,95,3
100727747,Branch,3/23/2013,UK,Resi,Mortage,Loan,Linear,2/18/2045,3/14/2050,GBP,100000,173082.2286,432.6190476,173514.8476,0.0419768261,fixed,,,,fixed,,3/24/2015,3/14/2050,,,0.03,0.005,0.0075,7/26/2019,480.6878307,480.6878307,43.3787119,8/30/2019,8/30/2019,monthly,monthly,2884.126984,10384.93371,0.04,0.005,0.01,non-performing,97,3
100727746,Branch,3/24/2013,UK,Resi,Mortage,Loan,Linear,2/19/2045,3/15/2050,GBP,116285.7143,169688.0952,482.2714286,170170.3667,0.04208138673,fixed,,,,fixed,,3/25/2015,3/15/2050,,,0.03,0.005,0.0075,7/26/2019,496.1640212,496.1640212,42.54259167,8/30/2019,8/30/2019,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,93,3
100727745,Branch,3/25/2013,UK,Resi,Mortage,Loan,Linear,2/19/2045,3/16/2050,GBP,116285.7143,165771.4286,1064.620952,166836.0495,0.04218594735,fixed,,,,fixed,,3/26/2015,3/16/2050,,,0.03,0.005,0.0075,7/26/2019,511.6402116,511.6402116,41.70901238,8/30/2019,8/30/2019,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,non-performing,90,3
100727744,Branch,3/26/2013,UK,Resi,Mortage,Loan,Linear,2/19/2045,3/16/2053,GBP,116285.7143,185966.6667,948.8095238,186915.4762,0.04229050797,fixed,,,,fixed,,3/27/2015,3/16/2053,,,0.03,0.005,0.0075,7/23/2019,527.1164021,527.1164021,46.72886905,8/30/2019,8/30/2019,monthly,monthly,1581.349206,5579,0.04,0.005,0.01,non-performing,92,3
100727743,Branch,3/27/2013,UK,Resi,Mortage,Loan,Linear,2/20/2045,3/24/2045,GBP,116285.7143,185566.6667,33.20666667,185599.8733,0.04239506859,fixed,,,,fixed,,3/28/2015,3/24/2045,,,0.03,0.005,0.0075,7/26/2019,542.5925926,542.5925926,46.39996833,8/30/2019,8/30/2019,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,91,3
100727742,Branch,3/28/2013,UK,Resi,Mortage,Loan,Linear,2/20/2045,3/25/2045,GBP,116285.7143,190000,1000,191000,0.04249962922,fixed,,,,fixed,,3/29/2015,3/25/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,95,3
100727741,Branch,3/29/2013,UK,Resi,Mortage,Loan,Linear,2/20/2045,3/26/2045,GBP,116285.7143,142500,750,143250,0.04260418984,mixed,5 years fixed then variable,,,fixed,,3/30/2015,3/26/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,97,3
100727740,Branch,3/30/2013,UK,Resi,Mortage,Loan,Linear,2/21/2045,3/27/2045,GBP,116285.7143,95000,250,95250,0.04270875046,fixed,,,,fixed,,3/31/2015,3/27/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,93,3
100727739,Branch,3/31/2013,UK,Resi,Mortage,Loan,Linear,2/21/2045,3/28/2045,GBP,116285.7143,76500,229.5,76729.5,0.04281331109,fixed,,,,fixed,,4/1/2015,3/28/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,90,3
100727738,Branch,4/1/2013,UK,Resi,Mortage,Loan,Linear,2/21/2045,3/29/2045,GBP,116285.7143,196000,1156,197156,0.04291787171,fixed,,,,fixed,,4/2/2015,3/29/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,92,3
100727737,Branch,4/2/2013,UK,Resi,Mortage,Loan,Linear,2/22/2045,3/24/2051,GBP,116285.7143,142500,750,143250,0.04302243233,mixed,5 years fixed then variable,,,fixed,,4/3/2015,3/24/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,180,6
100727736,Branch,4/3/2013,UK,Resi,Mortage,Loan,Linear,2/22/2045,3/25/2050,GBP,116285.7143,122400,23.12,122423.12,0.04312699296,fixed,,,,fixed,,4/4/2015,3/25/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,30.60578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6
100727735,Branch,4/4/2013,UK,Resi,Mortage,Loan,Linear,2/22/2045,3/26/2050,GBP,116285.7143,130060,22.56142857,130082.5614,0.04323155358,fixed,,,,fixed,,4/5/2015,3/26/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,32.52064036,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,213,6
100727734,Branch,4/5/2013,UK,Resi,Mortage,Loan,Linear,2/23/2045,3/27/2050,GBP,116285.7143,122957.1429,22.00285714,122979.1457,0.0433361142,fixed,,,,fixed,,4/6/2015,3/27/2050,,,0.03,0.005,0.0075,7/26/2019,0,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,360,9
100727733,Branch,4/6/2013,UK,CRE,Mortage,Loan,Linear,2/23/2045,3/28/2050,GBP,116285.7143,119835.7143,315.3571429,120151.0714,0.04344067482,fixed,,,,fixed,,4/7/2015,3/28/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.03776786,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,90,3
100727732,Branch,4/7/2013,UK,Resi,Mortage,Loan,Linear,2/23/2045,3/29/2050,GBP,116285.7143,122881.7143,331.7142857,123213.4286,0.04354523545,fixed,,,,fixed,,4/8/2015,3/29/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,341.2698413,30.80335714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,91,3
100727731,Branch,4/8/2013,UK,Resi,Mortage,Loan,Linear,2/24/2045,3/29/2053,GBP,116285.7143,113592.8571,691.1228571,114283.98,0.04364979607,fixed,,,,fixed,,4/9/2015,3/29/2053,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.570995,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
100727730,Branch,4/9/2013,UK,Resi,Mortage,Loan,Linear,2/24/2045,4/6/2045,GBP,116285.7143,104657.1429,581.4285714,105238.5714,0.04375435669,fixed,,,,fixed,,4/10/2015,4/6/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,323.015873,26.30964286,8/30/2019,8/30/2019,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,non-performing,97,3
100727729,Branch,4/10/2013,UK,Resi,Mortage,Loan,Linear,2/24/2045,4/7/2045,GBP,116285.7143,196000,34,196034,0.04385891732,fixed,,,,fixed,,4/11/2015,4/7/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.0085,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3
100727728,Branch,4/11/2013,UK,Resi,Mortage,Loan,Linear,2/25/2045,4/8/2045,GBP,116285.7143,142500,750,143250,0.04396347794,fixed,,,,fixed,,4/12/2015,4/8/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,213,6
100727727,Branch,4/12/2013,UK,Resi,Mortage,Loan,Linear,2/25/2045,4/9/2045,GBP,116285.7143,95000,500,95500,0.04406803856,fixed,,,,fixed,,4/13/2015,4/9/2045,,,0.03,0.005,0.0075,7/26/2019,370.3703704,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,170,3
100727726,Branch,4/13/2013,UK,Resi,Mortage,Loan,Linear,2/25/2045,4/10/2045,GBP,116285.7143,80750,212.5,80962.5,0.04417259918,fixed,,,,fixed,,4/14/2015,4/10/2045,,,0.03,0.005,0.0075,7/26/2019,0,236.1111111,20.240625,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,90,3
100727725,Branch,4/14/2013,UK,Resi,Mortage,Loan,Linear,2/26/2045,4/11/2045,GBP,116285.7143,190000,540,190540,0.04427715981,fixed,,,,fixed,,4/15/2015,4/11/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.635,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3
100727724,Branch,4/15/2013,UK,Resi,Mortage,Loan,Linear,2/26/2045,4/6/2051,GBP,116285.7143,135000,867,135867,0.04438172043,fixed,,,,fixed,,4/16/2015,4/6/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,33.96675,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,95,3
100727723,Branch,4/16/2013,UK,Resi,Mortage,Loan,Linear,2/26/2045,4/7/2050,GBP,116285.7143,133280,680,133960,0.04448628105,mixed,5 years fixed then variable,,,fixed,,4/17/2015,4/7/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,33.49,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,97,3
100727722,Branch,4/17/2013,UK,Resi,Mortage,Loan,Linear,2/27/2045,4/8/2050,GBP,116285.7143,126078.5714,22.56142857,126101.1329,0.04459084168,variable,,LIBOR,3,fixed,LIBOR,4/18/2015,4/8/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,31.52528321,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,93,3
100727721,Branch,4/18/2013,UK,Resi,Mortage,Loan,Linear,2/27/2045,4/9/2050,GBP,116285.7143,116485.7143,22.00285714,116507.7171,0.0446954023,fixed,,,,fixed,,4/19/2015,4/9/2050,,,0.03,0.005,0.0075,7/26/2019,0,359.5238095,29.12692929,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,320,6
100727720,Branch,4/19/2013,UK,Resi,Mortage,Loan,Linear,2/27/2045,4/10/2050,GBP,116285.7143,123620,21.44428571,123641.4443,0.04479996292,fixed,,,,fixed,,4/20/2015,4/10/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.91036107,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,90,3
100727719,Branch,4/20/2013,UK,Resi,Mortage,Loan,Linear,2/28/2045,4/11/2050,GBP,116285.7143,116714.2857,307.1428571,117021.4286,0.04490452354,mixed,5 years fixed then variable,,,fixed,,4/21/2015,4/11/2050,,,0.03,0.005,0.0075,7/23/2019,341.2698413,341.2698413,29.25535714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,91,3
100727718,Branch,4/21/2013,UK,Resi,Mortage,Loan,Linear,2/28/2045,4/11/2053,GBP,116285.7143,113592.8571,322.8428571,113915.7,0.04,fixed,,,,fixed,,4/22/2015,4/11/2053,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.478925,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
100727717,Branch,4/22/2013,UK,CRE,Mortage,Loan,Linear,2/28/2045,4/19/2045,GBP,116285.7143,116308.9714,672.1314286,116981.1029,0.035,fixed,,,,fixed,,4/23/2015,4/19/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,323.015873,29.24527571,8/30/2019,8/30/2019,monthly,monthly,969.047619,3489.269143,0.04,0.005,0.01,non-performing,97,3
