LOAN_IDENTIFIER,ORIGINATION_CHANNEL ,SELLER_NAME ,ORIGINAL_INTEREST_RATE ,ORIGINAL_UPB,ORIGINAL_LOAN_TERM ,ORIGINATION_DATE,FIRST_PAYMENT_DATE ,ORIGINAL_LOAN-TO-VALUE_(LTV) ,ORIGINAL_COMBINED_LOAN-TO-VALUE_(CLTV) ,NUMBER_OF_BORROWERS ,ORIGINAL_DEBT_TO_INCOME_RATIO,BORROWER_CREDIT_SCORE_AT_ORIGINATION ,FIRST_TIME_HOME_BUYER_INDICATOR ,LOAN_PURPOSE ,PROPERTY_TYPE,NUMBER_OF_UNITS,OCCUPANCY_TYPE,PROPERTY_STATE ,ZIP_CODE_SHORT,PRIMARY_MORTGAGE_INSURANCE_PERCENT ,PRODUCT_TYPE,CO-BORROWER_CREDIT_SCORE_AT_ORIGINATION ,MORTGAGE_INSURANCE_TYPE,RELOCATION_MORTGAGE_INDICATOR
100033245150,C,"WELLS FARGO BANK, N.A.",3.5,170000,180,02/2017,04/2017,78,78,2,20,811,N,P,SF,1,P,AR,728,,FRM,808,,N
100033814697,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,3.375,352000,180,03/2017,05/2017,95,95,2,42,670,N,P,SF,1,P,GA,306,25,FRM,651,1,N
100040363842,R,"WELLS FARGO BANK, N.A.",4.375,260000,360,04/2017,06/2017,80,80,2,40,736,N,P,CO,1,S,NY,144,,FRM,726,,N
100041017893,R,"FLAGSTAR BANK, FSB",4.058,99000,180,02/2017,04/2017,53,53,2,28,661,N,R,SF,1,P,TX,760,,FRM,667,,N
100041115881,B,PENNYMAC CORP.,3.5,215000,180,03/2017,05/2017,30,30,1,40,797,N,R,SF,1,P,CA,928,,FRM,,,N
100045187036,R,OTHER,4.375,152000,360,03/2017,05/2017,95,95,2,16,718,N,P,SF,1,P,ID,837,30,FRM,730,1,N
100049305723,R,OTHER,4.5,94000,360,04/2017,06/2017,63,63,1,33,763,N,R,PU,1,P,TX,782,,FRM,,,N
100050882069,R,OTHER,4.25,75000,360,05/2017,07/2017,70,70,1,47,754,Y,P,SF,1,P,IL,610,,FRM,,,N
100053748728,C,"WELLS FARGO BANK, N.A.",4.25,264000,360,02/2017,04/2017,57,57,1,49,710,N,R,PU,1,P,CA,945,,FRM,,,N
100056160718,R,"WELLS FARGO BANK, N.A.",4.625,110000,360,05/2017,07/2017,75,75,1,44,685,N,P,CO,1,P,IA,524,,FRM,,,N
100061483649,R,OTHER,4.25,106000,360,04/2017,06/2017,90,90,1,38,724,Y,P,SF,1,P,WI,535,25,FRM,,1,N
100062379908,B,OTHER,4.5,328000,360,04/2017,06/2017,95,95,2,34,751,Y,P,CO,1,P,CA,903,30,FRM,784,1,N
100065824998,R,OTHER,4.25,105000,360,05/2017,07/2017,32,32,2,22,758,N,R,PU,1,P,AZ,853,,FRM,752,,N
100067748602,R,QUICKEN LOANS INC.,4.18,220000,360,05/2017,07/2017,38,38,2,34,756,N,C,SF,1,P,CA,957,,FRM,757,,N
100070348987,R,OTHER,4.25,75000,360,05/2017,07/2017,56,56,1,41,789,N,R,SF,1,P,WA,985,,FRM,,,N
100071342320,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.25,331000,360,04/2017,06/2017,90,90,1,28,712,N,P,PU,1,S,AZ,852,25,FRM,,1,N
100072308552,R,QUICKEN LOANS INC.,4.125,380000,360,03/2017,05/2017,95,95,2,41,720,N,P,PU,1,P,GA,308,30,FRM,754,1,N
100074319231,R,OTHER,3.5,166000,180,03/2017,05/2017,27,27,2,38,811,N,R,CO,1,P,FL,321,,FRM,811,,N
100076109222,R,OTHER,4.5,148000,360,04/2017,06/2017,78,87,2,30,709,N,R,SF,1,P,KY,410,,FRM,670,,N
100078194343,R,OTHER,4.125,345000,360,05/2017,07/2017,72,72,1,46,734,Y,P,CO,1,P,MA,21,,FRM,,,N
100081568905,C,"WELLS FARGO BANK, N.A.",4.5,418000,360,04/2017,06/2017,80,80,1,30,765,N,P,PU,1,P,TN,371,,FRM,,,N
100084951904,R,OTHER,3.5,186000,180,03/2017,05/2017,73,73,2,41,815,N,R,SF,1,P,NH,30,,FRM,814,,N
100089766224,C,OTHER,5,255000,360,05/2017,07/2017,80,80,1,44,660,N,P,PU,1,P,FL,347,,FRM,,,N
100090172948,R,"WELLS FARGO BANK, N.A.",3.25,335000,180,04/2017,06/2017,37,37,1,48,812,N,R,SF,1,P,CA,921,,FRM,,,N
100090668568,C,OTHER,4.375,224000,360,03/2017,05/2017,90,90,2,42,688,Y,P,PU,1,P,FL,328,25,FRM,747,1,N
100092010656,C,"WELLS FARGO BANK, N.A.",4.25,95000,360,05/2017,07/2017,66,66,1,15,702,Y,P,CO,1,P,MN,553,,FRM,,,N
100092978386,R,OTHER,4.875,98000,360,05/2017,07/2017,75,75,2,40,704,N,C,SF,1,P,AR,720,,FRM,687,,N
100095813457,R,OTHER,4.625,300000,360,03/2017,05/2017,75,75,2,17,778,N,P,CO,1,I,TN,377,,FRM,783,,N
100099785264,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.375,398000,360,03/2017,05/2017,90,90,1,40,698,N,P,SF,1,P,CA,925,25,FRM,,1,N
100104649923,R,OTHER,3.875,90000,360,05/2017,07/2017,24,24,2,37,791,N,R,SF,1,P,MT,590,,FRM,789,,N
100104701608,C,"WELLS FARGO BANK, N.A.",4.5,424000,360,04/2017,06/2017,78,90,1,25,709,N,P,PU,1,P,MO,630,,FRM,,,N
100104981797,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.625,414000,360,04/2017,06/2017,72,72,2,46,759,N,R,SF,3,P,CA,900,,FRM,719,,N
100107380769,B,OTHER,4.25,131000,360,06/2017,08/2017,90,90,2,44,768,N,P,SF,1,S,FL,330,25,FRM,742,1,N
100110138954,R,QUICKEN LOANS INC.,3.99,214000,240,05/2017,07/2017,75,75,1,31,740,N,C,PU,1,P,FL,320,,FRM,,,N
100111534663,C,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.75,365000,360,12/2016,02/2017,70,70,2,41,717,N,C,SF,2,P,MA,21,,FRM,719,,N
100112102779,C,U.S. BANK N.A.,5,244000,360,03/2017,05/2017,95,101,1,44,790,Y,P,PU,1,P,FL,329,16,FRM,,1,N
100112551768,R,OTHER,4,190000,360,03/2017,06/2017,43,43,2,34,791,N,C,SF,1,P,MA,10,,FRM,717,,N
100117033167,C,"WELLS FARGO BANK, N.A.",4.625,413000,360,02/2017,04/2017,95,95,2,39,739,N,P,SF,1,P,FL,334,30,FRM,739,1,N
100121434721,R,"WELLS FARGO BANK, N.A.",4.25,108000,180,03/2017,05/2017,97,97,1,30,712,Y,P,CO,1,P,MN,554,25,FRM,,1,N
100127592303,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,60000,360,03/2017,05/2017,95,95,1,30,693,Y,P,SF,1,P,OH,443,16,FRM,,1,N
100129782796,C,OTHER,3.875,140000,360,05/2017,07/2017,84,84,2,22,727,Y,P,SF,1,P,IA,523,12,FRM,760,1,N
100129811258,C,"WELLS FARGO BANK, N.A.",4.875,408000,360,04/2017,06/2017,70,90,2,27,641,Y,P,PU,1,P,TX,750,,FRM,674,,N
100130527171,R,"WELLS FARGO BANK, N.A.",5.75,90000,360,05/2017,07/2017,74,74,1,33,646,N,C,SF,1,I,CA,937,,FRM,,,N
100137073658,C,OTHER,3.625,187000,360,08/2016,10/2016,83,83,2,31,738,N,R,SF,1,P,PR,7,12,FRM,760,1,N
100143565698,C,OTHER,4,300000,360,05/2017,07/2017,74,74,2,38,752,N,R,SF,1,P,WI,542,,FRM,758,,N
100145497065,B,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,325000,360,05/2017,07/2017,82,82,1,39,770,N,P,SF,1,P,CT,64,12,FRM,,1,N
100146662237,R,OTHER,4.5,146000,360,05/2017,07/2017,89,89,1,42,785,N,R,SF,1,P,WA,985,25,FRM,,1,N
100151240812,R,GUILD MORTGAGE COMPANY,4.25,134000,360,05/2017,07/2017,80,80,2,36,753,N,P,PU,1,S,NV,891,,FRM,787,,N
100152306591,C,"WELLS FARGO BANK, N.A.",4.5,298000,360,04/2017,06/2017,80,80,1,22,807,N,P,SF,1,P,FL,328,,FRM,,,N
100154096385,C,"WELLS FARGO BANK, N.A.",4.5,203000,360,03/2017,05/2017,70,70,1,41,684,N,P,SF,2,P,TX,752,,FRM,,,N
100154251927,C,DITECH FINANCIAL LLC,4.25,420000,360,03/2017,05/2017,95,95,1,43,811,N,P,PU,1,P,CO,815,30,FRM,,1,N
100157726571,B,QUICKEN LOANS INC.,4.125,349000,360,05/2017,07/2017,97,97,1,44,761,Y,P,SF,1,P,CA,908,35,FRM,,2,N
100161365815,C,PENNYMAC CORP.,3.875,146000,180,03/2017,05/2017,48,48,1,40,783,N,C,CO,1,P,AZ,852,,FRM,,,N
100163185387,R,U.S. BANK N.A.,4,214000,360,05/2017,07/2017,80,80,2,23,800,N,P,SF,1,P,TN,373,,FRM,770,,N
100163601761,R,OTHER,4.875,400000,360,03/2017,05/2017,79,79,1,42,686,Y,P,PU,1,P,GA,300,,FRM,,,N
100165850780,C,PMTT4,4.125,289000,360,05/2017,07/2017,85,85,1,42,738,Y,P,SF,1,P,TX,752,12,FRM,,1,N
100168592484,C,SUNTRUST BANK,3.875,274000,360,04/2017,06/2017,75,75,1,23,816,N,P,PU,1,P,MD,208,,FRM,,,N
100168717231,R,OTHER,4.25,145000,360,06/2017,08/2017,30,30,2,29,674,N,R,SF,1,P,CA,907,,FRM,657,,N
100170927257,C,SUNTRUST BANK,4.625,207000,360,03/2017,05/2017,74,74,1,45,767,N,C,SF,1,P,UT,840,,FRM,,,N
100172185832,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.5,219000,360,04/2017,06/2017,95,95,1,30,717,N,P,PU,1,P,AL,352,30,FRM,,1,N
100177847101,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,77000,360,04/2017,06/2017,95,95,1,33,788,Y,P,CO,1,P,WI,537,30,FRM,,1,N
100179614496,R,"WELLS FARGO BANK, N.A.",4.625,592000,360,04/2017,06/2017,75,75,1,31,720,N,R,PU,1,P,CA,926,,FRM,,,N
100182118210,R,OTHER,4.125,240000,360,06/2017,08/2017,80,80,1,32,779,N,P,SF,1,P,UT,847,,FRM,,,N
100193416038,R,OTHER,4.125,320000,360,04/2017,06/2017,90,90,1,26,777,Y,P,SF,1,P,NY,142,25,FRM,,1,N
100194979754,R,OTHER,4.375,70000,360,04/2017,06/2017,80,80,2,16,769,Y,P,SF,1,P,IL,624,,FRM,767,,N
100198324701,R,OTHER,4,371000,360,05/2017,07/2017,95,95,2,22,806,N,P,PU,1,P,NC,276,30,FRM,814,1,N
100200195657,C,"WELLS FARGO BANK, N.A.",4.875,636000,360,03/2017,05/2017,78,90,1,42,707,Y,P,SF,1,P,NJ,70,,FRM,,,N
100200287841,C,SUNTRUST BANK,3.375,250000,180,03/2017,05/2017,49,49,1,29,811,N,P,PU,1,P,TX,787,,FRM,,,N
100201653994,R,OTHER,4.75,262000,360,04/2017,06/2017,72,72,2,31,744,N,C,SF,1,P,VT,54,,FRM,714,,N
100203590066,C,OTHER,4,178000,360,06/2017,08/2017,90,90,2,37,762,Y,P,SF,1,P,WI,542,25,FRM,784,1,N
100205866183,C,"WELLS FARGO BANK, N.A.",4.375,156000,360,05/2017,07/2017,80,80,1,21,818,Y,P,PU,1,P,GA,301,,FRM,,,N
100206163968,C,"FLAGSTAR BANK, FSB",5.25,176000,360,01/2017,03/2017,80,80,1,43,665,N,C,SF,1,P,FL,328,,FRM,,,N
100206189120,C,PMTT4,4.25,252000,360,05/2017,07/2017,72,72,2,28,757,N,P,PU,1,S,MD,215,,FRM,791,,N
100207042827,C,OTHER,4.625,594000,360,04/2017,06/2017,80,80,2,45,777,N,P,SF,1,P,CA,913,,FRM,752,,N
100209403499,R,OTHER,4.375,140000,360,05/2017,07/2017,97,97,1,39,681,Y,P,SF,1,P,TX,761,25,FRM,,1,N
100211563701,R,OTHER,4.375,207000,360,04/2017,06/2017,90,90,2,31,795,N,P,SF,1,P,KY,410,25,FRM,727,2,N
100214111877,R,OTHER,4,291000,360,05/2017,07/2017,97,97,2,30,754,Y,P,SF,1,P,WA,984,18,FRM,745,1,N
100215730755,R,"WELLS FARGO BANK, N.A.",5.125,209000,360,04/2017,06/2017,97,97,1,44,692,Y,P,SF,1,P,AL,352,25,FRM,,2,N
100220312431,R,OTHER,4.5,238000,360,05/2017,07/2017,75,75,2,23,778,N,C,PU,1,I,OR,971,,FRM,780,,N
100222871638,B,QUICKEN LOANS INC.,4.99,518000,360,05/2017,07/2017,95,95,2,38,782,Y,P,CO,1,P,CA,926,30,FRM,787,2,N
100223579060,C,"CITIMORTGAGE, INC.",5.125,45000,360,04/2017,06/2017,38,38,1,34,753,N,C,CO,1,P,IL,612,,FRM,,,N
100227968506,R,OTHER,4.75,79000,360,05/2017,07/2017,80,80,1,36,638,Y,P,SF,1,P,MO,631,,FRM,,,N
100232682001,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,151000,360,03/2017,05/2017,97,97,1,28,774,Y,P,PU,1,P,GA,304,35,FRM,,1,N
100233085574,C,"WELLS FARGO BANK, N.A.",4.25,230000,360,02/2017,04/2017,80,80,1,18,808,Y,P,SF,1,P,MN,553,,FRM,,,N
100236072887,R,OTHER,4,228000,360,02/2017,04/2017,95,95,2,34,768,N,P,SF,1,P,FL,339,30,FRM,787,1,N
100236080167,C,"WELLS FARGO BANK, N.A.",4.25,375000,360,04/2017,06/2017,41,41,2,27,728,N,P,SF,1,P,FL,330,,FRM,720,,N
100238804368,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.49,189000,360,05/2017,07/2017,85,85,1,36,630,N,P,SF,1,P,TX,786,12,FRM,,1,N
100240302368,R,SUNTRUST BANK,4.2,189000,360,02/2017,04/2017,80,80,2,26,726,N,R,SF,1,P,NC,287,,FRM,688,,N
100241581629,C,U.S. BANK N.A.,4.75,202000,360,02/2017,04/2017,94,104,2,32,736,Y,P,PU,1,P,AZ,853,16,FRM,704,1,N
100242658484,R,OTHER,3.875,94000,360,02/2017,04/2017,63,63,1,45,737,N,R,SF,1,P,FL,327,,FRM,,,N
100242872587,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",2.875,189000,180,11/2016,01/2017,64,64,2,27,762,N,R,SF,1,P,TX,750,,FRM,750,,N
100244852426,R,OTHER,4.5,318000,360,04/2017,06/2017,77,77,2,45,716,N,C,SF,1,P,CA,902,,FRM,700,,N
100249754397,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.125,200000,360,03/2017,05/2017,95,95,1,45,692,Y,P,PU,1,P,FL,333,25,FRM,,2,N
100254557491,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",3.25,212000,180,05/2017,07/2017,33,33,1,41,804,N,R,CO,1,P,CA,951,,FRM,,,N
100255847765,C,U.S. BANK N.A.,5.375,171000,360,03/2017,05/2017,95,95,1,40,682,Y,P,PU,1,P,AZ,851,16,FRM,,1,N
100261567823,R,"CITIMORTGAGE, INC.",4,255000,360,03/2017,05/2017,80,80,1,35,766,N,C,PU,1,P,IL,604,,FRM,,,N
100262807145,C,"FLAGSTAR BANK, FSB",4.75,630000,240,03/2017,05/2017,60,60,1,28,772,N,C,SF,1,S,NY,119,,FRM,,,N
100262986877,R,OTHER,4.875,276000,360,05/2017,07/2017,85,85,1,45,688,N,P,SF,1,P,CO,809,12,FRM,,2,N
100264145982,C,OTHER,5.125,229000,360,04/2017,06/2017,97,101,1,45,738,Y,P,SF,1,P,WA,983,18,FRM,,1,N
100265556003,R,OTHER,4.375,396000,360,06/2017,08/2017,80,90,2,26,746,N,P,SF,1,P,PA,189,,FRM,770,,N
100269120327,R,OTHER,4.25,236000,360,05/2017,07/2017,90,90,2,44,773,N,P,SF,1,P,MI,490,25,FRM,719,1,N
100269543985,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.625,100000,360,03/2017,05/2017,45,45,2,48,772,N,P,PU,1,P,AZ,851,,FRM,772,,N
100276204219,B,"CALIBER HOME LOANS, INC.",4.75,238000,360,05/2017,07/2017,75,75,1,18,751,N,C,SF,1,I,TX,787,,FRM,,,N
100276655521,R,OTHER,3.25,185000,120,03/2017,05/2017,31,31,1,33,696,N,P,PU,1,P,VA,224,,FRM,,,N
100287510542,R,OTHER,3.75,130000,120,06/2017,08/2017,24,24,2,42,730,N,C,SF,1,P,FL,331,,FRM,717,,N
100288351961,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.375,182000,360,02/2017,04/2017,95,95,1,45,730,Y,P,PU,1,P,TN,370,30,FRM,,1,N
100288769320,R,QUICKEN LOANS INC.,4.375,119000,180,05/2017,07/2017,75,75,1,34,742,N,R,CO,1,I,MI,481,,FRM,,,N
100289048341,R,OTHER,4.875,259000,360,05/2017,07/2017,75,75,1,44,724,N,P,PU,1,I,TX,750,,FRM,,,N
100289693285,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.75,225000,360,05/2017,07/2017,67,67,1,38,661,N,R,SF,1,P,WV,255,,FRM,,,N
100292705482,R,"LOANDEPOT.COM, LLC",4,201000,240,04/2017,06/2017,80,80,2,34,808,Y,P,PU,1,P,FL,320,,FRM,790,,N
100295269919,R,OTHER,4.375,104000,180,05/2017,07/2017,64,64,2,33,646,N,C,SF,1,P,TX,756,,FRM,636,,N
100295360634,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.25,598000,360,05/2017,07/2017,77,77,2,25,793,N,P,SF,1,P,MA,20,,FRM,795,,N
100296053648,C,"NATIONSTAR MORTGAGE, LLC",4.25,424000,360,05/2017,07/2017,93,93,1,33,815,N,P,PU,1,P,IL,604,30,FRM,,1,N
100297481330,R,OTHER,3.75,255000,180,04/2017,07/2017,73,73,2,42,730,N,C,SF,1,P,CA,958,,FRM,724,,N
100300471136,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.375,138000,360,05/2017,07/2017,95,95,1,29,767,Y,P,SF,1,P,UT,840,30,FRM,,2,N
100300645891,R,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",4.375,72000,180,03/2017,05/2017,80,80,1,46,721,N,R,SF,1,P,VA,243,,FRM,,,N
100303127107,R,OTHER,4.125,148000,360,03/2017,05/2017,80,80,2,34,770,Y,P,SF,1,P,TX,782,,FRM,800,,N
100304833098,R,OTHER,4.5,155000,360,04/2017,06/2017,75,75,1,19,762,N,P,SF,1,I,NC,282,,FRM,,,N
100304920553,B,OTHER,3.75,128000,180,02/2017,04/2017,54,54,2,49,801,N,P,PU,1,I,GA,300,,FRM,795,,N
100305651245,C,"FLAGSTAR BANK, FSB",3.375,170000,180,05/2017,07/2017,90,90,1,22,734,N,P,SF,1,S,ID,838,12,FRM,,1,N
100308015315,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.125,205000,360,03/2017,05/2017,68,68,2,39,814,N,P,SF,1,P,OH,435,,FRM,798,,N
100309433627,R,OTHER,4.375,201000,360,05/2017,07/2017,90,90,3,39,791,Y,P,SF,1,P,KY,403,25,FRM,792,2,N
100313958307,R,OTHER,4.25,158000,360,12/2016,02/2017,52,52,2,29,730,N,C,SF,1,P,NH,38,,FRM,698,,N
100315017852,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",3.375,124000,120,04/2017,06/2017,64,64,1,15,792,N,R,SF,1,P,MI,483,,FRM,,,N
100317708984,R,OTHER,3.25,160000,180,06/2017,08/2017,69,69,1,31,801,N,R,PU,1,P,OH,430,,FRM,,,N
100318666983,R,"LOANDEPOT.COM, LLC",4.375,200000,360,04/2017,06/2017,40,40,1,34,814,N,C,SF,1,P,OR,975,,FRM,,,N
100320026800,B,"UNITED SHORE FINANCIAL SERVICES, LLC D/B/A UNITED WHOLESALE MORTGAGE",4.25,316000,360,04/2017,06/2017,80,80,1,40,766,N,P,PU,1,P,CO,806,,FRM,,,N
100321125997,R,OTHER,3.875,196000,360,04/2017,06/2017,72,72,2,41,793,N,C,PU,1,P,FL,327,,FRM,815,,N
100323544768,C,OTHER,4.25,420000,360,04/2017,06/2017,80,80,2,45,806,N,R,SF,1,P,NE,681,,FRM,789,,N
100325845221,R,OTHER,4.75,306000,360,06/2017,08/2017,97,97,2,33,746,Y,P,PU,1,P,NC,275,35,FRM,704,1,N
100326458150,C,"FLAGSTAR BANK, FSB",4,154000,180,04/2017,06/2017,61,61,2,32,813,N,R,SF,1,P,WA,983,,FRM,817,,N
100327094652,C,SUNTRUST BANK,4.125,184000,360,02/2017,04/2017,80,80,2,40,706,N,P,SF,1,P,TX,797,,FRM,706,,N
100329020852,R,QUICKEN LOANS INC.,3.99,222000,180,02/2017,04/2017,95,95,2,41,775,N,R,SF,1,P,NY,119,25,FRM,759,2,N
100329066203,R,OTHER,4.375,183000,360,05/2017,07/2017,78,78,1,45,797,N,C,SF,1,P,MA,10,,FRM,,,N
100332652056,R,OTHER,3.375,154000,180,06/2017,08/2017,64,64,1,31,763,N,P,PU,1,P,MI,495,,FRM,,,N
100337975477,R,"WELLS FARGO BANK, N.A.",4,80000,180,04/2017,07/2017,46,46,1,39,752,N,C,CO,1,P,SD,571,,FRM,,,N
100340035338,C,OTHER,3.875,139000,360,03/2017,05/2017,97,103,1,45,722,Y,P,SF,1,P,WA,992,18,FRM,,1,N
100340192861,C,"AMERIHOME MORTGAGE COMPANY, LLC",4.375,105000,360,05/2017,07/2017,95,95,2,47,791,N,P,SF,1,P,TX,784,30,FRM,798,1,N
100341076084,R,OTHER,3.375,90000,180,03/2017,05/2017,16,16,2,31,719,N,C,PU,1,P,AZ,852,,FRM,768,,N
100345045953,C,OTHER,4,151000,360,05/2017,07/2017,82,104,1,41,702,Y,P,SF,1,P,ID,838,6,FRM,,1,N
100345531672,R,OTHER,4.375,218000,360,04/2017,06/2017,72,72,2,37,694,N,R,SF,1,P,FL,337,,FRM,766,,N
100345565244,C,OTHER,4.25,208000,360,03/2017,05/2017,87,87,2,34,801,N,R,SF,1,P,MS,388,25,FRM,760,1,N
100348373608,R,"WELLS FARGO BANK, N.A.",4.5,190000,360,04/2017,06/2017,97,97,1,38,758,N,P,SF,1,P,MI,492,25,FRM,,2,N
100348954434,R,OTHER,4.125,89000,360,04/2017,06/2017,97,105,2,29,726,Y,P,SF,1,P,NY,142,25,FRM,741,1,N
100349941336,R,"NATIONSTAR MORTGAGE, LLC",5,93000,360,04/2017,06/2017,42,42,2,45,696,N,C,PU,1,P,TX,774,,FRM,691,,N
100353712705,R,OTHER,4.875,30000,360,05/2017,07/2017,60,60,2,30,802,N,P,SF,1,I,GA,313,,FRM,793,,N
100359773688,R,GUILD MORTGAGE COMPANY,4.375,240000,360,04/2017,06/2017,90,90,2,31,782,N,P,PU,1,P,GA,300,25,FRM,797,1,N
100362770051,R,OTHER,3.25,178000,180,04/2017,06/2017,79,79,2,27,784,N,P,SF,1,P,NJ,80,,FRM,786,,N
100364862649,C,"WELLS FARGO BANK, N.A.",4,322000,360,02/2017,04/2017,80,80,2,23,813,N,P,PU,1,P,TX,786,,FRM,812,,N
100369789351,B,OTHER,3.5,348000,180,05/2017,07/2017,80,80,1,26,664,N,P,SF,1,P,NC,277,,FRM,,,N
100372898789,R,OTHER,4.25,123000,360,03/2017,05/2017,80,80,2,22,778,N,P,SF,1,P,NC,282,,FRM,765,,N
100374283502,R,OTHER,3.375,288000,180,06/2017,08/2017,80,80,1,19,784,N,P,SF,1,P,SC,294,,FRM,,,N
100375012122,R,OTHER,4.5,214000,360,04/2017,06/2017,80,80,2,42,731,N,P,SF,1,P,PR,7,,FRM,725,,N
100378132158,B,FRANKLIN AMERICAN MORTGAGE COMPANY,3.75,70000,120,03/2017,05/2017,29,29,1,20,802,N,R,SF,1,P,GA,300,,FRM,,,N
100379365605,R,"LOANDEPOT.COM, LLC",3.875,280000,360,05/2017,07/2017,55,55,2,29,788,Y,P,SF,1,P,OR,977,,FRM,782,,N
100388060594,R,"CITIMORTGAGE, INC.",3.5,85000,180,05/2017,07/2017,60,60,1,28,665,N,R,SF,1,P,NC,278,,FRM,,,N
100389315438,R,OTHER,4.5,170000,360,04/2017,06/2017,97,97,1,42,757,Y,P,SF,1,P,OR,975,25,FRM,,1,N
100391761220,C,U.S. BANK N.A.,5,88000,360,03/2017,05/2017,90,105,1,33,708,Y,P,PU,1,P,FL,328,12,FRM,,1,N
100393613198,C,PENNYMAC CORP.,4.5,332000,360,03/2017,05/2017,80,80,2,42,728,N,C,SF,1,P,TX,761,,FRM,738,,N
100393679181,R,OTHER,3.75,118000,180,05/2017,07/2017,37,37,1,26,750,N,R,SF,1,P,TX,761,,FRM,,,N
100395416878,R,SUNTRUST BANK,3.99,143000,360,05/2017,07/2017,95,95,1,40,738,Y,P,SF,1,P,FL,323,30,FRM,,1,N
100401281422,R,SUNTRUST BANK,3.99,401000,360,03/2017,05/2017,90,90,1,43,719,Y,P,PU,1,P,GA,303,25,FRM,,1,N
