Loan ID,Origination Channel,Origination Date,Origination Country,Asset Class,Loan Purpose,Prod Type,Amort Type,Org Mat Date,Cur Mat Date,Currency,Org Amount,Principal Balance,Accrued Interest Balance (On book),UPB,Original Interest Rate,Original Rate Type,Rate Description,Original Interest Rate Reference,Current Rate,Current Rate Type,Current Rate Ref,Start Date of Current Fixed Interest Period,End Date of Current Fixed Interest Period,Interest Cap Rate,Interest Floor Rate,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Last Payment Date,Last Payment Amount,Next Principal Scheduled Repayment Amount,Next Interest Scheduled Repayment Amount,Next Principal Scheduled Repayment Date,Next Interest Scheduled Repayment Date,Interest Payment Frequency,Principal Payment Frequency,Past-Due Principal Amount,Past-Due Interest Amount,Early Redemption Penalty,Past-Due Penalty Interest Margin,Default Penalty Interest Margin,Loan Status,Days in Past-Due,Time in Past-Due
100727300,Branch,3/5/2013,USA,CRE,Mortage,Loan,Linear,2/25/2045,3/2/2045,USD,85000,76500,1156,80764.45,0.04,fixed,,,,fixed,,3/6/2015,3/2/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3
100727301,Branch,3/6/2013,USA,Resi,Mortage,Loan,Linear,2/26/2045,3/3/2045,USD,100000,95000,750,80764.45,0.04,fixed,,,,fixed,,3/7/2015,3/3/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
100727302,Branch,3/7/2013,USA,Resi,Mortage,Loan,Linear,2/27/2045,2/26/2051,USD,100000,95000,23.12,80764.45,0.04,fixed,,,,fixed,,3/8/2015,2/26/2051,,,0.03,0.005,0.0075,7/26/2019,0,377.7777778,32.30578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3876,0.04,0.005,0.01,non-performing,270,6
100727303,Branch,3/8/2013,USA,Resi,Mortage,Loan,Linear,2/28/2045,2/27/2050,USD,100000,95000,22.56142857,80764.45,0.04,fixed,,,,fixed,,3/9/2015,2/27/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,33.1908475,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3982.224857,0.04,0.005,0.01,non-performing,90,3
100727304,Branch,3/9/2013,USA,Resi,Mortage,Loan,Linear,3/1/2045,2/28/2050,USD,100000,90000,22.00285714,80764.45,0.04,fixed,,,,fixed,,3/10/2015,2/28/2050,,,0.03,0.005,0.0075,7/26/2019,359.5238095,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,91,3
100727305,Branch,3/10/2013,USA,Resi,Mortage,Loan,Linear,3/2/2045,3/1/2050,USD,100000,90000,21.44428571,80962.5,0.04,fixed,,,,fixed,,3/11/2015,3/1/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,28.38750393,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3405.857143,0.04,0.005,0.01,non-performing,95,3
100727306,Branch,3/11/2013,USA,Resi,Mortage,Loan,Linear,3/3/2045,3/2/2050,USD,100000,100020,20.88571429,80962.5,0.04,fixed,,,,fixed,,3/12/2015,3/2/2050,,,0.03,0.005,0.0075,7/26/2019,472.5274725,341.2698413,30.10522143,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3612,0.04,0.005,0.01,non-performing,97,3
100727307,Branch,3/12/2013,USA,Resi,Mortage,Loan,Linear,3/4/2045,3/3/2050,USD,100000,98000,20.32714286,81175,0.04,fixed,,,,fixed,,3/13/2015,3/3/2050,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.40329607,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,93,3
100727308,Branch,3/13/2013,USA,Resi,Mortage,Loan,Linear,3/5/2045,3/3/2053,USD,100000,98000,19.76857143,81175,0.04,fixed,,,,fixed,,3/14/2015,3/3/2053,,,0.03,0.005,0.0075,7/29/2019,323.015873,323.015873,27.62279929,8/30/2019,8/30/2019,monthly,monthly,969.047619,3314.142857,0.04,0.005,0.01,non-performing,75,6
100727309,Branch,3/14/2013,USA,Resi,Mortage,Loan,Linear,3/6/2045,3/11/2045,USD,100000,95000,25.5,81175,0.04,fixed,,,,fixed,,3/15/2015,3/11/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.631375,8/30/2019,8/30/2019,monthly,monthly,2500,8550,0.04,0.005,0.01,non-performing,90,3
100727310,Branch,3/15/2013,USA,Resi,Mortage,Loan,Linear,3/7/2045,3/12/2045,USD,100000,95000,500,81241.3,0.04,fixed,,,,fixed,,3/16/2015,3/12/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3
100727311,Branch,3/16/2013,USA,Resi,Mortage,Loan,Linear,3/8/2045,3/13/2045,USD,100000,95000,212.5,81241.3,0.04,fixed,,,,fixed,,3/17/2015,3/13/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.178125,8/30/2019,8/30/2019,monthly,monthly,1416.666667,4590,0.04,0.005,0.01,non-performing,95,3
100727312,Branch,3/17/2013,USA,Resi,Mortage,Loan,Linear,3/9/2045,3/14/2045,USD,100000,95000,540,81241.3,0.05,fixed,,,,fixed,,3/18/2015,3/14/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.135,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,97,3
100727313,Branch,3/18/2013,USA,Resi,Mortage,Loan,Linear,3/10/2045,3/15/2045,USD,100000,90000,867,83512.5,0.04145402299,mixed,5 years fixed then variable,,,fixed,,3/19/2015,3/15/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.84175,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
100727314,Branch,3/19/2013,USA,Resi,Mortage,Loan,Linear,3/11/2045,3/16/2045,USD,100000,90000,680,83529.5,0.04155858361,variable,,LIBOR,3,fixed,LIBOR,3/20/2015,3/16/2045,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,30.77,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6
100727315,Branch,3/20/2013,USA,Resi,Mortage,Loan,Linear,3/12/2045,3/11/2051,USD,100000,100020,26.57666667,83529.5,0.04166314423,fixed,,,,fixed,,3/21/2015,3/11/2051,,,0.03,0.005,0.0075,7/26/2019,434.2592593,434.2592593,38.30831083,8/30/2019,8/30/2019,monthly,monthly,1302.777778,4596.2,0.04,0.005,0.01,non-performing,90,3
100727316,Branch,3/21/2013,USA,CRE,Mortage,Loan,Linear,3/13/2045,3/12/2050,USD,100000,98000,809.5238095,83725,0.04176770486,fixed,,,,fixed,,3/22/2015,3/12/2050,,,0.03,0.005,0.0075,7/26/2019,449.7354497,449.7354497,38.6547619,8/30/2019,8/30/2019,monthly,monthly,1349.206349,4614.285714,0.04,0.005,0.01,non-performing,91,3
100727317,Branch,3/22/2013,USA,Resi,Mortage,Loan,Linear,3/14/2045,3/13/2050,USD,100000,98000,837.3809524,83725,0.04187226548,mixed,5 years fixed then variable,,,fixed,,3/23/2015,3/13/2050,,,0.03,0.005,0.0075,7/26/2019,465.2116402,465.2116402,39.98494048,8/30/2019,8/30/2019,monthly,monthly,1395.634921,4773.071429,0.04,0.005,0.01,non-performing,95,3
100727318,Branch,3/23/2013,USA,Resi,Mortage,Loan,Linear,3/15/2045,3/14/2050,USD,100000,95000,432.6190476,83725,0.0419768261,fixed,,,,fixed,,3/24/2015,3/14/2050,,,0.03,0.005,0.0075,7/26/2019,480.6878307,480.6878307,43.3787119,8/30/2019,8/30/2019,monthly,monthly,2884.126984,10384.93371,0.04,0.005,0.01,non-performing,97,3
100727319,Branch,3/24/2013,USA,Resi,Mortage,Loan,Linear,3/16/2045,3/15/2050,USD,116285.7143,150030,482.2714286,83791.3,0.04208138673,fixed,,,,fixed,,3/25/2015,3/15/2050,,,0.03,0.005,0.0075,7/26/2019,496.1640212,496.1640212,42.54259167,8/30/2019,8/30/2019,monthly,monthly,1488.492063,5090.642857,0.04,0.005,0.01,non-performing,93,3
100727320,Branch,3/25/2013,USA,Resi,Mortage,Loan,Linear,3/17/2045,3/16/2050,USD,116285.7143,113592.8571,1064.620952,83791.3,0.04218594735,fixed,,,,fixed,,3/26/2015,3/16/2050,,,0.03,0.005,0.0075,7/26/2019,511.6402116,511.6402116,41.70901238,8/30/2019,8/30/2019,monthly,monthly,1534.920635,4973.142857,0.04,0.005,0.01,non-performing,90,3
100727321,Branch,3/26/2013,USA,Resi,Mortage,Loan,Linear,3/18/2045,3/16/2053,USD,116285.7143,196000,948.8095238,90017,0.04229050797,fixed,,,,fixed,,3/27/2015,3/16/2053,,,0.03,0.005,0.0075,7/23/2019,527.1164021,527.1164021,46.72886905,8/30/2019,8/30/2019,monthly,monthly,1581.349206,5579,0.04,0.005,0.01,non-performing,92,3
100727322,Branch,3/27/2013,USA,Resi,Mortage,Loan,Linear,3/19/2045,3/24/2045,USD,116285.7143,120400,33.20666667,90250,0.04239506859,fixed,,,,fixed,,3/28/2015,3/24/2045,,,0.03,0.005,0.0075,7/26/2019,542.5925926,542.5925926,46.39996833,8/30/2019,8/30/2019,monthly,monthly,1627.777778,5567,0.04,0.005,0.01,non-performing,91,3
100727323,Branch,3/28/2013,USA,Resi,Mortage,Loan,Linear,3/20/2045,3/25/2045,USD,116285.7143,110471.4286,1000,90270,0.04249962922,fixed,,,,fixed,,3/29/2015,3/25/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.75,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,95,3
100727324,Branch,3/29/2013,USA,Resi,Mortage,Loan,Linear,3/21/2045,3/26/2045,USD,116285.7143,190000,750,90270,0.04260418984,mixed,5 years fixed then variable,,,fixed,,3/30/2015,3/26/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,97,3
100727325,Branch,3/30/2013,USA,Resi,Mortage,Loan,Linear,3/22/2045,3/27/2045,USD,116285.7143,164395.2381,250,90500,0.04270875046,fixed,,,,fixed,,3/31/2015,3/27/2045,,,0.03,0.005,0.0075,7/26/2019,277.7777778,277.7777778,23.8125,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,93,3
100727326,Branch,3/31/2013,USA,Resi,Mortage,Loan,Linear,3/23/2045,3/28/2045,USD,116285.7143,142500,229.5,90500,0.04281331109,fixed,,,,fixed,,4/1/2015,3/28/2045,,,0.03,0.005,0.0075,7/26/2019,236.1111111,236.1111111,19.182375,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2295,0.04,0.005,0.01,non-performing,90,3
100727327,Branch,4/1/2013,USA,Resi,Mortage,Loan,Linear,3/24/2045,3/29/2045,USD,116285.7143,126078.5714,1156,90500,0.04291787171,fixed,,,,fixed,,4/2/2015,3/29/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.289,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,92,3
100727328,Branch,4/2/2013,USA,Resi,Mortage,Loan,Linear,3/25/2045,3/24/2051,USD,116285.7143,123620,750,90578,0.04302243233,mixed,5 years fixed then variable,,,fixed,,4/3/2015,3/24/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,180,6
100727329,Branch,4/3/2013,USA,Resi,Mortage,Loan,Linear,3/26/2045,3/25/2050,USD,116285.7143,147000,23.12,95017,0.04312699296,fixed,,,,fixed,,4/4/2015,3/25/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,30.60578,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3672,0.04,0.005,0.01,non-performing,170,6
100727330,Branch,4/4/2013,USA,Resi,Mortage,Loan,Linear,3/27/2045,3/26/2050,USD,116285.7143,132740.8286,22.56142857,95017,0.04323155358,fixed,,,,fixed,,4/5/2015,3/26/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,32.52064036,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3901.8,0.04,0.005,0.01,non-performing,213,6
100727331,Branch,4/5/2013,USA,Resi,Mortage,Loan,Linear,3/28/2045,3/27/2050,USD,116285.7143,142500,22.00285714,95017,0.0433361142,fixed,,,,fixed,,4/6/2015,3/27/2050,,,0.03,0.005,0.0075,7/26/2019,0,359.5238095,30.74478643,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3688.714286,0.04,0.005,0.01,non-performing,360,9
100727332,Branch,4/6/2013,USA,CRE,Mortage,Loan,Linear,3/29/2045,3/28/2050,USD,116285.7143,153206.6667,315.3571429,95250,0.04344067482,fixed,,,,fixed,,4/7/2015,3/28/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.03776786,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3595.071429,0.04,0.005,0.01,non-performing,90,3
100727333,Branch,4/7/2013,USA,Resi,Mortage,Loan,Linear,3/30/2045,3/29/2050,USD,116285.7143,159102.381,331.7142857,95250,0.04354523545,fixed,,,,fixed,,4/8/2015,3/29/2050,,,0.03,0.005,0.0075,7/26/2019,341.2698413,341.2698413,30.80335714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3686.451429,0.04,0.005,0.01,non-performing,91,3
100727334,Branch,4/8/2013,USA,Resi,Mortage,Loan,Linear,3/31/2045,3/29/2053,USD,116285.7143,180273.8095,691.1228571,95250,0.04364979607,fixed,,,,fixed,,4/9/2015,3/29/2053,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.570995,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
100727335,Branch,4/9/2013,USA,Resi,Mortage,Loan,Linear,4/1/2045,4/6/2045,USD,116285.7143,190000,581.4285714,95250,0.04375435669,fixed,,,,fixed,,4/10/2015,4/6/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,323.015873,26.30964286,8/30/2019,8/30/2019,monthly,monthly,969.047619,3139.714286,0.04,0.005,0.01,non-performing,97,3
100727336,Branch,4/10/2013,USA,Resi,Mortage,Loan,Linear,4/2/2045,4/7/2045,USD,116285.7143,116714.2857,34,95270,0.04385891732,fixed,,,,fixed,,4/11/2015,4/7/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,49.0085,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5880,0.04,0.005,0.01,non-performing,93,3
100727337,Branch,4/11/2013,USA,Resi,Mortage,Loan,Linear,4/3/2045,4/8/2045,USD,116285.7143,80750,750,95270,0.04396347794,fixed,,,,fixed,,4/12/2015,4/8/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,213,6
100727338,Branch,4/12/2013,USA,Resi,Mortage,Loan,Linear,4/4/2045,4/9/2045,USD,116285.7143,147000,500,95500,0.04406803856,fixed,,,,fixed,,4/13/2015,4/9/2045,,,0.03,0.005,0.0075,7/26/2019,370.3703704,277.7777778,23.875,8/30/2019,8/30/2019,monthly,monthly,833.3333333,2850,0.04,0.005,0.01,non-performing,170,3
100727339,Branch,4/13/2013,USA,Resi,Mortage,Loan,Linear,4/5/2045,4/10/2045,USD,116285.7143,110471.4286,212.5,95500,0.04417259918,fixed,,,,fixed,,4/14/2015,4/10/2045,,,0.03,0.005,0.0075,7/26/2019,0,236.1111111,20.240625,8/30/2019,8/30/2019,monthly,monthly,708.3333333,2422.5,0.04,0.005,0.01,non-performing,90,3
100727340,Branch,4/14/2013,USA,Resi,Mortage,Loan,Linear,4/6/2045,4/11/2045,USD,116285.7143,104657.1429,540,95500,0.04427715981,fixed,,,,fixed,,4/15/2015,4/11/2045,,,0.03,0.005,0.0075,7/26/2019,555.5555556,555.5555556,47.635,8/30/2019,8/30/2019,monthly,monthly,1666.666667,5700,0.04,0.005,0.01,non-performing,91,3
100727341,Branch,4/15/2013,USA,Resi,Mortage,Loan,Linear,4/7/2045,4/6/2051,USD,116285.7143,116308.9714,867,95500,0.04438172043,fixed,,,,fixed,,4/16/2015,4/6/2051,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,33.96675,8/30/2019,8/30/2019,monthly,monthly,1250,4050,0.04,0.005,0.01,non-performing,95,3
100727342,Branch,4/16/2013,USA,Resi,Mortage,Loan,Linear,4/8/2045,4/7/2050,USD,116285.7143,113960,680,95500,0.04448628105,mixed,5 years fixed then variable,,,fixed,,4/17/2015,4/7/2050,,,0.03,0.005,0.0075,7/26/2019,377.7777778,377.7777778,33.49,8/30/2019,8/30/2019,monthly,monthly,1133.333333,3998.4,0.04,0.005,0.01,non-performing,97,3
100727343,Branch,4/17/2013,USA,Resi,Mortage,Loan,Linear,4/9/2045,4/8/2050,USD,116285.7143,110471.4286,22.56142857,95578,0.04459084168,variable,,LIBOR,3,fixed,LIBOR,4/18/2015,4/8/2050,,,0.03,0.005,0.0075,7/26/2019,368.6507937,368.6507937,31.52528321,8/30/2019,8/30/2019,monthly,monthly,1105.952381,3782.357143,0.04,0.005,0.01,non-performing,93,3
100727344,Branch,4/18/2013,USA,Resi,Mortage,Loan,Linear,4/10/2045,4/9/2050,USD,116285.7143,110471.4286,22.00285714,95578,0.0446954023,fixed,,,,fixed,,4/19/2015,4/9/2050,,,0.03,0.005,0.0075,7/26/2019,0,359.5238095,29.12692929,8/30/2019,8/30/2019,monthly,monthly,1078.571429,3494.571429,0.04,0.005,0.01,non-performing,320,6
100727345,Branch,4/19/2013,USA,Resi,Mortage,Loan,Linear,4/11/2045,4/10/2050,USD,116285.7143,110471.4286,21.44428571,95578,0.04479996292,fixed,,,,fixed,,4/20/2015,4/10/2050,,,0.03,0.005,0.0075,7/26/2019,350.3968254,350.3968254,30.91036107,8/30/2019,8/30/2019,monthly,monthly,1051.190476,3708.6,0.04,0.005,0.01,non-performing,90,3
100727346,Branch,4/20/2013,USA,Resi,Mortage,Loan,Linear,4/12/2045,4/11/2050,USD,116285.7143,104657.1429,307.1428571,98017,0.04490452354,mixed,5 years fixed then variable,,,fixed,,4/21/2015,4/11/2050,,,0.03,0.005,0.0075,7/23/2019,341.2698413,341.2698413,29.25535714,8/30/2019,8/30/2019,monthly,monthly,1023.809524,3501.428571,0.04,0.005,0.01,non-performing,91,3
100727347,Branch,4/21/2013,USA,Resi,Mortage,Loan,Linear,4/13/2045,4/11/2053,USD,116285.7143,116308.9714,322.8428571,98017,0.04,fixed,,,,fixed,,4/22/2015,4/11/2053,,,0.03,0.005,0.0075,7/26/2019,332.1428571,332.1428571,28.478925,8/30/2019,8/30/2019,monthly,monthly,996.4285714,3407.785714,0.04,0.005,0.01,non-performing,95,3
100727348,Branch,4/22/2013,USA,CRE,Mortage,Loan,Linear,4/14/2045,4/19/2045,USD,116285.7143,113960,672.1314286,98017,0.035,fixed,,,,fixed,,4/23/2015,4/19/2045,,,0.03,0.005,0.0075,7/26/2019,323.015873,323.015873,29.24527571,8/30/2019,8/30/2019,monthly,monthly,969.047619,3489.269143,0.04,0.005,0.01,non-performing,97,3
100727349,Branch,4/23/2013,USA,Resi,Mortage,Loan,Linear,4/15/2045,4/20/2045,USD,116285.7143,110471.4286,750,98017,0.04,fixed,,,,fixed,,4/24/2015,4/20/2045,,,0.03,0.005,0.0075,7/26/2019,416.6666667,416.6666667,35.8125,8/30/2019,8/30/2019,monthly,monthly,1250,4275,0.04,0.005,0.01,non-performing,93,3
